series_key	title	author_ratio	isbns
qid:Q11422738|name:神ぷろ。	神ぷろ。	0.15	9784840122139
qid:Q11657721|name:え・と・せ・と・ら	え・と・せ・と・ら	0.04	9784872782554
qid:Q11657721|name:シーズンズ	シーズンズ	0.04	9784893932259
name:桃月すず|name:おかえり、ただいま、また明日	おかえり、ただいま、また明日	0.4	9784785957865
name:タケイツカサ|name:おねだりアイドル	おねだりアイドル	0	9784873064598
name:藤ます|name:ギオンのツガイ	ギオンのツガイ	0.17	9784040678436,9784040690001
name:祁答院慎|name:コープスパーティーcemetery 0	コープスパーティーcemetery 0	0.33	9784812483107,9784812485545
name:もんぷち|name:サイテー!間違えて夜這いなんて…ありえない!	サイテー!間違えて夜這いなんて…ありえない!	0.25	9784434206337
name:湯河原あたみ|name:マジカル・リビドゥ	マジカル・リビドゥ	0.43	9784882714408,9784883321612
name:文倉十|name:理想のヒモ生活	理想のヒモ生活	0.43	9784041060018,9784041063934,9784041068410
qid:Q11465222|name:365・super color	365・super color	0.11	9784877345693
qid:Q11465222|name:365・super color+plus	365・super color+plus	0.11	9784862524508
qid:Q11465222|name:Boy meets girl	Boy meets girl	0.11	9784877340902,9784877343422
qid:Q11465222|name:NA NA NA	NA NA NA	0.11	9784883324408
qid:Q11465222|name:The great escape	The great escape	0.11	9784862523617,9784862526878,9784862529329
qid:Q11465222|name:インスタント刹那主義	インスタント刹那主義	0.11	
name:Miray Ozaki|name:Chiki chiki|sub:beat-pop and perfect crime books	Chiki chiki	0.11	
name:ゆかりがわゆみや|name:Kinetoscope rough sketch	Kinetoscope rough sketch	0.31	
name:ブッチャーU|name:せっかくチートを貰って異世界に転移したんだから、好きなように生きてみたい	せっかくチートを貰って異世界に転移したんだから、好きなように生きてみたい	0.33	9784867167021,9784867168608
name:Miray Ozaki|name:ドゥビドゥバディスコフューチャリングウィズサー・サイコ・セクシー	ドゥビドゥバディスコフューチャリングウィズサー・サイコ・セクシー	0.11	
name:DONKEY|name:リリパット	リリパット	0	
name:ねぐら☆なお|name:気分はプライベート	気分はプライベート	0	9784812452974
name:日月ネコ|name:理想のヒモ生活	理想のヒモ生活	0.43	9784041157824,9784041161692,9784041166840
name:そらったま|name:艦隊これくしょん-艦これ-アンソロジーコミック 横須賀鎮守府編	艦隊これくしょん-艦これ-アンソロジーコミック 横須賀鎮守府編	0.33	9784047296855
