title	rakuten	google	verdict	rakuten_genre	google_maturity
神ぷろ。	err:400	skip(no_key)	不明(要raw確認)	{"error_description":"specify valid appl	
え・と・せ・と・ら	err:400	skip(no_key)	不明(要raw確認)	{"error_description":"specify valid appl	
シーズンズ	err:400	skip(no_key)	不明(要raw確認)	{"error_description":"specify valid appl	
おかえり、ただいま、また明日	err:400	skip(no_key)	不明(要raw確認)	{"error_description":"specify valid appl	
おねだりアイドル	err:400	skip(no_key)	不明(要raw確認)	{"error_description":"specify valid appl	
ギオンのツガイ	err:400	skip(no_key)	不明(要raw確認)	{"error_description":"specify valid appl	
コープスパーティーcemetery 0	err:400	skip(no_key)	不明(要raw確認)	{"error_description":"specify valid appl	
サイテー!間違えて夜這いなんて…ありえない!	err:400	skip(no_key)	不明(要raw確認)	{"error_description":"specify valid appl	
マジカル・リビドゥ	err:400	skip(no_key)	不明(要raw確認)	{"error_description":"specify valid appl	
理想のヒモ生活	err:400	skip(no_key)	不明(要raw確認)	{"error_description":"specify valid appl	
365・super color	err:400	skip(no_key)	不明(要raw確認)	{"error_description":"specify valid appl	
365・super color+plus	err:400	skip(no_key)	不明(要raw確認)	{"error_description":"specify valid appl	
Boy meets girl	err:400	skip(no_key)	不明(要raw確認)	{"error_description":"specify valid appl	
NA NA NA	err:400	skip(no_key)	不明(要raw確認)	{"error_description":"specify valid appl	
The great escape	err:400	skip(no_key)	不明(要raw確認)	{"error_description":"specify valid appl	
インスタント刹那主義	noisbn	skip(no_key)	不明(要raw確認)		
Chiki chiki	noisbn	skip(no_key)	不明(要raw確認)		
Kinetoscope rough sketch	noisbn	skip(no_key)	不明(要raw確認)		
せっかくチートを貰って異世界に転移したんだから、好きなように生きてみたい	err:400	skip(no_key)	不明(要raw確認)	{"error_description":"specify valid appl	
ドゥビドゥバディスコフューチャリングウィズサー・サイコ・セクシー	noisbn	skip(no_key)	不明(要raw確認)		
リリパット	noisbn	skip(no_key)	不明(要raw確認)		
気分はプライベート	err:400	skip(no_key)	不明(要raw確認)	{"error_description":"specify valid appl	
理想のヒモ生活	err:400	skip(no_key)	不明(要raw確認)	{"error_description":"specify valid appl	
艦隊これくしょん-艦これ-アンソロジーコミック 横須賀鎮守府編	err:400	skip(no_key)	不明(要raw確認)	{"error_description":"specify valid appl	
