qid,name,birth_year,death_year,alt_names,has_adult_credit
madb:C67824,酒井不二雄,,,,false
madb:C67827,（재）세종문화회관,,,,false
madb:C67828,[米子鉄道管理局,,,,false
madb:C67829,“ダブルシュート”脚本家グループ,,,,false
madb:C67830,〈新人・流行人〉観測隊,,,,false
madb:C67831,「5年の科学」「6年の科学」編集部,,,,false
madb:C67832,「Ayakashi」製作委員会,,,,false
madb:C67833,「あらしのよるに」製作委員会,,,,false
madb:C67834,「いぬ会社」株主一同,,,,false
madb:C67835,「ガロ」史編纂委員会,,,,false
madb:C67838,「ジ・アニメ」,,,,false
madb:C67839,「ジ・アニメ」編集部,,,,false
madb:C67841,「シルバニアファミリー」アニメ製作委員会,,,,false
madb:C67842,「せな・せな」製作委員会,,,,false
madb:C67844,「まんが山男」を出版する会,,,,false
madb:C67845,「ワイルドアームズ」・「ワイルドアームズ2ndイグニッション」,,,,false
madb:C67846,「王家の紋章」研究会銀座本部,,,,false
madb:C67847,「茄子アンダルシアの夏」製作委員会,,,,false
madb:C67848,「季刊クライシス」編集委員会,,,,false
madb:C67849,「君が踊る、夏」製作委員会,,,,false
madb:C67851,「笑9」の会,,,,false
madb:C67852,「真月譚月姫」製作委員会,,,,false
madb:C67853,「日本漫画家名鑑500」編集委員会,,,,false
madb:C67854,「薄桜鬼」製作委員会,,,,false
madb:C67855,『ガロ』史編纂委員会,,,,false
madb:C67856,『マザーリバータクヤたちの夏』制作ワーキンググループ,,,,false
madb:C67857,『マザーリバータクヤたちの夏』編集委員会,,,,false
madb:C67858,『人間時計』復刻委員会,,,,false
madb:C67859,『藤子・F・不二雄大全集』編集部,,,,false
madb:C67860,『明日の神話』再生プロジェクト,,,,false
madb:C67864,1.2.3編集部,,,,false
madb:C67865,100パーセント,,,,false
madb:C67866,10番台のドンちゃん,,,,false
madb:C67867,12星座のセレナーデ制作委員会,,,,false
madb:C67868,17号,,,,false
madb:C67869,2006「オトシモノ」フィルムパートナーズ,,,,false
madb:C67871,2ちゃんねる,,,,false
madb:C67872,914かな,,,,false
madb:C67873,A＆S.ゴロン,,,,false
madb:C67874,A＆S・ゴロン,,,,false
madb:C67875,A.ザッパー,,,,false
madb:C67876,A.ルプツォーフ,,,,false
madb:C67877,A・ゴロン,,,,false
madb:C67878,A・ドルフマン,,,,false
madb:C67879,A・マトゥラール,,,,false
madb:C67880,AIC・BeSTACK,,,,false
madb:C67882,AQインタラクティブ,,,,false
madb:C67883,Asuka編集部,,,,false
madb:C67884,AVEX・BEYONDC.,,,,false
madb:C67885,Azu～結衣～,,,,false
madb:C67886,A級戦犯研究会,,,,false
madb:C67887,B.T.あづま,,,,false
madb:C67888,B.ケイン,,,,false
madb:C67890,B.ホガース,,,,false
madb:C67891,Be・love,,,,false
madb:C67892,Bonny原田,,,,false
madb:C67893,BUBKA編集部,,,,false
madb:C67894,B型,,,,false
madb:C67895,C.M.シュルツ,,,,false
madb:C67896,C.W.ニコル,,,,false
madb:C67897,C.アルナル,,,,false
madb:C67898,C.ディケンズ,,,,false
madb:C67899,C・L・ムーア,,,,false
madb:C67900,C・S・J,,,,false
madb:C67901,C・S・J.,,,,false
madb:C67902,C・ブロンテ,,,,false
madb:C67905,COMICリュウ編集部,,,,false
madb:C67906,D.H.ロレンス,,,,false
madb:C67907,D.J.ミルキー,,,,false
madb:C67908,D.オニール,,,,false
madb:C67909,D3パブリッシャー,,,,false
madb:C67910,DATE企画,,,,false
madb:C67916,Dr.モロー＆寿スタジオ,,,,false
madb:C67920,E.デ・アミーチス,,,,false
madb:C67921,E.ネズビット,,,,false
madb:C67922,E.ブロンテ,,,,false
madb:C67923,E.ポーター,,,,false
madb:C67924,E・E・スミス,,,,false
madb:C67925,E・アラン・ポー,,,,false
madb:C67926,EVEnewgeneration製作委員会,,,,false
madb:C67927,F＆C,,,,false
madb:C67928,F＆C・FC01,,,,false
madb:C67929,F＆C・FC02,,,,false
madb:C67930,F.H.バーネット,,,,false
madb:C67931,F.ボワレ,,,,false
madb:C67934,G.M.スダルタ,,,,false
