slug	title	detail
2012-nen-chikyuu-metsubou-no-kiki	2012年地球滅亡の危機!!	ムー・探Qコミック編集部
2012-nen-chikyuu-metsubou-saishuu-keikoku-sudeni-metsubou-made-no-kauntodaun-wa-hajimatte-iru	2012年地球滅亡最終警告!!すでに滅亡までのカウントダウンは始まっている!	ムー・探Qコミック編集部
300-nen-go-ni-fukkatsu-shita-dai-mahoutsukai	300年後に復活した大魔法使い	エンドルフィン株式会社
3b-no-koibito	3Bの恋人	朝日放送株式会社
aaru-pii-jii-ippatsu-otoko	RPG一発男	スタジオ寿
abaki-ya	暴き屋	講談社
adoribu-tenchou-aaru	アドリブ店長R	漫画パチスロパニック7編集部
african-message	アフリカン☆メッセージ	花とゆめコミックス編集部
aishite-knight	愛してナイト	花とゆめコミックス編集部
akuerian-age-2004	アクエリアンエイジ	ブロッコリー・神あそ製作委員会
akuerian-age	アクエリアンエイジ	ブロッコリー・神あそ製作委員会
akuru-chan-break	あくるちゃんブレイク	ブロッコリー・神あそ製作委員会
akuru-chan-high	あくるちゃんHigh!	ブロッコリー・神あそ製作委員会
an-goo-haisen-tantei-yuuki-shinjuurou	UN-GO 敗戦探偵・結城新十郎	「UN-GO」製作委員会
animal-kedaman	あにまるケダマン	ダイナミックプロダクション
aquarian-age-kings-breaker	アクエリアンエイジキングスブレイカー	ブロッコリー・神あそ製作委員会
arusu-no-kyojuu	アルスの巨獣	旭プロダクション
awa-to-usagi-to-kubikazari	泡と兎と首飾り	猫十字社
ayakashi	アヤカシ	「Ayakashi」製作委員会
bakumatsuden	爆末伝	ダイナミックプロダクション
bamboo-blade-b	バンブーブレードビー	スタジオねこ
batman-justice-buster	BATMAN JUSTICE BUSTER	DCコミックス
bloody-mary-1984	ブラッディ・マリィ	花とゆめコミックス編集部
bravo-sensei	ブラボー!!先生	ダイナミックプロダクション
busuttare-aiko	ぶすったれ愛子	花とゆめコミックス編集部
chibikko-kaijuu-yadamon	ちびっこ怪獣ヤダモン	ダイナミックプロダクション
chiisana-ochakai	小さなお茶会	猫十字社
chijou-saikyou-no-otoko-ryuu	地上最強の男・竜	ダイナミックプロダクション
chitose-ga-yuku	ちとせが行く!	ブロッコリー・神あそ製作委員会
choco-banana	チョコバナナ	有限会社サマープロジェクト
chokkan-shoujo-minamo	直感少女・ミナモ	プロダクションI. G
chou-adoribu-ouji	超アドリブ王子	漫画パチスロパニック7編集部
chou-jikuu-yousai-macross-za-first	超時空要塞マクロスTHE FIRST	スタジオぬえ
chou-shoujo-ufo	超少女UFO	ダイナミックプロダクション
comic-inagawa-junji-kaidan-yamigatari	コミック稲川淳二怪談闇語り	ダイナミックプロダクション
comic-inagawa-junji-no-sugooku-kowai-hanashi	コミック稲川淳二のすごーく恐い話	ダイナミックプロダクション
comic-iwate-13	コミックいわて13	さいとうプロダクション
comic-jitsuwa-kyoufu-taiken-honto-ni-atta-hanashi	コミック実話恐怖体験ほんとにあった話	ダイナミックプロダクション
comic-nobunaga-no-yabou-sengoku-meishou-den	コミック信長の野望 戦国名将伝	コーエー出版部
comic-sangokushi-touruu-episode-rendetsu	コミック三國志トゥルーエピソード列伝	コーエー出版部
crows-kaizokuban	クローズ海賊版	秋田書店
cutie-honey-the-first	キューティーハニーTHE FIRST	ダイナミックプロダクション
dai-kaizoku-jidai	大海賊時代	ノアール出版
daimajin-canon	大魔神カノン	大魔神カノン製作委員会
danzen-koosuke	だんぜんコースケ!	井上尚美＆レッカ社
darkness-heels-lili	DARKNESS HEELS-Lili-	円谷プロダクション
darwin-ga-kita	ダーウィンが来た!	NHK「ダーウィンが来た!」
date-masamune-2010	伊達政宗	ダイナミックプロダクション
datsugoku-gokko	脱獄ごっこ	UUUM株式会社
dennou-coil	電脳コイル	電脳コイル製作委員会
do-it-yourself	Do it yourself!!	エイベックスピクチャーズ株式会社
dokuritsu-kinenbi	独立記念日	ダイナミックプロダクション
dokutaa-moroo-no-lich-na-seikatsu-jii	Dr.モローのリッチな生活G	スタジオ寿
dongara-sanjuushi	どんがら三銃士	ダイナミックプロダクション
doragonkuesuto-monsters-2-marta-no-fushigi-na-kagi-4-koma-manga-gekijou	ドラゴンクエストモンスターズ2 マルタのふしぎな鍵 4コママンガ劇場	エニックス出版局
dororo-to-enma-kun	どろろとえん魔くん	ダイナミックプロダクション
dororon-enma-kun	ドロロンえん魔くん	ダイナミックプロダクション
eikyuu-shounen-etaanaru-boys	永久少年Eternal Boys	満福芸能プロダクション
eiyuu-densetsu-sen-no-kiseki	英雄伝説閃の軌跡	日本ファルコム株式会社
ensemble-stars-lady-foo-star	あんさんぶるスターズ!ready for star	Happy Elements株式会社
enueichikee-darwin-ga-kita	NHKダーウィンが来た!	NHK「ダーウィンが来た!」
enueichikee-sono-toki-rekishi-ga-ugoita	NHKその時歴史が動いた	日本放送協会
fate-kishi	Fate騎士	ノアール出版
firoon-shikan-gakkou	フィローン士官学校	Team猫十字社
first-love-kiss-xxx	FIRST LOVE,KISS,XXX	創美社
furuuteii-samurai	フルーティー侍	フルーティー侍製作委員会
fuwafuwa-zanmai	ふわふわ三昧	猫十字社
g-pan-graffiti	Gパングラフィティ	花とゆめコミックス編集部
galaxy-angel	ギャラクシーエンジェル	ブロッコリー・神あそ製作委員会
ganbaride-battle-ride-masters	ガンバライドバトルライドマスターズ	東映株式会社
geeparo-4-koma-guranpuri	ゲーパロ4コマグランプリ	アトラス株式会社
gekiga-gorubachofu	劇画・ゴルバチョフ	読売新聞社外報部
gekiman-devilman-no-show	激マン!デビルマンの章	ダイナミックプロダクション
gekiman	激マン!	ダイナミックプロダクション
gen-to-tsugumi	源とツグミ	赤目プロダクション
genjuu-no-kuni-monogatari	幻獣の國物語	猫十字社
gensen-tanpenshuu-gougasa	幻選短編集 豪画沙GOGASHA	ダイナミックプロダクション
get-sports	GET SPORTS	テレビ朝日
getter-robo-arc	ゲッターロボアーク	ダイナミックプロダクション
getter-robo	ゲッターロボ	ダイナミックプロダクション
ghost-hound-another-side	神霊狩 ANOTHER SIDE	プロダクションI. G
giant-killing-extra-giant-killing-hatsu-sakkaa-entaateinmento-magazine	GIANT KILLING extra ジャイアントキリング発サッカーエンターテインメントマガジン	講談社
girls-ando-panzer-little-army-2	ガールズ＆パンツァーリトルアーミー2	ガールズ＆パンツァー製作委員会
girls-und-panzer-little-army	ガールズ＆パンツァーリトルアーミー	ガールズ＆パンツァー製作委員会
girls-und-panzer	ガールズ＆パンツァー	ガールズ＆パンツァー製作委員会
god-bird	ゴッドバード	東北新社
god-mazinger	ゴッドマジンガー	ダイナミックプロダクション
golgo-13-special-edition	ゴルゴ13 SPECIAL EDITION	さいとうプロダクション
golgo-13-supinofu-series	ゴルゴ13スピンオフシリーズ	さいとうプロダクション
golgo-13	ゴルゴ13	さいとうプロダクション
gou-chan-magazine	豪ちゃんマガジン	ダイナミックプロダクション
goudan-araki-mataemon	豪談荒木又右衛門	ダイナミックプロダクション
goudan-kirigakure-saizou	豪談霧隠才蔵	ダイナミックプロダクション
goudan-musashibou-benkei	豪談武蔵坊弁慶	ダイナミックプロダクション
goudan-sanada-gunki	豪談真田軍記	ダイナミックプロダクション
goudan-sarutobi-sasuke	豪談猿飛佐助	ダイナミックプロダクション
great-mazinger	グレート・マジンガー	ダイナミックプロダクション
grimm-kumikyoku	グリム組曲	Netflix株式会社
guilty-crown-dancing-endlaves	ギルティクラウンDANCING ENDLAVES	ギルティクラウン製作委員会
gurandaa-musashi	グランダー武蔵	日本アニメーション株式会社
guruguru-shoukougun	ぐるぐる症候群	ノアール出版
hakuin-oshou-monogatari	白隠和尚物語	禅文化研究所編集部
hakuouki	薄桜鬼	「薄桜鬼」製作委員会
hakuouki-2011	薄桜鬼 新選組奇譚	「薄桜鬼碧血録」製作委員会
hakuouki-reimeiroku	薄桜鬼 黎明録	「薄桜鬼黎明録」製作委員会
hanamoto-san-chi-no-gokiyoudai	華本さんちのご兄弟	猫十字社
haruka-tsuushin-haruka-naru-toki-no-naka-de	はるか通信―遙かなる時空の中で	はるか通信編集部
higurashi-no-naku-koro-ni-ki-tan-senshuu	ひぐらしのなく頃に 奇譚撰集	一迅社
higurashi-no-naku-koro-ni-shinkitanshuu	ひぐらしのなく頃に 新奇譚集	一迅社
hipunoshisu-maiku-division-rap-battle-side-b-b-m-t-c	ヒプノシスマイク	キングレコード株式会社
hipunoshisumaiku	ヒプノシスマイク	キングレコード株式会社
hishou-densetsu	飛翔伝説	花とゆめコミックス編集部
