slug	title	detail
110-yooji-kun-no-manga-bungaku-zenshuu-110sen	ショージ君の漫画文学全集110選	
1936-2021-furuya-mitsutoshi-memorial-selection	1936-2021古谷三敏メモリアルセレクション	
1satsu-de-3do-tanoshimeru-tezuka-osamu-hitto-1-yuu	1冊で3度楽しめる手塚治虫ヒット選集	
20-radashi-senshuu-comic-ran-soukan-20shuunen-kinen-tokubetsu-henshuu	蔵出し選集!!コミック乱創刊20周年記念特別編集	
21seiki-21-ga-taishou-selection	21世紀マンガ大賞セレクション	
ai-no-mystery-senshuu	愛のミステリー 選集	
ai-rabu-collection	愛❤コレクション	
akatsuka-fujio-manga-daizenshuu-diividii-romu	赤塚不二夫漫画大全集DVD-ROM	
akimoto-osamu-sf-tanpenshuu	秋本治SF短編集	
akogare-collection	あこがれコレクション	
akutou-otoko-collection	悪党男子コレクション	
alice-club-mihappyou-selection	アリスくらぶ未発表セレクション	
all-karaaban-hoozuki-no-reitetsu-selection	オールカラー版鬼灯の冷徹セレクション	
amazume-ryuuta-tanpenshuu	甘詰留太短編集	
angel-collection	エンジェル・コレクション	
anibus-ex-art-collection	アニバスEXアートコレクション	
ankoku-no-yajuu	小畑しゅんじ短編集エスパー大旋風	
aoki-tetsuo-senshuu	あおきてつお選集	
aoki-yuuji-kessaku-manga-sakuhinshuu	青木雄二傑作漫画作品集	
aoki-yuuji-manga-tanpenshuu	青木雄二漫画短編集	
aoyama-goushou-tanpenshuu	青山剛昌短編集	
aruko-love-joshi-tanpenshuu	アルコ恋愛女子短編集	
asagiri-yuu-shoki-tanpenshuu	あさぎり夕初期短編集	
asari-yoshitoo-tanpen-shiyuu	あさりよしとお短編集	
big-comic-selection-meisaku-tanpenshuu	ビッグコミックセレクション名作短編集	
biggukomikku-fujikoefufujio-esuefu-tanpenshuu	ビッグコミック×藤子・F・不二雄SF短編集	
black-jack-daizenshuu	ブラック・ジャック大全集	
blame-gakuen-nihei-tsutomu-furu-color-sakuhinshuu	ブラム学園!弐瓶勉フルカラー作品集	
blue-giant-live-selection	ブルージャイアントライブセレクション	
blue-light-collection	ブルーライト・コレクション	
bone-collection	ボーンコレクション	
bouichi-orijinaru-esuefu-tanpenshuu	BoichiオリジナルSF短編集	
capcom-selection-maleficarum	カプコン・セレクションマレフィカールム	
chibi-hontou-ni-atta-waraeru-hanashi-girls-collection	ちび本当にあった笑える話ガールズコレクション	
chocolat-no-mahou-perfect-collection	ショコラの魔法 パーフェクトコレクション	
cinderella-collection	シンデレラコレクション	
comic-ran-selection-chuukon-gi-tan	コミック乱セレクション忠魂義胆	
comic-ran-selection-doutou-tetsugaku	コミック乱セレクション銅頭鉄額	
comic-ran-selection-eishi-sassou	コミック乱セレクション英姿颯爽	
comic-ran-selection-kennin-kaketsu	コミック乱セレクション堅忍果決	
comic-ran-selection-seirei-kakkin	コミック乱セレクション精励恪勤	
comic-ran-selection-sen-tan-banren	コミック乱セレクション千鍛万錬	
comic-ran-selection-sokusen-sokketsu	コミック乱セレクション速戦即決	
comic-ran-selection-soumei-gouki	コミック乱セレクション聡明剛毅	
comic-ran-selection-tenkuu-kaikatsu	コミック乱セレクション天空海闊	
comic-super-famicom-selection	COMICスーパーファミコンセレクション	
daigoshiyu-setsukin-souguu	野部利雄選集	
daikyoufu-horror-tokusenshuu	大恐怖ホラー特選集	
doonatsubukkusuishiihisaichisenshuu	DOUGHNUTS BOOKS ドーナツブックス いしいひさいち選集	
doraemon-movie-collection	ドラえもんムービーコレクション	
doujin-sakka-collection	同人作家コレクション	
dragon-4-esuto-4koma-manga-daizenshuu	ドラゴンクエスト4コママンガ大全集	
dragon-collection-ryuu-o-suberu-mono	ドラゴンコレクション 竜を統べるもの	
elite-jack-powerful-selection	エリートジャック!!パワフルセレクション	
endou-hiroki-tanpenshuu	遠藤浩輝短編集	
fate-grand-order-comic-collection	Fate/grand orderコミックコレクション	
festa-nanase-aoi-20-shunen-anniversary-collection	festa! 七瀬葵20周年アニバーサリーコレクション	
flip-flap-tanpenshuu-flip-furappu	岡本倫短編集flip flap	
fujiko-efu-fujio-esuefu-tanpenshuu	藤子・F・不二雄SF短篇集	
fujiko-efu-fujio-ishoku-tanpenshuu	藤子・F・不二雄 異色短編集	
fujiko-efu-fujio-shounen-esuefu-tanpenshuu	藤子・F・不二雄少年SF短編集	
fujiko-fuji-yuushounen-sf-tanpenshuu	藤子不二雄 少年SF短編集	
fujiko-fujio-a-black-yuumoa-tanpenshuu	藤子不二雄Aブラックユーモア短篇集	
fujimomo-shoki-sakuhinshuu	藤もも初期作品集	
fujimura-mari-love-joshi-tanpenshuu	藤村真理恋愛女子短編集	
fujisaki-ryuu-sakuhinshuu-1-psycho	藤崎竜作品集1 PSYCHO+	
