slug	title	detail
agn-g-es-rosenstiehl	Agn「G」es Rosenstiehl.	9782020392730
damonzu	Damons[韓国語]	9788953287358
dn-angel	D・N・Angel	9789163841798
gen-si-kaki-ayam-hadashi-no-gen	Gen si kaki ayam （Hadashi no Gen）	9789794612330
hakoniwa-no-zante	箱庭のザンテ	9798378110599
katsura-masakazu-kessaku-seisenshuu	桂正和傑作精選集	9789573447603
koutetsu-kishi	綱鉄騎士	9789573451044
lloyd	ロイド	9798850421984
otto-no-mita-yuurei	夫のみた幽霊	9798390757802
tekken-shounen	鉄拳少年	9789573452362
tytus-romek-i-a-tomek	Tytus Romek i A′Tomek	9788382953343
yoshida-akimi	吉田秋生	0371820482831
