slug	title	detail
0-shinohara-1977	0課の女	6巻
0	0戦はやと	5巻
007-sakusen	007サンダーボール作戦	2巻
1-2-3-to-4-5-roku	1・2・3と4・5・ロク	10巻
1-2-no-ahho	1・2のアッホ!!	10巻
11-gatsumonogatari	11月物語	1巻
22-seiki-no-ko-riibesu-tsuaiben	22世紀の子リーベス・ツァイベン	1巻
3-rousan	ごくろう3	2巻
99-suikan-super-99	潜水艦スーパー99	4巻
aa-ichirou	ああ一郎	5巻
abunai-hitozuma	あぶない人妻	1巻
again	アゲイン	11巻
ahondara	あほんだら	1巻
ahoubune	阿呆船	1巻
ai-nusubito	愛ぬすびと	1巻
ai-tazunebito	愛たずねびと	1巻
akabee	赤兵衛	6巻
akadou-suzunosuke	赤胴鈴之助	20巻
akanbeetenshi	あかんべえ天使	1巻
akiko	亜紀子	2巻
akuma-no-shoutaijou	悪魔の招待状	2巻
akuma	悪魔	1巻
android-v	アンドロイドV	2巻
animal-1	アニマル1	5巻
anne-furanku	アンネ・フランク	1巻
anta-ga-waruitsu	あんたが悪いっ	3巻
aoi-hanabira	青い花びら	2巻
aoi-kitsunebi	青いきつね火	1巻
arashino-champion	嵐のチャンピオン	2巻
arinko-no-uta	アリンコの歌	6巻
asahi-no-koibito	朝日の恋人	4巻
asari-yoshitoo-tanpen-shiyuu	あさりよしとお短編集	1巻
ashinagaoji-san	足ながおじさん	2巻
ashitakagayaku	あした輝く	8巻
asphalt-ni-nemure	アスファルトに眠れ	1巻
assemble-insert	アッセンブル・インサート	1巻
astekaizer	アステカイザー	1巻
astro-kyuudan	アストロ球団	39巻
asuka-futatabi	明日香ふたたび	1巻
babatchisensei	ババッチ先生	1巻
bad-blood-1999	バッドブラッド	1巻
baiyakunin-kuzuryuu	買厄人九頭竜	1巻
bakenekoshoujo	化け猫少女	1巻
bakudan-1985-2	バクダン	1巻
bakumatsufuuunden	幕末風雲伝	1巻
bangai-koshien	番外甲子園	18巻
bara-no-arashi	薔薇の嵐	1巻
bara-no-kabin	ばらの花びん	3巻
bara-no-naka-no-lisa	ばらの中のリザ	2巻
baranosakamichi	ばらの坂道	3巻
bc-adam	B.C.アダム	1巻
beeshitsu-kun	べーしっ君	3巻
beethoven-2008	ベートーベン	1巻
beethoven	ベートーベン	1巻
beni	紅	1巻
bibabareebooru	ビバ!バレーボール	6巻
bikkuri-sekaiichi-shizen-no-himitsu	びっくり世界一自然のひみつ	1巻
birth-2011	Birth	1巻
bisubisubisuseimonogatari	ビス・ビス・ビス星ものがたり	1巻
blue-2006	BLUE	2巻
blue-sakisaka-2006	BLUE	2巻
blue-zone	ブルーゾーン	3巻
boku-no-doubutsuen-nikki	ぼくの動物園日記	10巻
boku-no-raidiin	僕のライディーン	2巻
bokunotou-chan	ぼくのとうちゃん	1巻
bonbon	ボンボン	4巻
bororo	ボロロ	1巻
burai-za-kid	無頼・ザ・キッド	5巻
buraiken	Buraiken	1巻
burattobanii	ぶらっとバニー	2巻
buroodoueinohoshi	ブロードウェイの星	3巻
buruuju	ブルージュ	1巻
bushi-no-tamashii	武士の魂	1巻
byakuya-no-nightingale	白夜のナイチンゲール	1巻
cannonball-yatsura-no-senjou	キャノンボール奴らの戦場	1巻
chabangeki	茶番劇	2巻
chako-chan-no-nikki	チャコちゃんの日記	8巻
chappii-to-yukaina-gebokudomo	チャッピーとゆかいな下僕ども	1巻
chibi-mama-chan	ちびママちゃん	2巻
chibikkotenshi	ちびっこ天使	2巻
chichuukai-no-ruka	地中海のルカ	1巻
chijou-saikyou-no-otoko-ryuu	地上最強の男・竜	2巻
chikai-no-makyuu	ちかいの魔球	17巻
chintara-kami-chan	チンタラ神ちゃん	1巻
chippo-kun-konnichiwa	チッポくんこんにちは	1巻
chizome-no-monshou	血染めの紋章	2巻
chocolate-derringer	チョコレート・デリンジャー	1巻
chokkin	チョッキン	4巻
chou-denji-robo-kon-batoraa-v	超電磁ロボコン・バトラーV	3巻
chou-jikuu-gakuen-ekkusu	超時空学園X	2巻
cinderella-kun	シンデレラくん	2巻
cinderella-no-kutsu	シンデレラの靴	1巻
comic-otoko-no-bigaku	コミック男の美学	1巻
condor-king	コンドル・キング	6巻
crazy-dolly	クレイジー・ドリー	1巻
dai-furin-den	大不倫伝	1巻
daikuu-maryuu-gaiking	大空魔竜ガイキング	1巻
daimos	ダイモス	2巻
daisougen-no-chiisana-yojouhan	大草原の小さな四畳半	1巻
daitoubou	大逃亡	1巻
dangan-toppu	弾丸トップ	2巻
dassouhei-no-iru-ie	脱走兵のいる家	1巻
daydream	デイドリーム	1巻
days	Days	2巻
death-hunter	デスハンター	4巻
deka-ankou	刑事あんこう	22巻
dekinboy	できんボーイ	4巻
dekiru-dekinai-no-himitsu	できる・できないのひみつ	1巻
demodori-shainden	出戻社員伝	1巻
denkou-shounen-supaaku-dan	電光少年スパーク・ダン	2巻
denkou-shounen	電光少年	3巻
denshoku-no-yoru-23-ji-59-fun	電飾の夜23: 59発	1巻
dog-world	ドッグワールド	3巻
dogusare-kyuudan	どぐされ球団	19巻
dokutaa-funaki-wa-gokigen-naname	Dr.Fはごきげんナナメ!	1巻
dokutaareiku-no-kiyuushinbi	ドクターレイクの休診日	1巻
doraemon-2009	DORAEMON	1巻
doraemon-2014	DORAEMON	1巻
doro-fighter	ドロファイター	7巻
doronchibimaru	ドロンちび丸	1巻
dracula-kun	どらきゅらクン	1巻
dream-1996	DREAM	1巻
dream	ドリーム	5巻
edison	エジソン	1巻
eei-kendo	エーイ!剣道	3巻
ekurea-kibun	エクレア気分	3巻
elite-yoshinaga-2025	エリート	6巻
elite	エリート	6巻
enkuu	円空	1巻
fabre	ファーブル	1巻
fantasia-1994	ファンタジア	1巻
fantasia-2004	ファンタジア	1巻
fantasia-2012	FANTASIA	1巻
fantasy-okachimachi-2012	ファンタジー	1巻
fantasy	ファンタジー	1巻
flower-higuri-2001	FLOWER	1巻
fuefukidensetsu	笛吹伝説	1巻
fuji-santarou	フジ三太郎	10巻
fujouri-nikki	不条理日記	3巻
fukushuu-no-kiba	復讐の牙	1巻
fukushuu-no-kyoujuu	復讐の兇獣	6巻
fukushuu	復讐	1巻
furansu-mado-dayori	フランス窓便り	1巻
furuta-oribe	古田織部	1巻
fushigiryokouki	ふしぎ旅行記	1巻
futago-no-princess	ふたごのプリンセス	2巻
futari-no-asuka	ふたりの明日香	1巻
futaribocchi-yamakawa-2003	ふたりぼっち	1巻
fuuhai-ni-kike	風牌に訊け	5巻
fuuma	風魔	4巻
fuuten	フーテン	5巻
fuyu-no-enban	冬の円盤	1巻
gaki	餓鬼	4巻
gakuen-reppuu-hashiru	学園烈風走る!!	1巻
gakuran-jingi	ガクラン仁義	1巻
gakuran-kaikyou	がくらん海峡	5巻
gakuseitachi-no-michi	学生たちの道	4巻
gansaku-hideo-hakkenden	贋作ひでお八犬伝	1巻
ganso-daiyojouhan-daimonogatari	元祖大四畳半大物語	6巻
ganso-onsen-gappa-donba	元祖温泉ガッパドンバ	3巻
garasunoshiro	ガラスの城	16巻
geki-no-kawa	ゲキの河	2巻
gekiga-mou-takutou-den	劇画毛沢東伝	1巻
gekitsuiou-2000	撃墜王	1巻
genji-monogatari-1989	源氏物語	3巻
genji-monogatari-2011	源氏物語	3巻
genji-monogatari-2023	源氏物語	3巻
genji-monogatari-masaki-1983	源氏物語	3巻
genji-monogatari-miyagi-2010	源氏物語	3巻
genji-monogatari-shikibu-2013	源氏物語	3巻
genji-monogatari-shin-1991	源氏物語	3巻
genji-monogatari-yanagawa-1989	源氏物語	3巻
gensenkan-shujin	ゲンセンカン主人	1巻
geta-o-haku-made	下駄を履くまで	2巻
