slug	title	detail
0-love	0-LOVE	
000000-ultra-black	#000000-ultra black	
009-re-cyborg	009 RE:CYBORG	
01-zero-one	01<zero one>	
07-ghost	07-GHOST	
1-2-love	1/2 LOVE!	
1-2fairy	1/2FAIRY!	
1-or-w	1 or W	
1-orange	1%ORANGE	
100-handred	100-HANDRED-	
108p	108P!	
10dance	10DANCE	
10th	10th	
11-eyes	11 eyes	
12beast	12BEAST	
13club	13club	
13dogs	13DOGs	
13game	13GAME	
14r	14R	
16engage	16engage	
16life	16LIFE	
17-easy	17 easy	
17-guyz	17 guyz	
17ans	17ans	
18-diary	18 diary	
19-nineteen	19 <Nineteen>	
1984-sweet-memories	1984 sweet memories	
1dk	1DK	
2-hearts	2 hearts	
21-g	21-G	
21-twenty-one	21 TWENTY ONE	
22xx	22XX	
24colors	24COLORS	
2dk-2013	2DK	
2dk	2DK	
2gether	2gether	
2kz	2KZ	
2ljk	2LJK	
3-three	3 THREE	
333app	333APP	
3d-boys	3D-boys	
3years	3YEARS	
4-lost-cause	4 lost cause	
4c-l-side	4C L-side	
4d	4D	
4ldk	4LDK	
4spirits	4SPIRITS	
5-00pm-revolution	>5:00PM REVOLUTION	
68m	68m	
750rock	750ROCK	
7seeds	7SEEDS	
7thgarden	7thGARDEN	
87clockers	87CLOCKERS	
9-love-letters	9 Love Letters	
9-nine	9 nine	
9th-sleep	9th sleep	
a-00ab	A-00ab	
a-a	A-A'	
a-bout-surf	A-BOUT!SURF	
a-bout	A-BOUT!	
a-c-d-c-2	A.C.D.C.2	
a-d-o-g-s	A.-D.O.G.S.	
a-girl	A-girl	
a-girls	A GIRLS	
a-i-c-o-incarnation	A.I.C.O. Incarnation	
a-k-a	A.K.A	
a-life-of-the-beetle	A LIFE OF THE BEETLE	
a-little-heaven	A little heaven	
a-lot-of-kiss	A lot of kiss	
a-or-abc	A or ABC	
a-peanuts-book-featuring-snoopy	A PEANUTS BOOK featuring SNOOPY	
a-peanuts-book-special-featuring-snoopy	A Peanuts book special featuring Snoopy	
a-presto	A-presto	
a-s	A.S.	
a-to-z	A to z	
a3-autumn	A3! AUTUMN!	
a3-spring	A3! SPRING	
a3-summer	A3! summer	
a3-winter	A3 ! winter	
aaa	AAA	
able	ABLE	
abmotion	ABmotion	
abura	ABURA	
access-b	ACCESS-B	
ace-001	ACE-001	
acid-town	ACID TOWN	
acma-game	ACMA:GAME	
acony	Acony	
acute	ACUTE	
adamas	ADAMAS	
advent	advent	
afro-samurai	Afro samurai	
after-school-wars	After school wars	
afternoon-potaufen	Afternoon potaufen	
agapes-1999	Agapes	
age-35	Age,35	
age	Age!	
ageha	AGEHA	
agharta	AGHARTA	
agravity-boys	AGRAVITY BOYS	
aids	AIDS	
aika	Aika	
air	Air	
akaboshi	AKABOSHI	
akb0048-episode0	AKB0048 EPISODE0	
akb0048	AKB0048	
akechi	AKECHI	
akiba-s-trip-2	AKIBA'S TRIP 2	
akiba-s-trip	AKIBA'S TRIP	
akiko-teradateka	AKIKO	
akira-club	Akira club	
akira	AKIRA	
akuma-no-mama	Akuma no mama	
al	AL	
alcbane	Alcbane	
alexandrite	ALEXANDRITE	
algo	ALGO!	
alice12	ALICE12	
alichino	Alichino	
aliens-area	ALIENS AREA	
alive-takahashi-1999	ALIVE	
all-colour-but-the-black	All colour but the black	
all-free	All Free!!	
all-i-need	ALL I NEED	
all-last	ALL-LAST	
all-night-long	ALL NIGHT LONG	
all-nude	All nude	
all-out	ALL OUT!!	
all-those-moments-will-be-lost-in-time	All those moments will be lost in time	
all-you-need-is-kill	All You Need Is Kill	
alle-gra-mente	Alle gra mente	
alpha-1993	ALPHA	
alpha-2004	Alpha	
alpha-zone	ALPHA ZONE	
am-a-boy	Am a Boy	
amakusa-1637	AMAKUSA 1637	
amasia	Amasia	
amentia	AMENTIA	
amnesia-1995	AMNESIA	
amnesia	AMNESIA	
anamnesis	Anamnesis	
and-again	And again	
andol	ANDOL	
ange	ANGE	
angel-baby-cupid	Angel baby cupid	
angel-beats-heaven-s-door	Angel Beats! -Heaven's Door-	
angel-beats-the-last-operation	Angel Beats!-The Last Operation-	
angel-duster	ANGEL DUSTER	
angel-eyes-1994	Angel eyes	
angel-foyson	ANGEL FOYSON	
angel-home	ANGEL HOME	
angel-powder	ANGEL POWDER	
angel-text	Angel Text	
angel-voice	ANGEL VOICE	
angel	Angel	
angelic-layer	Angelic layer	
angels	Angels	
anghel-blood	Anghel blood	
anima-1452	Anima	
anima	+ANIMA	
animal-joe	ANIMAL JOE	
animal-x	ANIMAL X	
anniversary	Anniversary	
anon	Anon	
anone	anone,	
another-xenos	Another Xenos	
another	Another	
answer-1990	Answer	
anywords	Anywords	
api	Api	
aqua	AQUA	
aquadom	AQUADOM	
aquarium	Aquarium	
ar-tonelico-2	Ar tonelico 2	
arago	ARAGO	
arahan	ARAHAN	
aramitama	ARAMITAMA	
arbe-z	ARBE Z	
arc-the-lad	Arc the lad	
arcana-famiglia-comic-anthology-ciao	Arcana Famiglia Comic Anthology Ciao	
arcana-heart	Arcana heart	
arcana	ARCANA	
arcdia	Arcdia	
archives	Archives	
are-you-alice	Are you Alice?	
are-you-enemy	Are you enemy?	
ares	Ares	
argonavis-from-bang-dream-comics	ARGONAVIS from BanG Dream!COMICS	
aria	ARIA	
ariel-comic	ARIEL COMIC	
arina	ARINA	
arisa	ARISA	
ark	Ark	
armored-core	Armored core	
arms-1988	Arms	
arms	ARMS	
arriba	Arriba!	
ars-magna	ARS MAGNA	
artifact-red	ARTIFACT;RED	
artiste	Artiste	
as-it-lies	AS IT LIES	
as-you-wish-sister	As you wish, sister	
asahiyama	Asahiyama	
asian-star	ASIAN STAR	
ask	ASK	
assembler-0x	Assembler 0X	
astral-twin	ASTRAL TWIN	
astronauts	astronauts	
asumi-miura	ASUMI	
asura-nakamura-2009	ASURA	
at-lady	AT Lady!	
athena-16	ATHENA 16	
atrail	ATRAIL	
atri	ATRI	
atta-2	Atta2	
aurora-gem	AURORA GEM	
aurora-node	AURORA NODE	
auto-aiming	Auto Aiming	
automaton	AUTOMATON	
aventura	Aventura	
away	AWAY	
aya-1999	Aya	
aya	AYA	
ayuko	AYUKO	
ayus	AYUS	
ayz	AYZ	
azalea	Azalea	
b-a-d-tozaki-2012	B.A.D	
b-a-d	B.A.D.	
b-alive	B&ALIVE	
b-b-girls	B.B. girls	
b-b-joker	B.B.Joker	
b-b	B.B	
b-boy-blues	B-BOY BLUES	
b-boy-luv	B-boy luv	
b-boy	b-Boy	
b-dash	B-DASH	
b-eyes	B-EYES	
b-heroes	<B+>HEROES.	
b-m-n	B.M.N.	
b-o-d-y	B.O.D.Y.	
b-play	B-play	
b-q	B.Q.	
b-shock	B-SHOCK!	
b-trash	B-TRASH!!	
b-w	B/W	
b	B	
ba-ku	BA-KU	
babel-inoe-2019	BABEL	
babel	BABEL	
baby-baby-2021	Baby Baby	
baby-birth	Baby birth	
baby-bitch	Baby bitch!	
baby-jelly-candy	Baby jelly candy	
baby-star	Baby,Star	
bachi-atari-rock	BACHI-ATARI ROCK	
back-stage	BACK STAGE!!	
back-street-girls-2019	Back street girls	
