slug	title	edition	vol	isbn	rakuten_title
0-1988	0人間・八百八だぬき	standard	1	9784893510341	O人間，八百八だぬき
0-love	0-LOVE	standard	1	9784091333612	0-love（1）
0-love	0-LOVE	standard	2	9784091333629	O-LOVE（ラブ・ツー・ラブ） 2
0-love	0-LOVE	standard	3	9784091333636	0-love（3）
0-love	0-LOVE	standard	4	9784091333643	0-love（4）
0-no-bible	0の聖書	standard	1	9784253043724	0の聖書（1）
0-no-bible	0の聖書	standard	2	9784253043731	0の聖書（2）
0-no-bible	0の聖書	standard	3	9784253043748	0の聖書（3）
008-uchuutoshizerozerohachi	空中都市008	bunkobon	1	9784061471702	空中都市008
01-2001	01	standard	1	9784796622523	01
0sen-kamen	0戦仮面	standard	1	9784775911020	0戦仮面／空母島
1-1-wa	1+1は?	standard	1	9784160900523	1＋1は？
1-2-no-1-rou	1・2の三四郎	standard	1	9784061725652	
1-2-no-1-rou	1・2の三四郎	standard	2	9784061725737	
1-2-no-1-rou	1・2の三四郎	standard	3	9784061725997	
1-2-no-1-rou	1・2の三四郎	standard	4	9784061726024	
1-2-no-1-rou	1・2の三四郎	standard	5	9784061726253	
1-2-no-1-rou	1・2の三四郎	standard	7	9784061726642	
1-2-no-1-rou	1・2の三四郎	standard	8	9784061726840	
1-2-no-1-rou	1・2の三四郎	standard	9	9784061726857	
1-2-no-1-rou	1・2の三四郎	standard	10	9784061727113	1・2の三四郎（10）
1-2-no-1-rou	1・2の三四郎	standard	11	9784061727236	1・2の三四郎（11）
1-2-no-1-rou	1・2の三四郎	standard	12	9784061727458	1・2の三四郎（12）
1-2-no-1-rou	1・2の三四郎	standard	13	9784061727687	1・2の三四郎（13）
1-2-no-1-rou	1・2の三四郎	standard	14	9784061727816	1・2の三四郎（14）
1-2-no-1-rou	1・2の三四郎	standard	15	9784061727991	1・2の三四郎（15）
1-2-no-1-rou	1・2の三四郎	standard	16	9784061728127	1・2の三四郎（16）
1-2-no-1-rou	1・2の三四郎	standard	17	9784061728301	1・2の三四郎（17）
1-2-no-1-rou	1・2の三四郎	standard	18	9784061728479	1・2の三四郎（18）
1-2-no-1-rou	1・2の三四郎	standard	19	9784061728592	1・2の三四郎（19）
1-2-no-1-rou	1・2の三四郎	standard	20	9784061728844	1・2の三四郎（20）
1-2-no-3k	1・2の3K	standard	1	9784575818161	1・2の3K（1）
1-2fairy	1/2FAIRY!	standard	1	9784592118480	Fairy!（はんぶんフェアリー）
1-gatsu-no-rondo	1月の輪舞	standard	1	9784592125129	一月の輪舞
1-n-no-yuragi	1/Nのゆらぎ	standard	1	9784757506336	1／Nのゆらぎ
1-noshitsuketokenkou	1・2・3歳のしつけと健康	standard	1	9784093110037	1・2・3歳のしつけと健康
1-oku-issenman-no-watashi	1億1千万のわたし	standard	1	9784088490939	1億1千万のわたし（1）
1-oku-issenman-no-watashi	1億1千万のわたし	standard	2	9784088491011	1億1千万のわたし（2）
1-oku-issenman-no-watashi	1億1千万のわたし	standard	3	9784088491257	1億1千万のわたし（3）
1-okubunnoichi-no-koibito	百億分の1の恋人	standard	1	9784091334923	百億分の1の恋人
