slug	title	edition	vol	isbn	rakuten_title	rakuten_core
1-love-9	1〔LOVE〕9	standard	1	9784048674430	1〓シロヌキハート〓9（1）	1〓シロヌキハト〓9
1-love-9	1〔LOVE〕9	standard	2	9784048679626	1〓シロヌキハート〓9（2）	1〓シロヌキハト〓9
1-love-9	1〔LOVE〕9	standard	3	9784048685573	1〓シロヌキハート〓9（3）	1〓シロヌキハト〓9
100-handred	100-HANDRED-	aizoban	1	9784087824780	高畠エナガ短編集（2）	高畠エナガ短編集
13gatsu-no-higeki	13月の悲劇	bunkobon	1	9784592883647	美内すずえ傑作選（4）	美内スズエ傑作選
19-nineteen	19 <Nineteen>	standard	1	9784088617015	ナインティーン（1）	ナインティン
19-nineteen	19 <Nineteen>	standard	2	9784088617022	ナインティーン（2）	ナインティン
19-nineteen	19 <Nineteen>	standard	3	9784088617039	ナインティーン（3）	ナインティン
19-nineteen	19 <Nineteen>	standard	4	9784088617046	ナインティーン（4）	ナインティン
19-nineteen	19 <Nineteen>	standard	5	9784088617053	ナインティーン（5）	ナインティン
19-nineteen	19 <Nineteen>	standard	6	9784088617060	ナインティーン（6）	ナインティン
19-nineteen	19 <Nineteen>	standard	7	9784088617077	ナインティーン（7）	ナインティン
19-nineteen	19 <Nineteen>	standard	8	9784088617084	ナインティーン（8）	ナインティン
19-nineteen	19 <Nineteen>	standard	9	9784088617091	ナインティーン（9）	ナインティン
19-nineteen	19 <Nineteen>	standard	10	9784088617107	ナインティーン（10）	ナインティン
19-nineteen	19 <Nineteen>	standard	11	9784088617114	ナインティーン（11）	ナインティン
19-nineteen	19 <Nineteen>	standard	12	9784088617121	ナインティーン（12）	ナインティン
25-ji-no-cinderella	25時のシンデレラ	standard	1	9784091312419	川原由美子傑作集（1）	川原由美子傑作集
27sai	27歳	standard	1	9784575817027	Sigh	sigh
3-cube	セブン〔＾3〕	standard	1	9784253132961	セブン3セブンきゅ〜ぶ（1）	セブン3セブンキュブ
3-cube	セブン〔＾3〕	standard	2	9784253132978	セブン3セブンきゅ〜ぶ（2）	セブン3セブンキュブ
3-cube	セブン〔＾3〕	standard	3	9784253132985	セブン3セブンきゅ〜ぶ（3）	セブン3セブンキュブ
3-gatsu-no-inubue	3月の犬笛	standard	1	9784091330864	石塚夢見傑作集（6）	石塚夢見傑作集
38do-38-jou-no-kaibutsu	38度線上の怪物	standard	1	9784061086432	手塚治虫漫画全集（43）	手塚治虫漫画全集
4-gatsu-no-niwa-no-kodomotachi	4月の庭の子供たち	bunkobon	1	9784086172363	岩館真理子自選集（8）	岩館真理子自選集
4teen	4TEEN	standard	1	9784091823311	14歳（1）	14歳
4teen	4TEEN	standard	2	9784091823328	14歳（2）	14歳
4teen	4TEEN	standard	3	9784091823335	14歳（3）	14歳
4teen	4TEEN	standard	4	9784091823342	14歳（4）	14歳
4teen	4TEEN	standard	5	9784091823359	14歳（5）	14歳
4teen	4TEEN	standard	6	9784091823366	14歳（6）	14歳
4teen	4TEEN	standard	7	9784091823373	14歳（7）	14歳
4teen	4TEEN	standard	8	9784091823380	14歳（8）	14歳
4teen	4TEEN	standard	9	9784091823397	14歳（9）	14歳
4teen	4TEEN	standard	10	9784091823403	14歳（10）	14歳
4teen	4TEEN	standard	11	9784091833112	14歳（11）	14歳
4teen	4TEEN	standard	12	9784091833129	14歳（12）	14歳
4teen	4TEEN	standard	13	9784091833136	14歳（13）	14歳
4teen	4TEEN	standard	14	9784091833143	14歳（14）	14歳
4teen	4TEEN	standard	15	9784091833150	14歳（15）	14歳
4teen	4TEEN	standard	16	9784091833167	14歳（16）	14歳
4teen	4TEEN	standard	17	9784091833174	14歳（17）	14歳
4teen	4TEEN	standard	18	9784091833181	14歳（18）	14歳
4teen	4TEEN	standard	19	9784091833198	14歳（19）	14歳
4teen	4TEEN	standard	20	9784091833204	14歳（20）	14歳
4teen	4TEEN	bunkobon	1	9784091925817	14歳（1）	14歳
4teen	4TEEN	bunkobon	2	9784091925824	14歳（2）	14歳
4teen	4TEEN	bunkobon	3	9784091925831	14歳（3）	14歳
4teen	4TEEN	bunkobon	4	9784091925848	14歳（4）	14歳
4teen	4TEEN	bunkobon	5	9784091925855	14歳（5）	14歳
4teen	4TEEN	bunkobon	6	9784091925862	14歳（6）	14歳
4teen	4TEEN	bunkobon	7	9784091925879	14歳（7）	14歳
4teen	4TEEN	bunkobon	8	9784091925886	14歳（8）	14歳
4teen	4TEEN	bunkobon	9	9784091925893	14歳（9）	14歳
4teen	4TEEN	bunkobon	10	9784091925909	14歳（10）	14歳
4teen	4TEEN	bunkobon	11	9784091925916	14歳（11）	14歳
4teen	4TEEN	bunkobon	12	9784091925923	14歳（12）	14歳
4teen	4TEEN	bunkobon	13	9784091925930	14歳（13）	14歳
7-iro-no-sketch	7色のスケッチ	standard	1	9784088535647	りぼん新人まんが傑作集（9）	リボン新人マンガ傑作集
7-ji-o-wataru-7nin	虹を渡る7人	standard	1	9784088533278	りぼん新人まんが傑作集（3）	リボン新人マンガ傑作集
750rock	750ROCK	standard	1	9784821191796	750ロック	750ロック
7iro-no-7-reyon	7色のクレヨン	standard	1	9784088533667	りぼん新人まんが傑作集（4）	リボン新人マンガ傑作集
7mai-no-pootoreeto	7枚のポートレート	standard	1	9784088535227	りぼん新人まんが傑作集（8）	リボン新人マンガ傑作集
7tsu-no-7-nfonii	7つのシンフォニー	standard	1	9784088536095	りぼん新人まんが傑作集（10）	リボン新人マンガ傑作集
7tsu-no-tabidachi	7つの旅立ち	standard	1	9784088532943	りぼん新人まんが傑作集（2）	リボン新人マンガ傑作集
7tsu-no-yume-fuusen	7つの夢風船	standard	1	9784088534428	りぼん新人まんが傑作集（6）	リボン新人マンガ傑作集
8-gatsu-no-joudan	8月の冗談	standard	1	9784091330857	石塚夢見傑作集（5）	石塚夢見傑作集
