slug	title	edition	our_vol	isbn	rakuten_vol	rakuten_title
10	10	standard	1	9784088615301	10	マッド★ブル34（10）
11	11	standard	1	9784088618210	11	マッド★ブル34（11）
12	12	standard	2	9784088618227	12	マッド★ブル34（12）
13	13	standard	1	9784088618234	13	マッド★ブル34（13）
14-yon	14	standard	1	9784088618241	14	マッド★ブル34（14）
15	15	standard	1	9784088618258	15	マッド★ブル34（15）
16	16	standard	1	9784088618265	16	マッド★ブル34（16）
17-nana-1990	17	standard	1	9784088618272	17	マッド★ブル34（17）
18-1990	18	standard	1	9784088618289	18	マッド★ブル34（18）
19	19	standard	1	9784088618296	19	マッド★ブル34（19）
2014-nama-dokusha-toukou-natsu-za-best	〔○生〕読者投稿夏ザ・ベスト2014	standard	1	9784832253087	2014	（生）読者投稿夏ザ・ベスト（2014）
25ji-no-bakansu	25時のバカンス	standard	1	9784063107807	2	25時のバカンス　市川春子作品集（2）
5	5	standard	1	9784088615257	5	マッド★ブル34（5）
6	6	standard	1	9784088615264	6	マッド★ブル34（6）
8-1988	8	standard	1	9784088615288	8	マッド★ブル34（8）
9	9	standard	1	9784088615295	9	マッド★ブル34（9）
a-kun-17-no-sensou	A君（17）の戦争	standard	1	9784047125506	17	A君（17）の戦争ーI，THE　TYCOON？-1
a-kun-17-no-sensou	A君（17）の戦争	standard	2	9784047125728	17	A君（17）の戦争ーI．THE　TYCOON？-2
aishiatte-nanka-irarenai	愛し合ってなんかいられない	standard	1	9784592116950	5	愛し合ってなんかいられない（5）
akai-kyuuden	赤い宮殿	standard	1	9784408434728	7	新・霊能者緒方克巳シリーズ（7）赤い宮殿
ame-no-niau-heya	雨の似合う部屋	standard	1	9784091370327	2	雨の似合う部屋（2）
american-pie	アメリカン・パイ	standard	1	9784091780171	17	アメリカンパイ（17）
anata-ga-erabu-black-jack-best-40	あなたが選ぶブラック・ジャックBEST40	standard	1	9784253132589	40	あなたが選ぶブラック・ジャックBest　40
aoi-kankei	蒼い関係	standard	1	9784091312129	2	蒼い関係（2）
arisutouerubu	アリス12	bunkobon	1	9784840120401	12	アリス　12
arumaito-senmenki	あるまいとせんめんき	bunkobon	4	9784086122504	5	あるまいとせんめんき　5
asu-wa-ii-hi-da	明日はいい日だ	standard	2	9784944154043	1	下　明日はいい日だ　徳田虎雄　第1巻
asunaro-hakusho	あすなろ白書	bunkobon	3	9784091920966	1	あすなろ白書 第二部（1）
asunaro-hakusho	あすなろ白書	bunkobon	4	9784091920973	2	あすなろ白書 第二部（2）
ayakashi-no-koku	妖の刻	standard	1	9784253077170	2	皇牙＆竜牙　妖の刻（2）
benkei	弁慶	standard	1	9784061086418	41	手塚治虫漫画全集（41）
boku-wa-chikyuu-toutau	ぼくは地球と歌う	standard	2	9784592214816	1	ぼくは地球と歌う（1）
bosatsu-nikki	ぼさつ日記	wideban	1	9784091338822	2	ぼさつ日記（2）
boys-be-2nd-season	Boys be… 2nd season	bunkobon	1	9784063603613	1991	Boys　be…（1991）
boys-be-itabashi-2010	Boys be…	bunkobon	1	9784063603613	1991	Boys　be…（1991）
boys-be	BOYS BE…	bunkobon	1	9784063603613	1991	Boys　be…（1991）
chichin-puipui	ちちん・プイプイ	standard	1	9784091365439	3	ちちん・プイプイ（3）
chou-bakumatsu-shounen-seiki-takamaru	超幕末少年世紀タカマル	standard	1	9784056007886	2	超幕末少年世紀タカマル（2）
cinema-gohan	シネマごはん	standard	2	9784785973421	1	シネマごはん　ふたたび（全1巻）
comic-catalog	Comic catalog	standard	1	9784990042011	1997	COMIC　CATALOG（1997）
comic-super-famicom-selection	COMICスーパーファミコンセレクション	standard	1	9784886410672	4	スーパーファミコンセレクション（4）
dare-nimo-ienai-hi	誰にも言えない(秘)	standard	21	9784790116363	2	誰にも言えないマル秘究極のH！！　2
dare-nimo-ienai-hi	誰にも言えない(秘)	standard	26	9784790118312	4	誰にも言えないマル秘禁断の恋　4
deddorain	死線	bunkobon	1	9784022670960	4	呪いのシリーズ（4）新版
denki	電気	bunkobon	1	9784344816169	3	藤田貴美作品集（3）
destiny	Destiny	standard	3	9784063258950	4	Destiny（4）
