slug	title	our_author	src_author(種1/楽天)	誤ISBN数
super-mario-kun	スーパーマリオくん	嵩瀬ヒロシ	佐々木多利尓;佐々木多利爾;沢田ユキオ	61
isekai-maou-to-shoukan-shoujo-no-dorei-majutsu	異世界魔王と召喚少女の奴隷魔術	土田エリ	ムラサキユキヤ;福田直叶;鶴崎貴大	29
lupin-iii-y	ルパン三世Y	山上正月	モンキーパンチ	28
tou-no-kanri-o-shitemiyou	塔の管理をしてみよう	エカキビト;プニチャン;リスノ	早秋;盧恩;盧恩&雪笠(friend	28
yabou-no-mure	野望の群れ	倉科遼	司敬	28
centaur-no-nayami	セントールの悩み	東冬	村山慶	26
zettai-reido	絶対麗奴	トリマイア;ミサト美夕稀;堀井甚五郎	アンソロジー	26
kanzenban-piinattsu-zenshuu	完全版ピーナッツ全集	schulzcharlesmonro	チャールズmシュルツ;谷川俊太郎	25
girls-ando-panzer-motto-raburabu-sakusen-desu	ガールズ&パンツァーもっとらぶらぶ作戦で	深緑野分	ガールズ&パンツァー製作委員会;弐尉	24
juujika-no-rokunin	十字架のろくにん	前屋進	中武士竜	24
ribbon-shinjin-mangaka-debyuusakushuu	りぼん新人まんが家デビュー作集	井上多美子;北沢薫;掛川ナルト;朝比	池野恋	23
makai-no-shuyaku-wa-wareware-da	魔界の主役は我々だ!	家田明歩	コネシマ;津田沼篤;西修	22
shadows-house	シャドーハウス	青インク	ソウマトウ	21
real-no-heroine-wa-irimasen	現実の彼女はいりません!	中村朝	redrop;三雲ジョージ;田尾典丈	20
tsuiraku-jk-to-haijin-kyoushi	墜落JKと廃人教師	三月ソラ	sora	20
yuusha-ga-shinda	勇者が死んだ!	蛸山メガネ	スバルイチ	20
fire-emblem-seisen-no-keifu	ファイアーエムブレム聖戦の系譜	ウサ銀太郎	大沢美月	19
funsou-deshitara-hatta-made	紛争でしたら八田まで	12log	田素弘	19
hanamaruden	花マル伝	イワシゲ孝	岩重孝	19
botsuraku-yotei-nanode-kaji-shokunin-o-mezasu	没落予定なので、鍛冶職人を目指す	新川権兵衛	ck;カワク;石田彩	18
chiyu-mahou-no-machigatta-tsukaikata	治癒魔法の間違った使い方	月並甲介	keg;クロカタ;九我山レキ	18
kurosaki-kun-no-iinari-ni-nante-naranai	黒崎くんの言いなりになんてならない	ヨノ志郎	マキノ	18
radiant	ラディアン	valentetony	トニーヴァレント;原正人	18
tensei-akujo-no-kurorekishi	転生悪女の黒歴史	マメチョロ	冬夏アキハル	18
tezukomi	テヅコミ	(unknown)	テヅコミ編集部;手塚プロダクション	18
asu-watashi-wa-dareka-no-kanojo	明日、私は誰かのカノジョ	高成利季	ヲノヒナオ	17
mijuku-na-futari-de-gozaimasuga	未熟なふたりでございますが	神田ハルカ	カワハラ恋	17
murabito-desu-nanika	村人ですが何か?	百均	マイクロマガジン社;白石新;白蘇ファ;白蘇ファミ	17
arifureta-shokugyou-de-sekai-saikyou	ありふれた職業で世界最強	クッキィ	roga;タカヤki;白米良	16
gachikoi-nenchakujuu	ガチ恋粘着獣	山崎将	星来	16
oji-sama-koushaku-wa-koisuru-otoshigoro	おじさま侯爵は恋するお年頃	時千	飛鳥リナ	16
overlord-fushisha-no-oh	オーバーロード不死者のOh!	植野メグル	so-bin;ジュウアミ;丸山クガネ	16
quattro-battery	クワトロバッテリー	武川慎	高嶋栄充	16
shin-hanamaru-den	新・花マル伝	イワシゲ孝	岩重孝	16
shouwa-bankaraha	昭和バンカラ派	倉科遼	司敬	16
ansangu-cinderella	アンサングシンデレラ	winshluss	富野浩充;荒井ママレ	15
boushoku-no-beruseruku	暴食のベルセルク	御影獏	fame;一色一凛;滝乃大;滝乃大佑;滝乃大祐	15
hakkenden	八犬伝	アベ美幸	碧也ピンク	15
kinoko-inu	きのこいぬ	阿左維シン	蒼星キママ	15
mayonaka-no-occult-koumuin	真夜中のオカルト公務員	日暮眠都	タモツ葉子	15
peanuts-essence	ピーナッツエッセンス	schulzcharlesmonro	チャールズmシュルツ;チャールズモン;谷川俊太郎	15
raise-dewa-chanto-shimasu	来世ではちゃんとします	大家	イツマチャン	15
sayounara-ryuusei-konnichiwa-jinsei	さようなら竜生、こんにちは人生	長田龍伯	クロノ;市丸キスケ;永島ヒロアキ	15
tsuki-ga-michibiku-isekai-douchuu	月が導く異世界道中	鷹木骰子	アズミ圭;マツモトミツアキ;木野コト;木野コトラ	15
wondance	ワンダンス	カトウハルアキ	珈琲	15
yume-de-aetara-1985	夢で逢えたら	小椋冬美	hanako;山花典之	15
azuki-no-chi	あずきの地!	クロバr	ナガトカヨ	14
fruits-takuhaibin	フルーツ宅配便	岡田レイミ	鈴木良雄	14
gaikotsu-kishi-sama-tadaima-isekai-e-odekakechuu	骸骨騎士様、只今異世界へお出掛け中	アズミ圭	keg;サワノアキラ;澤野明;秤猿鬼	14
goblin-slayer-gaiden	ゴブリンスレイヤー外伝	レモンエンド	sbクリエイティブ刊);栄田健人;神奈月昇;神無	14
haikyuubu	ハイキュー部!!	京橋コヨリ	宮島京平	14
hametsu-no-oukoku	はめつのおうこく	和泉カズマ	yoruhashi	14
himitsu-no-reptiles	秘密のレプタイルズ	サカメガネ	鯨川リョウ	14
image	イマージュ	(unknown)	スタンダップ	14
jagaaaaaan	ジャガーン	富士沢一矢	ニシダケンスケ;金城宗幸	14
jipangu-boy	ジパング少年	イワシゲ孝	岩重孝	14
kasouba-no-nai-machi-ni-kane-ga-naru-toki	火葬場のない町に鐘が鳴る時	亀和田康太	和夏弘雨;碧海景	14
kimi-ga-bokura-o-akuma-to-yonda-koro	君が僕らを悪魔と呼んだ頃	佐野隆	サノ隆	14
maou-no-ore-ga-dorei-elf-o-yome-ni-shitandaga-dou-medereba-ii	魔王の俺が奴隷エルフを嫁にしたんだが、ど	オンディ	comta;手島史詞;板垣ハコ	14
mugen-no-gunkan-yamato	夢幻の軍艦大和	須本壮一	本ソウイチ	14
peter-grill-to-kenja-no-jikan	ピーター・グリルと賢者の時間	銀八	檜山大輔	14
tsuma-shougakusei-ni-naru	妻、小学生になる。	花形怜	村田椰融	14
wazato-miseteru-kamoi-san	わざと見せてる?加茂井さん。	寺山電	エム;エム漫画家	14
19banme-no-karte	19番目のカルテ	frankmatt	富士屋カツヒト;川下剛史	13
aru-hi-ohime-sama-ni-natte-shimatta-ken-ni-tsuite	ある日、お姫様になってしまった件について	(unknown)	plutus;spoon	13
asshou	圧勝	九重リココ	小虎	13
boukensha-license-o-hakudatsusareta-otsu-san-dakedo-manamusume-ga-dekita-node-nonbiri-jinsei-o	冒険者ライセンスを剥奪されたおっさんだけ	空路恵	sbクリエイティブ刊);唯浦史;斧名;斧名田マニ	13
deokure-tamer-no-sonohigurashi	出遅れテイマーのその日暮らし	城宮エス;空飛ブヒヨコ	nardack;タチバナ;タチバナ漫;棚架ユウ	13
fushigi-no-kuni-no-bird	ふしぎの国のバード	名原ショウコ	佐々大河	13
isekai-tensei-soudouki	異世界転生騒動記	孟倫	ホノジ;リリンラ;高見梁川	13
koe-ga-dasenai-shoujo-wa-kanojo-ga-yasashisugiru-to-omotte-iru	声がだせない少女は「彼女が優しすぎる」と	オヒタシ熱郎	矢村イチ	13
kuro-ka-shiro-ka	黒か白か	桜日梯子	サチモ	13
live-dungeon	ライブダンジョン!	ハルチカ	dy冷凍;mikapikazo;コト	13
manga-project-ekkusu-chousenshatachi	まんがプロジェクトX挑戦者たち	nhkプロジェクトx制作班	日本放送協会	13
no-guns-life	ノー・ガンズ・ライフ	烏丸匡	カラスマタスク	13
piano-no-mushi	ピアノのムシ	玖乃緑	荒川三喜夫	13
akuma-no-memumemu-chan	悪魔のメムメムちゃん	三雲ネリ	四谷啓太郎	12
asper-kanojo	アスペル・カノジョ	冨山玖呂	森田蓮次;萩本創八	12
dramatic-irony	ドラマティック・アイロニー	アスカ	ナマ子	12
final-fantasy-lost-stranger	ファイナルファンタジーロスト・ストレンジ	ムツキラン	亀屋樹;水瀬葉月	12
fool-night	フールナイト	鈴菜	安田佳澄	12
fushigi-no-umi-no-nadia	ふしぎの海のナディア	(unknown)	アニメ-ジュ編集部;アニメージュ編集部	12
garfield	ガーフィールド	jimdavis	ジムデーヴィス;戸田奈津子	12
gunjou-ni-siren	群青にサイレン	河下水希	桃栗ミカン	12
haguchi-san	はぐちさん	倉金篤史	クラッペ	12
hoshi-no-kirby-manpukupupupufantajii	星のカービィ	武内イブキ	サクマ良子	12
isekai-shoukan-wa-nidome-desu	異世界召喚は二度目です	半次	40原;岸本和葉;嵐山	12
kanan-sama-wa-akumade-choroi	カナン様はあくまでチョロい	赤城アサヒト	nonco	12
kentoushi	拳闘士	倉科遼	司敬	12
kubo-san-wa-mob-o-yurusanai	久保さんは僕(モブ)を許さない	荒井小豆	雪森寧々	12
meioukeikakuzeoraimaa	冥王計画ゼオライマー	高屋良樹	チミモリヲ;ワタリユウ	12
nui-dara-zetsurin	脱いだら絶倫!?	加奈	嶋永ノノ	12
shinjuku-seven	新宿セブン	奥谷通教	奥道則;観月昴	12
yamaguchi-kun-wa-warukunai	山口くんはワルくない	一本木尊	斉木優	12
yoshio-no-sora	義男の空	(unknown)	エアーダイブ	12
youkoso-jitsuryoku-shijou-shugi-no-kyoushitsu-e	ようこそ実力至上主義の教室へ	アサヒアケル	トモセシュンサク;一乃ユユ;衣笠彰梧	12
yubisaki-kara-honki-no-netsujou	指先から本気の熱情	秋月綾	川野タニシ	12
