slug	title	authors	matched_title_core(著者の作品)	orig_status
0-ji-o-sugitara-kimi-no-mono	0時を過ぎたら君のもの	茶野マメコ	0時ヲ過ギタラ君ノモノ上	NOT_FOUND
0-kara-hajimeru-office-rabu	0から始めるオフィスラブ	楠モコ	0カラ始メルオフィスラブ3	NOT_FOUND
0-nkirou-ferii-airandaa-0	蜃気楼フェリーアイランダー0	松本零士	アイランダ0	NOT_FOUND
0-sai-kara-no-allergy-senki	0歳からのアレルギー戦記	カラスヤサトシ	0歳カラノアレルギ戦記牛乳卵小麦ガダメ	NOT_FOUND
009-nsoku-no-kaizou-senshizerozeronain	神速の改造戦士009	タナオタナコ;石ノ森章太郎	神速ノ改造戦士0093	NOT_FOUND
1-en-no-000-awase	1,000円のしあわせ	シタラマサコ;早川光	1、000円ノシアワセ	NOT_FOUND
1-ga-moshi-sekai-ga-hitotsu-no-class-dattara	マンガもし世界が1つのクラスだったら	大橋弘祐;竹流	モシ世界ガ1ツノクラスダッタラ下第二次世界大戦編	NOT_FOUND
1-nichi-2-kai	1日2回	イクエミ綾	1日2回1	NOT_FOUND
1-nichi-ikkai-hateru-made	1日1回、果てるまで…	稲本イネコ	1日1回、果テルマデ...飢エタ絶倫オジサマハ私ヲ貪リ尽クス1	NOT_FOUND
10-kai-konyaku-haki-sareta-watashi-ga-reitetsu-koushaku-ni-dekiai-dekiaisareru-nante-wana-desu-ka	10回婚約破棄された私が冷徹公爵様に溺愛されるなんて罠ですか?	モリ;香月アコ	10回婚約破棄サレタ私ガ冷徹公爵様ニ溺愛サレルナンテ罠デスカ2	NOT_FOUND
10-nenkan-tomodachi-dato-omotteta-otokonoko-ni-kokuhaku-dekiaisareru-ohanashi	10年間友達だと思ってた男の子に告白されるお話	○線	10年間友達ダト思ッテタ男ノ子ニ告白サレルオ話=aboywhowasjustafriendfortenyearsconfessedlovetome	NOT_FOUND
100-nengo-ni-tensei-shita-watashi-zense-no-juukishi-ni-kyuukon-saremashita	100年後に転生した私、前世の従騎士に求婚されました	一分咲;史々花ハトリ	100年後ニ転生シタ私、前世ノ従騎士ニ求婚サレマシタ陛下ハ私ガ元王女ダトオ気ヅキデナイヨウデス3	NOT_FOUND
100-ten-hyakunin-kyoudai-hyaku-monogatari	100点!!100人兄弟100物語	オゴシユウ	100点100人兄弟100物語ヒミツキチ×プレゼント×ムジントウ100人3大ボウケン	NOT_FOUND
