slug	title	authors	nvol	pubgrps	yearspan	cm104_editions
tensai-bakabon	天才バカボン	赤塚不二夫	31	061,063,090	1969-2005	14
ribbon-no-kishi-nakayoshi-orijinaruban-fukkoku-daizenshuu	リボンの騎士 ≪なかよしオリジナル版≫ 復刻大全集	手塚治虫	3	835,894	2004-2016	13
doraemon	ドラえもん	藤子・F・不二雄/手塚企画/朝松健	45	091,124	1974-1990	12
totteoki-doraemon	とっておきドラえもん	藤子・F・不二雄	15	091,099	2020-2026	12
atashinchi	あたしンち	けらえいこ	21	040,840,889	1995-2015	10
osomatsu-kun	おそ松くん	赤塚不二夫	34	061,090	1979-2005	9
shin-kamen-rider-spirits	新仮面ライダーSPIRITS	石ノ森章太郎	41	063,065	2009-2025	9
versailles-no-bara	ベルサイユのばら	池田理代子	14	088,124	1972-2017	9
violence-jack	バイオレンス・ジャック	永井豪/ダイナミックプロダクション	31	061,537	1977-1990	9
w3	W3	手塚治虫	3	061,253	1968-1981	9
ashita-tenki-ni-naare	あした天気になあれ	ちばてつや	58	061,063	1981-1991	8
barbara	ばるぼら	手塚治虫	3	048,061	1974-1992	8
kaze-no-tani-no-naushika	風の谷のナウシカ	宮崎駿	7	061,197	1984-1995	8
hitsuji-no-uta	羊のうた	冬目景	7	344,789,796	1997-2003	7
shadow-skill	Shadow skill	岡田芽武	8	063,812,884	1993-2014	7
dennou-nao-san	電脳なをさん	唐沢なをき	5	756,893	1996-2003	7
golgo-13	ゴルゴ13	さいとう・たかを/さいとうプロダクション	219	091,845	1973-2025	7
hakaba-kitarou	墓場鬼太郎	水木しげる	6	048,257	1986-1997	7
asaki-yume-mishi	あさきゆめみし	大和和紀	13	061,063	1980-1993	6
baribari-densetsu	バリバリ伝説	しげの秀一	38	061,063	1983-1991	6
chinmoku-no-kantai	沈黙の艦隊	かわぐちかいじ	32	061,063	1989-1996	6
devilman-saga	デビルマンサーガ	永井豪	13	091,098	2015-2020	6
