isbn13	reason	title
9784910630434	非商業(学校PTA発行の教育冊子・団体著者)	ふしぎなシカのおとしもの
9784821158744	廉価コミックmook(ぶんか社Bunkasha comics・306p/650円・コミカライズ廉価)	コミック名探偵浅見光彦
9784821159598	廉価コミックmook(ぶんか社Bunkasha comics・306p/650円・コミカライズ廉価)	コミック名探偵浅見光彦
9784821110742	廉価コミックmook(ぶんか社Bunkasha comics・306p/650円・コミカライズ廉価)	コミック名探偵浅見光彦
9784821111213	廉価コミックmook(ぶんか社Bunkasha comics・306p/650円・コミカライズ廉価)	コミック名探偵浅見光彦
9784821111770	廉価コミックmook(ぶんか社Bunkasha comics・306p/650円・コミカライズ廉価)	コミック名探偵浅見光彦
9784845868315	leedアンソロ誌(26cm・パーフェクトメモワール)	コミック艶
9784845871049	leedアンソロ誌(26cm・パーフェクトメモワール)	コミック艶
9784299076731	非漫画(歴史監修書・瀧音能之監修・図版)	暗鬼の日本史
9784785982010	猫漫画アンソロジー誌(少年画報社・多数作家)	ねこぱんち
