isbn	month	title	author	publisher	type	integrate_to	method	holes	verified	status
9784868230243	2026-4	あゝ、荒野. 2	寺山修司 原作		型1_統合	sid133697:あゝ、荒野(1巻)	完全題一致	-	-	ship
9784344857544	2026-4	愛してると思うならば	寿ののこ 著		型3_新規	新規ページ	一致なし	kana[調べる:NDL題読み] / genre/tag[作る:caption→AI] / synopsis[作る:caption→AI要約] / slug[作る:kana→規則]	-	要fill(埋めれば出せる)
9784301003458	2026-4	愛する婚約者に殺された公爵令嬢、死に戻りして光の公爵	あーもんど 原作		型3_新規	新規ページ	一致なし	kana[調べる:NDL題読み] / genre/tag[作る:caption→AI] / synopsis[作る:caption→AI要約] / slug[作る:kana→規則]	-	要fill(埋めれば出せる)
9784098545162	2026-4	青のオーケストラ. 15	阿久井真 著		型1_統合	sid34550:青のオーケストラ(14巻)	完全題一致	-	-	ship
9784065433232	2026-4	青のミブロ-新選組編-. 10	安田剛士 著		型1_統合	sid129179:青のミブロ-新選組編-(8巻)	完全題一致	-	-	ship
9784065434727	2026-?	赤いちょうの少女 : 楳図先生の大長編読み切りまんが	楳図かずお		型3_新規	新規ページ	題一致だが別社ガード	kana[調べる:NDL題読み] / genre/tag[作る:caption→AI] / synopsis[作る:caption→AI要約] / slug[作る:kana→規則]	-	要fill(埋めれば出せる)
9784049521405	2026-4	商い人魚と蒼空の初恋. 1	紅蜜ゆず 著		型3_新規	新規ページ	一致なし	kana[調べる:NDL題読み] / genre/tag[作る:caption→AI] / synopsis[作る:caption→AI要約] / slug[作る:kana→規則]	-	要fill(埋めれば出せる)
9784801989504	2026-4	アキはハルとごはんを食べたいおかわり! 5	たじまこと 著		型1_統合	sid138476:アキはハルとごはんを食べたいおかわり(4巻)	最長一致	-	-	ship
9784098255078	2026-4	悪と嘘を描く : 武論尊の漫画原作私論	武論尊 著		型3_新規	新規ページ	一致なし	kana[調べる:NDL題読み] / genre/tag[作る:caption→AI] / synopsis[作る:caption→AI要約] / slug[作る:kana→規則]	-	要fill(埋めれば出せる)
9784823610318	2026-4	悪役令嬢E×EX	久川ちん 漫画		型3_新規	新規ページ	一致なし	書影[調べる:楽天/Amazon] / kana[調べる:NDL題読み] / genre/tag[調べる:caption無→楽天再取得or手動] / synopsis[作る:caption無→保留] / slug[作る:kana→規則]	-	要fill(埋めれば出せる)
