canonical	title	drops	confidence	reason	preserve_authors
kimi-no-tonari	キミノトナリ	yami-toshi-densetsu	HIGH	cm104題一致,qid有,版1	
umezu-kazuo-kowai-hon	楳図かずおこわい本	kowai-hon|zoku-kowai-hon	HIGH	cm104題一致,qid有,版2	
gurazeni-pa-riiguhen	グラゼニ～パ・リーグ編～	gurazeni-tokyo-doomuhen	MED	qid有,版1	アダチケイジ
koha-ace-collection	コハエースこれくしょん	gudaguda-ace|koha-ace|koha-ace-ekkusupii|koha-ace-iiekkusu	MED	qid有,版1	
manga-girishia-shinwa	マンガギリシア神話	aporon-no-kanashimi|eiyuu-herakuresu|higeki-no-ou-oidipusu|meikai-no-orufeusu|odeyusseusu-no-koukai|oryunposu-no-kamigami|toroi-no-mokuba	HIGH	cm104題一致,qid有,版1	
saishuu-sensou-densetsu	最終戦争伝説	juran	HIGH	cm104題一致,qid有,版1	
joou-o-aishita-ansatsusha	女王を愛した暗殺者	shiroki-ouji-no-koimonogatari	HIGH	cm104題一致,qid有,版1	
akai-kami-no-shounen	クリスマス	akaikaminoshounen	HIGH	cm104題一致,qid有,版1	
oz-manual	オズマニュアル	oz-itsuki-2004	HIGH	cm104題一致,qid有,版2	
gekiman-devilman-no-show	激マン!デビルマンの章	gekiman-2015|gekiman-special	HIGH	cm104題一致,qid有,版1	永井豪＆ダイナミックプロ
wolf-guy	ウルフガイ	wolf-guy-hiroshi-1996	LOW	版1	かどたひろし
besuteia	ベスティア	ryuugetsushou	HIGH	cm104題一致,qid有,版1	
garakutamachi-ki-tan	我楽多街奇譚	kamen-shounen	HIGH	cm104題一致,qid有,版2	
ninkuu-2nd-stage	忍空2nd stage	ninku-kazu-2006|ninkuu|ninkuu-zero	HIGH	cm104題一致,qid有,版2	
ragunasenki	ラグナ戦記	amenohousoku	HIGH	cm104題一致,qid有,版1	
angelic-kanbaseeshon	エンジェリック・カンバセーション	are-you-enemy	HIGH	cm104題一致,qid有,版1	
hana-chiru-yoru-ni-kimi-o-omoeba	花散る夜にきみを想えば	bibou-no-series|june-pride|kisetsu-hazure-no-kaidan	MED	qid有,版1	
wedding-dress	ウェディング・ドレス	shiroi-egumonto	HIGH	cm104題一致,qid有,版1	
castille-no-kifujin	カスティリアの貴婦人	nageki-no-torisu-tan	MED	qid有,版2	
satanikku-buranchi	サタニックブランチ	goburinzu-rai|ranpushieedo	HIGH	cm104題一致,qid有,版1	
ohi-sama-egao	おひさま笑顔	himawari-2011	HIGH	cm104題一致,qid有,版1	
keetai-ga-ochiteita	ケータイが落ちていた。	seven-piisu	HIGH	cm104題一致,qid有,版2	
hihon-gikeiki	秘本義経記	masurao	HIGH	cm104題一致,qid有,版2	
tatara-no-tsuji-ni	たたらの辻に…	minamo-no-sato-minasoko-no-mori	HIGH	cm104題一致,qid有,版2	
mazin-saga-nagai	魔神サーガ	mazin-saga	HIGH	cm104題一致,qid有,版1	ダイナミックプロダクション
yoru-no-ryouiki	夜の領域	natsu-no-omoide-1994	HIGH	cm104題一致,qid有,版1	
gon-selection	GON SELECTION	gon	HIGH	cm104題一致,qid有,版1	
natsu-no-guuwa	夏の寓話	tenjinkarakusa	HIGH	cm104題一致,qid有,版2	
tenkafun	天花粉	kaidan-kyuuden	HIGH	cm104題一致,qid有,版2	
noroi	呪	urami	HIGH	cm104題一致,qid有,版1	
wasure-rareta-juliet	忘れられたジュリエット	akai-hitsuji-no-kokuin|hakushaku-cain|kafuka	HIGH	cm104題一致,qid有,版2	
bastard	BASTARD!!	basutaado	HIGH	cm104題一致,qid有,版3	岸間信明
gatarou-sensei-arigatou	画太郎先生ありがとう	warattegoran	MED	qid有,版1	
nakazawa-deka-heiwa-manga-sakuhinshuu	中沢啓治平和マンガ作品集	heiwa-no-kane-series	HIGH	cm104題一致,qid有,版1	
golden-lilac	ゴールデンライラック	bara-no-kabin	HIGH	cm104題一致,qid有,版2	
bunbuku-tanuki-no-teii-party	ぶんぶくたぬきのティーパーティ	bunbuku-teii-potto-plus	HIGH	cm104題一致,版1	
charenjaazu	チャレンジャーズ	goukaku-kigan	HIGH	cm104題一致,qid有,版1	
onegai-maruchi-kun	おねがい!マルチくん	mobile-hazure-no-meiwakusei	MED	qid有,版1	
bukkira-ni-yoroshiku	ブッキラによろしく!	kibando	HIGH	cm104題一致,qid有,版2	
gifuu-doudou-naoe-kanetsugu-maeda-deka-hanagatari	義風堂々!!直江兼続-前田慶次花語り	gifuu-doudou	MED	qid有,版1	武村勇治;堀江信彦
dream	ドリーム	youseiou	HIGH	cm104題一致,qid有,版2	
slope-mansion-ni-okaeri	スロップマンションにお帰り	fushigi-toshokan	HIGH	cm104題一致,qid有,版2	
