slug	title	版type	label	最大ギャップ年	pattern	飛び位置	年範囲	vol1状態	巻数
himematsu-hoshikuzu-koujou	姫松星屑工場	standard	通常版	107	OLD_FIRST	v1(1899)→v2(2006)	1899-2006		2
mahou-yashiki	魔法屋敷	standard	通常版	71	OLD_FIRST	v1(1952)→v2(2023)	1952-2023	ISBN無	2
saigou-takamori	西郷隆盛	bunkobon	文庫版	68	OLD_FIRST	v1(1930)→v2(1998)	1930-1998	ISBN無	4
uchuu-sensou	宇宙戦争	standard	通常版	65	OLD_FIRST	v1(1955)→v2(2020)	1955-2021	ISBN無	3
yami	闇	standard	通常版	62	MID_GAP	v2(1960)→v3(2022)	1960-2022	ISBN無	3
ippei-zenshuu	一平全集	standard	通常版	61	MID_GAP	v15(1930)→v16(1991)	1930-1991	ISBN無	20
tsumitobatsu	罪と罰	standard	通常版	59	MID_GAP	v2(1953)→v3(2012)	1953-2013	ISBN無	4
g-men	Gメン	standard	通常版	57	MID_GAP	v6(1959)→v7(2016)	2015-2018		18
gankutsuou	巌窟王	standard	通常版	56	OLD_FIRST	v1(1950)→v2(2006)	1950-1980	ISBN無	4
futaribocchi	ふたりぼっち	standard	通常版	55	OLD_FIRST	v1(1963)→v2(2018)	1963-2020	ISBN無	4
muyounosuke	無用ノ介	standard	通常版	54	MID_GAP	v10(1969)→v11(2023)	1969-1970	ISBN無	15
bugeikikou	武芸紀行	standard	通常版	53	MID_GAP	v3(1967)→v4(2020)	1966-2020	ISBN無	4
big-x	ビッグX	standard	通常版	51	MID_GAP	v4(1972)→v5(2023)	1972-2023	ISBN無	5
robot-kun	ロボットくん	standard	通常版	50	OLD_FIRST	v1(1959)→v3(2009)	1959-2009	ISBN無	5
ultraman-kazumine-1968	ウルトラマン	standard	通常版	50	MID_GAP	v2(1968)→v3(2018)	1968-2018	ISBN無	3
kumasannoshiki	クマさんの四季	standard	通常版	49	OLD_FIRST	v1(1976)→v2(2025)	1976-2025	ISBN無	2
ougon-bat-yamane-2023	黄金バット	standard	通常版	49	MID_GAP	v2(1975)→v3(2024)	1975-2024	ISBN無	3
ninjabugeichoukagemaruden	忍者武芸帳	standard	通常版	48	MID_GAP	v16(1962)→v17(2010)	1970-2010	ISBN無	17
dorobou-chan	どろぼうちゃん	standard	通常版	47	MID_GAP	v2(1976)→v3(2023)	1975-2023	ISBN無	4
mad-dog	MAD DOG	standard	通常版	47	MID_GAP	v2(1970)→v3(2017)	1983-2017	ISBN無	3
12shokumonogatari	12色物語	standard	通常版	44	OLD_FIRST	v1(1982)→v2(2026)	1982-2026	ISBN無	2
boku-no-songokuu	ぼくの孫悟空	bunkobon	文庫版	44	MID_GAP	v3(1957)→v4(2001)	2001-2001		4
friends-fujimi-2024	フレンズ	standard	通常版	44	OLD_FIRST	v1(1980)→v2(2024)	1980-2025	ISBN無	3
gegege-no-kitarou	ゲゲゲの鬼太郎	standard	通常版	44	MID_GAP	v12(1975)→v13(2019)	1975-1986	ISBN無	15
oozora-no-chikai	大空のちかい	standard	通常版	44	MID_GAP	v2(1963)→v3(2007)	1963-1964	ISBN無	4
saiyuuki-2023	西遊記	standard	通常版	44	OLD_FIRST	v1(1979)→v2(2023)	1979-2023	ISBN無	2
the-moon	ザ・ムーン	standard	通常版	44	OLD_FIRST	v1(1975)→v2(2019)	1975-2019	ISBN無	6
13gou-hasshinseyo	13号発進せよ	standard	通常版	43	MID_GAP	v2(1963)→v3(2006)	2006-2006		3
emuemu-santa	エムエム三太	standard	通常版	42	OLD_FIRST	v1(1968)→v3(2010)	1968-2010	ISBN無	3
jiraiya	児雷也	standard	通常版	42	OLD_FIRST	v1(1953)→v2(1995)	1953-1995	ISBN無	3
wakusei-robo-dangard-ace	惑星ロボダンガードA	standard	通常版	41	MID_GAP	v2(1978)→v3(2019)	1977-2019	ISBN無	3
benigumo	紅グモ	standard	通常版	40	OLD_FIRST	v1(1968)→v2(2008)	1968-2008	ISBN無	2
kokoro	心	standard	通常版	40	MID_GAP	v2(1957)→v3(1997)	1997-1997		4
mazin-garon	魔神ガロン	bunkobon	文庫版	40	OLD_FIRST	v1(1960)→v2(2000)	1960-2000	ISBN無	3
zerosen-koushinkyoku	ゼロ戦行進曲	standard	通常版	40	MID_GAP	v2(1968)→v3(2008)	1968-2008	ISBN無	3
gaki-deka	がきデカ	standard	通常版	39	MID_GAP	v22(1980)→v23(2019)	1975-2010	ISBN無	26
gingatetsudou-no-yoru	銀河鉄道の夜	standard	通常版	39	OLD_FIRST	v1(1984)→v2(2023)	1984-2023		2
