slug,title,std_vols,registrants,majority,minority_detail,hagaake,minority_volumes
golgo-13,ゴルゴ13,219,8458:156(8458)|09:1(小学館),8458(8458),小学館=[1],yes,[1]
onihei-hankachou,鬼平犯科帳,122,8458:68(8458)|16:54(16),8458(8458),"16=[2, 6, 21, 23, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98",yes,"[2, 6, 21, 23, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88]"
g-defend,G・defend,76,86423:40(86423)|88741:36(88741),86423(86423),"88741=[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31",no,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]"
sazae-san,サザエさん,68,02:27(02)|7844:7(7844),02(02),"7844=[55, 58, 60, 61, 64, 65, 66]",yes,"[55, 58, 60, 61, 64, 65, 66]"
rakudai-ninja-rantarou,落第忍者乱太郎,65,02:63(02)|651:2(651),02(02),"651=[1, 2]",yes,"[1, 2]"
mukoubuchi,むこうぶち,63,8124:39(8124)|8019:24(8019),8124(8124),"8019=[40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 63, 65]",no,"[40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59]"
keirin-yarou,ケイリン野郎,55,09:52(小学館)|7780:3(7780),09(小学館),"7780=[54, 55, 56]",no,"[54, 55, 56]"
kenkaku-shoubai,剣客商売,53,8458:48(8458)|10:5(新潮社),8458(8458),"新潮社=[1, 2, 3, 4, 5]",yes,"[1, 2, 3, 4, 5]"
bonobono,ぼのぼの,48,8124:26(8124)|8019:9(8019)|88475:2(88475),8124(8124),"88475=[1, 11];8019=[40, 41, 42, 43, 44, 45, 46, 47, 48]",yes,"[1, 11, 40, 41, 42, 43, 44, 45, 46, 47, 48]"
chiisana-koi-no-monogatari,小さな恋のものがたり,46,651:22(651)|05:8(05),651(651),"05=[39, 40, 41, 42, 43, 44, 45, 46]",yes,"[39, 40, 41, 42, 43, 44, 45, 46]"
doraemon-2013,DORAEMON,45,09:32(小学館)|12:6(中央公論),09(小学館),"中央公論=[40, 41, 42, 43, 44, 45]",yes,"[40, 41, 42, 43, 44, 45]"
doraemon,ドラえもん,45,09:32(小学館)|12:6(中央公論),09(小学館),"中央公論=[40, 41, 42, 43, 44, 45]",yes,"[40, 41, 42, 43, 44, 45]"
