slug,title,std_vols,publishers,majority,minority_detail,hagaake,minority_volumes
golgo-13,ゴルゴ13,219,リイド社　∥　リイドシャ:100 | リイド社:5,リイド社　∥　リイドシャ,"リイド社=[215, 216, 217, 218, 219]",yes,"[215, 216, 217, 218, 219]"
minami-no-teiou,ミナミの帝王,186,日本文芸社　∥　ニホン ブンゲイシャ:100 | 日本文芸社:10,日本文芸社　∥　ニホン ブンゲイシャ,"日本文芸社=[3, 179, 180, 181, 182, 183, 184, 185, 186, 187]",yes,"[3, 179, 180, 181, 182, 183, 184, 185, 186, 187]"
cooking-papa,クッキングパパ,175,講談社　∥　コウダンシャ:82 | 講談社:5,講談社　∥　コウダンシャ,"講談社=[172, 173, 174, 175, 176]",no,"[172, 173, 174, 175, 176]"
hajime-no-ippo,はじめの一歩,145,講談社　∥　コウダンシャ:62 | 講談社:5,講談社　∥　コウダンシャ,"講談社=[117, 142, 143, 144, 145]",no,"[117, 142, 143, 144, 145]"
edomae-no-shun,江戸前の旬,130,日本文芸社　∥　ニホン ブンゲイシャ:89 | 日本文芸社:6,日本文芸社　∥　ニホン ブンゲイシャ,"日本文芸社=[125, 126, 127, 128, 129, 130]",no,"[125, 126, 127, 128, 129, 130]"
onihei-hankachou,鬼平犯科帳,122,リイド社　∥　リイドシャ:58 | 文藝春秋　∥　ブンゲイシュンジュウ:37 | 文藝春秋　∥　ブンゲイ シュンジュウ:13,リイド社　∥　リイドシャ,"文藝春秋　∥　ブンゲイ シュンジュウ=[73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85];文藝春秋　∥　ブンゲイシュンジュウ=[86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 9",yes,"[73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102]"
tsuribaka-nisshi,釣りバカ日誌,117,小学館　∥　ショウガクカン:46 | 小学館:3,小学館　∥　ショウガクカン,"小学館=[115, 116, 117]",yes,"[115, 116, 117]"
one-piece,ONE PIECE,114,集英社　∥　シュウエイシャ:65 | 集英社:4,集英社　∥　シュウエイシャ,"集英社=[111, 112, 113, 114]",no,"[111, 112, 113, 114]"
meitantei-conan,名探偵コナン,107,小学館　∥　ショウガクカン:50 | 小学館:2,小学館　∥　ショウガクカン,"小学館=[107, 108]",no,"[107, 108]"
inochi-no-utsuwa,いのちの器,99,秋田書店　∥　アキタショテン:35 | 秋田書店　∥　アキタ ショテン:20 | 秋田書店:6,秋田書店　∥　アキタショテン,"秋田書店　∥　アキタ ショテン=[39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58];秋田書店=[94, 95, 96, 97, 98, 99]",yes,"[39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 94, 95, 96, 97, 98, 99]"
yowamushi-pedal,弱虫ペダル,99,秋田書店　∥　アキタショテン:60 | 秋田書店　∥　アキタ ショテン:29 | 秋田書店:10,秋田書店　∥　アキタショテン,"秋田書店　∥　アキタ ショテン=[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29];秋田書店=[90, 91, 92",no,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 90]"
futari-etchi,ふたりエッチ,94,白泉社　∥　ハクセンシャ:58 | 白泉社:2,白泉社　∥　ハクセンシャ,"白泉社=[93, 94]",no,"[93, 94]"
mogura-no-uta,土竜の唄,92,小学館　∥　ショウガクカン:80 | 小学館:7,小学館　∥　ショウガクカン,"小学館=[88, 89, 90, 91, 92, 93, 94]",no,"[88, 89, 90, 91, 92, 93, 94]"
kinnikuman,キン肉マン,91,集英社　∥　シュウエイシャ:49 | 集英社:6,集英社　∥　シュウエイシャ,"集英社=[87, 88, 89, 90, 91, 92]",yes,"[87, 88, 89, 90, 91, 92]"
kingdom,キングダム,78,集英社　∥　シュウエイシャ:69 | 集英社:6,集英社　∥　シュウエイシャ,"集英社=[73, 74, 75, 76, 77, 78]",no,"[73, 74, 75, 76, 77, 78]"
tasogare-ryuuseigun,黄昏流星群,76,小学館　∥　ショウガクカン:43 | 小学館:5,小学館　∥　ショウガクカン,"小学館=[75, 76, 77, 78, 79]",no,"[75, 76, 77, 78, 79]"
naruto,NARUTO,72,集英社　∥　シュウエイシャ:34 | 集英社:1,集英社　∥　シュウエイシャ,集英社=[69],no,[69]
yuuyake-no-uta,夕焼けの詩,72,小学館　∥　ショウガクカン:19 | 小学館:1,小学館　∥　ショウガクカン,小学館=[72],yes,[72]
ouke-no-monshou,王家の紋章,70,秋田書店　∥　アキタショテン:12 | 秋田書店　∥　アキタ ショテン:10 | 秋田書店:1,秋田書店　∥　アキタショテン,"秋田書店　∥　アキタ ショテン=[14, 20, 21, 22, 52, 53, 54, 55, 56, 57];秋田書店=[70]",yes,"[14, 20, 21, 22, 52, 53, 54, 55, 56, 57, 70]"
giant-killing,GIANT KILLING,68,講談社　∥　コウダンシャ:64 | 講談社:4,講談社　∥　コウダンシャ,"講談社=[66, 67, 68, 69]",no,"[66, 67, 68, 69]"
rakudai-ninja-rantarou,落第忍者乱太郎,65,朝日新聞出版　∥　アサヒ シンブン シュッパン:41 | 朝日新聞出版　∥　アサヒシンブンシュッパン:13 | 朝日新聞出版:1,朝日新聞出版　∥　アサヒ シンブン シュッパン,"朝日新聞出版　∥　アサヒシンブンシュッパン=[49, 50, 51, 53, 54, 55, 57, 58, 59, 61, 62, 63, 64];朝日新聞出版=[60]",yes,"[49, 50, 51, 53, 54, 55, 57, 58, 59, 60, 61, 62, 63, 64]"
mukoubuchi,むこうぶち,63,竹書房　∥　タケ ショボウ:60 | 竹書房:2,竹書房　∥　タケ ショボウ,"竹書房=[63, 65]",no,"[63, 65]"
zettai-karen-children,絶対可憐チルドレン,63,小学館　∥　ショウガクカン:55 | 小学館:1,小学館　∥　ショウガクカン,小学館=[36],no,[36]
super-mario-kun,スーパーマリオくん,61,小学館　∥　ショウガクカン:26 | 小学館:1,小学館　∥　ショウガクカン,小学館=[61],no,[61]
shin-kobo-chan,新コボちゃん,60,芳文社　∥　ホウブンシャ:47 | 芳文社:4,芳文社　∥　ホウブンシャ,"芳文社=[57, 58, 59, 60]",no,"[57, 58, 59, 60]"
