title	author	editions(marker:巻数)
復刻版　疾風伝説　特攻の拓（27）	佐木飛朗斗	復刻:27巻(〜27)
ドラゴンクエスト ダイの大冒険 新装彩録版 23	稲田浩司	愛蔵版:25巻(〜25)
完全版　ピーナッツ全集　23	チャールズmシュルツ	完全版:25巻(〜25)
SLAM DUNK 完全版 23	井上雄彦	完全版:24巻(〜24)
海皇紀　新装版（3）	川原正敏	新装版:22巻(〜22)
SLAM DUNK 新装再編版 15	井上雄彦	愛蔵版:20巻(〜20)
ヒカルの碁（19）	ほったゆみ	愛蔵版:10巻(〜20) / 完全版:10巻(〜13)
GS美神極楽大作戦！！（20）	椎名高志	ワイド版:20巻(〜20)
空手バカ一代（完全復刻版）（26）	つのだじろう	復刻:20巻(〜26)
あしたのジョー（完全復刻版）（1）	ちばてつや	復刻:20巻(〜20)
鋼の錬金術師 完全版（18）	荒川弘	完全版:18巻(〜18)
バイオレンスジャック完全版（17）	永井豪	完全版:18巻(〜18)
ソウルイーター完全版（17）	大久保篤	完全版:17巻(〜17)
JOJONIUM（17）	荒木飛呂彦	愛蔵版:17巻(〜17)
烈火の炎（16）	安西信行	ワイド版:17巻(〜17)
H2 15	あだち充	ワイド版:17巻(〜17)
キングダム 完全版 11	原泰久	完全版:16巻(〜20)
俺たちのフィールド（17）	村枝賢一	ワイド版:16巻(〜17)
永遠の野原（16）	逢坂みえこ	ワイド版:16巻(〜16)
B・B（16）	石渡治	ワイド版:16巻(〜16)
BECK　新装版（1）	ハロルド作石	新装版:16巻(〜17)
来世ではちゃんとします 12	いつまちゃん	愛蔵版:15巻(〜15)
ロトの紋章完全版（15）	藤原カムイ	完全版:15巻(〜15)
B．B．フィッシュ（15）	きたがわ翔	ワイド版:15巻(〜15)
capeta　新装版（1）	曽田正人	新装版:15巻(〜16)
うる星やつら（1）	高橋留美子	ワイド版:15巻(〜15)
鉄人28号原作完全版（第24巻）	横山光輝	完全版:14巻(〜24)
帯をギュッとね！（15）	河合克敏	ワイド版:14巻(〜15)
おくさまは女子高生（13）	こばやしひよこ	愛蔵版:13巻(〜13)
ふたり暮らし（13）	柿本ケンジロウ	ワイド版:13巻(〜13)
ツレちゃんのゆううつ（13）	三島たけし	ワイド版:13巻(〜13)
ノラガミ　新装版（1）	あだちとか	新装版:13巻(〜14)
日に流れて橋に行く 10	日高ショーコ	愛蔵版:12巻(〜12)
3D彼女　リアルガール　新装版（10）	那波マオ	新装版:12巻(〜12)
テニスの王子様完全版Season1（12）	許斐剛	完全版:12巻(〜12)
今日から俺は！！（19）	西森博之	ワイド版:12巻(〜19)
YAIBA（12）	青山剛昌	ワイド版:12巻(〜12)
がんばれ元気（9）	小山ゆう	ワイド版:12巻(〜12)
DEAR　BOYS　新装版（1）	八神ひろき	新装版:12巻(〜12)
白衣でポン（11）	たかさきももこ	ワイド版:11巻(〜11)
行け！！南国アイスホッケー部（11）	久米田康治	ワイド版:11巻(〜11)
機動警察パトレイバー（11）	ゆうきまさみ	ワイド版:11巻(〜11)
Clear（11）	耕野裕子	ワイド版:11巻(〜11)
六三四の剣（11）	村上もとか	ワイド版:11巻(〜11)
タッチ（11）	あだち充	ワイド版:11巻(〜11)
ハートカクテル（11）	わたせせいぞう	カラー版:11巻(〜11)
藤子・F・不二雄SF短編コンプリート・ワークス 愛蔵版（10）	藤子f不二雄	愛蔵版:10巻(〜10)
レタスバーガープリーズ．OK，OK！（10）	松田奈緒子	ワイド版:10巻(〜10)
美少女戦士セーラームーン新装版（11）	武内直子	新装版:10巻(〜11)
うしおととら（第18巻）	藤田和日郎	ワイド版:10巻(〜18)
ハッピーピープル（第12巻）	釈英勝	ワイド版:10巻(〜12)
「…点点点」（10）	九月乃梨子	ワイド版:10巻(〜10)
め組の大吾（01）	曽田正人	ワイド版:10巻(〜10)
堕靡泥の星完全版（9）	佐藤まさあき	完全版:9巻(〜9)
ダッシュ勝平（2）	六田登	ワイド版:9巻(〜9)
エリア88（10）	新谷かおる	ワイド版:9巻(〜10)
新装版 ライジング インパクト 7	鈴木央	愛蔵版:8巻(〜8)
Helck 新装版（12）	七尾ナナキ	新装版:8巻(〜12)
悪魔とラブソング 新装再編版 7	桃森ミヨシ	愛蔵版:8巻(〜8)
メンズ校 新装版（5）	和泉かねよし	新装版:8巻(〜8)
ぼくの体はツーアウト（8）	よしたに	愛蔵版:8巻(〜8)
ARMS（4）	皆川亮二	ワイド版:8巻(〜12)
少年アシベ（8）	森下裕美	ワイド版:8巻(〜8)
いたいけな瞳（6）	吉野朔実	ワイド版:8巻(〜8)
ぺぱーみんと・エイジ（7）	前田恵津子	ワイド版:8巻(〜8)
パートナー（1）	名香智子	ワイド版:8巻(〜8)
紅い牙完全版（第1巻）	柴田昌弘	完全版:8巻(〜8)
おれとカネやん完全版（1）	梶原一騎	完全版:8巻(〜8)
#DRCL midnight children 5	坂本眞一	愛蔵版:7巻(〜7)
ローゼンメイデン愛蔵版 7	peachpit	愛蔵版:7巻(〜7)
となりの怪物くん愛蔵版（7）	ろびこ	愛蔵版:7巻(〜7)
BASTARD！！完全版（8）	萩原一至	完全版:7巻(〜8)
NIGHT　HEAD完全版（第7巻）	立野真琴	完全版:7巻(〜8)
ジーザス（7）	藤原芳秀	ワイド版:7巻(〜7)
火の玉ボーイ（7）	石渡治	ワイド版:7巻(〜7)
ライジング！（6）	藤田和子(漫画家)	ワイド版:7巻(〜7)
銀太郎さんお頼み申す 5	東村アキコ	愛蔵版:6巻(〜8)
新装版 銀河鉄道999 -アンドロメダ編ー（9）	松本零士	新装版:6巻(〜10)
しゅごキャラ！　新装版（5）	peachpit	新装版:6巻(〜6)
由良COLORS完全版　第5巻	藤堂裕	完全版:6巻(〜6)
バラ色の明日完全版（5）	いくえみ綾	完全版:6巻(〜6)
Dr．スランプ完全版（15）	鳥山明	完全版:6巻(〜15)
のぞき屋完全版（5）	山本英夫	完全版:6巻(〜6)
拳児（11）	藤原芳秀	ワイド版:6巻(〜11)
Gu-guガンモ（6）	細野不二彦	ワイド版:6巻(〜6)
ちょっとヨロシク！（6）	吉田聡	ワイド版:6巻(〜6)
