slug	title	tv	need_synopsis	need_catch	genres	caption
jiiteiioo-paradise-lost-kai	GTOパラダイス・ロスト改	20	1	1	comedy	"鬼塚英吉の次なる舞台は吉祥学苑に新設された芸能クラスだった。
芸能人だらけのパラダイス教師生活が始まると思いきや
赴任初日から人気アイドル・新崎鉄也との泥沼対決が始まるのだった！

作家自らの再構成、大幅加筆で“パラダイス・ロスト”編、大復活！
※1〜11巻までは「GTO　パラダイス・ロスト」と内容の変更はありません。"
ramen-daisuki-koizumi-san	ラーメン大好き小泉さん	14	1	1	gourmet	"お待たせしました！移籍後初の最新刊リリースです!!

まだまだあります、食べたいラーメン！

かき氷とともに出される一杯や、雨宿りでのビーフシチュー麺。
そして眠れない日の夜ラーからの、起きたばかりの朝ラーまで…。

寝ても覚めても食べてても！
ラーメンロードはこれからも果てなく続きます♪"
doctor-children-shouni-gekai	ドクターチルドレン	10	1	1	drama	"子ども×命の現場。その手術は小さな泣き顔のためにある！
子どもより子どもっぽい小児外科医・星乃櫻子（ほしのさくらこ）に加え、
コミュ障で虫好きの変わり者の小児外科医・飛鷹蓮司（ひだかれんじ）が登場。
喉に歯ブラシが刺さる外傷、家電によるヤケド、扁桃腺肥大、子どものいびき、そして、難病の食道閉鎖症……。
卓越した手術が子どもの命を死の危険から救う。"
35-sai-no-sentaku	35歳の選択	8	1	1	action,adventure,comedy,ecchi,fantasy	平凡なサラリーマンだった前川大吉。34歳最後の夜に、ご先祖を名乗る老人が告げた3つの選択肢の中から「剣と魔法の異世界に若者として転生」を選択し、ダイ・フロンティアーズとして異世界に転生する。そこで与えられたチート能力を使い、宿者の女将ナターシャ、姫騎士のクリス、初級冒険者のミルキーと順調に仲良くなりハーレムを築いていく。しかしある日、クエストを横取りしたという理由で街最大のクラン「アドビーズ」に目を付けられ、その副団長と決闘をすることに。腕力のないただの治癒師ダイに、勝つ方法はあるのか！？
omotome-itadaita-bou-kun-heika-no-akujo-desu	お求めいただいた暴君陛下の悪女です	8	1	1	drama,fantasy,romance	以前の人生の記憶から、皇帝・ゼフォンの姉であり、スコルピオン帝国の女帝・レイラの冤罪を晴らし、革命軍の鎮圧に貢献したラース。帝国軍の汚名返上に尽力した対価として、スコルピオン帝国から油田の3割を得ることに成功。シャリオルト帝国の燃料問題を一気に解決させたラースは、ゼフォンの寵愛をうけ、民からの支持を上げていた。そんな中、ラースの祖国・べリエで新たな“秘書”が雇われる噂を耳にし、以前の自分と同じ立場であることに引っかかるラースはあることを思い出す。さらに、なりを潜めていた第2夫人が動き出すーー！？
saikon-shounin-o-youkyuu-shimasu	再婚承認を要求します	8	1	1	romance	ロテシュ子爵の育てている子が自分の実子であると知ったラスタ。弱みを握られて戦々恐々としている彼女に、エルギ公爵は、お金ならいくらでも貸すとまた手を差し伸べる。そんななか、ナビエは差出人不明の贈り物「恋の妙薬」に興味を持つ。魔法に秀でたカフメン大公に「妙薬」について相談すると、彼は効果を確かめるためにその場で薬を飲んでしまう!! すると、カフメン大公はナビエに対する甘い愛の言葉が止まらなくなってしまい──!?
akuyaku-reijou-ni-tensei-shita-hazu-ga-shujinkou-yorimo-dekiai-sareteru-mitai-desu	悪役令嬢に転生したはずが、主人公よりも溺愛されてるみたいです	8	1	1	fantasy,isekai,romance	"ついにリディアに告白をしたイクス。彼の想いを知ったリディアは自分の本当の気持ちがわからず思い悩む。一方イクスにライバル宣言をされたルイードもリディアへの気持ちを高めていく。そんな中、気分転換に出かけたピクニックで事態は急速に動き出すーー！
ルイードか、イクスか、はたまたサイロンかーーリディアが選ぶ恋の相手とは…？
悪役令嬢×逆ハーレム×転生ファンタジー第7巻！！"
suterareta-tsuma-ni-atarashii-otto-ga-dekimashita	捨てられた妻に新しい夫ができました	8	1	1	drama,romance	"Comimo大人気作！8,000万PV突破！
女で金銭を稼ぐ男の”モノ”として、小さな頃から酷い扱いを受け、痣だらけな心と身体を持つ少女クロエ。
クロエが競売に賭けられていたある日、侯爵であるアッシュ・ブリニクルに買われ彼の妻になった。
侯爵から優しい言葉を掛けられ、初めてクロエは”自由”と”優しさ”を知る。
侯爵夫人となる上で二つの選択肢を与えられたクロエ。
彼女の選んだ答えとは？そして二人の運命は…？♡"
mamahaha-dakedo-musume-ga-kawai-sugiru	継母だけど娘が可愛すぎる	8	1	1	comedy,fantasy,isekai,romance	"私、倉本百合は童話の意地悪な継母であるアビゲールに転生してしまう！
このままだとバットエンドまっしぐらなため、関係改善を目指すも、夫セイブリアンは人の物を剣で切り裂いたり、小言を言ってきたりと、相変わらずのクズっぷりで良好とは程遠く…。
でもでも、世界で一番可愛い義娘のブランシュとは少しずつだけど打ち解けられるようになって、いい感じに♪
もっと仲良くなるためにプレゼント選びにいそしんでいたら、魔法で作られた『真実を語る鏡』であるヴェリテと出会い──!?

義娘を溺愛する壮快ラブコメディ、第2巻！"
unmei-no-aite-wa-joushi-datta	運命の相手は上司だった	8	1	1	romance	"20代最後、9年間付き合った彼氏とも別れ、仕事もセクハラ・パワハラで辞め…人生の一大決心をした尾崎沙知。
気分転換にパラオへ旅行に行った先で出会った宮野とワンナイトをしてしまう。
帰国後、心機一転転職先に出社をしたところ、ワンナイトをしたハズの宮野が上司として現れて！？
しかし、宮野は素知らぬふりで接してくる…
彼はパラオで出会った宮野と同一人物なのか？と疑心暗鬼になる沙知。
そんななか、一緒に残業することになって…！？
LINEマンガで大人気のワンナイトから始まる、ピュアラブストーリーをコミックス化！
単行本限定描きおろしマンガも収録。"
