slug	title	tv	has_synopsis	genres	n_isbn	caption
chibi-hontou-ni-atta-waraeru-hanashi	ちび本当にあった笑える話	117	False	comedy	117	本当にあった読者のエピソードをぎっしり集めた4コマ誌「ちびわら」214号め！　いつでもどこでも楽める4コマを大ボリュームで！　特集1は「痛快！ 仕返し大集合」。「ハイブランドでマウントをとってくる同僚に、仕事でマウントとってやった！」「ダンナの浮気メールを発見…、お弁当のおかずは激辛に！」「昼夜問わず騒がしいメイワク隣人をモスキート音で撃退！」など、小さなスカッとエピソードを集約。ほかにもさまざまな特集を詰め込んだ、読みごたえ抜群の1冊です！
jojo-no-kimyouna-bouken	ジョジョの奇妙な冒険	113	False	action	113	甦ったDIOの骨は…懲罰房棟へと消えた! それを追って、わざと懲罰房送りになることを決意した徐倫。すべては父・承太郎の記憶DISCを取り戻すためだ。しかし、そこにはDIOのかつての親友、プッチ神父が送り込んだ4人の刺客が待ち受けていた。DIOの骨を手にするのは誰だ!?
manga-nippon-no-rekishi	マンガ日本の歴史	110	True	drama	103	米ソ冷戦の結果として安保体制を代償に、日本は講和独立を獲得。国家的自立の道を歩み始めた。だが１９６０年、“日米安全保障条約改定”を機に、安保反対闘争が一気に激化。岸内閣は国会に警察官を導入、強行裁決を行なった。この未曾有の騒動に内閣は総辞職、代わって池田内閣が成立。以後日本は、急速な経済成長を遂げ、大きく社会変貌していく。
meitantei-conan	名探偵コナン	108	True	action,adventure,comedy,mystery,romance	108	▼第1話／ママはライバル!?▼第2話／疑惑の銃声▼第3話／闇の男爵夫人（ナイトバロニス）登場！▼第4話／暗闇は死の罠（デストラップ）の扉▼第5話／暗闇の音無き殺人▼第6話／黒い光の謎▼第7話／迫る包囲網▼第8話／そこにある危機▼第9話／逃れられないターゲット▼第10話／ある来訪者の残した謎▼第11話／小さな密室に残された秘密●主な登場人物／江戸川コナン（見かけは小学生だが、その正体は「黒の組織」の男たちに薬を飲まされ身体が縮んでしまった高校生名探偵・工藤新一）、毛利蘭（帝丹高校に通う新一の幼なじみで、ガールフレンド）、毛利小五郎（蘭の父親。妻に逃げられ、娘の蘭と二人暮らしのヘボ探偵だったが、コナンのおかげで世間からは名探偵だと思われている）●あらすじ／大富豪・藤枝幹雄の命を狙っている人物をつきとめたら1000万円出すと依頼された小五郎。楽勝な事件とタカをくくった小五郎は、派手な前祝いで散財するが、結局解決できず逆に800万円の借金を作り、ショックで泥酔してしまう。その尻ぬぐいに、妻・英理が依頼者の元へ出向くが、そこでなんと新一の母・有希子と出会うことに。しかも二人は高校時代「ミス帝丹」を競い合ったライバル同士だったのだ!! 二人はコナンと共に、藤枝の命を狙う者を突き止めようと動きだす。だがその目の前で藤枝は、何者かに射殺されてしまう（第1話）。●本巻の特徴／「ママはライバル!?」〜
mizuki-shigeru-manga-dai-zenshuu	水木しげる漫画大全集	103	False	yokai,horror,historical,drama	103	"＜「水木しげる漫画大全集」FINAL　SEASON！＞
「ゲゲゲの鬼太郎」「悪魔くん」といった代表作はもちろん、幻の貸本や新聞掲載の1コマ漫画まで、あらゆる水木漫画をコンプリート。未収録原稿や、カラーイラストなども余すことなく収録した唯一無二の完全版をお届けします。京極夏彦責任監修『水木しげる漫画大全集』第3期全35巻刊行開始！！

『水木しげる漫画大全集』071（1965-1994）、第3期、第9回配本。
★収録作品
「10．000人目の男」「怪物マチコミ」「惑星」「深夜のバス」「となりの人」「昭和百四十一年」「むし暑い日」「足跡の怪」「髪様」「魔石」「おそるべきライバル」「墓守虫」「紙魚」「砂かけ婆」「べとべとさん」「死者の招き」「天国（パラダイス）」「水晶球の世界」「ああ無情」「むせび泣く猫ーある蒸発ー」「妖界オリンピック」「なぞの大爆発再構成版」
＜公害戯評＞
「紀元二〇〇〇年の地上」
「総理大臣にお願い！！」
＜ひとコマまんが展＞
＜平成「会社霊」画談＞
「キャーッおばけ」
「かげおんな」
「魔女モンロー」
「UFO搭乗記」
＜水木しげる幻想劇画シリーズ＞
「夢の楽園」「秘密のメガネ」「まねき猫」「霊獣マッサライ」「不思議町三番地」「月を売る人」「さなぎ」「水晶玉」「魔界の椅子」「巻物の怪」
「コチョコチョ菌」
★資料編
★解説「水木しげるとアインシュタイン塔」大塚英志（"
soumubu-soumuka-yamaguchi-roppeeta	総務部総務課山口六平太	81	False	comedy,slice-of-life	81	"厄介な仕事も何のその。総務部総務課山口六平太が何でも解決します！ 

 ▼第1話／全軍配置！青葉寮風雲編〜その1▼第2話／戦闘開始！青葉寮風雲編〜その2▼第3話／わが方優勢青葉寮風雲編〜その3▼第4話／しばし水入り青葉寮風雲編〜その4▼第5話／昨日の敵は…青葉寮風雲編〜その5▼第6話／情報戦争青葉寮風雲編〜その6▼第7話／青葉寮陥落青葉寮風雲編〜その7▼第8話／虚々実々青葉寮風雲編〜その8▼第9話／山動く青葉寮風雲編〜大団円▼第10話／あなたを待ちながら▼登場人物／山口六平太（のほほんとしたじゃがいも顔からは想像できないが、どんな問題も解決してしまう大日自動車のスーパー総務マン）、本郷武士（仙台支社営業課所属。青葉寮のリーダー格）、東海林俊夫（仙台支社総務課所属。青葉寮に住む）、海野三郎（仙台支社宣伝課所属。青葉寮の住人）、穴山陽介（仙台支社営業課所属。青葉寮の住人）、三好清一（仙台支社整備課所属。青葉寮の住人）、猿渡進（仙台支社整備課所属。青葉寮の住人）、霧山公司（仙台支社経理課所属。青葉寮の住人）、柊麗子（大柴支社長秘書）▼あらすじ／場所は東北、杜の都・仙台になぜか転勤になってしまった六平太が任されたのは、会社の独身寮・青葉寮の寮長だった。この青葉寮は、今まで何人もの寮長を追い出してきたクセの強い連中が占拠しており、なかでもリーダー格の本郷武士は、仕事はできるが社内で女子社員を"
zero	ゼロ	78	False	mystery	78	"神の手を持つ究極至高の贋作者・ゼロ。陶器・絵画・彫刻は言うに及ばず、この地球に存在する全ての物を「本物」に複製する創造主。
この世にただ一つしかないかけがえなき物の復元を願う人々の心を癒し、諫め、時に裁く…！　
かつて侵略者たちが求めたインカ帝国の財宝。その在処が記されているという暗号が発見された。文字を使わないインカ人が独自に使用していた暗号、キープ、そこに秘められたインカの宝とは！？"
yuuyake-no-uta	夕焼けの詩	72	False	slice-of-life	57	"昭和30年代の世界に現代の心のふるさとを追う、珠玉のメルヘン。 

 ▼第1話／息子の嫁▼第2話／種まき▼第3話／交通安全▼第4話／大介くん▼第5話／猫▼第6話／修学旅行▼第7話／心の色▼第8話／オムライス▼第9話／駅▼第10話／母の記憶▼第11話／遠くの花火▼第12話／学校の怪▼第13話／皆勤賞▼第14話／危険な恋人▼第15話／お父さんの背中 ●登場人物／鈴木一平（鈴木一家の長男）、鈴木ヒロシ（三丁目に住む、鈴木オート主人）、鈴木トモエ（鈴木一平の母） ●あらすじ／浮田さんと岡田さんは、会社の帰りにバーで飲んでいた。なにやら浮田さんはニコニコしていて浮かれている。その理由を尋ねると、長男が結婚し、嫁と同居しているのだが、彼女とは気が合い毎日が楽しいという。彼女からプレゼントされたネクタイも自慢するほど。うらやましく思う岡田さん。岡田さんにも27歳になる息子がいるが、まだ結婚が決まらない。そこで浮田さんは岡田さんに気だてのいい、すみれさんを紹介する。早速見合いをしたふたりは、なかなか似合いのカップル。岡田さんも大喜びするが…（第1話）。▼早くに父を亡くしたため母が大衆酒場で働き、ほそぼそと親子3人で暮らしている勝くん一家。お母さんは、5円のキャベツも虫がついていることを理由に値切り、1円のおからを買ったりして生計を立てている。そんなある日、お母さんが道で10円を拾う。花屋で、1本の"
pocket-monsters-special-2014	Pocket monsters special	64	True	action,adventure,comedy,drama,fantasy	64	超大人気のGBゲーム『ポケットモンスター』の興奮と感動をオリジナルストーリーでまんが化！ポケモン大好き少年、レッドの愛と勇気の冒険記!! ●あらすじ●マサラタウンの超元気少年、レッドは町いちばんのポケモントレーナーだ。ひょんなことからオオキド博士に気にいられたレッドはポケモン図鑑をもらい、図鑑の完成をめざして旅に出る。着々と図鑑を完成させるレッド。そのいく先でロケット団の企みが明らかになりつつあった。そんななか、マサラタウンの町の人たち、そして、オオキド博士がさらわれたっ!! 「救いたければヤマブキにこい」と言い残し姿を消した謎の女。いったい彼女は何者なのか!? いよいよ、ロケット団とレッドたちの最終戦が始まる!! 超人気ゲーム『ポケットモンスター』の冒険と感動をまんが化！ ▼第15話／VSカメール▼第16話／VSケンタロス▼第17話／VSルージュラ▼第18話／VSキュウコン▼第19話／VSイーブイ▼第20話／VSラフレシア▼第21話／VSニドキング▼第22話／VSウツボット▼第23話／VSブーハー▼第24話／VSカイリュー▼第25話／VSフリーザー▼第26話／VSファイヤー▼第27話／VSユンゲラー
yuugi-ou	遊・戯・王	60	False	supernatural	60	"双六の店の向かいにオープンした最新ゲーム店。そこへオリジナルゲーム『D・D・D』を買いに行った遊戯は、何と窃盗の容疑をかけられてしまう…。そして強引に、店の奥で待っていた『D・D・D』の開発者・御伽龍児と、千年パズルを賭け対決する事に。初めてのゲームに戸惑う遊戯は!? 巻頭に、『遊・戯・王タロットカード』イラスト口絵付き。※『遊・戯・王OCGデュエルモンスターズ』ではありません。
あとがき+タロット解説を収録。"
