slug	title	authors
1-tai-2-kousai-wa-rabukome-ni-hairimasuka	1: 2交際はラブコメに入りますか?	服部了
100-nichi-go-ni-shinu-akuyaku-reijou-wa-mainichi-ga-totemo-tanoshii	100日後に死ぬ悪役令嬢は毎日がとても楽しい。	アルクヒト;タミフル
19banme-no-karte	19番目のカルテ	frankmatt
25-ji-no-cinderella	25時のシンデレラ	川原由美子
3-pun-seijo-no-shiawase-guutara-seikatsu	3分聖女の幸せぐーたら生活	アルクヒト;貞清カズヒコ
32-sai-kojirase-moteki	32歳、こじらせ→モテ期!?	出樹
35-sai-imasara-koi-toka-arienai	35歳、今さら恋とかありえない	椎名マウミ
37-sekanzu	37セカンズ	hikaripub2022
3itches-san-majo	3itches三魔女	永吉美幸
40-made-ni-shitai-10-no-koto	40までにしたい10のこと	la軍
5-nenburi-ni-tsunagaru-moto-kare-ishi-kara-tsutawaru-atsui-netsu	5年ぶりに繋がる元カレ医師から伝わる熱い熱	可児イトウ
5-okunengo-ni-igai-na-ketsumatsu	5億年後に意外な結末	usiイラストレーター
7-iro-no-sketch	7色のスケッチ	一条ユカリ
7tsu-no-7-nfonii	7つのシンフォニー	一条ユカリ
86-operation-highschool	86-エイティシックス-オペレーション・ハイスクール	鈴木ミニラ
89-nagano-rengou	'89-長野∞連合-	隈屑
aaru-teii-ee-sousha-wa-game-sekai-kara-kaerenai	RTA走者はゲーム世界から帰れない	uzno
adelaide	アデライド	habinchae
ai-datoka-fukushuu-datoka	愛だとか復讐だとか	toguchi
ai-ga-omosugiru-kotani-kun-wa-zettai-ni-kanojo-o-nigasanai	愛が重すぎる小谷くんは、絶対に彼女を逃さない	城宮エス
aiba-kun-wa-ano-mitsu-ga-sukisugiru	相葉くんは〈あの蜜〉が好きすぎる!	竹若トモハル
aketemo-kuretemo	明けても暮れても	meco
akumade-taida-na-akuyaku-kizoku-comic	あくまで怠惰な悪役貴族@COMIC	イコ;マキムラk
akuyaku-no-joou-ni-tensei-shitakedo-kakushi-chara-ga-kakuretenai	悪役の王女に転生したけど、隠しキャラが隠れてない。@COMIC	早瀬黒絵;植田真太郎
akuyaku-reijou-ni-tensei-shitara-risou-no-heya-ga-te-ni-hairimashita	悪役令嬢に転生したら理想の部屋が手に入りました!	森長アヤミ
akuyaku-reijou-no-yojouhan	悪役令嬢の四畳半	森長アヤミ
akuyaku-reijou-route-kara-kaihou-saremashita	悪役令嬢ルートから解放されました!	ミナトpub2023;花戸ツキ
akuyaku-reijou-wa-danna-sama-to-rien-ga-shitai	悪役令嬢は旦那様と離縁がしたい!	滝コザカナ;華宮ルキ
all-rush	オールラッシュ!	今井ササル
amakute-atsukute-iki-mo-dekinai	甘くて熱くて息もできない	臼井トモミ
amedeo-ryokouki	アメデオ旅行記	イトウハジメ
anata-no-mirai-o-yurusanai	あなたの未来を許さない	顎木アクミ;鳴海マイカ
and-again	And again	ハーツ&マインド1978-
ando	＆	オカザキ真里
anna-comnena	アンナ・コムネナ	小林丸々
ansangu-cinderella	アンサングシンデレラ	winshluss
anta-wa-ore-no-omega-daro	アンタは俺のオメガだろ	蘇我捨恥
ao-ni-rakurai	青に落雷	花時メニ
aobara-antique-no-shoukoujo	青薔薇アンティークの小公女	コン炉
arima-kun-wa-mahoutsukai	蟻魔君は魔法使い	的場リョウ
art-gangsta	アートギャングスタ	時田
aru-hi-ohime-sama-ni-natte-shimatta-ken-ni-tsuite	ある日、お姫様になってしまった件について	(unknown)
arune-no-file	アルネの事件簿	flowerchild
arupain-kuraimaa	アルパインクライマー	梅澤夏子;横溝邦彦
asuka-chan-wa-ijimeraretai	明日花ちゃんはいじめられたい.	オケイド
atai-to-nechikoyan	あたいとネチコヤン	ゴジョウフミエ
atama-no-naka-no-suzu-senpai	アタマのナカの鈴せんぱい	ウルヒコ;ナナオ
ateuma-chara-no-kuseshite-supadari-ouji-ni-chouai-sarete-imasu	当て馬キャラのくせして、スパダリ王子に寵愛されています。	永田礼路
ato-wa-go-jiyuu-ni-douzo	あとはご自由にどうぞ!	大城戸カロ;石山サヤカ
azawarau-sekai-no-naka-de	嘲笑う世界の中で	岸根靖興
baitosaki-no-senpai-ga-koukousei-janakatta-hanashi	バイト先の先輩が高校生じゃなかった話	梅涼
bake-bake-bake	ベイク・ベイク・ベイク	炊田鳩子
bakee	化け絵	白樺鹿夜
bakishimi	バキしみ	グンピィ1990-;シミケン1979-;川﨑順平
banzoku-tensei-makeikusa-kara-hajimaru-isekai-seifuku	蛮族転生!	esk;鯖井バル
bara-to-tanpopo	ばらとたんぽぽ	okamura
batman-animated-adventures	バットマン:アニメイテッド・アドベンチャー	dinipaul;kanebob;templetonty;彩
batsubatsu-shinaide-tsukimine-san	××しないで!月峰さん。	カシバ
beni-ikkon	紅一献!	西海ミナト
bessekai-no-kirakira-douki-ga-etchi-na-illustration-o-kaite-iru	別世界のキラキラ同期がエッチなイラストを描いている	saku漫画家
