slug	title	our_authors	source_authors(同題)	status
0-ji-o-sugitara-kimi-no-mono	0時を過ぎたら君のもの	茶野マメコ		NOT_FOUND
0-kara-hajimeru-office-rabu	0から始めるオフィスラブ	楠モコ		NOT_FOUND
0-nkirou-ferii-airandaa-0	蜃気楼フェリーアイランダー0	松本零士		NOT_FOUND
0-sai-kara-no-allergy-senki	0歳からのアレルギー戦記	カラスヤサトシ		NOT_FOUND
007-joou-heika-no-007	007女王陛下の007	サイトウ;タカヲ	イアン;サイトウタカヲ;フレミング	AUTHOR_MISMATCH
009-nsoku-no-kaizou-senshizerozeronain	神速の改造戦士009	タナオタナコ;石ノ森章太郎		NOT_FOUND
0nichikon-demo-koishitai	0日婚でも恋したい	青山理砂	青山リサ	AUTHOR_MISMATCH
1-en-no-000-awase	1,000円のしあわせ	シタラマサコ;早川光		NOT_FOUND
1-ga-moshi-sekai-ga-hitotsu-no-class-dattara	マンガもし世界が1つのクラスだったら	大橋弘祐;竹流		NOT_FOUND
1-hongo-ga-hanasenai-roshiajin-bishoujo-tennyuusei-ga-tayoreru-no-wa-tagengo-master-no-ore-hitori	日本語が話せないロシア人美少女転入生が頼れるのは、多言語マスターの俺1人	後藤慶介;逢上オカキ	アサヒ;オカキ;コン;逢上;飴玉	AUTHOR_MISMATCH
1-nen-366-nichi-no-himitsu	1年366日のひみつ	大橋ヨシヒコ;筆吉純一郎	オオハシヨシヒコ;竹内誠	AUTHOR_MISMATCH
1-nen-ichikumi-uchi-no-class-no-joshi-ga-yabai	1年1組うちのクラスの女子がヤバい	衿沢世衣子	世衣子;衿沢	AUTHOR_MISMATCH
1-nichi-2-kai	1日2回	イクエミ綾		NOT_FOUND
1-nichi-ikkai-hateru-made	1日1回、果てるまで…	稲本イネコ		NOT_FOUND
1-tai-2-kousai-wa-rabukome-ni-hairimasuka	1: 2交際はラブコメに入りますか?	服部了		NOT_FOUND
10-bunnoichi-no-hanayome	1/10の花嫁	ユキノ漫画家	ユキノ	AUTHOR_MISMATCH
10-kai-konyaku-haki-sareta-watashi-ga-reitetsu-koushaku-ni-dekiai-dekiaisareru-nante-wana-desu-ka	10回婚約破棄された私が冷徹公爵様に溺愛されるなんて罠ですか?	モリ;香月アコ		NOT_FOUND
10-nen-shitenai-sudachi-san	10年シてないスダチさん	五月雨キョウスケ	高田ローズ	AUTHOR_MISMATCH
10-nenburi-no-hatsukare-ga-sugoi	10年ぶりの初カレがすごい	茶九楽ユッケ	ユッケ;茶九楽	AUTHOR_MISMATCH
10-nenkan-tomodachi-dato-omotteta-otokonoko-ni-kokuhaku-dekiaisareru-ohanashi	10年間友達だと思ってた男の子に告白されるお話	○線		NOT_FOUND
100-nen-no-kyou	100年の経	赤井千歳	千歳;赤井	AUTHOR_MISMATCH
100-nengo-ni-tensei-shita-watashi-zense-no-juukishi-ni-kyuukon-saremashita	100年後に転生した私、前世の従騎士に求婚されました	一分咲;史々花ハトリ		NOT_FOUND
100-nichi-go-ni-shinu-akuyaku-reijou-wa-mainichi-ga-totemo-tanoshii	100日後に死ぬ悪役令嬢は毎日がとても楽しい。	アルクヒト;タミフル		NOT_FOUND
100-se-ari-kare-no-jundo-wa-100	癖あり彼の純度は100%	チマ	藤村綾生	AUTHOR_MISMATCH
100-ten-hyakunin-kyoudai-hyaku-monogatari	100点!!100人兄弟100物語	オゴシユウ		NOT_FOUND
1000-sai-toshishita-no-koutei-ni-shuuchaku-dekiaisaretemasu	1000歳年下の皇帝に執着されてます	kara;leeyunhee		NOT_FOUND
100manboruto-no-kanojo	100万ボルトの彼女	ヒロコ;楯山	楯山ヒロコ	AUTHOR_MISMATCH
101	101	松本大洋		NOT_FOUND
108-kai-korosareta-akuyaku-reijou	108回殺された悪役令嬢	草乃葉オウル;鳥生チノリ		NOT_FOUND
108p	108P!	zensori		NOT_FOUND
10dai-no-hontouni-atta-kandou-taiken	10代の本当にあった感動体験	カワチユカリ;シミズ宇海;ミヅキ水脈;中村美穂;小林カイト;		AUTHOR_MISMATCH
10nenburi-ni-saikai-shita-kusogaki-wa-seijun-bishoujo-jk-ni-seichou-shiteita	10年ぶりに再会したクソガキは清純美少女JKに成長していた	流石ユユシタ;緑青黒羽		NOT_FOUND
10sai-kara-no-kazoku-keikaku	10歳からの家族計画	厦門潤	陸乃家鴨	AUTHOR_MISMATCH
11-banme-no-neko-wa-nene	11番目のねこはねね	ハリカモ		NOT_FOUND
12ji-kara-hajimaru	12時からはじまる	右京アヤネ	左京亜也	AUTHOR_MISMATCH
13-banme-no-tenisha-isekai-de-kami-o-mezasu	13番目の転移者、異世界で神を目指す	マルセイ;青沼		NOT_FOUND
13-kaime-no-ashiato	13回目の足跡	三部敬	ケイ;三部	AUTHOR_MISMATCH
13-nichi-niha-hana-o-kazatte	13日には花を飾って	一色マコト	マコト;一色	AUTHOR_MISMATCH
130senchi-no-dandy	130センチのダンディ	山田南平	南平;山田	AUTHOR_MISMATCH
133cm-no-keshiki	133cmの景色			NOT_FOUND
14sai-no-satoyama-recipe	14歳の里山レシピ	元町夏央		NOT_FOUND
15-15sai-no-ouhi-deshita	転生したら15歳の王妃でした	斧名田マニマニ;片桐辺		NOT_FOUND
15-fun-no-shoujo-tachi	15分の少女たち	カッピー;戸井理恵		NOT_FOUND
15-meisetsu-kougyou-koukou-ragubiibu	15明刹工業高校ラグビー部	成家慎一郎	成瀬芳貴	AUTHOR_MISMATCH
15-shoujo-to-hyouryuuki	15少女と漂流記	ak24;george;mackenzie		NOT_FOUND
16-nen-kimi-o-omou-to-konnani-ookiku	16年、君を想うとこんなに大きく…♡	小豆;青井千寿		NOT_FOUND
165185	165185	野良オバケ		NOT_FOUND
16bit-sensation	16bitセンセーション	若木民喜		NOT_FOUND
17-21	17-21	藤本タツキ		NOT_FOUND
17-sai-kara-yari-naosu-propose	17歳からやり直すプロポーズ	板場広志		NOT_FOUND
18-ikooru-80	18=80	岩渕竜子	岩渕;竜子	AUTHOR_MISMATCH
18-ji-kara-boku-no-mono	18時から僕のもの	能登山ケイコ	ケイコ;能登山	AUTHOR_MISMATCH
1936-2021-furuya-mitsutoshi-memorial-selection	1936-2021古谷三敏メモリアルセレクション	古谷三敏		NOT_FOUND
1978-nen-no-mangamushi	1978年のまんが虫	細野不二彦	不二彦;細野	AUTHOR_MISMATCH
1985-nen-no-sodomu	1985年のソドム	古屋兎丸		NOT_FOUND
19banme-no-karte	19番目のカルテ	frankmatt		NOT_FOUND
1f-no-kishi	1Fの騎士	タケウチホロウ		NOT_FOUND
1ldk-to-futari	1LDKとふたり	和間ソバエ		NOT_FOUND
1nen-3kumi-momochan-sensei	1ねん3くみ桃ちゃん先生。	紺野比奈子	ヒナ	AUTHOR_MISMATCH
2-ban-sekando	2番セカンド	小木ハム		NOT_FOUND
2-dome-no-karada-wa-gaman-ga-dekinai	2度目のカラダは我慢ができない	桜井飛鳥		NOT_FOUND
2-mankounen-tonde-niigata	2万光年翔んで新潟	魔夜峰央	峰央;魔夜	AUTHOR_MISMATCH
2-nen-1-kumi-uchi-no-class-no-joshi-ga-yabai	2年1組うちのクラスの女子がヤバい	衿沢世衣子	世衣子;衿沢	AUTHOR_MISMATCH
2-nen-b-gumi-onee-sensei	2年B組オネェ先生	濃口kiki	高瀬雛	AUTHOR_MISMATCH
2-ritsu-toaaru-gakuen-2nen-hoshigumi-monogatari	私立トアール学園2年☆組物語	石川マサキ		NOT_FOUND
2-saisa-no-osananajimi	2歳差の幼なじみ	イトノコ		NOT_FOUND
2-tengo-jigen-no-oshi-ga-classmate-ni-narimashita	2.5次元の推しがクラスメイトになりました!?	ツクシロ夕莉	ツクシロ;夕莉	AUTHOR_MISMATCH
2-tengojigen-no-ririsa	2.5次元の誘惑(リリサ)	橋本悠		NOT_FOUND
20-dai-no-kokoro-to-karada	20代の心とカラダ	モリタユウコ;坂井トオコ;朔本敬子;水月ヒカル;沖野ヨーコ		AUTHOR_MISMATCH
20-dai-no-real	20代のリアル	カタオカミサオ;朔本敬子;水月ヒカル;街田チカ;高橋真貴子		NOT_FOUND
20-dai-oya-o-mitoru	20代、親を看取る。	2023;キクチpub	キクチ	AUTHOR_MISMATCH
