type	slugs	titles	ISBN数
EXACT(完全複製)	ajia-he-no-michi | kenshuusei-jidai | senri-no-michi-mo	千里の道も-アジアへの道- | 千里の道も-研修生時代- | 千里の道も	54
EXACT(完全複製)	honnyaragokko-kariage-kun | kariage-kun	ほんにゃらゴッコ かりあげクン | かりあげクン	47
EXACT(完全複製)	clamp-premium-collection-holic | xxxholic	CLAMP PREMIUM COLLECTION ×××HOLiC | xxxHOLiC	38
EXACT(完全複製)	boys-be-2nd-season | boys-be	Boys be… 2nd season | BOYS BE…	33
EXACT(完全複製)	genjuu-no-kuni-monogatari-1997 | genjuu-no-kuni-monogatari	幻獣の国物語 | 幻獣の國物語	27
EXACT(完全複製)	eikou-no-naporeon | eroika	栄光のナポレオン | エロイカ	26
EXACT(完全複製)	kowai-hon | umezu-kazuo-kowai-hon | zoku-kowai-hon	こわい本 | 楳図かずおこわい本 | ゾクこわい本	21
EXACT(完全複製)	shin-agatte-nanbo-taichiyo-nakuna | shinshin-agatte-nanbo-taichi-yo-nakuna	新上ってなンボ!!太一よ泣くな | 新々上ってなンボ!!太一よ泣くな	21
EXACT(完全複製)	kita-no-doryuu | kita-no-mogura	北の土龍 | 北の土竜	20
EXACT(完全複製)	kunisaki-izumo-no-jijou-2010 | kunisaki-izumo-no-jijou	国崎出雲の事情 | 國崎出雲の事情	16
EXACT(完全複製)	10-ko-iri-hani-tarou-desu | 3-banme-no-hani-tarou-desu | 7-banme-no-hani-tarou-desu | boyoyon-hani-tarou-desu | curry-aji-hani-tarou-desu | hanitarou-desu | irasshaimase-hani-tarou-desu | jinrui-metsubou-made-hani-tarou-desu | koryamata-hani-tarou-desu | maa-iijan-hani-tarou-desu | nannokotcha-hani-tarou-desu | upupu-hani-tarou-desu | yappari-hani-tarou-desu	10コ入りハニ太郎です。 | 3ばんめのハニ太郎です。 | 7ばんめのハニ太郎です。 | ぼよよんハニ太郎です。 | カレー味ハニ太郎です。 | ハニ太郎です。 | いらっしゃいませ❤ハニ太郎です。 | 人類滅亡までハニ太郎です。 | こりゃまたハニ太郎です。 | まぁいいじゃんハニ太郎です。 | なんのこっちゃハニ太郎です。 | うぷぷぷハニ太郎です。 | やっぱりハニ太郎です。	14
EXACT(完全複製)	joshi-joshikousei-girls-hai | joshikousei	女子高生Girls-High | 女子高生	14
EXACT(完全複製)	hihon-gikeiki | masurao	秘本義経記 | ますらお	13
EXACT(完全複製)	hiyoko-brand | oku-sama-wa-joshikousei	Hiyoko brand | おくさまは女子高生	13
EXACT(完全複製)	meioukeikakuzeoraimaa | project-zeoraimaa-omega	冥王計画ゼオライマー | 冥王計画ゼオライマーΩ	12
EXACT(完全複製)	clamp-premium-collection-magic-knight-rayearth | magic-knight-rayearth	CLAMP PREMIUM COLLECTION魔法騎士(マジックナイト)レイアース | 魔法騎士レイアース	10
EXACT(完全複製)	clamp-premium-collection-magic-knight-rayearth-2 | magic-naito-rayearth-2	CLAMP PREMIUM COLLECTION魔法騎士(マジックナイト)レイアース2 | 魔法騎士レイアース2	9
EXACT(完全複製)	akai-hitsuji-no-kokuin | hakushaku-cain | kafuka | wasure-rareta-juliet	赤い羊の刻印 | 伯爵カイン | カフカ | 忘れられたジュリエット	8
EXACT(完全複製)	aporon-no-kanashimi | eiyuu-herakuresu | higeki-no-ou-oidipusu | manga-girishia-shinwa | meikai-no-orufeusu | odeyusseusu-no-koukai | oryunposu-no-kamigami | toroi-no-mokuba	アポロンの哀しみ | 英雄ヘラクレス | 悲劇の王オイディプス | マンガギリシア神話 | 冥界のオルフェウス | オデュッセウスの航海 | オリュンポスの神々 | トロイの木馬	8
EXACT(完全複製)	d-n-a2 | d-n-ei-2	D・N・〔A^2〕 | D・N・A²	8
EXACT(完全複製)	ao-wakusei-nendaiki | kan-wakusei-nendaiki | sui-wakusei-nendaiki | wakusei-nendaiki-gekkan-sachisachi | wakusei-nendaiki-ruunyan | wakusei-nendaiki | zoku-sui-wakusei-nendaiki	碧水惑星年代記 | 環・水惑星年代記 | 翠水惑星年代記 | 水惑星年代記 月刊サチサチ | 水惑星年代記 月娘 | 水惑星年代記 | 続水惑星年代記	7
EXACT(完全複製)	okashina-okashina-okashina-ano-ko-sarutobi-etsu-chan | okashina-okashina-okashina-anoko-sarutobi-etsu-chan | sarutobi-etsu-chan	おかしなおかしなあの子 さるとびエッちゃん | おかしなおかしなおかしなあの子 さるとびエッちゃん | さるとびエッちゃん	6
EXACT(完全複製)	saishuu-sensou-densetsu | saishuu-sensou	最終戦争伝説 | 最終戦争	6
EXACT(完全複製)	adventure-2030-gakuen | adventure2030-gakuen	アドベンチャー2030学園 | Adventure2030学園	5
EXACT(完全複製)	googoo-oji-san-to-marshmallow | motto-oji-san-to-marshmallow | oji-san-to-marshmallow | souda-oji-san-to-marshmallow | yondara-oji-san-to-marshmallow	ごーごーおじさんとマシュマロ | もっと!おじさんとマシュマロ | おじさんとマシュマロ | そうだ!おじさんとマシュマロ | よんだらおじさんとマシュマロ	5
EXACT(完全複製)	anata-no-omocha | motto-2-kai-anata-no-omocha | motto-3-kai-anata-no-omocha | mottox3-anata-no-omocha	あなたのオモチャ | もっと×2あなたのオモチャ | もっと×3あなたのオモチャ | もっとあなたのオモチャ	4
EXACT(完全複製)	aru-nichi-toaru-nichi-totoaru-nichi-no-kuru | toaru-hi-no-kuru | totoaruhi-no-kuru	ある日とある日ととある日のクル | とある日のクル | ととある日のクル	4
EXACT(完全複製)	astaroth-2003 | astaroth-2017 | astaroth	アスタロト | アスタロト・クロニクル | アスタロト-ASTAROT-	4
EXACT(完全複製)	besuteia | ryuugetsushou	ベスティア | 流月抄	4
EXACT(完全複製)	chou-chou-chou-daimahoutouge | chou-chou-dai-mahou-touge | chou-dai-mahou-touge | dai-mahou-touge	超・超・超・大魔法峠 | 超・超・大魔法峠 | 超大魔法峠 | 大魔法峠	4
EXACT(完全複製)	cue-2004 | cue	CUE | Cue	4
EXACT(完全複製)	god-mazinger | majindensetsu	ゴッドマジンガー | 魔神伝説	4
EXACT(完全複製)	mikke-neko-banashi | neko-banashi-pandania-2020 | nyanto-neko-banashi | yotsu-neko-banashi	みっけ!ねこむかしばなし | ねこむかしばなし | にゃんと!ねこむかしばなし | よっ!ねこむかしばなし	4
EXACT(完全複製)	neko-youkai-gorogoro | neko-youkai-mugyutsu | neko-youkai	ねこようかいゴロゴロ | ねこようかいムギュッ! | ねこようかい	4
EXACT(完全複製)	24colors | colors-1992	24COLORS | COLORS カラーズ	3
EXACT(完全複製)	fire-emblem-thracia-776-2000 | fire-emblem-thracia-776	ファイアーエムブレム トラキア776 | FIRE EMBLEM THRACIA 776	3
EXACT(完全複製)	gudaguda-ace | koha-ace-collection | koha-ace-ekkusupii | koha-ace-iiekkusu | koha-ace	ぐだぐだエース | コハエースこれくしょん | コハエースXP | コハエースEX | コハエース	3
EXACT(完全複製)	idol-sousei-densetsu-princess | princess	美少女創世伝説プリンセス | Princess	3
EXACT(完全複製)	king-z | king	キングZ | King	3
EXACT(完全複製)	mayonaka-no-jewel | motto-mayonaka-no-jewel | motto-motto-mayonaka-no-jewel	真夜中のジュエル | もっと真夜中のジュエル | もっともっと真夜中のジュエル	3
EXACT(完全複製)	neko-monster-fumifumi | neko-monster-nyaao | neko-monster	ねこもんすたーフミフミ | ねこもんすたーニャーオ! | ねこもんすたー	3
EXACT(完全複製)	soredemo-majime-ni-danjo-kousai | yappari-majime-ni-danjo-kousai	それでもまじめに!男女交際 | やっぱりまじめに!男女交際	3
EXACT(完全複製)	gift-2006 | gift-2012 | gift-hirose-2003	Gift | gift | Gift	2
EXACT(完全複製)	ginneko-minmin | usaneko-chan	ぎんねこMINMIN | うさねこちゃん	2
EXACT(完全複製)	kuro-tokage | kurotokage-2019	黒とかげ | 黒トカゲ	2
EXACT(完全複製)	sherlock-berugureebia-no-shuubun | sherlock-ooinaru-game	SHERLOCKベルグレービアの醜聞 | SHERLOCK大いなるゲーム	2
EXACT(完全複製)	shinpika-mizuki-shigeru-den | watashi-ha-gegege	神秘家水木しげる伝 | 私はゲゲゲ	2
EXACT(完全複製)	tales-of-destiny-inomata-2000 | tales-of-destiny2	Tales of Destiny | Tales of Destiny2	2
EXACT(完全複製)	venus-2015 | venus	ヴィーナス | Venus	2
HIGH(高重なり)	bukkomi-no-taku | kaze-densetsu-bukkomi-no-taku	特攻の拓 | 疾風伝説特攻の拓	20/23
HIGH(高重なり)	yume-de-aetara-1985 | yume-de-aetara-2000	夢で逢えたら | 夢で逢えたら	15/16
HIGH(高重なり)	charenjaazu | koisuru-bou-kun	チャレンジャーズ | 恋する暴君	14/14
HIGH(高重なり)	fire-emblem-1993 | fire-emblem-nintendo-1996	ファイアーエムブレム | ファイアーエムブレム	11/12
HIGH(高重なり)	ninja-hattori-kun | ninjahattori-kun	忍者ハットリくん | 忍者ハットリくん	11/11
HIGH(高重なり)	gifuu-doudou | gifuu-doudou-naoe-kanetsugu-maeda-deka-hanagatari	義風堂々!! | 義風堂々!!直江兼続-前田慶次花語り	10/12
HIGH(高重なり)	perman | perman-fujiko-1979	パーマン | パーマン	10/10
