slug	title	current_kana
basara-2592	「少年忍者バサラくん」芙蓉姫退屈記	少年忍者バサラ君芙蓉姫退屈記
basara-3001	戦国群笑伝少年忍者バサラくん	少年忍者バサラ君戦国群笑伝
buru	死刑執行人ブル	列刑執行人・ブルー
doridorikyasusan	ドリドリキャス子さん	ドリドリキャス子サン
fueaueino	フェアウエイの侍	フェアウエイノ侍
fushidarana	ふしだらな脚本	フシダラナ脚本
garu	天馬の空	鬼ガ疾ル
iyorimosetsunakute	思い出よりもせつなくて	想イ出ヨリモセツナクテ
kanarinokanata	遙かなり夢のかなた	遙カナリ夢ノカナタ
magajin-1888	少年マガジン大全集復刻版	少年マガジン大全集復刻版
magajin	少年マガジン大全集復刻版	少年マガジン大全集復刻版
makinonansensu	佐々木マキのナンセンサス世界	佐々木マキノナンセンス世界
manga	マンガ三國志	マンガ三國志)
mue48	Mue48時間	Mue48時間
niikyonshikun	你好キョンシーくん	ニイ好キョンシークン
nodarutanyan	風のダルタニヤン	風ノダルタニャン
purojiekutoxtachi-0044	海底3000メートルの大捜索	プロジェクトX挑戦者タチ
purojiekutoxtachi-0204	富士山レーダー巨大台風から日本を守れ	プロジェクトX挑戦者タチ
purojiekutoxtachi-0266	救命救急ER誕生	プロジェクトX挑戦者タチ
purojiekutoxtachi-0983	日本初のハイウエー勝負は天王山	プロジェクトX挑戦者タチ
purojiekutoxtachi-0990	魔の山大遭難決死の救出劇	プロジェクトX挑戦者タチ
purojiekutoxtachi-1027	友の死を越えて	プロジェクトX挑戦者タチ
purojiekutoxtachi-8394	ツッパリ生徒と泣き虫先生	プロジェクトX挑戦者タチ
purojiekutoxtachi-8424	82億食の奇跡	プロジェクトX挑戦者タチ
purojiekutoxtachi-8431	夢のロータリーエンジン誕生	プロジェクトX挑戦者タチ
purojiekutoxtachi-8455	翼はよみがえった	プロジェクトX挑戦者タチ
purojiekutoxtachi-8462	炎上男たちは飛び込んだ	プロジェクトX挑戦者タチ
purojiekutoxtachi-8509	腕と度胸のトラック便	プロジェクトX挑戦者タチ
purojiekutoxtachi-8592	東京タワー恋人たちの戦い	プロジェクトX挑戦者タチ
purojiekutoxtachi-8684	制覇せよ世界最高峰レース	プロジェクトX挑戦者タチ
purojiekutoxtachi-8769	厳冬黒四ダムに挑む	プロジェクトX挑戦者タチ
purojiekutoxtachi-8875	男たち不屈のドラマ瀬戸大橋	プロジェクトX挑戦者タチ
purojiekutoxtachi	8ミリの悪魔vs特命班	プロジェクトX挑戦者タチ
purojiekutoxtachi2	執念が生んだ新幹線	プロジェクトX挑戦者タチ〔第2版〕
r-0054222	クビライ	文明ノ道
r-1064454	亜里沙	亜里砂
r-1086685	丹下左膳 ピストルをあたまにのせた人びと	手塚治虫漫画全集
r-1782014	竹宮恵子作品集	竹宮恵子作品集
r-1782038	竹宮恵子作品集	竹宮恵子作品集
r-2027084	殺意の底	竹宮恵子SF短篇集
r-3611193	蒼の男	譚詩
r-3966128	Mindy land	魔法帝国
r-4443774	前線と銃後	前線ト銃後
r-4952699	絶倫教授の実験体	絶倫教授ノ実験体
r-5910498	怪奇大作戦+学園名主	怪奇大作戦+学園名主
r-6027884	幼年期安倍晴明異聞未明の獣	幼年期安倍晴明異聞未明ノ獣
r-6172615	フランス窓便り	田淵由美子作品集
r-6172622	こさあじゅ	田淵由美子作品集
r-6300877	三国志曹操伝	三國志曹操伝
r-6728036	真・隷嬢物語	新・隷嬢物語
r-8165936	獣道	獣道
r-8301074	口の興奮	日ノ興奮
raiano	ライアー〜嘘の箱庭〜	ライアー〜嘘ノ箱庭〜
ribonmanga-5227	7枚のポートレート	リボン新人マンガ傑作集
ribonmanga	虹を渡る7人	リボン新人マンガ傑作集
sasayananae-3186	真貴子	ササヤナナエ作品集
sasayananae	あほんだら	ササヤナナエ作品集
sayonara	さよなら!!岸壁先生	サヨナラ岩壁先生
seishun-sankaku	青春△	青春トライアングル
shinderera	シンデレラ特急	シンデレラ特急
shirubesutanokara	シルベスターの星から	シルベスターノ星カラ
sraifu	望'sらいふ	望’sライフ
supesharu	餓狼伝説スペシャル	餓狼伝説スペシャル
sutoritofuaita2v	ストリートファイターII V列伝	ストリートファイター2V烈伝
tonotatakai	豊臣秀吉と天下統一のたたかい	豊臣秀吉ト天下統一ノタタカイ
yorozuya	よろず屋稼業只今盛業中	ヨロズヤ稼業只今盛業中
