isbn13	date	publisher	title	creators
9784302110766	2026.1	ハーパーコリンズ・ジャパン	愛を運ぶウエイトレス = Waitress carrying love	海青/Bevarly, Elizabeth
9784868051527	2026.1	ヒーローズ	愛しすぎる新妻. 2	御雲, 推
9784867782088	2026.1	秋水社	アイネクライネをうたって. 3	片山, 愁/ヨダカ, ケイ
9784592721789	2026.1	白泉社	青⇔オレンジ. 2	本間, アキラ
9784799221242	2026.1	キルタイムコミュニケーション	アストロキング : 召喚勇者だけど下級認定されたのでメイドハーレムを作ります! 5	GEN/竜庭, ケンジ
9784823609756	2026.1	ジーオーティー	あなたとわたしの恋色模様	
9784785981068	2026.1	少年画報社	異世界水族館のつくりかた = How to make the isekai aquarium : モンスター娘たちと無人島で楽園創造スローライフ! 1	もくはち
9784758088503	2026.1	一迅社	異世界の執着攻めが俺をどろどろに愛し尽くすアンソロジー	
9784799221228	2026.1	キルタイムコミュニケーション	異世界魔術師は魔法を唱えない : THE COMIC. 7	こっぱむ/もち, pub. 2015
9784868051435	2026.1	ヒーローズ	異世界メタラー = isekai metaller. 5	かすが, 龍
9784868120858	2026.1	ワニマガジン社	陰キャ同士のセックスが一番エロいよね	
9784785980993	2026.1	少年画報社	いんびりの村 : 顔の同じ男たち. 2	佐藤, 啓
9784866539379	2026.1	コアマガジン	うしちちガールズ	
9784785981037	2026.1	少年画報社	海の見える台所. 4	福丸, やすこ
9784868120797	2026.1	ワニマガジン社	エロ漫研とかにようこそ!	
9784829627051	2026.1	プランタン出版	『縁結び令嬢』がモテ王子の婚活を手伝ったら、なぜか口説かれているのですが!? 上	藍羽/ナツ, pub. 2016
9784829627068	2026.1	プランタン出版	『縁結び令嬢』がモテ王子の婚活を手伝ったら、なぜか口説かれているのですが!? 下	藍羽/ナツ, pub. 2016
9784867208472	2026.1	コアミックス	狼少年真神くん. 3	青井, ぬゐ
9784065421383	2026.1	講談社	大きいムキムキ小さいむちむち = BIG MUKIMUKI SMALL MUCHIMUCHI. 2	檜原, フキ
9784758088909	2026.1	一迅社	大きな声では言えませんが。. 2	皆月, つなみ
9784758088916	2026.1	一迅社	大きな声では言えませんが。. 3	皆月, つなみ
9784434366871	2026.1	ブラスト出版	おーばーふろぉ. [8]	
9784758089036	2026.1	一迅社	お飾り妻は冷酷旦那様と離縁したい! : 実は溺愛されていたなんて知りません : アンソロジーコミック. 4	
9784758089050	2026.1	一迅社	奥様に捨てられた伯爵様 = The oppressed wife finds happiness by separating from her husband. : 虐げられてきた奥様は、思い切りよく第二の人生に向かいます! 1	セメント食べ太郎/三輪, 有利佳
