slug	title	db	ndl	s2	fill_isbns	class
1-tai-2-kousai-wa-rabukome-ni-hairimasuka	1: 2交際はラブコメに入りますか?	[1, 3]	[]	[]		NDL_NONE
1	1・2作戦	[1, 3]	[1]	[1, 3]		CONT
12-no-kekkon-monogatari	12の結婚物語	[1, 2, 3, 4, 5, 6]	[2, 5]	[2, 5]		CONT
2-tengojigen-no-ririsa	2.5次元の誘惑(リリサ)	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 22, 24, 25]	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]		CONT
20-jisugi-no-houkokukai	20時過ぎの報告会	[1, 3, 5]	[1, 2, 3, 4, 5]	[1, 3, 5]	2:9784046813046;4:9784046839893	FILL
311-anohi-o-wasurenai	3.11あの日を忘れない	[1, 4]	[1, 2, 3, 4, 5]	[1]	2:9784253106511;3:9784253106528	FILL
4-gun-kun-kari	4軍くん〈仮〉	[1, 2, 3, 4, 5, 6, 7, 10, 11, 13]	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]	[1, 2, 3, 4, 6, 7]	8:9784088934372;9:9784088935829;12:9784088940274	FILL
aan-kremlin-iq200-no-soap-story	あぁん・クレムリン　IQ200のソープ・ストーリー	[1, 3, 5, 6]	[1, 3, 5, 6]	[1, 3, 5, 6]		CONT
abashiriikka	あばしり一家	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]		CONT
after-midnight-skin	アフター・ミッドナイト・スキン	[1, 2, 3, 6, 7]	[1, 2, 3, 4, 5, 6, 7]	[1, 2, 3, 6, 7]	4:9784592721321;5:9784592721499	FILL
afurete-koborete-gaman-dekinai	溢れて零れて、我慢できない	[1, 3]	[1]	[0, 1, 3]		CONT
aimu-namu	アイムナム	[1, 3]	[1, 2, 3]	[1, 3]	2:4091216323	FILL
aio-ageyou	愛をあげよう	[1, 2, 7, 8, 9]	[1, 7, 8, 9]	[1, 2, 7, 8, 9]		CONT
aisanai-to-iwaremashitemo	愛さないといわれましても	[1, 2, 3, 6, 7]	[1, 2, 3, 4, 5, 6, 7]	[1, 2, 3]	4:9784575420104;5:9784575421422	FILL
akahishi-no-eleven	赤菱のイレブン	[1, 4, 5]	[1, 2, 3, 4, 5]	[1, 4, 5]	2:9784575941395;3:9784575942002	FILL
akako	吾可子	[1, 3]	[1, 2, 3]	[1, 2, 3]	2:9784864420433	FILL
akashiro-tamago	赤白たまご	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]		CONT
akimoto-osamu-no-naisu-na-choice-kochikame-live	秋本治のナイス!なチョイスこち亀live!!	[1, 2, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 18]	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]	[7, 8, 9, 10, 12, 13, 14, 15, 16, 17]	3:9784081152346;4:9784081152353;5:9784081152360;6:9784081152377;11:9784081152421	FILL
akuma-to-keiyaku	アクマと契約	[1, 3]	[]	[1, 3]		NDL_NONE
akuninzura-shita-biikyuu-boukensha	悪人面したB級冒険者	[1, 2, 4]	[1, 2, 3, 4]	[2, 4]	3:9784049163933	FILL
akuu-no-seijo	亜空の聖女	[1, 2, 4]	[1, 2, 3, 4]	[1, 2]	3:9784046837783	FILL
akuyaku-reijou-ni-naritakunai-node-ouji-sama-to-isshokenmei-ni-kanpeki-reijou-o-mezashimasu	悪役令嬢になりたくないので、王子様と一緒に完璧令嬢を	[1, 2, 4]	[1, 2, 3, 4]	[1, 2]	3:9784866697192	FILL
alfheim-no-kishi-ballad	妖精国(アルフヘイム)の騎士Ballad	[1, 2, 3, 4, 5, 6, 7, 9, 10]	[1, 2, 3, 4, 5, 6]	[1, 2, 3, 4, 5]		CONT
alice-no-ochakai	アリスのお茶会	[1, 2, 3, 4, 6]	[1, 2, 3, 4, 6]	[1, 2, 3, 4, 6]		CONT
amakute-atsukute-iki-mo-dekinai	甘くて熱くて息もできない	[1, 2, 4]	[]	[1, 2, 4]		NDL_NONE
anata-o-korosu-tabi	あなたを殺す旅	[1, 3]	[1]	[0, 1, 3]		CONT
anmitsuhime	あんみつ姫	[1, 2, 3, 4]	[1, 2, 3, 4]	[1, 2, 3, 4]		CONT
another-furonteia-online-seisankei-skill-o-kiwametara-cheat-na-enupiishii-o-yatoeru-youni	アナザー・フロンティア・オンライン～生産系スキルを極	[1, 2, 3, 4, 5, 6, 7, 9]	[]	[1, 2, 3, 4, 5, 7]		NDL_NONE
ao-no-hako	アオのハコ	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 19, 21, 22, 23, 24]	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]	17:9784088842073;18:9784088843834;20:9784088845104	FILL
ao-no-otoko	蒼の男	[1, 2, 4, 5]	[1]	[1, 2, 4, 5]		CONT
arafoo-kenja-no-isekai-seikatsu-nikki	アラフォー賢者の異世界生活日記	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17]	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]		CONT
arasu-kagayakeru-tsubasa	Alas～輝ける翼	[1, 2, 3, 4, 5, 6, 7, 8, 10, 11]	[1, 2, 3, 4, 5, 6, 7, 8, 10, 11]	[1, 2, 3, 4, 5, 6, 7, 8, 10, 11]		CONT
arms	ARMS	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]	[1, 2, 3, 4, 5, 6, 10, 11, 12, 13]	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]		CONT
aru-hi-kara-tsukaeru-you-ni-natta-teni-mahou-ga-bannou-de-ikiru-no-ga-tanoshiku-narimashita	ある日から使えるようになった転移魔法が万能で生きるの	[1, 3, 4]	[1, 2, 3, 4, 5]	[3, 4]	2:9784040734392	FILL
aru-majo-ga-shinu-made	ある魔女が死ぬまで	[1, 2, 5]	[1, 2, 3, 4, 5]	[1, 2]	3:9784049159325;4:9784049163674	FILL
asagiiro-no-saudaaji	あさぎ色のサウダージ	[1, 3]	[]	[1, 3]		NDL_NONE
asagiro	アサギロ	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 31, 32]	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]	[1, 2, 3, 4, 7, 8, 9, 10, 11, 12]	30:9784098536917	FILL
asami-mitsuhiko-mystery-and-ryoshuu-suspense	浅見光彦ミステリー&旅愁サスペンス	[1, 4, 5]	[5]	[]		CONT
asami-mitsuhiko-mystery-special	浅見光彦ミステリースペシャル	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24, 25]	[8, 9, 10, 12, 13, 15, 16, 17, 19, 22]	[6, 8, 11, 15, 17]		CONT
asatarou-den	朝太郎伝	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]	[1, 2, 3, 4, 5, 6, 7]		CONT
ashita-kimi-to-koi-o-shiru	あした、君と恋を知る	[1, 3]	[1, 2, 3]	[0, 3]	2:9784396792466	FILL
atagoul	アタゴオル	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]		CONT
b-boy	b-Boy	[1, 8, 10, 21]	[]	[8]		NDL_NONE
b-t-x-1999	B'T X-ビート・エックス-	[1, 2, 3, 4, 5, 6, 7, 8, 13, 14, 15]	[]	[13, 14, 15]		NDL_NONE
b-t-x	ビート・エックス	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 16]	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]	13:4047132691;14:4047132845;15:4047133027	FILL
baitosaki-no-senpai-ga-koukousei-janakatta-hanashi	バイト先の先輩が高校生じゃなかった話	[1, 3]	[]	[1, 3]		NDL_NONE
beat-motion	BEAT & MOTION	[1, 2, 3, 4, 6]	[1, 2, 3, 4, 5, 6]	[1, 2, 4, 6]	5:9784088842233	FILL
beck	BECK	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34]	[1]	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]		CONT
belles-ruelles	BELLES RUELLES	[1, 3]	[1, 2]	[1]	2:9784408641515	FILL
best-of-naka-tomoko	閑古鳥の巣	[1, 3]	[1]	[1]		CONT
big-rival	ビッグライバル	[1, 3]	[1, 3]	[1]		CONT
bikkuriman-omoshirorando	ビックリマン おもしろランド	[1, 2, 3, 5]	[]	[1, 2, 3]		NDL_NONE
billion-dollar-slave	ビリオンダラー・スレイブ	[1, 3, 4]	[1, 2, 3, 4]	[1, 3, 4]	2:9784065367834	FILL
bird	バード	[1, 3, 4, 5, 6, 7, 8]	[]	[1, 3, 4, 5, 6, 7, 8]		NDL_NONE
birth-2002	BIRTH	[1, 9]	[]	[1, 9]		NDL_NONE
bishou-hari	美少玻璃	[1, 2, 3, 5, 6, 7]	[2, 3, 4, 5, 6, 7]	[3, 5, 6]	4:4790106837	FILL
bishuu-gyakuten-sekai-no-kurerikku	美醜逆転世界のクレリック	[1, 3, 4]	[1, 2, 3, 4]	[3, 4]	2:9784086315029	FILL
blade-bastard	ブレイド&バスタード	[1, 2, 3, 5, 6, 7, 8]	[1, 2, 3, 4, 5, 6, 7, 8]	[5, 6, 7, 8]	4:9784434341243	FILL
bocchi-za-rock-gaiden-hiroi-kikuri-no-fukazake-nikki	ぼっち・ざ・ろっく!外伝廣井きくりの深酒日記	[1, 2, 5, 6]	[]	[2, 5, 6]		NDL_NONE
bokutachi-no-kichijouji-koimonogatari	ぼくたちの吉祥寺恋物語	[1, 2, 3, 4, 6]	[1, 2, 3, 4, 6]	[1, 2, 3, 4]		CONT
bolt-and-nut	ボルト＆ナット	[1, 2, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18]	[]	[1, 2, 4, 5, 6, 7, 8, 9, 11, 12]		NDL_NONE
bonbaaman-4-koma-manga-oukoku	ボンバーマン4コマまんが王国	[1, 3, 4]	[1, 3, 4]	[1, 3, 4]		CONT
bou-kun-vaaderu-no-hanayome-shoya-hen	暴君ヴァーデルの花嫁 初夜編	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 17, 18, 19, 20, 21]	[1]	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]		CONT
bou-kun-vaaderu-no-hanayome	暴君ヴァーデルの花嫁	[1, 2, 3, 13, 14, 15, 16]	[1]	[1, 2, 3, 13, 14, 15, 16]		CONT
boukenshatachi-no-sekaishi	冒険者たちの世界史	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24]	[1, 2, 3, 4, 5]	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]		CONT
bubble	バブル	[1, 2, 3, 4, 5, 6, 8, 9, 10]	[]	[1, 2, 3, 4, 5, 6]		NDL_NONE
buchigire-reijou-wa-houfuku-o-chikaimashita	ブチ切れ令嬢は報復を誓いました。	[1, 2, 3, 4, 6, 7, 8, 9, 10]	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]	[7, 8, 9, 10]	5:9784798633695	FILL
can-you-do-asachun-with-me-for-save-the-worldsekaiwosukuutamenitsugutotoasachundekimasuka	世界を救うために亜人(わたし)と朝チュンできますか?	[1, 2, 3, 4, 5, 6, 7, 9]	[1, 2, 3, 4, 5, 6, 7]	[1, 2, 3, 4, 5, 6, 7]		CONT
canon-1989	カノン	[1, 8]	[]	[1]		NDL_NONE
canon-1995	CANON	[1, 2, 3, 4, 8]	[]	[1, 2, 3, 4]		NDL_NONE
canon-2023	カノン	[1, 8]	[]	[0]		NDL_NONE
capeta	capeta	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]	[1, 2, 3, 4, 5, 10, 11, 12, 13, 14]	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]		CONT
captain-kid	キャプテンキッド	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]		CONT
chameleon-wa-tenohira-ni-koi-o-suru	カメレオンはてのひらに恋をする。	[1, 2, 4]	[1, 2, 3, 4]	[1, 2, 4]	3:9784757598133	FILL
