isbn13	date	publisher	series	volume	title	kana	creators	creators_roled	creators_auth
9784785968281	2021.1	少年画報社	Comic ; 880. ぐる漫		アウトドアごはん	アウトドアゴハン			
9784821128211	[2021]	ぶんか社	Bunkasha comics		あなたが体験した怖い話 : 最強霊能者スペシャル!! : ローソン限定版 : オール読み切り傑作選!!	アナタガタイケンシタコワイハナシ:サイキョウレイノウシャスペシャル!!:ローソン			
9784591169490	2021.1	ポプラ社		6	アニメコミックおしりたんてい. 6	アニメコミックオシリタンテイ			
9784864424042	2021.1	東京漫画社			市川けい画業10周年ファンブック「K」 = K 10th Anniversary FanBook	イチカワケイガギョウジッシュウネンファンブックケー	市川, けい	市川けい:著	市川, けい|01203185|イチカワ, ケイ
9784864424059	2021.1	東京漫画社			市川けい画業10周年ファンブック「K」 = K 10th Anniversary FanBook	イチカワケイガギョウジッシュウネンファンブックケー	市川, けい	市川けい:著	市川, けい|01203185|イチカワ, ケイ
9784065223468	2021.2	講談社		39	宇宙兄弟 39	ウチュウキョウダイ	小山, 宙哉	小山宙哉著:	
9784065244616	2021.9	講談社		40	宇宙兄弟 40	ウチュウキョウダイ	小山, 宙哉	小山宙哉著:	
9784592162797	2021.3	白泉社		第19巻	大奥 第19巻	オオオク	よしなが, ふみ	よしながふみ著:	
9784867040560	2021.1	楽楽出版	RKムック		叶精作DX	カノウセイサクDX	叶, 精作, 1949-		叶, 精作, 1949-|00026708|カノウ, セイサク, 1949-
9784098504497	２０２１．２	小学館	ゲッサン少年サンデーコミックススペシャル	15	からかい上手の高木さん 15	カラカイジョウズノタカギサン	山本, 崇一朗	山本崇一朗:著	
9784065257982	2021.11	講談社		19	きのう何食べた? 19	キノウナニタベタ?	よしなが, ふみ	よしながふみ著:	
9784299013002	2021.1	宝島社			「鬼滅の暗号」解読の書	キメツノアンゴウカイドクノショ	滝音, 能之, 1953-	瀧音能之:監修	滝音, 能之, 1953-|00217457|タキオト, ヨシユキ, 1953-
9784774788906	2021.1	コスミック出版	COSMIC MOOK		鬼滅の刃鬼殺隊血闘史最終考察	キメツノヤイバキサツタイケットウシサイシュウコウサツ			
9784821168293	2021.1	ぶんか社	ぶんか社ムック. 本当にあった笑える話		恐怖!心霊&amp;絶叫体験	キョウフ!シンレイ&amp;ゼッキョウタイケン			
9784798624020	2021.1	ホビージャパン			首・肩・腕の描き方 : 写真と図解でよくわかる	クビカタウデノエガキカタ:シャシントズカイデヨクワカル	糸井, 邦夫	糸井邦夫:監修	糸井, 邦夫|01144937|イトイ, クニオ
