isbn13	date	publisher	series	volume	title	kana	creators	creators_roled
9784805318393	[2024]	チャールズ・イー・タトル出版			AKUTAGAWA&#39;S RASHÔMON and OTHER STORIES : THE MANGA EDITION	アクタガワズラショウモンアンドアザーストーリーズ:ザマンガエディション	芥川, 竜之介, 1892-1927/mkdeville/Nicloux, Ph	Ryunosuke Akutagawa [原作]:/mkdeville [翻案]:/Philippe Nicloux [イラスト]:
9784758018586	2024.1	一迅社	ベビードール×comics		悪役令嬢のはずが、絶倫溺愛ルートでトロトロに愛されちゃうアンソロジー	アクヤクレイジョウノハズガ、ゼツリンデキアイルートデトロトロニアイサレチャウアン		
9784799765371	2024.1	リブレ	クロフネcomics. くろふねピクシブシリーズ		悪役令嬢は溺愛エンドを回避できません! : アンソロジー	アクヤクレイジョウワデキアイエンドオカイヒデキマセン!:アンソロジー		
9784867207093	[2024]	コアミックス	ゼノンコミックス	1	アテナの卒業式 : 中学校教師菜花さきの戦い. 1	アテナノソツギョウシキ:チュウガッコウキョウシナバナサキノタタカイ	戸井, 理恵/のぶ	戸井理恵:/のぶ:監修
9784821157648	2024.1	ぶんか社	Bunkasha comics		あなたが体験した怖い話 : 怖い部屋	アナタガタイケンシタコワイハナシ:コワイヘヤ		
9784065360002	2024.7	講談社		44	宇宙兄弟 44	ウチュウキョウダイ	小山, 宙哉	小山宙哉著:
9784758039819	2024.1	一迅社	IDコミックス. Zero-sum comics		お飾り妻は冷酷旦那様と離縁したい! : 実は溺愛されていたなんて知りません : アンソロジーコミック	オカザリヅマワレイコクダンナサマトリエンシタイ!:ジツワデキアイサレテイタナンテ		
9784088934747	2024.12	集英社		16	推しの子 16	オシノコ	横槍, メンゴ/赤坂, アカ	赤坂アカ著 ; 横槍メンゴ著:
9784838756438	2024.1	マガジンハウス	マガジンハウスムック		大人も読みたい藤子・F・不二雄100 : THE BEST OF FUJIKO・F・FUJIO	オトナモヨミタイフジコエフフジオヒャク:ザベストオブフジコエフフジオ		
9784821157785	2024.1	ぶんか社	Bunkasha comics	Vol. 40	俺流!絶品めし. Vol. 40	オレリュウ!ゼッピンメシ		
9784396750534	2024.10	祥伝社		4	女の園の星 4	オンナノソノノホシ	和山, やま	和山やま著:
9784099431488	2024.1	小学館	ゲッサン少年サンデーコミックススペシャル	20	からかい上手の高木さん. 20	カラカイジョウズノタカギサン	山本, 崇一朗	山本崇一朗:著/山本崇一朗:著
9784098530977	２０２４．１	小学館	ゲッサン少年サンデーコミックススペシャル	20	からかい上手の高木さん 20	カラカイジョウズノタカギサン	山本, 崇一朗	山本崇一朗:著
