slug	title	db_nums	ndl_nums	class	fill_isbns
17sai	17歳	[2]	[]	NDL_NONE	
4-zun-yon	シーズン4	[4]	[]	NDL_NONE	
40-made-ni-shitai-10-no-koto	40までにしたい10のこと	[2]	[]	NDL_NONE	
5-nenburi-ni-tsunagaru-moto-kare-ishi-kara-tsutawaru-atsui-netsu	5年ぶりに繋がる元カレ医師から伝わる熱い熱	[2]	[]	NDL_NONE	
ai-no-fujitsubo	愛のふじつぼ	[1, 2]	[1, 2]	MISSING	
ai-no-shin-tairiku	愛の新大陸	[6]	[1]	TRUE_SINGLE	1:4088477057
aitora	#アイトラ	[1, 3]	[]	NDL_NONE	
aku-no-hana-2011	悪の華	[3]	[]	NDL_NONE	
akushumi-na-bigaku	悪趣味な美学	[7]	[1]	TRUE_SINGLE	1:4091787762
akuyaku-reijou-ni-tensei-shitara-risou-no-heya-ga-te-ni-hairimashita	悪役令嬢に転生したら理想の部屋が手に入りました!	[2]	[]	NDL_NONE	
amida-shizuku	阿弥陀しずく	[2]	[1, 2]	MISSING	1:9784864420044
angel	Angel	[1, 2, 3, 4, 5, 6, 7]	[]	NDL_NONE	
ano-hi-no-aozora	あの日の青空	[7]	[7]	CONT	
aoi-fuyuko	アオイ冬子	[1, 2]	[1, 2]	MISSING	
aozora-kazoku	あおぞら家族	[2]	[1, 2]	MISSING	1:9784871221719
aporon-ha-shit-suru	アポローンは嫉妬する	[2]	[1]	TRUE_SINGLE	1:4091787711
arakure-neverland	荒くれネバーランド	[2]	[1, 2]	MISSING	
arashi-to-ibuki	あらしといぶき	[2]	[1, 2]	MISSING	1:9784046065032
ashita-ai-kamoshirenai	あした愛かもしれない	[2]	[1, 2]	MISSING	1:9784758024082
atai-to-nechikoyan	あたいとネチコヤン	[2]	[]	NDL_NONE	
awayukishou	淡雪抄	[3]	[1]	TRUE_SINGLE	1:4253095712
ayashii-iyashi-no-yakumo-san	あやしい癒しの八雲さん	[2]	[1, 2]	MISSING	1:9784046835925
b-boy-luv	B-boy luv	[2]	[2]	CONT	
b-boy-petit	B-boyぷち	[2]	[2]	CONT	
banchou-kami-eshi-koitsu-desu	番長!神絵師コイツです!	[2]	[1, 2]	MISSING	
baroque-2017	バロック	[3]	[]	NDL_NONE	
batsutsu	バツッ!!	[2]	[]	NDL_NONE	
be-free	Be free!	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]	[]	NDL_NONE	
best-obu-tezuka-osamu	ベスト・オブ・手塚治虫	[2]	[1]	TRUE_SINGLE	1:4081063869
besuteia	ベスティア	[4]	[]	NDL_NONE	
biba-usagi-kozou	ビバ☆うさぎ小僧	[1, 2, 3, 4, 5]	[1, 2, 3, 4, 5]	MISSING	
biiparu-kozou-no-autodoa-kyouhon	ビーパル小僧のアウトドア教本	[2]	[2]	CONT	
black-jack-oavban	BLACK JACK OAV版	[1, 2]	[1, 2]	MISSING	
