title	author	max_vol	runs(marker:巻数)
夏子の酒（5）	尾瀬あきら	12	通常:12巻(〜12) / 文庫:12巻(〜12)
藤子・F・不二雄SF短編コンプリート・ワークス 愛蔵版（10）	藤子f不二雄	10	愛蔵版:10巻(〜10) / 通常:9巻(〜10)
続戦国自衛隊（8）	田辺節雄	10	文庫:10巻(〜10) / 通常:10巻(〜10)
僕はムコ養子（10）	夢野一子	10	文庫:10巻(〜10) / 通常:10巻(〜10)
ゴーマニズム宣言（8）	小林よしのり	9	文庫:9巻(〜9) / 通常:9巻(〜9)
サイバラ茸（8）	西原理恵子	8	文庫:8巻(〜8) / 通常:7巻(〜8)
虹色のトロツキー（3）	安彦良和	8	通常:8巻(〜8) / 文庫:8巻(〜8)
快傑蒸気探偵団（7）	麻宮騎亜	8	文庫:8巻(〜8) / 通常:8巻(〜8)
シェイプアップ乱（1）	徳弘正也	8	文庫:8巻(〜8) / 通常:7巻(〜8)
What’s　Michael？（7）	小林まこと	8	文庫:8巻(〜8) / ワイド版:8巻(〜8)
アフター0（7）	岡崎二郎	7	文庫:7巻(〜7) / 通常:6巻(〜6)
天使の時空船（6）	松本零士	7	通常:7巻(〜7) / 文庫:6巻(〜6)
野性伝説（7）	戸川幸夫	7	通常:7巻(〜7) / 文庫:6巻(〜7)
てやんでいBaby（7）	とみさわ千夏	7	文庫:7巻(〜7) / ワイド版:7巻(〜7)
花宵道中（1）	斉木久美子	6	文庫:6巻(〜6) / 通常:6巻(〜6)
バラ色の明日完全版（5）	いくえみ綾	6	完全版:6巻(〜6) / 通常:6巻(〜6) / 文庫:4巻(〜4)
7つの黄金郷（エルドラド）（5）	山本鈴美香	6	通常:6巻(〜6) / 文庫:5巻(〜5)
ロリィの青春（6）	上原きみ子	6	文庫:6巻(〜6) / ワイド版:5巻(〜5)
ヤマタイカ（第4巻）	星野之宣	6	通常:6巻(〜6) / 文庫:5巻(〜5)
メフィスト（2）	三山のぼる	6	文庫:6巻(〜6) / 通常:6巻(〜6)
Paradise Kiss 3	矢沢あい	5	通常:5巻(〜5) / 文庫:4巻(〜4)
シガテラ（4）	古谷実	5	通常:5巻(〜5) / 文庫:4巻(〜4)
ぷりぷり県（4）	吉田戦車	5	通常:5巻(〜5) / 文庫:4巻(〜4)
ロッカーのハナコさん（3）	石井まゆみ	5	通常:5巻(〜5) / 文庫:4巻(〜4)
目を閉じて抱いて（1）	内田春菊	5	文庫:5巻(〜5) / 通常:5巻(〜5)
水の森綺譚（5）	坂田靖子	5	文庫:5巻(〜5) / 通常:3巻(〜4)
ブレイクダウン（3）	さいとうたかを	5	通常:5巻(〜5) / 文庫:4巻(〜4)
ファンシィダンス（3）	岡野玲子	5	文庫:5巻(〜5) / 通常:4巻(〜4)
チンギスハーン（5）	横山光輝	5	文庫:5巻(〜5) / 通常:5巻(〜5)
コスモス楽園記（4）	ますむらひろし	5	通常:5巻(〜5) / 文庫:5巻(〜5)
女帝の手記　3	里中満智子	5	通常:5巻(〜5) / 文庫:4巻(〜4)
ガッデム（4）	新谷かおる	5	通常:5巻(〜5) / 文庫:4巻(〜4)
大東京ビンボー生活マニュアル（4）	前川つかさ	5	文庫:5巻(〜5) / ワイド版:5巻(〜5)
隻眼の竜（1）	横山光輝	5	文庫:5巻(〜5) / 通常:4巻(〜6)
アドルフに告ぐ（第4巻）	手塚治虫	5	文庫:5巻(〜5) / 通常:4巻(〜4)
REN-AI恋愛完全版（03）	高河ゆん	4	完全版:4巻(〜4) / 通常:3巻(〜3)
