title	判定	詳細	エントリ
こちら葛飾区亀有公園前派出所	COPY	kochira-katsushikaku-kameari-kouen-mae-hashutsujo∩kochira-katsushikaku-kameari-kouenmae-hashutsujo ISBN一致89%	kochira-katsushikaku-kameari-kouen-mae-hashutsujo(16巻,1980) | kochira-katsushikaku-kameari-kouenmae-hashutsujo(227巻,1977)
日本の歴史	COPY	nihonnorekishi∩nippon-no-rekishi-2007-2 ISBN一致100%	nihonnorekishi(21巻,1967) | nippon-no-rekishi-2007-2(30巻,1967) | nippon-no-rekishi-2013(18巻,1967) | nippon-no-rekishi-2015-10(18巻,1967) | nippon-no-rekishi-2015-2(18巻,1967) | nippon-no-rekishi-2015-3(18巻,1967) | nippon-no-rekishi-2015-4(18巻,1967) | nippon-no-rekishi-2015-5(18巻,1967) | nippon-no-rekishi-2015-6(18巻,1967) | nippon-no-rekishi-2015-7(18巻,1967) | nippon-no-rekishi-2015-8(18巻,1967) | nippon-no-rekishi-2015-9(18巻,1967)
BARレモン・ハート	COPY	bar-lemon-heart-2014∩bar-lemon-heart ISBN一致100%	bar-lemon-heart-2014(38巻,1986) | bar-lemon-heart(63巻,1986)
Boys be…	COPY	boys-be-itabashi-2010∩boys-be ISBN一致100%	boys-be-itabashi-2010(33巻,1992) | boys-be(33巻,1992)
幻獣の國物語	COPY	genjuu-no-kuni-monogatari-1995∩genjuu-no-kuni-monogatari ISBN一致100%	genjuu-no-kuni-monogatari-1995(27巻,1992) | genjuu-no-kuni-monogatari(27巻,1992)
魔法科高校の劣等生	COPY	mahouka-koukou-no-rettousei-2018∩mahouka-koukou-no-rettousei ISBN一致71%	mahouka-koukou-no-rettousei-2012(8巻,2012) | mahouka-koukou-no-rettousei-2018(7巻,2018) | mahouka-koukou-no-rettousei-2025(8巻,2018) | mahouka-koukou-no-rettousei(8巻,2018)
新機動戦記ガンダムW	COPY	shin-mobile-senki-gundam-wing-1996-2∩shin-mobile-senki-gundam-wing ISBN一致100%	shin-mobile-senki-gundam-daburyuu(5巻,1995) | shin-mobile-senki-gundam-wing-1996-2(5巻,1995) | shin-mobile-senki-gundam-wing-1996-3(5巻,1995) | shin-mobile-senki-gundam-wing-1996(4巻,1995) | shin-mobile-senki-gundam-wing(4巻,1995)
こううんりゅうすい〈徐福〉〈信長〉	COPY	kouun-ryuusui-jofuku-nobunaga∩kouun-ryuusui-nobunaga ISBN一致100%	kouun-ryuusui-jofuku-nobunaga(5巻,2018) | kouun-ryuusui-nobunaga(5巻,2018) | kouun-ryuusui(5巻,2018)
NHKその時歴史が動いた	COPY	enueichikee-sono-toki-rekishi-ga-ugoita∩nhk-sono-toki-rekishi-ga-ugoita ISBN一致50%	enueichikee-sono-toki-rekishi-ga-ugoita(4巻,2002) | nhk-sono-toki-rekishi-ga-ugoita(2巻,2002)
少年マガジン大全集復刻版	COPY	magajin-1888∩magajin ISBN一致50%	magajin-1888(2巻,1990) | magajin(2巻,1990)
宇宙戦艦ヤマト	NO_ISBN	全ISBN無=判定不可	uchuu-battleship-yamato(5巻,1974) | uchuu-senkan-yamato-1993(6巻,1974) | uchuu-senkan-yamato(6巻,1974) | uchuusenkanyamato(6巻,1974)
からかい上手の〈元〉高木さん	SPLIT/EDITION	ISBN最大一致0%	karakai-jouzu-no-moto-takagi-san(22巻,2017) | karakaijouzu-no-takagi-san(19巻,2014)
左ききのエレン	SPLIT/EDITION	ISBN最大一致0%	hidarikiki-no-eren-nifuni-2020(5巻,2020) | hidarikiki-no-eren(24巻,2017)
六道の悪女(おんな)たち	SPLIT/EDITION	ISBN最大一致0%	rikudou-no-onnatachi(18巻,2018) | rokudou-no-onnatachi(8巻,2016)
IS〈インフィニット・ストラトス〉	SPLIT/EDITION	ISBN最大一致0%	infinite-sutoratosu(2巻,2019) | is-2010(6巻,2010) | is(17巻,2002)
アイドルマスターミリオンライブ!Blooming Clover〈encore〉	SPLIT/EDITION	ISBN最大一致0%	the-idolm-ster-million-live-blooming-clover-encore(2巻,2024) | the-idolm-ster-million-live-blooming-clover(16巻,2017)
神統記	SPLIT/EDITION	ISBN最大一致0%	shintouki(4巻,2024) | teogonia(10巻,2018)
どうやら私の身体(からだ)は完全無敵のようですね	SPLIT/EDITION	ISBN最大一致0%	douyara-watashi-no-karada-wa-kanzen-muteki-no-you-desu-ne(3巻,2019) | douyara-watashi-no-karada-wa-kanzen-muteki-no-youdesune(9巻,2018)
顔に出ない柏田さんと顔に出る太田君+	SPLIT/EDITION	ISBN最大一致0%	kao-ni-denai-kashiwada-san-to-kao-ni-deru-oota-kun-2024(2巻,2024) | kao-ni-denai-kashiwada-san-to-kao-ni-deru-oota-kun(10巻,2018)
ウルトラセブン	SPLIT/EDITION	ISBN最大一致0%	ultra-seven-1978(4巻,1978) | ultra-seven-productions-1998(2巻,1998) | ultra-seven(6巻,1978)
ウルトラマン	SPLIT/EDITION	ISBN最大一致0%	ultraman-1992(1巻,1979) | ultraman-kazumine-1968(4巻,1968) | ultraman-tsuburaya-1997(2巻,1979) | ultraman(5巻,1978)
犯人たちの事件簿	SPLIT/EDITION	ISBN最大一致0%	hannintachi-no-file-kindaichi-shounen-no-file-gaiden(9巻,2018) | hannintachi-no-file(2巻,2017)
イシャコイ〈i〉	SPLIT/EDITION	ISBN最大一致0%	ishakoi-i(3巻,2019) | ishakoi(6巻,2011)
U12(アンダートゥエルブ)	SPLIT/EDITION	ISBN最大一致0%	u12-2018(3巻,2018) | u12(6巻,2015)
隣人を妹せよ!	SPLIT/EDITION	ISBN最大一致0%	rinjin-o-maiseyo-2013(3巻,2013) | rinjin-o-maiseyo(5巻,2016)
忍法十番勝負	SPLIT/EDITION	ISBN最大一致0%	ninpou-jiyuuban-shiyoubu(1巻,1988) | ninpou-juuban-shoubu-1976(2巻,1976) | ninpou-juuban-shoubu-2003(1巻,2003) | ninpou-juuban-shoubu-shirato(1巻,2000) | ninpou-juuban-shoubu(2巻,1966)
あちらこちらぼくら〈の、あれからとこれから〉	SPLIT/EDITION	ISBN最大一致0%	achira-kochira-bokura-no-arekara-to-korekara(3巻,2020) | achira-kochira-bokura(3巻,2015)
俺ともう一度、初恋(ファーストラブ)。	SPLIT/EDITION	ISBN最大一致0%	ore-to-mou-ichido-first-love(2巻,2023) | ore-to-mou-ichido-hatsukoi(3巻,2024)
楽勝!ハイパー・ドール	SPLIT/EDITION	ISBN最大一致0%	rakushou-hyper-doll-2002(2巻,2002) | rakushou-hyper-doll(3巻,1995)
神秘の世界エルハザード	SPLIT/EDITION	ISBN最大一致0%	shinpi-no-sekai-eruhazaado-tsubura-1996(2巻,1996) | shinpi-no-sekai-eruhazaado(3巻,1996)
シロップ〈HONEY〉	SPLIT/EDITION	ISBN最大一致0%	syrup-honey(1巻,2020) | syrup-night(1巻,2019) | syrup-secret(1巻,2019) | syrup(1巻,2019)
【配信中】女神チャンネル!	SPLIT/EDITION	ISBN最大一致0%	haishin-chuu-megami-channel(2巻,2021) | haishinchuu-megami-channeru(1巻,2020)
宮沢賢治・漫画館	SPLIT/EDITION	ISBN最大一致0%	miyazawa-kenji-mangakan-1985(1巻,1985) | miyazawa-kenji-mangakan(2巻,1985)
蔵出し選集!!コミック乱創刊20周年記念特別編集	SPLIT/EDITION	ISBN最大一致0%	20-radashi-senshuu-comic-ran-soukan-20shuunen-kinen-tokubetsu-henshuu(1巻,2019) | kuradashi-senshuu-comic-ran-soukan-20-shuunen-kinen-tokubetsu-henshuu(1巻,2019)
