class	n	slugs	authors	nvols	isbn_overlap
SAME_AUTHOR	41	mobile-00-gundam-00,mobile-suit-bui-gundam,mobile-suit-gundam-00-2nd-season,mobile-suit-gundam-0083-rebellion,mobile-suit-gundam-00f,mobile-suit-gundam-00i,mobile-suit-gundam-2,mobile-suit-gundam-3-1999,mobile-suit-gundam-age-first-evolution,mobile-suit-gundam-age-second-evolution,mobile-suit-gundam-alive,mobile-suit-gundam-anaheim-record,mobile-suit-gundam-daburuoo-79,mobile-suit-gundam-emuesu-boys,mobile-suit-gundam-emuesuvui-aaru,mobile-suit-gundam-enu-extreme,mobile-suit-gundam-f90-1997,mobile-suit-gundam-f91,mobile-suit-gundam-far-east-japan,mobile-suit-gundam-ji-origin,mobile-suit-gundam-ms-igloo-603,mobile-suit-gundam-reon,mobile-suit-gundam-seed-astray,mobile-suit-gundam-seed-asutorei-aaru,mobile-suit-gundam-seed-destiny-2005,mobile-suit-gundam-seed-destiny-astray,mobile-suit-gundam-seed-destiny-za-edge-dezaia,mobile-suit-gundam-seed-destiny-za-edge,mobile-suit-gundam-seed-destiny,mobile-suit-gundam-seed-eclipse,mobile-suit-gundam-seed-furiidamu-asutorei,mobile-suit-gundam-seed-ri,mobile-suit-gundam-seed,mobile-suit-gundam-twilight-axis,mobile-suit-gundam-yatate-1998,mobile-suit-gundam-za-emuesubui,mobile-suit-gundam-zz,mobile-suit-gundam,mobile-suit-z-gundam,mobile-suit-zeta-gundam-difain,poketsuto-no-naka-no-0080-sou	大森倖三/田口央斗 || 岩村俊哉 || 大森倖三 || 夏元雅人 || ときた洸一/鴇田洸一 || ときた洸一 || コミックス || コミックス || 葛木ヒヨン || ばう || 高山瑞穂 || 近藤和久 || 近藤和久 || 高山瑞穂 || 虎哉孝征 || 矢立肇/富野由悠季/フジイナオキ || 中原れい || 井上大助/池原しげと || 大谷アキラ || 安彦良和/富野由悠季 || MEIMU || 松浦まさふみ || ときた洸一 || 戸田泰成 || 岩瀬昌嗣/高山瑞穂/やまだたかひろ || ときた洸一 || 久織ちまき || 久織ちまき || 矢立肇/富野由悠季 || 曽我篤士 || 矢立肇/富野由悠季/鴇田洸一/千葉智宏 || 石口十 || 岩瀬昌嗣/高山瑞穂 || 高橋寛行 || 岡崎優/高山瑞穂/加登屋みつる || 近藤和久/富野由悠季 || 村上としや || 富野喜幸 || 山口宏 || 富野由悠季/北爪宏幸 || 池原しげと	4,2,4,18,4,3,5,5,3,2,5,4,12,2,11,3,1,1,2,24,2,1,6,4,10,4,2,5,11,4,2,3,10,3,2,3,3,6,4,12,3	no
SAME_AUTHOR	16	heisei-kochikame-13-nen,heisei-kochikame-14-nen,heisei-kochikame-15-nen,heisei-kochikame-16-nen,heisei-kochikame-17-nen,heisei-kochikame-18-nen,heisei-kochikame-19-nen,heisei-kochikame-20-nen,heisei-kochikame-21-nen,heisei-kochikame-22-nen,heisei-kochikame-23-nen,heisei-kochikame-24-nen,heisei-kochikame-25-nen,heisei-kochikame-26-nen,heisei-kochikame-27-nen,heisei-kochikame-28-nen	秋本治 || 秋本治 || 秋本治 || 秋本治 || 秋本治 || 秋本治 || 秋本治 || 秋本治 || 秋本治 || 秋本治 || 秋本治 || 秋本治 || 秋本治 || 秋本治 || 秋本治 || 秋本治	1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2	no
SAME_AUTHOR	12	darling-wa-55sai,darling-wa-70-sai,darling-wa-71-sai,darling-wa-72-sai,darling-wa-73-sai,darling-wa-74-sai,darling-wa-75-sai,darling-wa-76-sai,darling-wa-77-sai,darling-wa-78-sai,darling-wa-79-sai,darling-wa-80-sai	山崎紗也夏 || 西原理恵子 || 西原理恵子 || 西原理恵子 || 西原理恵子 || 西原理恵子 || 西原理恵子 || 西原理恵子 || 西原理恵子 || 西原理恵子 || 西原理恵子 || 西原理恵子	1,1,1,1,1,1,1,1,1,1,1,1	no
SAME_AUTHOR	12	nihonnorekishi,nippon-no-rekishi-2007-2,nippon-no-rekishi-2013,nippon-no-rekishi-2015-10,nippon-no-rekishi-2015-2,nippon-no-rekishi-2015-3,nippon-no-rekishi-2015-4,nippon-no-rekishi-2015-5,nippon-no-rekishi-2015-6,nippon-no-rekishi-2015-7,nippon-no-rekishi-2015-8,nippon-no-rekishi-2015-9	笠原一男 || 井上大助 || いそほゆうすけ/上下 || 吉崎観音/小池田マヤ || 吉崎観音 || 吉崎観音 || 吉崎観音/小林可多入 || 吉崎観音/木山道明 || 吉崎観音/浅井ゆう || 吉崎観音/小川京美 || 吉崎観音/斎藤志穂子 || 吉崎観音/上原佶	21,30,18,18,18,18,18,18,18,18,18,18	yes
SAME_AUTHOR	10	lupin-iii-1998,lupin-iii-2003,lupin-iii-b,lupin-iii-h,lupin-iii-lupin-za-saado-itariaano,lupin-iii-m-neo,lupin-iii-m,lupin-iii-t,lupin-iii-y,lupin-iii	山本修生 || 宮崎駿 || 馬場民雄 || 早川ナオヤ || 早川ナオヤ || 深山雪男 || 深山雪男 || togekinoko || 山上正月 || モンキー・パンチ	2,1,1,1,4,1,5,1,28,26	no
SAME_AUTHOR	10	ultraman-1992,ultraman-a,ultraman-g,ultraman-kazumine-1968,ultraman-story-0,ultraman-taro,ultraman-the-first,ultraman-the-next,ultraman-tsuburaya-1997,ultraman	宮田淳一 || 内山まもる || 島本和彦 || 一峰大二 || 真船一雄 || 内山まもる || 高田裕三 || 沢樹隆広 || 一峰大二/楳図かずお || 楳図かずお	1,1,1,4,16,1,3,1,2,5	no
SAME_AUTHOR	8	epic-of-golgo-13,golgo-13-best-of-200,golgo-13-characters,golgo-13-shorty,golgo-13-special-edition,golgo-13,legend-of-golgo-13-black,legend-of-golgo-13-white	さいとう・たかを || さいとう・たかを || さいとう・たかを || さいとう・たかを || さいとう・たかを/さいとうプロダクション || さいとう・たかを/さいとうプロダクション || さいとう・たかを || さいとう・たかを	3,4,4,8,5,259,1,1	no
SAME_AUTHOR	8	kamen-rider-2011,kamen-rider-black,kamen-rider-ekkusu,kamen-rider-spirits,kamen-rider-v3-x-1973-74,kamen-rider-zx,kamen-rider,kamenrider-zettooo	山田ゴロ || 石ノ森章太郎 || すがやみつる || 村枝賢一 || 尾瀬あきら || 安土じょう/細井雄二/山田ゴロ || 石ノ森章太郎/石川森彦 || 島本和彦	3,9,1,16,1,1,7,1	no
SAME_AUTHOR	7	mahou-shoujo-lyrical-nanoha-exceeds,mahou-shoujo-lyrical-nanoha-innocent,mahou-shoujo-lyrical-nanoha-innocents,mahou-shoujo-lyrical-nanoha-reflection-za-comics,mahou-shoujo-lyrical-nanoha-strikers-the-comics,mahou-shoujo-lyrical-nanoha-the-1st,mahou-shoujo-lyrical-nanoha-vivid	都築真紀/川上修一 || 川上修一 || 川上修一 || 藤真拓哉 || 長谷川光司 || 緋賀ゆかり || 藤真拓哉	2,3,3,2,2,7,20	no
SAME_AUTHOR	7	wild-7-1969,wild-7-1970-71,wild-7-1972,wild-7-1973-74,wild-7-r,wild-7,wild-q	望月三起也 || 望月三起也 || 望月三起也 || 望月三起也 || 望月三起也 || 雨蘭/望月三起也 || 中尊寺ゆつこ	1,1,3,3,2,95,1	no
