title	判定	巻重複	エントリ(巻範囲,冊,ISBN帯,年)
六道の悪女(おんな)たち	AMBIG(要目視)	0	rikudou-no-onnatachi(v9-26,18冊,帯['4253225', '4253228'],[2018]) | rokudou-no-onnatachi(v1-8,8冊,帯['4253225'],[2016])
神統記	AMBIG(要目視)	0	shintouki(v11-14,4冊,帯['4391162', '4391163'],[2024]) | teogonia(v1-10,10冊,帯['4391152', '4391154'],[2018])
どうやら私の身体(からだ)は完全無敵のようですね	AMBIG(要目視)	0	douyara-watashi-no-karada-wa-kanzen-muteki-no-you-desu-ne(v2-13,3冊,帯['4040730', '4040733'],[2019]) | douyara-watashi-no-karada-wa-kanzen-muteki-no-youdesune(v1-11,9冊,帯['4040728', '4040736'],[2018])
犯人たちの事件簿	AMBIG(要目視)	0	hannintachi-no-file-kindaichi-shounen-no-file-gaiden(v3-11,9冊,帯['4065119', '4065137'],[2018]) | hannintachi-no-file(v1-2,2冊,帯['4065104', '4065112'],[2017])
U12(アンダートゥエルブ)	AMBIG(要目視)	0	u12-2018(v7-9,3冊,帯['4065127', '4065148'],[2018]) | u12(v1-6,6冊,帯['4063880', '4063881'],[2015])
隣人を妹せよ!	AMBIG(要目視)	0	rinjin-o-maiseyo-2013(v1-3,3冊,帯['4758081', '4758082'],[2013]) | rinjin-o-maiseyo(v4-8,5冊,帯['4758082', '4758083'],[2016])
俺ともう一度、初恋(ファーストラブ)。	AMBIG(要目視)	0	ore-to-mou-ichido-first-love(v1-2,2冊,帯['4065314', '4065329'],[2023]) | ore-to-mou-ichido-hatsukoi(v3-5,3冊,帯['4065349', '4065387'],[2024])
【配信中】女神チャンネル!	AMBIG(要目視)	0	haishin-chuu-megami-channel(v2-3,2冊,帯['4757570', '4757573'],[2021]) | haishinchuu-megami-channeru(v1-1,1冊,帯['4757567'],[2020])
宮沢賢治・漫画館	AMBIG(要目視)	0	miyazawa-kenji-mangakan-1985(v2-2,1冊,帯['4267010'],[1985]) | miyazawa-kenji-mangakan(v1-3,2冊,帯['4267010', '4267014'],[1985])
からかい上手の〈元〉高木さん	EDITION/別作(巻重複=各々完結)	1.0	karakai-jouzu-no-moto-takagi-san(v1-22,22冊,帯['4091276', '4091280'],[2017]) | karakaijouzu-no-takagi-san(v1-19,19冊,帯['4091250', '4091255'],[2014])
左ききのエレン	EDITION/別作(巻重複=各々完結)	1.0	hidarikiki-no-eren-nifuni-2020(v1-5,5冊,帯['4910184'],[2020]) | hidarikiki-no-eren(v1-24,24冊,帯['4088812', '4088813'],[2017])
IS〈インフィニット・ストラトス〉	EDITION/別作(巻重複=各々完結)	1.0	infinite-sutoratosu(v7-8,2冊,帯['4091575'],[2019]) | is-2010(v1-6,6冊,帯['4091574', '4840137'],[2010]) | is(v1-17,17冊,帯['4063404', '4063405'],[2002])
アイドルマスターミリオンライブ!Blooming Clover〈encore〉	EDITION/別作(巻重複=各々完結)	1.0	the-idolm-ster-million-live-blooming-clover-encore(v1-2,2冊,帯['4049158', '4049162'],[2024]) | the-idolm-ster-million-live-blooming-clover(v1-16,16冊,帯['4048932', '4048933'],[2017])
顔に出ない柏田さんと顔に出る太田君+	EDITION/別作(巻重複=各々完結)	1.0	kao-ni-denai-kashiwada-san-to-kao-ni-deru-oota-kun-2024(v1-2,2冊,帯['4040754', '4040758'],[2024]) | kao-ni-denai-kashiwada-san-to-kao-ni-deru-oota-kun(v1-10,10冊,帯['4040729', '4040732'],[2018])
ウルトラセブン	EDITION/別作(巻重複=各々完結)	1.0	ultra-seven-1978(v1-6,4冊,帯['4257903', '4775910'],[1978]) | ultra-seven-productions-1998(v1-3,2冊,帯['4063420', '4063774'],[1998]) | ultra-seven(v1-6,6冊,帯[],[1978])
イシャコイ〈i〉	EDITION/別作(巻重複=各々完結)	1.0	ishakoi-i(v1-3,3冊,帯['4592157'],[2019]) | ishakoi(v1-6,6冊,帯['4592154'],[2011])
あちらこちらぼくら〈の、あれからとこれから〉	EDITION/別作(巻重複=各々完結)	1.0	achira-kochira-bokura-no-arekara-to-korekara(v1-3,3冊,帯['4834264', '4834265'],[2020]) | achira-kochira-bokura(v1-3,3冊,帯['4091871', '4091897'],[2015])
NHKその時歴史が動いた	EDITION/別作(巻重複=各々完結)	1.0	enueichikee-sono-toki-rekishi-ga-ugoita(v1-4,4冊,帯['4834250'],[2002]) | nhk-sono-toki-rekishi-ga-ugoita(v1-3,2冊,帯['4834250', '4834272'],[2002])
楽勝!ハイパー・ドール	EDITION/別作(巻重複=各々完結)	1.0	rakushou-hyper-doll-2002(v1-2,2冊,帯['4754232'],[2002]) | rakushou-hyper-doll(v1-3,3冊,帯['4198300', '4198301'],[1995])
神秘の世界エルハザード	EDITION/別作(巻重複=各々完結)	1.0	shinpi-no-sekai-eruhazaado-tsubura-1996(v1-3,2冊,帯['4198301'],[1996]) | shinpi-no-sekai-eruhazaado(v1-3,3冊,帯['4812450'],[1996])
少年マガジン大全集復刻版	EDITION/別作(巻重複=各々完結)	0.5	magajin-1888(v1-2,2冊,帯['4063131'],[1990]) | magajin(v1-3,2冊,帯['4063131', '4063132'],[1990])
蔵出し選集!!コミック乱創刊20周年記念特別編集	EDITION/別作(巻重複=各々完結)	1.0	20-radashi-senshuu-comic-ran-soukan-20shuunen-kinen-tokubetsu-henshuu(v1-1,1冊,帯['4845854'],[2019]) | kuradashi-senshuu-comic-ran-soukan-20-shuunen-kinen-tokubetsu-henshuu(v1-1,1冊,帯['4845854'],[2019])
日本の歴史	FAMILY(多数=要個別)	1.0	nihonnorekishi(v1-20,21冊,帯['4081950', '4087461'],[1967]) | nippon-no-rekishi-2007-2(v1-20,30冊,帯['4081950', '4087461'],[1967]) | nippon-no-rekishi-2013(v1-18,18冊,帯[],[1967]) | nippon-no-rekishi-2015-10(v1-18,18冊,帯[],[1967]) | nippon-no-rekishi-2015-2(v1-18,18冊,帯[],[1967]) | nippon-no-rekishi-2015-3(v1-18,18冊,帯[],[1967]) | nippon-no-rekishi-2015-4(v1-18,18冊,帯[],[1967]) | nippon-no-rekishi-2015-5(v1-18,18冊,帯[],[1967]) | nippon-no-rekishi-2015-6(v1-18,18冊,帯[],[1967]) | nippon-no-rekishi-2015-7(v1-18,18冊,帯[],[1967]) | nippon-no-rekishi-2015-8(v1-18,18冊,帯[],[1967]) | nippon-no-rekishi-2015-9(v1-18,18冊,帯[],[1967])
