slug	class	ok	wrong	unknown	db_authors	sample_isbn	sample_verdict	true_title	true_author	max_nshare
jipang	ALL_WRONG	0	62	0	速水翼	9784063287592	WRONG	ジパング（4）	カワグチカイジ	2
worst-komuro-1970	ALL_WRONG	0	29	0	小室孝太郎	9784253202213	WRONG	WORST（5）	高橋ヒロシ	2
high-score-aruko-2002	ALL_WRONG	0	24	0	アルコ	9784088561356	WRONG	HIGH　SCORE（1）	津山チナミ	2
manga-grimm-douwa-2003	ALL_WRONG	0	23	0	魔木子	9784821136797	WRONG	まんがグリム童話	竹崎真実	2
ultraman-g	ALL_WRONG	0	20	0	島本和彦	9784864683210	WRONG	ULTRAMAN	清水栄一/下口智裕	2
gogo-monster	ALL_WRONG	0	18	0	松本大洋	9784091836519	WRONG	MONSTER（1）	浦沢直樹	2
yume-de-aetara-1985	ALL_WRONG	0	15	0	小椋冬美	9784088618371	WRONG	夢で逢えたら（2）	hanako	2
darling-2008	ALL_WRONG	0	13	0	秋本尚美	9784063028744	WRONG	Oh！myダーリン（1）	上田美和	2
gurazeni-pa-riiguhen	ALL_WRONG	0	13	0	コジィ城倉	9784065121450	WRONG	グラゼニ～パ・リーグ編～	森高夕次	2
gurazeni-tokyo-doomuhen	ALL_WRONG	0	13	0	アダチケイジ/コジィ城倉	9784065121450	WRONG	グラゼニ～パ・リーグ編～	森高夕次	2
buyuden	ALL_WRONG	0	12	0	満田拓也	9784091233691	WRONG	BUYUDEN	辻本有博	2
buyuuden	ALL_WRONG	0	12	0	モリヤマツル	9784091233691	WRONG	BUYUDEN	辻本有博	2
meioukeikakuzeoraimaa	ALL_WRONG	0	12	0	高屋良樹	9784199501425	WRONG	冥王計画ゼオライマーΩ	ワタリユウ	2
fire-emblem-1993	ALL_WRONG	0	11	0	島田ヒロカズ	9784796243834	WRONG	ファイアーエムブレム（1）	大沢美月	2
gifuu-doudou	ALL_WRONG	0	10	0	武村勇治/原哲夫/堀江信彦	9784199802287	WRONG	義風堂々!!	山田俊明	2
