slug	verdict	own	wrong	unk	n_ed	authors	wrong_isbns
gurazeni-tokyo-doomuhen	CLEAN	11	0	0	1	アダチケイジ/コージィ城倉	
mobile-suit-gundam-f90ff-fastest-formula	CLEAN	11	0	0	1	今ノ夜きよし	
mahouka-koukou-no-rettousei-2025	CLEAN	8	0	0	1	柚木N'/竹田羽角/佐島勤/飛口芽衣	
darker-than-black	CLEAN	4	0	0	1	岩原裕二	
hayou-no-tsurugi	CLEAN	4	0	0	1	松元陽	
koi-shita-hito-wa-imouto-no-kawari-ni-shinde-kure-to-itta	CLEAN	3	0	0	1	家守まき	
last-man	CLEAN	3	0	0	1	VivésBastien	
lastman	CLEAN	3	0	0	1	二宮裕次	
ringo	CLEAN	3	0	0	1	こいおみなと	
egao-no-yukue	CLEAN	2	0	0	1	SalaSharon/瀧川イヴ	
koori-no-joou	CLEAN	2	0	0	1	リカチ	
tsuukaa-2018	CLEAN	2	0	0	1	しのはらしのめ	
girl	CLEAN	1	0	0	1	早坂いあん	
happy-birthday-komikku	CLEAN	1	0	0	1	オ・スギル	
ragunasenki	CLEAN	1	0	0	1	外薗昌也	
mobile-suit-gundam-thunderbolt	CLEAN	26	0	0	1	太田垣康男/富野由悠季	
persona-2001	CLEAN	5	0	0	2	松枝尚嗣	
es	CLEAN	12	0	1	2	惣領冬実	
hitorijime-my-hero	CLEAN	11	0	4	1	ありいめめこ	
worst	CLEAN	33	0	0	1	髙橋ヒロシ	
buyuden	CLEAN	13	0	0	1	満田拓也	
change-2018	CLEAN	6	0	0	1	曽田正人/冨山玖呂	
tokyo-toyboxes	CLEAN	5	0	0	1	うめ	
final-fantasy-lost-stranger	REPOINT_full	0	12	0	1	むつきらん	9784757555204(ファイナルファンタジーロスト・ストレ/水瀬, 葉月/亀屋, 樹); 9784757557192(ファイナルファンタジーロスト・ストレ/水瀬, 葉月/亀屋, 樹); 9784757559752(ファイナルファンタジーロスト・ストレ/水瀬, 葉月/亀屋, 樹)
