slug	verdict	own	wrong	unk	n_ed	null	authors	wrong_isbns
1-yamamoto-1993	CLEAN_NOW	1	0	0	1	False	山本英夫	
15sai	CLEAN_NOW	2	0	0	1	False	あさぎ龍	
16-sai-kiss	CLEAN_NOW	0	0	1	1	False	宮坂香帆	
17sai	CLEAN_NOW	1	0	0	1	False	清水洋三	
19sai	CLEAN_NOW	0	0	1	1	False	北川夕夏	
24colors	CLEAN_NOW	1	0	0	1	False	千葉コズエ	
27sai	CLEAN_NOW	1	0	0	1	False	わたなべ志穂	
angel	CLEAN_NOW	7	0	0	2	False	遊人	
answer	CLEAN_NOW	9	0	0	1	False	Maria	
bakudan-1995	CLEAN_NOW	0	0	2	1	False	宮下あきら	
box-1991	CLEAN_NOW	2	0	0	2	False	池上遼一	
buyuuden	CLEAN_NOW	1	0	0	1	False	もりやまつる	
colors-2001	CLEAN_NOW	1	0	3	1	False	啄木鳥しんき	
complex	CLEAN_NOW	7	0	0	2	False	まんだ林檎	
complex-kikuchi-2002	CLEAN_NOW	3	0	0	1	False	菊池久美子	
cue	CLEAN_NOW	1	0	0	1	False	花見沢Q太郎	
cue-2004	CLEAN_NOW	3	0	0	1	False	村上かつら	
darling-2008	CLEAN_NOW	2	0	0	1	False	秋本尚美	
desire-1989	CLEAN_NOW	1	0	0	1	False	森園みるく	
doubles-1987	CLEAN_NOW	1	0	0	1	False	佐野未央子	
doubles-1992	CLEAN_NOW	1	0	0	1	False	小谷憲一	
eden-sakurazawa-2014	CLEAN_NOW	1	0	0	1	False	桜沢エリカ	
face	CLEAN_NOW	2	0	0	1	False	ゆきもりりょう	
face-2019	CLEAN_NOW	1	0	0	1	False	サカワキヒロ太	
fight-2006	CLEAN_NOW	1	0	0	1	False	佐々木潤子	
fire-emblem-thracia-776-2000	CLEAN_NOW	0	0	1	1	False	日野慎之助	
gadget	CLEAN_NOW	1	0	0	1	False	衛藤ヒロユキ	
gift-2002	CLEAN_NOW	1	0	0	1	False	中村かなこ	
gift-2009	CLEAN_NOW	2	0	0	1	False	山田J太	
gift-2012	CLEAN_NOW	1	0	0	1	False	塩森恵子	
gift-ichinose-2015	CLEAN_NOW	3	0	0	1	False	一ノ瀬ゆま	
