slug	old_wrong_n	new_own_n	numbers	new_isbns	pubs	titles
angel	7	13	1,2,3,4,5,6,7,8,9,10,11,12,13	9784537106541,9784537107081,9784776793946,9784776793953,9784537107753,9784776794127,9784537107906,9784537108392,9784537109122,9784537109603,9784537125382,9784537125979,9784537126488	宙出版/日本文芸社	Angel; Angel; Angel; Angel
answer	9	2	1,2	9784088445472,9784088444567	集英社	アンサー = Answer; アンサー = Answer
blazblue	2	1	1	9784047129085	KADOKAWA	BLAZBLUE
box-1991	2	1	1	9784091188731	小学館	Box : 暗い箱
comic-higashino-keigo-mystery-2014	2	1	1	9784408174839	実業之日本社	コミック東野圭吾ミステリー
cool	4	3	1,2,3	9784086188753,9784088800882,9784088802473	集英社	COOL; LADY COOL; LADY COOL
eden-sakurazawa-2014	2	1	1	9784420152815	[発売]集英社	エデン
engage-watanabe-2009	1	2	1,2	9784063494228,9784063494327	講談社	エンゲージ; エンゲージ
face	2	1	1	9784779003998	幻冬舎ルネッサンス	フェイス
face-2019	1	1	1	9784537139266	日本文芸社	フェイス : 背徳の囁き
gifuu-doudou	12	17	1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9	9784107714473,9784199800092,9784107714725,9784199800290,9784107714930,9784199800528,9784107715180,9784199800771,9784107715395,9784199801013,9784107715524,9784199801242,9784107715708,9784199801532,9784107715814,9784199801594,9784107715951	ノース・スターズ・ピクチャーズ/徳間書店/新潮社	義風堂々！！直江兼続前田慶次月語り（1）; 義風堂々！！直江兼続〜前田慶次酒語り〜（1）; 義風堂々！！直江兼続前田慶次月語り（2）; 義風堂々！！直江兼続〜前田慶次酒語り〜（2）
gold-2004	2	11	1,2,3,4,5,6,7,8,9,10,11	9784785920852,9784785921101,9784785937386,9784785937546,9784785937737,9784785937898,9784785938062,9784785938277,9784785962791,9784785963019,9784785963224	少年画報社	GOLD（1）; GOLD（2）; GOLD; GOLD
gurazeni-tokyo-doomuhen	11	16	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16	9784063870046,9784063870435,9784063870695,9784063870961,9784063871210,9784063871319,9784063871463,9784063871579,9784063871890,9784063872118,9784063872316,9784063872484,9784063872866,9784063883275,9784063883527,9784063883824	講談社	グラゼニ（01）; グラゼニ（2）; グラゼニ（3）; グラゼニ（4）
joker	12	2	1,2	9784403622243,9784403622427	新書館	JOKER REBOOT; JOKER REBOOT
kirara-hiramatsu-1987	1	1	1	9784845860852	リイド社	キララ
koi-shita-hito-wa-imouto-no-kawari-ni-shinde-kure-to-itta	3	1	1	9784867940143	TOブックス	恋した人は、妹の代わりに死んでくれと言った。
koishita-hito-wa-imouto-no-kawari-ni-shindekure-to-itta-imouto-to-kekkon-shita-kataomoi-aite-ga	3	2	1,2	9784866996806,9784866998442	TOブックス	恋した人は、妹の代わりに死んでくれと言った。; 恋した人は、妹の代わりに死んでくれと言った。
love-taishitsu	2	2	1,2	9784864956222,9784864956420	大都社	恋愛体質 : 恋を知らない僕が君を愛するまで; 恋愛体質 : 恋を知らない僕が君を愛するまで
mahouka-koukou-no-rettousei-2012	8	13	1,2,3,4,5,6,7,8,9,10,11,12,13	9784757542723,9784757544086,9784757545977,9784757547858,9784757550674,9784757554917,9784757557987,9784757563230,9784757568402,9784757579361,9784757589223,9784757594456,9784301000778	スクウェア・エニックス	魔法科高校の劣等生 九校戦編; 魔法科高校の劣等生 九校戦編; 魔法科高校の劣等生 九校戦編; 魔法科高校の劣等生 九校戦編
mahouka-koukou-no-rettousei-2025	8	53	1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,5,5,5,5,5,6,6,7,8,9,10,11,12,13,14,15,16,17,18,19	9784757537224,9784757542723,9784757542730,9784048666152,9784048693080,9784757550681,9784048927222,9784757554917,9784040641379,9784046808332,9784757538696,9784757544086,9784757544093,9784048690584,9784048658720,9784757552081,9784048929806,9784040647135,9784046813190,9784757540194,9784757545328,9784757545977,9784048653022,9784048929073,9784757553675,9784046801852,9784046817686,9784757541917,9784757546813,9784757547858,9784757556195,9784046804693,9784046828484,9784757548169,9784757550674,9784757558038,9784046815187,9784046836441,9784757562790,9784046850393,9784757562806,9784757568396,9784757570177,9784757584914,9784757588158,9784757591271,9784049162554,9784049162561,9784049166200,9784049166217,9784049166224,9784301001980,9784301004202	KADOKAWA/スクウェア・エニックス	魔法科高校の劣等生（1）; 魔法科高校の劣等生九校戦編（1）; 魔法科高校の劣等生横浜騒乱編（1）; 魔法科高校の劣等生　追憶編1
