base	verdict	src	n_pages	titles	outliers	evidence	isbn_audit	reps	rekey
abekubo-kyouju-no-rifujin-na-kougi	merge_all	ORTHO	2	安倍窪教授の理不尽な講義 || 安部窪教授の理不尽な講義		shogakukan/cmoa: 滝沢聖峰『安部窪教授の理不尽な講義』。『安倍窪』は安部→安倍の誤字(タスク例示の典型)。同読み・同作。	ISBN確認	qid:Q11565237|name:安倍窪教授の理不尽な講義	
akatsuki-no-aria	merge_all	SAME_TITLE	2	暁のARIA || 暁のＡＲＩＡ		ja.wikipedia.org/wiki/暁のARIA: 赤石路代作、全14巻の単一作。差は半角ARIA⇔全角ＡＲＩＡのみ。	ISBN確認	qid:Q2880551|name:暁のARIA	
akatsuki-otokojuku	merge_all	ORTHO	2	暁!!男塾 || 曉!!男塾		宮下あきら『暁!!男塾』(natalie.mu/comic/news/31217)。暁/曉は新字/旧字の同一漢字で同題・同kana・同作。	ISBN確認	qid:Q11242326|name:曉!!男塾	
akihi	merge_all	ORTHO	2	〔アキ〕姫 || 燁姫		佐伯かよの『燁姫(あきひ)』(ja.wikipedia/燁姫,bookoffは『燁姫(あき姫)』表記)。〔アキ〕姫はレア漢字燁を読みブラケットで記したMADB表記で同一作、同kanaアキヒ。	版違い疑い	qid:Q11382767|name:〔アキ〕姫	
akuma-no-mama	merge_all	ORTHO	2	Akuma no mama || あくまのまま		くずしろ『あくまのまま』(ja.wikipedia/あくまのまま,Square Enix)。'Akuma no mama'は同題のローマ字表記、同kana・同単巻=同一作。	ISBN確認	qid:Q11265379|name:Akuma no mama	
aldnoah-zero-2nd-season	merge_all	SAME_TITLE	2	アルドノア・ゼロ2nd season || アルドノア・ゼロ2nd Season		両page=『アルドノア・ゼロ2nd season/2nd Season』(冬部万博)で唯一の差はsの大小文字。著者・読み・年(2015)一致=同一作の表記揺れ。	ISBN確認	name:冬部万博|name:アルドノア・ゼロ2nd season	
azufareo-no-sobayounin	merge_all	ORTHO	2	蒼竜(アズファレオ)の側用人 || 蒼竜の側用人		白泉社/cmoa: 千歳四季『蒼竜の側用人』全9巻の単一作。両page=ふりがな括弧(アズファレオ)有無のみの違い、著者・読み一致。	ISBN確認	name:千歳四季|name:蒼竜(アズファレオ)の側用人	
black-knight-bat	merge_all	ORTHO	2	Black knight bat || BLACK KNIGHTバット		寺沢武一『BLACK KNIGHT バット』(黒騎士バット)。Wikipediaが黒騎士バット/ブラックナイト・バット/BLACK KNIGHT BATを掲載期で表記が変わる同一作と明記。ja.wikipedia.org。	版違い疑い	qid:Q2630137|name:BLACK KNIGHTバット	
bloody-monday	merge_all	ORTHO	2	BLOODY MONDAY || ブラッディ・マンディ		龍門諒/恵広史『BLOODY MONDAY』=『ブラッディ・マンディ』のラテン/カナ表記揺れ(タスク例示の典型merge例)。同読み・同作。	ISBN確認	qid:Q11492362|name:ブラッディ・マンディ	
byoon-youkai-gakkyuu	merge_all	ORTHO	2	びょ～ん!!陽快学級 || びよーん!!陽快学級		いとうなおあき『びよ～ん!!陽快学級』全3巻(集英社ジャンプ,shonenjump.com,amazon)。びょ～ん/びよ～ん(小ょ/よ)の表記揺れの同一作、同kana(2+1=3整合)。	ISBN確認	qid:Q11380307|name:びょ～ん!!陽快学級	
chou-gakkou-houjin-star-gakuen	merge_all	ORTHO	2	超・学校法人スタア学園 || 超・学校法人スタア學園		すぎむらしんいち『超・学校法人スタア學園』全21巻(cmoa.jp/title/2505,mangapedia)。学/學は新字/旧字で同題・同kana・同作(11+10=21巻整合)。	ISBN確認	qid:Q11269589|name:超・学校法人スタア学園	
choumori-hontou-ni-atta-nama-koko-dake-no-hanashi-chou	merge_all	ORTHO	3	超盛!本当にあった〔○生〕ここだけの話〔○超 〕 || 超盛!本当にあった〔○生〕ここだけの話〔○超〕 || 超盛!本当にあった〔○生〕ここだけの話超		芳文社『超(盛)本当にあった(生)ここだけの話』系の同一タイトル。差は〔○超〕(丸囲み超)と素の超の文字符号化違い+空白のみ。読みも完全一致(チョウモリ…チョウ)。houbunsha.co.jp magazine。	ISBN確認	qid:Q17349658|name:超盛!本当にあった〔○生〕ここだけの話〔○超〕	
chouryuu-senki-zaurosu-naito	merge_all	ORTHO	2	超竜戦記ザウロスナイト || 超龍戦記ザウロスナイト		克・亜樹『超龍戦記ザウロスナイト』(少年サンデー連載)。竜=龍の新字/旧字違いのみで同一作。ja.wikipedia.org/cmoa公式配信で確認。	版違い疑い	qid:Q1736792|name:超竜戦記ザウロスナイト	
chrno-crusade	merge_all	ORTHO	2	CHRNO CRUSADE || クロノクルセイド		ja.wikipedia.org/wiki/クロノクルセイド: 森山大輔作。英題CHRNO CRUSADE=邦題クロノクルセイド(新装版でCHRONO表記に訂正)。ラテン/カナ同一作。	版違い疑い	qid:Q2723165|name:クロノクルセイド	
clover-tr-fle	merge_all	ORTHO	2	クローバーtrefle || クローバーtrèfle		cocohana/cmoa: 稚野鳥子『クローバー trèfle』全10巻。trefle/trèfle はアクセント記号(è)の有無のみ、同読みクローバートレフル。両ページとも同じtrefle続編=同作。	ISBN確認	qid:Q11596354|name:クローバーtrefle	
coji-coji	merge_all	ORTHO	2	Coji-coji || コジコジ		wikipedia/cmoa: さくらももこ『COJI-COJI〔コジコジ〕』全4巻。Coji-coji(ローマ字)とコジコジ(カナ)は同一作の表記揺れ。	版違い疑い	qid:Q1155646|name:COJI‐COJI	
cooking-papa-selection	merge_all	SAME_TITLE	2	クッキングパパ セレクション || クッキングパパセレクション		両page共に『クッキングパパセレクション』(うえやまとち)。差は半角空白のみ=同一作の表記揺れ。	ISBN確認	qid:Q9187051|name:クッキングパパセレクション	
crows	merge_all	ORTHO	2	CROWS || クローズ		高橋ヒロシ『クローズ(CROWS)』月刊少年チャンピオン。英題CROWSとカナ クローズの同一作。両ページとも本編クローズで番外/WORST等は含まず。ja.wikipedia.org/championcross。	ISBN確認	qid:Q2279877|name:クローズ	
d-mons	merge_all	ORTHO	2	Dämons || ダイモンズ		米原秀幸『Dämons(ダイモンズ)』少年チャンピオン。ラテン表記Dämonsとカナ表記ダイモンズの同一作。ja.wikipedia.org/cmoa。	ISBN確認	qid:Q193300|name:Dämons	
dai-honya	merge_all	ORTHO	2	DAI-HONYA || ダイホンヤ		ja.wikipedia.org/wiki/DAI-HONYA: とり・みき/田北鑑生作。正式題『DAI-HONYA ダイホンヤ』のラテン/カナ表記、ASCII1993版とハヤカワ2002新版で同一作。	版違い疑い	qid:Q3313737|name:DAI-HONYA	
dotou-no-shoujo	merge_all	ORTHO	2	怒涛の少女 || 怒濤の少女		『怒涛の少女/怒濤の少女』はkana同一(ドトウ)、涛/濤の字体(新字/旧字)差のみで同一作。	ISBN確認	qid:Q11653302|name:怒濤の少女	
