key	base	role	new_slug	title	vols	year	surname	sur_src	flag
name:爲我井徹|name:KaNa	kana	main	kana	KaNa	7	1999	tamegai	anilist	
name:（仮名）|name:（仮名）	kana	sub	kana-2010	（仮名）	2	2010		pykakasi	
qid:Q11380432|name:カナ	kana	sub	kana-2016	カナ	1	2016		none	
name:「R」Otomo|name:Akira	akira	drop-foreign		Akira	20		otomo	pykakasi	FOREIGN_DROP
qid:Q378710|name:AKIRA	akira	main	akira	AKIRA	5	1988		pykakasi	
qid:Q11434036|name:阿鬼羅	akira	sub	akira-otsuka-2011	阿鬼羅	2	2011	otsuka	anilist	
qid:Q1049526|name:アリオン	arion	main	arion	アリオン	13	1980	yasuhiko	anilist	
name:「ジ・アニメ」編集部|name:アリオン	arion	sub	arion-1986	アリオン	2	1986		none	
qid:Q3113855|name:ティー❤タイム	tea-time	main	tea-time	ティー❤タイム	3	1977	ichijo	anilist	
name:44626|name:ティータイム	tea-time	sub	tea-time-1986	ティータイム	2	1986		none	
qid:Q3191990|name:アンジェリーク	angelique	main	angelique	アンジェリーク	16	1996	yura	anilist	
name:A・ゴロン|name:アンジェリク	angelique	sub	angelique-kihara-1978	アンジェリク	12	1978	kihara	anilist	
name:ALLYN|name:デイジー|sub:公爵の婚約者になる方法	daisy	main	daisy	デイジー	4	2021		pykakasi	
name:小林照弘|name:デイジー	daisy	sub	daisy-momochi-2013	デイジー	2	2013	momochi	anilist	
name:Arakawa|name:Fullmetal alchemist	fullmetal-alchemist	drop-foreign		Fullmetal alchemist	5		arakawa	pykakasi	FOREIGN_DROP
qid:Q230962|name:Fullmetal alchemist	fullmetal-alchemist	main	fullmetal-alchemist	Fullmetal alchemist	2	2004	arakawa	anilist	RESOLVED_BY_FOREIGN_DROP
name:富野由悠季|name:機動戦士ガンダムギレン暗殺計画	mobile-suit-gundam-gihren-ansatsu-keikaku	main	mobile-suit-gundam-gihren-ansatsu-keikaku	機動戦士ガンダムギレン暗殺計画	4	2008	tomino	anilist	
name:Ark performance|name:機動戦士ガンダムギレン暗殺計画	mobile-suit-gundam-gihren-ansatsu-keikaku	sub	mobile-suit-gundam-gihren-ansatsu-keikaku-2025	機動戦士ガンダムギレン暗殺計画	4	2025		pykakasi	
name:Bayron City Express|name:Engage kiss	engage-kiss	main	engage-kiss	Engage kiss	2	2023	itachi	anilist	
qid:Q8062652|name:エンゲージ・キス	engage-kiss	sub	engage-kiss-1988	エンゲージ・キス	1	1988		none	
name:Bones|name:DARKER THAN BLACK	darker-than-black	main	darker-than-black	DARKER THAN BLACK	3	2009	okamura	anilist	
name:野奇夜|name:Darker than black	darker-than-black	sub	darker-than-black-okamura-2007	Darker than black	2	2007	okamura	anilist	
name:Chi-ran|name:H×恋×恥	harenchi	main	harenchi	H×恋×恥	3	2007		pykakasi	
qid:Q9139736|name:ハレンチ	harenchi	sub	harenchi-akira-2002	ハレンチ	1	2002	akira	anilist	
name:chibi|name:アンネームドメモリー	unnamed-memory	main	unnamed-memory	アンネームドメモリー	6	2021	chibi	anilist	
name:古宮九時|name:Unnamed Memory	unnamed-memory	sub	unnamed-memory-chibi-2024	Unnamed Memory	3	2024	chibi	anilist	
name:CLAMP|name:Wish	wish	main	wish	Wish	4	2009		pykakasi	
qid:Q1851836|name:wish	wish	sub	wish-fuga-2005	wish	1	2005	fuga	anilist	
name:Crossnet|name:アヤカシ	ayakashi	main	ayakashi	アヤカシ	2	2008		pykakasi	
name:かずはしとも|name:妖	ayakashi	sub	ayakashi-kazuhashi-2017	妖	2	2017	kazuhashi	anilist	
name:DarrenShan|name:ダレン・シャン	darren-shan	main	darren-shan	ダレン・シャン	12	2006	arai	anilist	
qid:Q3514142|name:映画総集編 ダレン・シャン	darren-shan	sub	darren-shan-2010	映画総集編 ダレン・シャン	1	2010		pykakasi	
name:Darren Shan|name:ダレン・シャン	darren-shan	sub	darren-shan-2	ダレン・シャン	0			pykakasi	DEFER_V0_STUB
name:石原理|name:カリスマ	charisma	main	charisma	カリスマ	10	1994	ishihara	anilist	
qid:Q20042291|name:カリスマ	charisma	sub	charisma-2	カリスマ	4			pykakasi	DEFER_YEAR_MISSING
qid:Q15304371|name:カリスマ	charisma	sub	charisma-yashioji-2005	カリスマ	2	2005	yashioji	anilist	
name:Dazed Co.|name:カリスマ|sub:カリスマな彼らはカリスマハウスで仮住まい中	charisma	sub	charisma-2023	カリスマ	2	2023		pykakasi	
qid:Q11382324|name:カリスマ	charisma	sub	charisma-2000	カリスマ	1	2000		none	
name:桃井涼太|name:艦隊これくしょん-艦これ-4コマコミック 吹雪、がんばります!	kantai-collection-kancolle-4-koma-comic-fubuki-ganbarimasu	main	kantai-collection-kancolle-4-koma-comic-fubuki-ganbarimasu	艦隊これくしょん-艦これ-4コマコミック 吹雪、がんばります!	5	2015	momoi	anilist	
name:DMM.com|name:艦隊これくしょん -艦これ-4コマコミック 吹雪、がんばります!	kantai-collection-kancolle-4-koma-comic-fubuki-ganbarimasu	sub	kantai-collection-kancolle-4-koma-comic-fubuki-ganbarimasu-2014	艦隊これくしょん -艦これ-4コマコミック 吹雪、がんばります!	2	2014		pykakasi	
name:DringenbergMike|name:サンドマン	sandman	main	sandman	サンドマン	3	2023		pykakasi	
name:サム・キース|name:SANDMAN	sandman	sub	sandman-1998	SANDMAN	2	1998		pykakasi	
name:E.O. Plauen|name:Vater und Sohn	vater-und-sohn	drop-foreign		Vater und Sohn	4	1949	plauen	pykakasi	FOREIGN_DROP
name:Plauen|name:Vater und Sohn	vater-und-sohn	drop-foreign		Vater und Sohn	3		plauen	pykakasi	FOREIGN_DROP
name:桜井竜矢|name:私、能力は平均値でって言ったよね!|sub:god bless me?	watashi-nouryoku-wa-heikinchi-de-tte-ittayone	main	watashi-nouryoku-wa-heikinchi-de-tte-ittayone	私、能力は平均値でって言ったよね!	5	2022	sakurai	anilist	
name:FUNA|name:私、能力は平均値でって言ったよね!	watashi-nouryoku-wa-heikinchi-de-tte-ittayone	sub	watashi-nouryoku-wa-heikinchi-de-tte-ittayone-funa-2017	私、能力は平均値でって言ったよね!	4	2017	funa	anilist	
name:GAGAGA|name:トモダチヅクリ	tomodachizukuri	main	tomodachizukuri	トモダチヅクリ	2	2017	gagaga	anilist	
name:江渡ピリカ|name:ともだちづくり	tomodachizukuri	sub	tomodachizukuri-eto-2025	ともだちづくり	2	2025	eto	anilist	
name:Gainax|name:天元突破グレンラガン	tengen-toppa-gurenragan	main	tengen-toppa-gurenragan	天元突破グレンラガン	7	2007	nakashima	anilist	
qid:Q5276666|name:天元突破グレンラガン	tengen-toppa-gurenragan	sub	tengen-toppa-gurenragan-2	天元突破グレンラガン	0			pykakasi	DEFER_V0_STUB
name:三浦実子|name:FREE	free	main	free	FREE	9	1989	miura	anilist	
name:GAN|name:Free!	free	sub	free-gan-2012	Free!	2	2012	gan	anilist	
name:Ginger Berry|name:はじめての	hajimeteno	main	hajimeteno	はじめての	2	2017		pykakasi	
name:GINGER BERRY|name:はじめての	hajimeteno	sub	hajimeteno-berry-2019	はじめての	2	2019	berry	anilist	
name:HaccaWorks*|name:あかやあかしやあやかしの	akaya-akashiya-ayakashi-no	main	akaya-akashiya-ayakashi-no	あかやあかしやあやかしの	11	2012	haccaworks	anilist	
name:Hacca Works*|name:あかやあかしやあやかしの	akaya-akashiya-ayakashi-no	sub	akaya-akashiya-ayakashi-no-2	あかやあかしやあやかしの	0			pykakasi	DEFER_V0_STUB
name:Hirano|name:Hellsing	hellsing	drop-foreign		Hellsing	3		hirano	anilist	FOREIGN_DROP
qid:Q445903|name:HELLSING	hellsing	main	hellsing	HELLSING	10	1998	hirano	anilist	RESOLVED_BY_FOREIGN_DROP
name:J.P.ホーガン|name:星を継ぐもの	hoshi-o-tsugu-mono	main	hoshi-o-tsugu-mono	星を継ぐもの	7	2011		pykakasi	
qid:Q11496492|name:惑星をつぐ者	hoshi-o-tsugu-mono	sub	hoshi-o-tsugu-mono-toda-1996	惑星をつぐ者	1	1996	toda	anilist	
name:Jet|name:黒蜥蜴	kurotokage	main	kurotokage	黒蜥蜴	2	2002		pykakasi	
qid:Q11539225|name:黒トカゲ	kurotokage	sub	kurotokage-2019	黒トカゲ	1	2019		pykakasi	
qid:Q11394072|name:カイン	kain	main	kain	カイン	3	2005	uchimizu	anilist	
name:Kain|name:Kain	kain	sub	kain-2014	Kain	2	2014		pykakasi	
qid:Q11586417|name:カタリベ	kataribe	main	kataribe	カタリベ	2	2006	ishikawa	anilist	
name:KATARIBE.bot|name:カタリベ	kataribe	sub	kataribe-2018	カタリベ	2	2018		pykakasi	
name:ONION|name:Fate/stay night コミックアンソロジー	fate-stay-naito-comic-anthology	main	fate-stay-naito-comic-anthology	Fate/stay night コミックアンソロジー	2	2004	kabocha	anilist	
name:KAY|name:Fate/stay night コミックアンソロジー	fate-stay-naito-comic-anthology	sub	fate-stay-naito-comic-anthology-2006	Fate/stay night コミックアンソロジー	2	2006		pykakasi	
name:PJ1|name:milky comic	milky-comic	main	milky-comic	milky comic	3	1989		pykakasi	
name:KEN川崎|name:milky comic	milky-comic	sub	milky-comic-1987	milky comic	2	1987		pykakasi	
name:Kisimoto|name:Naruto	naruto	drop-foreign		Naruto	14		kishimoto	anilist	FOREIGN_DROP
qid:Q1993|name:NARUTO	naruto	main	naruto	NARUTO	4	2000	kajisa	anilist	RESOLVED_BY_FOREIGN_DROP
qid:Q11648463|name:B.A.D.	b-a-d	main	b-a-d	B.A.D.	3	2000		none	
name:kona|name:B.A.D	b-a-d	sub	b-a-d-tozaki-2012	B.A.D	2	2012	tozaki	anilist	
name:konomi|name:ライアー・ライアー	liar-liar	main	liar-liar	ライアー・ライアー	4	2020	konomi	anilist	
qid:Q8978628|name:ライアー×ライアー	liar-liar	sub	liar-liar-kindaichi-2010	ライアー・ライアー	1	2010	kindaichi	anilist	
name:Kuzirad「R」o|name:Princess Ai	princess-ai	drop-foreign		Princess Ai	3			none	FOREIGN_DROP
name:コートニー・ラヴ|name:Princess Ai	princess-ai	main	princess-ai	Princess Ai	3	2004	yazawa	anilist	RESOLVED_BY_FOREIGN_DROP
name:Linda|name:フシダラ|sub:妻が不倫をする理由	fushidara	main	fushidara	フシダラ	3	2018		pykakasi	
qid:Q11538067|name:フシダラ	fushidara	sub	fushidara-2011	フシダラ	1	2011		none	
qid:Q59551989|name:ルイは友を呼ぶ	rui-wa-tomo-o-yobu	main	rui-wa-tomo-o-yobu	ルイは友を呼ぶ	2	2015		none	
name:Marita|name:類はトモを呼ぶ|sub:It was meant to be	rui-wa-tomo-o-yobu	sub	rui-wa-tomo-o-yobu-2018	類はトモを呼ぶ	2	2018		pykakasi	
qid:Q9299632|name:enigma	enigma	main	enigma	enigma	6	2010	sakaki	anilist	
name:MIDORI|name:EnIgMa	enigma	sub	enigma-midori-1997	EnIgMa	2	1997	midori	anilist	
name:Mori|name:Emma	emma	drop-foreign		Emma	4		junshain	anilist	FOREIGN_DROP
qid:Q433255|name:エマ	emma	main	emma	エマ	11	2002	mori	anilist	
name:ジェーン・オースティン|name:エマ	emma	sub	emma-2011	エマ	2	2011		pykakasi	
name:mothy_悪ノP|name:悪ノ召使	aku-no-meshitsukai	main	aku-no-meshitsukai	悪ノ召使	2	2014	meganeinu	anilist	
qid:Q11572014|name:悪ノ召使	aku-no-meshitsukai	sub	aku-no-meshitsukai-2011	悪ノ召使	1	2011		pykakasi	
name:Na-Ga|name:Charlotte	charlotte	main	charlotte	Charlotte	6	2015	chibimaru	anilist	
name:十槻みか|name:シャーロット	charlotte	sub	charlotte-totsuki-2024	シャーロット	4	2024	totsuki	anilist	
qid:Q18048310|name:シャルロッテ!	charlotte	sub	charlotte-2013	シャルロッテ!	1	2013		none	
name:古賀慶|name:トレース|sub:科捜研法医研究員の追想	trace	main	trace	トレース	13	2016	koga	anilist	
name:NASTY CAT|name:TRACE	trace	sub	trace-amematsu-2012	TRACE	3	2012	amematsu	anilist	
qid:Q11263990|name:シャッフル	shuffle	main	shuffle	シャッフル	6	1993	hiroshi	anilist	
name:Navel|name:SHUFFLE!	shuffle	sub	shuffle-navel-2004	SHUFFLE!	6	2004	navel	anilist	
qid:Q8972895|name:スクールゾーン	school-zone	main	school-zone	スクールゾーン	3	1996	inuki	anilist	
name:ニンギヤウ|name:スクールゾーン	school-zone	sub	school-zone-ningiyau-2018	スクールゾーン	3	2018	ningiyau	anilist	
name:Ningiyau|name:School zone	school-zone	sub	school-zone-2021	School zone	2	2021		pykakasi	
name:ひだかなみ|name:乙女ゲームの破滅フラグしかない悪役令嬢に転生してしまった…	otome-game-no-hametsu-flag-shika-nai-akuyaku-reijou-ni-tensei-shite-shimatta	main	otome-game-no-hametsu-flag-shika-nai-akuyaku-reijou-ni-tensei-shite-shimatta	乙女ゲームの破滅フラグしかない悪役令嬢に転生してしまった…	14	2018	hidaka	anilist	
name:nishi|name:乙女ゲームの破滅フラグしかない悪役令嬢に転生してしまった…|sub:絶体絶命! 破滅寸前編	otome-game-no-hametsu-flag-shika-nai-akuyaku-reijou-ni-tensei-shite-shimatta	sub	otome-game-no-hametsu-flag-shika-nai-akuyaku-reijou-ni-tensei-shite-shimatta-nishi-2020	乙女ゲームの破滅フラグしかない悪役令嬢に転生してしまった…	3	2020	nishi	anilist	
name:Nyan|name:スゴ盛!本当にあった〔○生〕ここだけの話極	sugomori-hontou-ni-atta-koko-dake-no-hanashi-kiwami	main	sugomori-hontou-ni-atta-koko-dake-no-hanashi-kiwami	スゴ盛!本当にあった〔○生〕ここだけの話極	3	2014		pykakasi	
name:Poko|name:スゴ盛!本当にあった〔○生〕ここだけの話極	sugomori-hontou-ni-atta-koko-dake-no-hanashi-kiwami	sub	sugomori-hontou-ni-atta-koko-dake-no-hanashi-kiwami-2016	スゴ盛!本当にあった〔○生〕ここだけの話極	2	2016		pykakasi	
