slug	title	title_kana	romaji(kana)
1702-chuushingura	1702忠臣蔵	イチナナゼロニチュウシングラ|雪の本	ichinanazeronichuushingurano
37-do-5-bu-no-namida	37.5℃(さんじゅうななどごぶ)の涙	37.5℃の涙|サンジュウナナドゴブノナミダ	375cnosanjuunanadogobunonamida
aidorumasutaa-shainiikaraazu-jimuteki-koukuu-kiroku	アイドルマスター シャイニーカラーズ 事務的光空記録	アイドルマスターシャイニーカラーズジムテキシャイノグラフィ|アイドルマスターシャイニーカラーズ事務的光空記録(ジムテキ・シャイノグラフィ)	aidorumasutashainikarazujimutekishainogurafuiaidorumasutashainikarazujimutekishainogurafui
akatoki-no-yami	暁 (アカトキ) の闇	アカトキノヤミ|暁の闇	akatokinoyamino
anata-no-danna-uwaki-shitemasu-yo	あなたの勇者(ダンナ)浮気してますよ	YOURHEROHASANAFFAIRあなたの勇者浮気してますよ|アナタノダンナウワキシテマスヨ	yourherohasanaffairanatanoshitemasuyoanatanodannauwakishitemasuyo
ane-ni-naritai-gishi-vs-yuri-ni-naritai-imouto	姉になりたい義姉vs百合になりたい義妹	アネニナリタイアネvsユリニナリタイイモウト|姉になりたい義姉(あね)vs百合になりたい義妹(いもうと)	aneninaritaianevsyurininaritaiimoutoninaritaianevsninaritaiimouto
angou-gakuen-no-iroha	暗号学園のいろは	アンゴウガクエンノイロハ|第四次世界大戦は紙と鉛筆でおこなわれる	angougakuennoirohahatodeokonawareru
ankoku-kishi-no-ore-desu-saikyou-no-sei-kishi-o-mezashimasu	暗黒騎士の俺ですが最強の聖騎士をめざします	アンコクキシノオレデスガサイキョウノパラディンオメザシマス|暗黒騎士の俺ですが最強の聖騎士(パラディン)をめざします	ankokukishinooredesugasaikyounoparadeinomezashimasunodesuganoparadeinomezashimasu
as-you-wish-sister	As you wish, sister	Asyouwish,sister=シスターサマノオオセノママニ|シスター様の仰せの魔々に	asyouwishsistershisutasamanooosenomamanishisutanosenoni
ayakashi-no-tsuma	あやかしの妻	あやかしの妻(おんな)|アヤカシノオンナ	ayakashinoonnaayakashinoonna
ayashimon	アヤシモン	アヤシモン|遊んでやるよ、ドちんぴラ	ayashimonndeyaruyodochinpira
azufareo-no-sobayounin	蒼竜(アズファレオ)の側用人	アズファレオノソバヨウニン|蒼竜の側用人	azufuareonosobayouninno
basara-2592	「少年忍者バサラくん」芙蓉姫退屈記	少年忍者バサラ君芙蓉姫退屈記	basara
basara-3001	戦国群笑伝少年忍者バサラくん	少年忍者バサラ君戦国群笑伝	basara
belles-ruelles	BELLES RUELLES	ベルリュエル|銀ねこ通り	beruryuerunekori
