slug	title	title_kana	romaji(kana)	slug一致度	flag
0-1988	0人間・八百八だぬき	ゼロニンゲンハッピャクヤダヌキ	zeroningenhapyakuyadanuki	0.0	
0-angel	ゼロエンジェル	ゼロエンジェル	zeroenjieru	0.33	
0-ji-5-fun-no-cinderella	0時5分のシンデレラ	レイジゴフンノシンデレラ	reijigofunnoshinderera	0.77	
0-ji-o-sugitara-kimi-no-mono	0時を過ぎたら君のもの	レイジオスギタラキミノモノ	reijiosugitarakiminomono	0.92	
0-kara-hajimemashou	0からはじめましょう	レイカラハジメマショウ	reikarahajimemashou	1.0	
0-kara-hajimeru-office-rabu	0から始めるオフィスラブ	ゼロカラハジメルオフィスラブ	zerokarahajimeruofuisurabu	0.86	
0-love	0-LOVE	ラブツーラブ	rabutsurabu	0.0	
0-nkirou-ferii-airandaa-0	蜃気楼フェリーアイランダー0	シンキロウフェリーアイランダー0	shinkiroufueriairanda0	1.0	
0-no-bible	0の聖書	ゼロノバイブル	zeronobaiburu	0.71	
0-no-connection	0のコネクション	ゼロノコネクション	zeronokonekushon	0.43	
0-no-soukoushi	0の奏香師	0ノソウコウシ	0nosoukoushi	1.0	
0-nousha-minato	0能者ミナト	レイノウシャミナト	reinoushaminato	0.9	
0-sai-kara-no-allergy-senki	0歳からのアレルギー戦記	ゼロサイカラノアレルギーセンキ	zerosaikaranoarerugisenki	0.82	
0-saiji-start-dash-monogatari	0歳児スタートダッシュ物語	0サイジスタートダッシュモノガタリ	0saijisutatodashumonogatari	1.0	
0-sen-arashi	0戦あらし	ゼロセンアラシ	zerosenarashi	0.88	
0-sen-tarou	0戦太郎	ゼロセンタロウ	zerosentarou	0.89	
0-shinohara-1977	0課の女	ゼロカノオンナ	zerokanoonna	0.57	
0-zero-memories	0×0メモリーズ	00メモリーズ	00memorizu	0.88	
0	0戦はやと	ゼロセンハヤト	zerosenhayato	0.0	
000000-ultra-black	#000000-ultra black	ウルトラブラック	urutoraburaku	0.86	
007-joou-heika-no-007	007女王陛下の007	ゼロゼロセヴンジョオウヘイカノゼロゼロセヴン	zerozerosenjoouheikanozerozerosen	0.82	
007-nowa-yatsura-da	007死ぬのは奴らだ	ゼロゼロセヴンシヌノワヤツラダ	zerozerosenshinunowayatsurada	0.83	
007-ougon-no-juu-o-motsu-otoko	007黄金の銃を持つ男	ゼロゼロセヴンオウゴンノジュウオモツオトコ	zerozerosenougonnojuuomotsuotoko	0.82	
007-sakusen	007サンダーボール作戦	ゼロゼロセヴンサンダーボールサクセン	zerozerosensandaborusakusen	0.75	
008-uchuutoshizerozerohachi	空中都市008	クウチュウトシゼロゼロハチ	kuuchuutoshizerozerohachi	0.92	
009-nsoku-no-kaizou-senshizerozeronain	神速の改造戦士009	シンソクノサイボーグゼロゼロナイン	shinsokunosaiboguzerozeronain	0.85	
009-re-cyborg	009 RE:CYBORG	ゼロゼロナインリサイボーグ	zerozeronainrisaibogu	0.56	
01-2001	01	ゼロワン	zerowan	0.0	
01-zero-one	01<zero one>	01zeroone	01zeroone	1.0	
01	01	ゼロワン	zerowan	0.0	
042-keishuu-042	死刑囚042	シケイシュウ042	shikeishuu042	1.0	
0482	0482	ゼロヨンハチニ	zeroyonhachini	0.0	
06-yon	06:04～ロクヨン～	ロクヨン	rokuyon	0.6	
07-ghost	07-GHOST	セブンゴースト	sebungosuto	0.57	
090-eko-to-isshokenmei	090えこといっしょ。	090エコトイッショ	090ekotoisho	1.0	
0man	0マン	0マン	0man	1.0	
0nichikon-demo-koishitai	0日婚でも恋したい	0ニチコンデモコイシタイ	0nichikondemokoishitai	1.0	
0rii-uchikoshi-0-n	0リー打越くん!!	0リーウチコシクン	0riuchikoshikun	1.0	
0sen-champion	0戦チャンピオン	0センチャンピオン	0senchanpion	1.0	
0sen-kamen	0戦仮面	0センカメン	0senkamen	1.0	
1-1-wa	1+1は?	1+1ワ	11wa	1.0	
1-2-3-to-4-5-roku	1・2・3と4・5・ロク	イチニサントシゴロク	ichinisantoshigoroku	0.5	
1-2-love	1/2 LOVE!	2ブンノ1love|ニブンノイチラブ	2bunno1lovenibunnoichirabu	1.0	
1-2-no-1-rou	1・2の三四郎	12ノサンシロウ	12nosanshirou	1.0	
1-2-no-3k	1・2の3K	12ノ3K	12no3k	1.0	
1-2-no-ahho	1・2のアッホ!!	イチニノアッホ	ichininoaho	0.67	
1-2fairy	1/2FAIRY!	ハンブンフェアリー	hanbunfueari	0.57	
1-en-no-000-awase	1,000円のしあわせ	センエンノシアワセ	senennoshiawase	0.75	
1-ga-moshi-sekai-ga-hitotsu-no-class-dattara	マンガもし世界が1つのクラスだったら	マンガモシセカイガヒトツノクラスダッタラ	mangamoshisekaigahitotsunokurasudatara	1.0	
1-gata	1型	イチガタ	ichigata	0.75	
1-gatsu-no-rondo	1月の輪舞	イチガツノロンド	ichigatsunorondo	0.9	
1-hongo-ga-hanasenai-roshiajin-bishoujo-tennyuusei-ga-tayoreru-no-wa-tagengo-master-no-ore-hitori	日本語が話せないロシア人美少女転入生が頼れるのは、多言語マスターの俺1人	ニホンゴガハナセナイロシアジンビショウジョテンニュウセイガタヨレルノワタゲンゴマスターノオレヒトリ	nihongogahanasenairoshiajinbishoujotennyuuseigatayorerunowatagengomasutanoorehitori	1.0	
1-jikan-de-wakaru-kaigo-no-oshigoto	1時間でわかる介護のお仕事	イチジカンデワカルカイゴノオシゴト	ichijikandewakarukaigonooshigoto	0.94	
1-kakeru-mugen-keikenchi-ichi-de-level-appu-suru-ore-wa-saisoku-de-isekai-saikyou-ni-narimashita	1×∞経験値1でレベルアップする俺は、最速で異世界最強になりました!	ワンバイエイトケイケンチイチデレベルアップスルオレワサイソクデイセカイサイキョウニナリマシタ	wanbaieitokeikenchiichidereberuapusuruorewasaisokudeisekaisaikyouninarimashita	0.94	
1-ko-shita-kara-kisu-sasete	1コ下から、キスさせて。	イッコシタカラキスサセテ	ikoshitakarakisusasete	1.0	
1-love-9	1〔LOVE〕9	1ラブ9	1rabu9	0.33	
1-n-no-yuragi	1/Nのゆらぎ	エヌブンノイチノユラギ	enubunnoichinoyuragi	0.89	
1-nen-366-nichi-no-himitsu	1年366日のひみつ	1ネン366ニチノヒミツ	1nen366nichinohimitsu	1.0	
1-nen-a-gumi-no-monster	1年A組のモンスター	1ネンAグミノモンスター	1nenaguminomonsuta	1.0	
1-nen-ichikumi-uchi-no-class-no-joshi-ga-yabai	1年1組うちのクラスの女子がヤバい	イチネンイチクミウチノクラスノジョシガヤバイ	ichinenichikumiuchinokurasunojoshigayabai	0.94	
1-nichi-2-kai	1日2回	イチニチニカイ	ichinichinikai	1.0	
1-nichi-gaishutsuroku-hanchou	1日外出録ハンチョウ	イチニチガイシュツロクハンチョウ	ichinichigaishutsurokuhanchou	1.0	
1-nichi-ikkai-ero-seikatsu	一日1回エロ生活!	イチニチ1カイエロセイカツ!	ichinichi1kaieroseikatsu	1.0	
1-nichi-ikkai-etchi-shinakucha-dame-desuka	1日1回エッチしなくちゃダメですか?	イチニチイッカイエッチシナクチャダメデスカ	ichinichiikaiechishinakuchadamedesuka	1.0	
1-nichi-ikkai-hateru-made	1日1回、果てるまで…	イチニチイッカイハテルマデ	ichinichiikaihaterumade	1.0	
1-noshitsuketokenkou	1・2・3歳のしつけと健康	イチニサンノシツケトケンコウ	ichinisannoshitsuketokenkou	0.9	
1-nozaki-1-sei-to-1nichi-1kai-etchi-shinakucha-dame-desuka	篠崎先生と1日1回エッチしなくちゃダメですか?	シノザキセンセイト1ニチ1カイエッチシナクチャダメデスカ?	shinozakisenseito1nichi1kaiechishinakuchadamedesuka	1.0	
1-oku-issenman-no-watashi	1億1千万のわたし	イチオクイッセンマンノワタシ	ichiokuisenmannowatashi	0.92	
1-okubunnoichi-no-koibito	百億分の1の恋人	ヒャクオクブンノイチノコイビト	hyakuokubunnoichinokoibito	0.9	
1-or-w	1 or W	ワンオアダブル	wanoadaburu	0.75	
1-orange	1%ORANGE	イチパーセントオレンジ	ichipasentoorenji	0.71	
1-paasento-no-koi	1%の恋	イチパーセントノコイ	ichipasentonokoi	0.9	
1-pu-5-sai	1夫5妻	イップゴサイ	ipugosai	0.71	
1-pun-16-byou-zerohachi	1分16秒08	イップンジュウロクビョウゼロハチ	ipunjuurokubyouzerohachi	0.87	
1-senchi-yorimo-chikaku	1センチよりも近く	イッセンチヨリモチカク	isenchiyorimochikaku	1.0	
1-suu-no-douka	1スウの銅貨	イチスウノドウカ	ichisuunodouka	0.88	
1-tai-2-kousai-wa-rabukome-ni-hairimasuka	1: 2交際はラブコメに入りますか?	1タイ2コウサイワラブコメニハイリマスカ?	1tai2kousaiwarabukomenihairimasuka	1.0	
1-tasu-ichi-wa-0	1+1=0	イチタスイチワレイ	ichitasuichiwarei	0.8	
1-tasu-ichi	1+1	イチタスイチ	ichitasuichi	1.0	
1-ten-ichinana	1.17	イチテンイチナナ	ichitenichinana	1.0	
1-to-2	1と2	イチトニ	ichitoni	0.5	
1-yamamoto-1993	1	イチ	ichi	0.0	
1-you1-time	小1タイム	ショウ1タイム	shou1taimu	0.75	
1-yuuden-de-kaesanai-tatta-1tsu-no-houhou	終電で帰さない、たった1つの方法	シュウデンデカエサナイ、タッタ1ツノホウホウ	shuudendekaesanaitata1tsunohouhou	1.0	
