slug	title	英化候補run
0-kara-hajimeru-office-rabu	0から始めるオフィスラブ	オフィスラブ→office-love
007-sakusen	007サンダーボール作戦	サンダーボール→thunder-ball
0sen-champion	0戦チャンピオン	チャンピオン→champion
1-ga-moshi-sekai-ga-hitotsu-no-class-dattara	マンガもし世界が1つのクラスだったら	クラス→class
1-hongo-ga-hanasenai-roshiajin-bishoujo-tennyuusei-ga-tayoreru-no-wa-tagengo-master-no-ore-hitori	日本語が話せないロシア人美少女転入生が頼れるのは、多言語マスターの俺1人	マスター→master
1-nen-a-gumi-no-monster	1年A組のモンスター	モンスター→monster
1-nen-ichikumi-uchi-no-class-no-joshi-ga-yabai	1年1組うちのクラスの女子がヤバい	クラス→class
17-street	17ストリート	ストリート→street
2-2-game	2×2ゲーム	ゲーム→game
2-bunnoichi-honeymoon	1/2ハネムーン	ハネムーン→honeymoon
2-nen-1-kumi-uchi-no-class-no-joshi-ga-yabai	2年1組うちのクラスの女子がヤバい	クラス→class
2050-raishisu-2050	クライシス2050	クライシス→crisis
2bun-no-1-heart	1/2ハート	ハート→heart
2nd-house	2ndハウス	ハウス→house
3-daa-surii	サンダー3	サンダー→thunder
3-jou-lovers-furu-count	球場ラヴァーズ3-2	ラヴァーズ→lovers
3gatsu-no-lion	3月のライオン	ライオン→lion
4-n-megami-tensei-devil-children-koma-gyagu-battle	真・女神転生デビルチルドレン 4コマギャグバトル	デビルチルドレン→devil-children
47-todou-fuken-nandemo-rankingu	47都道府県なんでもランキング!	ランキング→ranking
47-todoufuken-henteko-rankingu	47都道府県へんてこランキング!	ランキング→ranking
47-todoufuken-tokoton-rankingu	47都道府県とことんランキング!	ランキング→ranking
47-todoufuken-tondemo-rankingu	47都道府県とんでもランキング!	ランキング→ranking
4ldk-company	4LDKカンパニー	カンパニー→company
5tsu-no-akogare-oshigoto-story	5つのあこがれお仕事ストーリー	ストーリー→story
69-min-police-69	市民ポリス69	ポリス→police
6nen-3kumi-star-na-yatsura	6年3組スターなやつら	スター→star
7-nwairudo7	新ワイルド7	ワイルド→wild
70s-ai-life	70's愛ライフ	ライフ→life
7200-byou-no-romance	7200秒のロマンス	ロマンス→romance
77-rubaa-77	シルバー77	シルバー→silver
8-man-vs-cyborg-009	8マンvs(バーサス)サイボーグ009	サイボーグ→cyborg
99-suikan-super-99	潜水艦スーパー99	スーパー→super
999-dokutaa	999ドクター	ドクター→doctor
aaru-teii-ee-sousha-wa-game-sekai-kara-kaerenai	RTA走者はゲーム世界から帰れない	ゲーム→game
abunai-doctor	あぶないドクター	ドクター→doctor
abunai-paradise	あぶない❤パラダイス	パラダイス→paradise
action-daimaou	アクション大魔王	アクション→action
action-kamen	アクション仮面	アクション→action
ad-boy	ADボーイ	ボーイ→boy
adeyaka-prince	艶やかプリンス	プリンス→prince
adventure-2030-gakuen	アドベンチャー2030学園	アドベンチャー→adventure
adventure-kid	アドベンチャーkid	アドベンチャー→adventure
aho-jiru-reinboo	アホ汁レインボー	レインボー→rainbow
ai-no-memory	愛NOメモリー	メモリー→memory
ai-no-mystery-senshuu	愛のミステリー 選集	ミステリー→mystery
aimai-blue-beast	曖昧ブルー・ビースト	ブルー・ビースト→blue-beast
aimaina-green	曖昧なグリーン	グリーン→green
airin-dream	あいりんドリーム	ドリーム→dream
aishite-wolf-boy	AIしてウルフboy	ウルフ→wolf
aishiteru-game-o-owarasetai	愛してるゲームを終わらせたい	ゲーム→game
ajisai-planet	あじさい・プラネット	・プラネット→planet
aka-chan-ni-okuru-wedding	赤ちゃんに贈るウェディング	ウェディング→wedding
aka-pink	あかピンク	ピンク→pink
akagawa-jirou-mystery-mikeneko-holmes-to-meitanteitachi	赤川次郎ミステリー三毛猫ホームズと名探偵たち	ミステリー→mystery
akage-no-lion	赤毛のライオン	ライオン→lion
akatsuki-ni-tatsu-lion	暁に立つライオン	ライオン→lion
akikazeiro-no-diamond	秋風色のダイヤモンド	ダイヤモンド→diamond
akishima-suicide-club	昭島スーサイド☆クラブ	クラブ→club
akiyama-san-no-tori-life	秋山さんのとりライフ	ライフ→life
akugyou-hunter	悪業ハンター!!	ハンター→hunter
akuma-game	悪魔★ゲーム	ゲーム→game
akumatachi-no-paradise	悪魔たちのパラダイス	パラダイス→paradise
akumu-nightmare	悪夢―ナイトメア―	ナイトメア→nightmare
akuryoumu	悪霊夢<ナイトメア>	ナイトメア→nightmare
akutou-ikka-no-manamusume-tenseisaki-mo-otome-game-no-gokudou-reijou-deshita-saijoukyuu-rank-no	悪党一家の愛娘、転生先も乙女ゲームの極道令嬢でした。～最上級ランクの悪役さま、その溺愛は不要です!～@COMIC	ゲーム→game
akuyaku-reijou-94-kaime-no-tensei-wa-heroine-rashii	悪役令嬢、94回目の転生はヒロインらしい。	ヒロイン→heroine
akuyaku-reijou-ga-sei-heroine-o-kudoki-otosu-hanashi	悪役令嬢が正ヒロインを口説き落とす話。	ヒロイン→heroine
akuyaku-reijou-ni-tensei-shippai-shite-kachi-heroine-ni-natte-shimaimashita	悪役令嬢に転生失敗して勝ちヒロインになってしまいました	ヒロイン→heroine
akuyaku-reijou-to-shite-heroine-to-konyakusha-o-kuttsukeyou-to-omou-no-desu-ga-umaku-ikimasen	悪役令嬢としてヒロインと婚約者をくっつけようと思うのですが、うまくいきません…。	ヒロイン→heroine
