slug	title	カタカナrun(辞書外=要AI/web)
0-angel	ゼロエンジェル	ゼロエンジェル
0-ji-5-fun-no-cinderella	0時5分のシンデレラ	シンデレラ
0-nkirou-ferii-airandaa-0	蜃気楼フェリーアイランダー0	フェリーアイランダー
0-no-connection	0のコネクション	コネクション
0-sai-kara-no-allergy-senki	0歳からのアレルギー戦記	アレルギー
0-saiji-start-dash-monogatari	0歳児スタートダッシュ物語	スタートダッシュ
0-zero-memories	0×0メモリーズ	メモリーズ
06-yon	06:04～ロクヨン～	ロクヨン
1-kakeru-mugen-keikenchi-ichi-de-level-appu-suru-ore-wa-saisoku-de-isekai-saikyou-ni-narimashita	1×∞経験値1でレベルアップする俺は、最速で異世界最強になりました!	レベルアップ
1-nichi-gaishutsuroku-hanchou	1日外出録ハンチョウ	ハンチョウ
1-tai-2-kousai-wa-rabukome-ni-hairimasuka	1: 2交際はラブコメに入りますか?	ラブコメ
100-karatto-bambino	100カラット★バンビーノ	カラット/バンビーノ
100-ninme-no-sumaafu	100人めのスマーフ	スマーフ
100-paasento-pasukaru-sensei	100%パスカル先生	パスカル
1000man-scandal	1000万@スキャンダル	スキャンダル
1000nichi-no-diana	1000日のディアナ	ディアナ
100m-jumper	100Mジャンパー	ジャンパー
100mandoru-kid	100万ドルキッド	ドルキッド
100paasento-kotton	100％コットン	コットン
101kaime-no-torabaayu	101回目のトラバーユ	トラバーユ
10gatsu-no-puranetariumu	10月のプラネタリウム	プラネタリウム
10nenburi-ni-saikai-shita-kusogaki-wa-seijun-bishoujo-jk-ni-seichou-shiteita	10年ぶりに再会したクソガキは清純美少女JKに成長していた	クソガキ
11-gatsu-no-gymnasium	11月のギムナジウム	ギムナジウム
110-yooji-kun-no-manga-bungaku-zenshuu-110sen	ショージ君の漫画文学全集110選	ショージ
12-gatsu-no-rabu-sketch	12月のラブ・スケッチ	ラブ・スケッチ
12-seiza-no-serenade	12星座のセレナーデ	セレナーデ
12shoku-no-cocktail	12色のカクテル	カクテル
130senchi-no-dandy	130センチのダンディ	ダンディ
14-juicy	14ジューシー	ジューシー
14sai-manual	14さいマニュアル	マニュアル
14sai-ootomateikku	14さいオートマティック	オートマティック
15-meisetsu-kougyou-koukou-ragubiibu	15明刹工業高校ラグビー部	ラグビー
15-sai-no-rebyuu	15歳のレビュー	レビュー
15-sainoechuudo	15歳のエチュード	エチュード
16-fiito-no-manatsu	16フィートの真夏	フィート
16-sai-no-last-supaato	16歳のラストスパート	ラストスパート
16-virgin-road	（16）バージンロード	バージンロード
16bit-sensation	16bitセンセーション	センセーション
17-sai-kara-yari-naosu-propose	17歳からやり直すプロポーズ	プロポーズ
17-sai-kisu-to-jirenma	17歳、キスとジレンマ	ジレンマ
170cm-otomechika	170cm★オトメチカ	オトメチカ
17nichime-no-17-yopan	17日めのショパン	ショパン
18-18	18 エイティーン	エイティーン
1936-2021-furuya-mitsutoshi-memorial-selection	1936-2021古谷三敏メモリアルセレクション	メモリアルセレクション
198x-memories	198Xメモリーズ	メモリーズ
1995nen-no-smoke-on-za-water	1995年のスモーク・オン・ザ・ウォーター	スモーク・オン・ザ・ウォーター
1999-nostradamus-jigoku-no-x-file	1999ノストラダムス地獄のX-file	ノストラダムス
1choume-no-time-capsule-mobile-1-gundam-yori	1丁目のタイムカプセル機動戦士ガンダムより	タイムカプセル/ガンダム
1gatsu-no-puryuvioozu	1月のプリュヴィオーズ	プリュヴィオーズ
1k-apaato-no-koi	1Kアパートの恋	アパート
1k-apato-no-sama	1Kアパートの王子様	アパート
1p-comic-dragon-quest-monsters	1Pコミックドラゴンクエストモンスターズ	コミックドラゴンクエストモンスターズ
1punkan-haahaa	1分間ハァハァ	ハァハァ
2-bai-tsuu-channel	2×2チャンネル	チャンネル
2-ban-sekando	2番セカンド	セカンド
2-bunnoichi-engage	1/2エンゲージ	エンゲージ
2-bunnoichi-seremonii	1/2セレモニー	セレモニー
2-bunnoichi-wedding	1/2ウエディング	ウエディング
2-choume-no-donkihoote	2丁目のドンキホーテ	ドンキホーテ
2-jou-no-valkyria-2	戦場のヴァルキュリア2	ヴァルキュリア
2-nen-nikumi-no-sutajiamu-girl	2年2組のスタジアムガール	スタジアムガール
2-ri-no-ceo-to-haihiiru	2人のCEOとハイヒール	ハイヒール
2-ritsu-toaaru-gakuen-2nen-hoshigumi-monogatari	私立トアール学園2年☆組物語	トアール
2-tengo-jigen-no-oshi-ga-classmate-ni-narimashita	2.5次元の推しがクラスメイトになりました!?	クラスメイト
