title	author	vols	year	isbn_country	jp	disposition	sample_isbn	note
Ken Akamatusu[i.e. Akamatsu] ; 「E」overs「E」attning Simon Lundstr「E」om.	Akamatu	6		瑞典	foreign	drop(外国版orphan)	9789163844676	欧州BD/外国コミック=非漫画・対象外→drop
Alain M. Bergeron, Michel Quintin, Sampar ; illustrations de Sampar.	Bergeron	2		仏系	foreign	drop(外国版orphan)	9782894353165	欧州BD/外国コミック=非漫画・対象外→drop
Jim Ottaviani ; [illustrated by] Zander Cannon, Kevin Cannon.	Cannon	2		英米	foreign	drop(外国版orphan)	9781416949602	欧州BD/外国コミック=非漫画・対象外→drop
Page 1	DONKEY	4	1986	日本(978-4)	JP	kana補完(真作)	9784893670113	ぺーじわん(スタジオ・バトル)。日本ISBN=真作。slug=page-1 にkana補完
Jean-Yves Ferri ＆ Manu Larcenet ; couleur, Brigitte Findakly.	Ferri	3		仏系	foreign	drop(外国版orphan)	9782205056259	欧州BD/外国コミック=非漫画・対象外→drop
Puup「E」a「E」an parhaat	Fogeli.	8		外(951)	foreign	drop(外国版orphan)	9789518734980	欧州BD/外国コミック=非漫画・対象外→drop
Franquin ; avec la complicit「A」e de Jid「A」ehem ; et les rubriques de Delporte.	Franquin	2		仏系	foreign	drop(外国版orphan)	9782800126050	欧州BD/外国コミック=非漫画・対象外→drop
Joann Sfar ＆ Emmanuel Guibert ; translated by Alexis Siegel.	Guibert	2		英米	foreign	drop(外国版orphan)	9781596431300	欧州BD/外国コミック=非漫画・対象外→drop
Herg「A」e [i.e. G. R「A」emy].	Herg「A」e	2		仏系	foreign	drop(外国版orphan)	9782203001237	欧州BD/外国コミック=非漫画・対象外→drop
Herg「A」e.	Herg「A」e	20		仏系,外(888)	foreign	drop(外国版orphan)	9782203001213	欧州BD/外国コミック=非漫画・対象外→drop
Ra「E」ika	Huziwara	2		仏系,西	foreign	drop(外国版orphan)	9788489966802	欧州BD/外国コミック=非漫画・対象外→drop
囿者は懼れず	LOSA	2	2023	日本(978-4)	JP	KEEP+merge+kana補完	9784757593398	Web確定: Square EnixガンガンコミックスUP!/原作松本トモキ・作画LOSA/全3巻の漫画→KEEP。読み=ユウシャハオソレズ(公式URL yuoso=囿者ゆうしゃ・懼れずおそれず、勇者当て字)。slug=yusha-wa-osorezu。v1/v2(/v3)同作→merge(確証=同題同著者同シリーズ)
Phroutopia	Maroulak「R」es	5		外(960)	foreign	drop(外国版orphan)	9789606007705	欧州BD/外国コミック=非漫画・対象外→drop
Eiichiro Oda ; [「E」overs「E」attning, Simon Lundstr「E」om].	Oda	24		瑞典	foreign	drop(外国版orphan)	9789163852893	欧州BD/外国コミック=非漫画・対象外→drop
Hasl「/」o brzmi	Takeuti	3		波	foreign	drop(外国版orphan)	9788387877132	波 Sailor V(武内)。JP コードネームはセーラーV 残存→drop安全
囿者は懼れず	LOSA	1	2022	日本(978-4)	JP	KEEP+merge+kana補完	9784757593398	Web確定: Square EnixガンガンコミックスUP!/原作松本トモキ・作画LOSA/全3巻の漫画→KEEP。読み=ユウシャハオソレズ(公式URL yuoso=囿者ゆうしゃ・懼れずおそれず、勇者当て字)。slug=yusha-wa-osorezu。v1/v2(/v3)同作→merge(確証=同題同著者同シリーズ)
