title	kana_slug	v2_slug	new_slug	type	changed	flag
麻雀放浪記2020	maajan-horoki-nisen-niju	maajan-horoki-nisen-niju	maajan-horoki-2020	音読み→数字	CHANGED	
10年間友達だと思ってた男の子に告白されるお話	junenkan-tomodachi-dato-omotteta-otokonoko-ni-kokuhaku-sareru-ohanashi	junenkan-tomodachi-dato-omotteta-otokonoko-ni-kokuhaku-sareru-ohanashi	10-nenkan-tomodachi-dato-omotteta-otokonoko-ni-kokuhaku-sareru-ohanashi	音読み→数字(先頭分割)	CHANGED	
139	isaku	isaku	isaku	no-segment		分かち書き無=token置換不可
カラスマ0条探題	karasuma-zerojo-tandai	karasuma-zerojo-tandai	karasuma-0-jo-tandai	音読み→数字(先頭分割)	CHANGED	
255の5コマ	nikoko-no-gokoma	nikoko-no-gokoma	nikoko-no-5-koma	音読み→数字(先頭分割) ; 訓読み/当て字 or sandhi	CHANGED	数字の読みがtoken分割と不一致(sandhi等)→要確認
ソードアート・オンライン 4コマ公式アンソロジー	sodo-aato-onrain-yonkoma-koshiki-ansorojii	sodo-aato-onrain-yonkoma-koshiki-ansorojii	sodo-aato-onrain-4-koma-koshiki-ansorojii	音読み→数字(先頭分割)	CHANGED	
AK-69の泣きメシ	eekee-shikkusuteinain-no-nakimeshi	eekee-shikkusuteinain-no-nakimeshi	eekee-shikkusuteinain-no-nakimeshi	latin-mixed		latin混じり(別処理)
号外On BLUE 2nd SEASON	gogai-on-buru-sekando-shiizun	gogai-on-buru-sekando-shiizun	gogai-on-buru-sekando-shiizun	latin-mixed		latin混じり(別処理)
公爵夫人の50のお茶レシピ	koshaku-fujin-no-goju-no-ocha-reshipi	koshaku-fujin-no-goju-no-ocha-reshipi	koshaku-fujin-no-50-no-ocha-reshipi	音読み→数字	CHANGED	
デビル サバイバー2 THE ANIMATION	debiru-sabaibaa-2-the-animation	debiru-sabaibaa-2-the-animation	debiru-sabaibaa-2-the-animation	latin-mixed		latin混じり(別処理)
デビルサバイバー2 Show Your Free Will	debiru-sabaibaa-tsu-sho-yua-furii-uiru	debiru-sabaibaa-tsu-sho-yua-furii-uiru	debiru-sabaibaa-tsu-sho-yua-furii-uiru	latin-mixed		latin混じり(別処理)
ペルソナ5	perusona-faivu	perusona-faivu	perusona-5	英語読み付随→数字	CHANGED	
花嫁修業をやめたくて、冷徹公爵の13番目の婚約者になります	hanayome-shugyo-wo-yametakute-reitetsu-koshaku-no-ju-san-banme-no-konyakusha-ni-narimasu	hanayome-shugyo-wo-yametakute-reitetsu-koshaku-no-ju-san-banme-no-konyakusha-ni-narimasu	hanayome-shugyo-wo-yametakute-reitetsu-koshaku-no-13-banme-no-konyakusha-ni-narimasu	音読み→数字	CHANGED	
秘蜜なbody 21	himitsu-na-bodi-nijuichi	himitsu-na-bodi-nijuichi	himitsu-na-bodi-nijuichi	latin-mixed		latin混じり(別処理)
君と100回目の恋	kimi-to-hyakkaime-no-koi	kimi-to-hyakkaime-no-koi	kimi-to-100-kaime-no-koi	音読み→数字(先頭分割)	CHANGED	
死神様と4人の彼女	shinigami-sama-to-4nin-no-kanojo	shinigami-sama-to-4nin-no-kanojo	4-nigamisama-to-4nin-no-kanojo	音読み→数字(先頭分割)	CHANGED	
20面相におねがい!!	nijumenso-ni-onegai	nijumenso-ni-onegai	20-menso-ni-onegai	音読み→数字(先頭分割)	CHANGED	
20面相におねがい!!	20menso-ni-onegai	20menso-ni-onegai	20menso-ni-onegai	訓読み/当て字 or sandhi		数字の読みがtoken分割と不一致(sandhi等)→要確認
CLAMP PREMIUM COLLECTION魔法騎士(マジックナイト)レイアース2	kuranpu-puremiamu-korekushon-majikkunaito-reiaasu-tsu	kuranpu-puremiamu-korekushon-majikkunaito-reiaasu-tsu	kuranpu-puremiamu-korekushon-majikkunaito-reiaasu-tsu	latin-mixed		latin混じり(別処理)
魔法騎士レイアース2	majikku-naito-reiaasu-2	majikku-naito-reiaasu-2	majikku-naito-reiaasu-2	訓読み/当て字 or sandhi		数字の読みがtoken分割と不一致(sandhi等)→要確認
魔法騎士レイアース2	majikku-naito-reiaasu-tsu	majikku-naito-reiaasu-tsu	majikku-naito-reiaasu-2	英語読み付随→数字	CHANGED	
4コマのバハムート	4koma-no-bahamuto	4koma-no-bahamuto	4koma-no-bahamuto	訓読み/当て字 or sandhi		数字の読みがtoken分割と不一致(sandhi等)→要確認
