slug	title	num_suffix	author	kana	fixable
amakusa-1637	AMAKUSA 1637	1637	赤石路代	アカイシミチヨ	姓化可
anima-1452	Anima	1452	寿限無		読み無
animarusou-202	あにまる荘202	202	森月あめ	モリツキアメ	姓化可
anime-952	アニメ95.2	952	春原ロビンソン	ハルハラロビンソン	姓化可
ariete-2057	アリエテ2057	2057	五十嵐浩一	イガラシコウイチ	姓化可
coyote-3593	coyote	3593	淡田青		読み無
daruma-0303	Daruma	0303	山中健司		読み無
debut-8914	デビュ	8914	倉持知子		読み無
eden-2185	エデン2185	2185	竹宮惠子	タケミヤケイコ	姓化可
happy-4010	Happy!	4010	浦沢直樹		読み無
hi-no-tori-2772	火の鳥2772	2772	御厨さと美	ミクリヤサトミ	姓化可
horimiya-memorial-book-page-100	ホリミヤ メモリアルブック page.100	100	萩原ダイスケ	ハギワラダイスケ	姓化可
hotel-2624	HOTEL	2624	石森章太郎プロ		読み無
hyouryuu-kansen-000	漂流幹線000	000	松本零士	マツモトレイジ	姓化可
imori-201	イモリ201	201	今井ユウ	イマイユウ	姓化可
jinzou-ningen-100	人造人間100	100	江ノ島だいすけ	エノシマダイスケ	姓化可
kaiteijin-8823	海底人8823	8823	九里一平	クリイッペイ	姓化可
keishichou-tokuhanka-007	警視庁特犯課007	007	舵英里	カジエイリ	姓化可
koukokukan-1301	鴻鵠館1301	1301	加倉井ミサイル	カクライミサイル	姓化可
love-letter-0389	Love letter	0389	流田まさみ		読み無
magajin-1888	少年マガジン大全集復刻版	1888	コミックス編集		読み無
mahou-shoujo-201	魔法少女201	201	むちゃ	ムチャ	姓化可
manga-chotto-h-na-edo-no-kobanashi-200	マンガちょっとHな江戸の小噺200	200	高信太郎	コウシンタロウ	姓化可
manga-sekaishi-202	まんが世界史202	202	乱丸	ランマル	姓化可
maou-2099	魔王2099	2099	桜井寛	サクライカン	姓化可
maya-5322	Maya	5322	魔木子		読み無
milky-way-5616	Milky way	5616	佐藤楓		読み無
mosukuwa-2160	モスクワ2160	2160	関根光太郎	セキネコウタロウ	姓化可
mousou-torakkaa-8823	妄想トラッカー8823	8823	小田原ドラゴン	オダワラドラゴン	姓化可
naisen-893	内線893	893	山本康人	ヤマモトヤスヒト	姓化可
paradise-6238	Paradise	6238	たぐちまこと		読み無
pet-2032	Pet	2032	日輪早夜		読み無
rabu-suteishon-1148	ラブステイション1148	1148	かやまゆみ	カヤマユミ	姓化可
reiko-8904	Reiko	8904	宮城理子		読み無
resutoa-garage-251	レストアガレージ251	251	次原隆二	ツギハラリュウジ	姓化可
saikou-no-kekkon-500	最高の結婚500	500	小沢真理	オザワマリ	姓化可
saikou-no-kekkon-600	最高の結婚600	600	沖野ヨーコ	オキノヨーコ	姓化可
satsujin-daiyaru-9999	殺人ダイヤル9999	9999	御茶漬海苔	オチャズケノリ	姓化可
sayonara-ginga-tetsudou-999	さよなら銀河鉄道999	999	松本零士	マツモトレイジ	姓化可
seishun-endorooru-113	青春エンドロール113	113	波真田かもめ	ハマダカモメ	姓化可
shidenkai-343	紫電改343	343	須本壮一	スモトソウイチ	姓化可
soccer-boy-3104	サッカーボーイ	3104	柴田 文明／		読み無
sono-na-wa-101	その名は101	101	横山光輝	ヨコヤマミツテル	姓化可
sono-rettou-kishi-level-999	その劣等騎士、レベル999	999	舞嶋大	マイジマヒロ	姓化可
souai-shinematogurafu-113	相愛シネマトグラフ113	113	波真田かもめ	ハマダカモメ	姓化可
torikoro-mw-1056	トリコロMW-1056	1056	海藍	ハイラン	姓化可
uchuu-senkan-yamato-2199	宇宙戦艦ヤマト2199	2199	むらかわみちお	むらかわみちお	姓化可
uwasa-no-pink-house-806	うわさのピンクハウス806	806	渡辺ともえ	ワタナベトモエ	姓化可
yasui-shokuzai-ga-gokuuma-ni-daihenshin-otsumami-100	安い食材が極ウマに大変身!おつまみ100	100	中邑みつのり	ナカムラミツノリ	姓化可
zon-100	ゾン100	100	高田康太郎	タカタコウタロウ	姓化可
