slug	title	title_kana	romaji(kana)	kana一致	title一致
300	スリーハンドレッド	スリーハンドレッド	surihandoredo	0.0	0.0
7th	セブンス	セブンス	sebunsu	0.0	0.0
curve	カーヴ	カーヴ	ka	0.0	0.0
love-love-love	ラブ!ラブ!ラブ!	ラブラブラブ	raburaburabu	0.0	0.0
lovely-2007	らぶり～	ラブリー	raburi	0.0	0.0
lovely	ラブリー!	ラブリー	raburi	0.0	0.0
monkey	サル	サル	saru	0.0	0.0
tenren	天恋	アマコイ	amakoi	0.0	0.0
yatsu-yatsu-yatsu-yatsu	奴奴奴奴!	ドドドド!	dodododo	0.0	0.0
pride-1989	プライド	チカコノタタカイ	chikakonotatakai	0.12	0.0
baby-wars	ベイビー・ウォーズ	ベイビーウォーズ	beibiuozu	0.17	0.0
sixty-nine	69	ロクジュウキュウ	rokujuukyuu	0.17	0.0
the-live	ザ・ライブ	ザライブ	zaraibu	0.17	0.0
cipher-1996	サイファー	サイファー	saifua	0.2	0.0
love-2005	蓮愛	レンアイ	renai	0.2	0.0
love-live	ラブライブ!	ラブライブ	raburaibu	0.2	0.0
mercy	マーシー	マーシー	mashi	0.2	0.0
alpha	α	アルファ	arufua	0.25	0.0
birth	バース	バース	basu	0.25	0.0
eagle	イーグル	イーグル	iguru	0.25	0.0
elegy	悲歌	エレジー	ereji	0.25	0.0
fools	フールズ	フールズ	furuzu	0.25	0.0
gym-2000	ジム	ジム	jimu	0.25	0.0
hooker	フッカー	フッカー	fuka	0.25	0.0
lady-lady	レディレディ	レディレディ	redeiredei	0.25	0.0
lady	レディ!!	レディ	redei	0.25	0.0
layla-1993	レイラ	レイラ	reira	0.25	0.0
layla-2009	麗裸	レイラ	reira	0.25	0.0
lilith	リリス	リリス	ririsu	0.25	0.0
loser	ルーザー	ルーザー	ruza	0.25	0.0
lucky-2008	ラッキー	ラッキー	raki	0.25	0.0
lucky	ラッキー!!	ラッキー	raki	0.25	0.0
peace-yamada-1986	ピース!	ピース	pisu	0.25	0.0
peace	ピース!	ピース	pisu	0.25	0.0
satoshi	聖	イキル	ikiru	0.25	0.0
school-1999	スクール	スクール	sukuru	0.25	0.0
the-soccer	ザ・サッカー	ザサッカー	zasaka	0.25	0.0
third	サード	サード	sado	0.25	0.0
boys-love-2016	ボーイズラブ!	ボーイズラブ	boizurabu	0.29	0.0
cheer-otoko	チア男子!!	チアダンシ	chiadanshi	0.29	0.0
cover-girls	カバー・ガールズ	カバーガールズ	kabagaruzu	0.29	0.0
love-clinic	ラブ・クリニック	ラブクリニック	rabukuriniku	0.29	0.0
oxydol-love	オキシドールラブ	オキシドールラブ	okishidorurabu	0.29	0.0
psycho-eyes	サイコアイズ	サイコアイズ	saikoaizu	0.29	0.0
the-boxer	ザ・ボクサー	ザボクサー	zabokusa	0.29	0.0
0-angel	ゼロエンジェル	ゼロエンジェル	zeroenjieru	0.33	0.0
ace-1985	エース!	エース	esu	0.33	0.0
aile	エール!	エール	eru	0.33	0.0
angel-1987	エンジェル	エンジェル	enjieru	0.33	0.0
angel-1988	エンジェル	エンジェル	enjieru	0.33	0.0
baby-baby-1997	ベイベェベイベェ	ベイベェベイベェ	beibeebeibee	0.33	0.0
baby-baby	ベイビィベイビィ	ベイビィベイビィ	beibiibeibii	0.33	0.0
baby	ベイビィ	ベイビィ	beibii	0.33	0.0
bow	バウ	バウ	bau	0.33	0.0
bye-bye-brother	バイバイ・ブラザー	バイバイブラザー	baibaiburaza	0.33	0.0
byebyebye	バイバイバイ	バイバイバイ	baibaibai	0.33	0.0
clover-2002	クローバー	クローバー	kuroba	0.33	0.0
clover-2008	クローバー	クローバー	kuroba	0.33	0.0
clover	クローバー	クローバー	kuroba	0.33	0.0
color	カラー	カラー	kara	0.33	0.0
complex-age	コンプレックス・エイジ	コンプレックスエイジ	konpurekusueiji	0.33	0.0
cool-guy	クール・ガイ	クールガイ	kurugai	0.33	0.0
dolls-code	ドールズコード	ドールズコード	doruzukodo	0.33	0.0
flcl	フリクリ	フリクリ	furikuri	0.33	0.0
i-love-alice	アイラブアリス	アイラブアリス	airabuarisu	0.33	0.0
kill-love	キル・ラブ	キルラブ	kirurabu	0.33	0.0
layla	麗羅	レイラ	reira	0.33	0.0
losers-circle	ルーザーズ・サークル	ルーザーズサークル	ruzazusakuru	0.33	0.0
love-app	ラブアプリ	ラブアプリ	rabuapuri	0.33	0.0
love-boy-love	ラブ・ボーイ・ラブ	ラブボーイラブ	rabuboirabu	0.33	0.0
love-celeb	ラブセレブ	ラブセレブ	rabuserebu	0.33	0.0
love-dolls	ラブドールズ	ラブドールズ	rabudoruzu	0.33	0.0
love-files	ラヴ・ファイルズ	ラヴファイルズ	rafuairuzu	0.33	0.0
love-juice	ラブジュース	ラブジュース	rabujusu	0.33	0.0
love-life-2016	ラブ・ライフ	ラブライフ	raburaifu	0.33	0.0
love-lucky	ラブ・らっきぃ	ラブラッキィ	raburakii	0.33	0.0
now	ナウ	ナウ	nau	0.33	0.0
pool	プール	プール	puru	0.33	0.0
rei	怜	トキ	toki	0.33	0.0
shuukon	蹴魂	フットボール	futoboru	0.33	0.0
shuuren	終恋	ツイコイ	tsuikoi	0.33	0.0
taboo-yahagi-1996	タブー	スコラ	sukora	0.33	0.0
the-boys	ザ・ボーイズ	ザボーイズ	zaboizu	0.33	0.0
the-cop	ザ・コップ	ザコップ	zakopu	0.33	0.0
welcome-1979	ウェルカム	ウェルカム	uerukamu	0.33	0.0
welcome	うぇるかむ!	ウェルカム	uerukamu	0.33	0.0
with-2000	ウィズ	ウィズ	uizu	0.33	0.0
yon	4	マッドブルサーティフォー4	madoburusateifuo4	0.33	0.0
ys-5	イースⅤ	イース	isu	0.33	0.0
