base	version_id	sakuga	slug	year	n_vols	isbns
shikakenin-fujieda-baian	00065332	saito	shikakenin-fujieda-baian-saito-2016	2016	62	9784845851492,9784845823307,9784845851515,9784845856022,9784845851522,9784845857609,9784845858606,9784845823321,9784845823260,9784845823338,9784845823277,9784845823291,9784845823352,9784845823284,9784845823314,9784845823345,9784845851508,9784845840717,9784845840724,9784845840731,9784845840700,9784845840748,9784845832873,9784845840755,9784845823376,9784845823369,9784845840762,9784845823390,9784845823413,9784845824243,9784845832859,9784845832880,9784845823406,9784845823383,9784845824236,9784845832866,9784845832897,9784845840687,9784845832842,9784845832903,9784845840694,9784845832910,9784845851461,9784845851478,9784845851485,9784845843886,9784845832675,9784845843893,9784845847242,9784845847440,9784845848973,9784845861941,9784845862771,9784845862887,9784845868605,9784845868674,9784845868988,9784845869244,9784845869558,9784845870196,9784845870462,9784845870714
shikakenin-fujieda-baian	00707303	takemura	shikakenin-fujieda-baian-takemura-2019	2019	5	9784845857418,9784845855179,9784845858200,9784845861682,9784845864867
makai-tensho	00084883	tomi	makai-tensho-tomi-1999	1999	8	9784845856794,9784845856800,9784845823031,9784845823024,9784845819522,9784845819515,9784845847891,9784845847884
makai-tensho	00101114	ishikawa	makai-tensho-ishikawa-1987	1987	3	9784049210118,9784049210101,9784048527019
makai-tensho	toba	toba	makai-tensho-yume-no-ato	1997	2	9784048528085,9784048528078
makai-tensho	kugo	kugo	makai-tensho-seija-no-koshin	2003	1	9784048536677
manga-hyakunin-isshu-monogatari	merge		manga-hyakunin-isshu-monogatari	2014	6	9784055010467,9784055010498,9784055010504,9784055010511,9784055010450,9784055010481
mangaban-sekai-no-rekishi	merge		mangaban-sekai-no-rekishi	2009	6	9784087463255,9784087463279,9784087463330,9784087463316,9784087463293,9784087463309
turn-a-gundam	merge		turn-a-gundam	1999	8	9784063101119,9784063101102,9784063490022,9784063490220,9784063490459,9784063490671,9784063490930,9784063238822
little-busters	takagi	takagi	little-busters	2009	6	9784048661720,9784048911863,9784048685092,9784048864053,9784048704984,9784048677134
little-busters	kurohachi	kurohachi	little-busters-kurohachi-2013	2013	2	9784041206300,9784041208328
little-busters	anaguramogura	anaguramogura	little-busters-anaguramogura-2008	2008	2	9784047154261,9784047150973
little-busters	zen	zen	little-busters-zen-2018	2018	2	9784049127270,9784048936477
metroid	izuki	izuki	metroid	2003	3	9784063320022,9784063239942,9784063239768
metroid	ishikawa	ishikawa	metroid-ishikawa-2003	2003	2	9784063491722,9784063491432
aidoru-densetsu-eriko	burazaanoppo	burazaanoppo	aidoru-densetsu-eriko	1989	3	9784049241785,9784049241471,9784049241075
aidoru-densetsu-eriko	kitajima	kitajima	aidoru-densetsu-eriko-kitajima-1990	1990	1	9784091044150
dai-toshokan-no-hitsujikai	sasaki	sasaki	dai-toshokan-no-hitsujikai	2012	4	9784048917742,9784048911054,9784048665599,9784048691314
dai-toshokan-no-hitsujikai	tsukudani	tsukudani	dai-toshokan-no-hitsujikai-hitoribocchi-no-utahime	2013	2	9784840150040,9784840153331
dai-toshokan-no-hitsujikai	rico	rico	dai-toshokan-no-hitsujikai-lovely-librarians	2014	1	9784048666978
zeruda-no-densetsu	ishinomori	ishinomori	zeruda-no-densetsu	1993	1	9784091740113
zeruda-no-densetsu	himegawa	himegawa	zeruda-no-densetsu-fushigi-no-boshi	2006	1	9784091401168
zeruda-no-densetsu	himegawa	himegawa	zeruda-no-densetsu-fushigi-no-kinomi-daichi-no-sho	2001	1	9784091496041
zeruda-no-densetsu	himegawa	himegawa	zeruda-no-densetsu-fushigi-no-kinomi-jiku-no-sho	2002	1	9784091496058
zeruda-no-densetsu	kajiba	kajiba	zeruda-no-densetsu-kamigami-no-triforce	1995	3	9784870255593,9784870255524,9784870255418
zeruda-no-densetsu	himekawa	himekawa	zeruda-no-densetsu-kamigami-no-triforce-himekawa-2005	2005	1	9784091496089
zeruda-no-densetsu	himegawa	himegawa	zeruda-no-densetsu-mugen-no-sunadokei	2009	1	9784091496096
zeruda-no-densetsu	himegawa	himegawa	zeruda-no-densetsu-mujura-no-kamen	2001	1	9784091496034
zeruda-no-densetsu	himegawa	himegawa	zeruda-no-densetsu-toki-no-ocarina	2000	2	9784091496027,9784091496010
zeruda-no-densetsu	himegawa	himegawa	zeruda-no-densetsu-yottsu-no-tsurugi	2004	2	9784091496072,9784091496065
zeruda-no-densetsu	kajiba	kajiba	zeruda-no-densetsu-yume-o-miru-shima	1994	2	9784870255241,9784870255135
