isbn13	final_slug	base
9784041206300	little-busters-kurohachi-2013	little-busters
9784041208328	little-busters-kurohachi-2013	little-busters
9784047150973	little-busters-anaguramogura-2008	little-busters
9784047154261	little-busters-anaguramogura-2008	little-busters
9784048527019	makai-tensho-ishikawa-1987	makai-tensho
9784048528078	makai-tensho-yume-no-ato	makai-tensho
9784048528085	makai-tensho-yume-no-ato	makai-tensho
9784048536677	makai-tensho-seija-no-koshin	makai-tensho
9784048661720	little-busters	little-busters
9784048665599	dai-toshokan-no-hitsujikai	dai-toshokan-no-hitsujikai
9784048666978	dai-toshokan-no-hitsujikai-lovely-librarians	dai-toshokan-no-hitsujikai
9784048677134	little-busters	little-busters
9784048685092	little-busters	little-busters
9784048691314	dai-toshokan-no-hitsujikai	dai-toshokan-no-hitsujikai
9784048704984	little-busters	little-busters
9784048864053	little-busters	little-busters
9784048911054	dai-toshokan-no-hitsujikai	dai-toshokan-no-hitsujikai
9784048911863	little-busters	little-busters
9784048917742	dai-toshokan-no-hitsujikai	dai-toshokan-no-hitsujikai
9784048936477	little-busters-zen-2018	little-busters
9784049127270	little-busters-zen-2018	little-busters
9784049210101	makai-tensho-ishikawa-1987	makai-tensho
9784049210118	makai-tensho-ishikawa-1987	makai-tensho
9784049241075	aidoru-densetsu-eriko	aidoru-densetsu-eriko
9784049241471	aidoru-densetsu-eriko	aidoru-densetsu-eriko
9784049241785	aidoru-densetsu-eriko	aidoru-densetsu-eriko
9784055010450	manga-hyakunin-isshu-monogatari	manga-hyakunin-isshu-monogatari
9784055010467	manga-hyakunin-isshu-monogatari	manga-hyakunin-isshu-monogatari
9784055010481	manga-hyakunin-isshu-monogatari	manga-hyakunin-isshu-monogatari
9784055010498	manga-hyakunin-isshu-monogatari	manga-hyakunin-isshu-monogatari
9784055010504	manga-hyakunin-isshu-monogatari	manga-hyakunin-isshu-monogatari
9784055010511	manga-hyakunin-isshu-monogatari	manga-hyakunin-isshu-monogatari
9784063101102	turn-a-gundam	turn-a-gundam
