title	vol	version	special_isbn	normal_isbn	conf	normal_title
100万の命の上に俺は立っている	6	特装版	9784065141076		none	
100%パスカル先生	4	完璧プレート付き限定版	9784091592408		none	
100%パスカル先生	5	限定版	9784091592446		none	
10DANCE	5	特装版	9784065172131	9784065167311	high	10DANCE（5）
10DANCE	6	特装版	9784065226049	9784065226032	high	10DANCE（6）
10DANCE	7	特装版	9784065304167	9784065300657	high	10DANCE（7）
25時、赤坂で	5	[小冊子付き特装版]	9784396785871		none	
アイドリッシュセブン流星に祈る	1	ミニフォトアルバム付き特装版	9784592105787		none	
アイドリッシュセブン流星に祈る	2	ミニフォトアルバム付き特装版	9784592105831		none	
アイドルマスター シャイニーカラーズ 事務的光空記録	1	CD付き特装版	9784099431563	9784041149003	med	アイドルマスター シャイニーカラーズ コヒーレントライト（1
愛日と花嫁	2	限定版	9784758026000		none	
暁のヨナ	20	(秘)スケッチ集付き特装版	9784592218029		none	
AKB49 恋愛禁止条例	20	特装版	9784063622737		none	
AKB49 恋愛禁止条例	26	特装版	9784063623055		none	
悪役令嬢レベル99	2	ドラマCD付特装版	9784047367937		none	
悪役令嬢は隣国の王太子に溺愛される	7	ドラマCD付限定版	9784047364615		none	
ありすorありす	3	画集付き特装版	9784040696997		none	
甘い懲罰	10	特装版	9784434286513		none	
あまつき	13	限定版	9784758056137		none	
あまつき	14	限定版	9784758056847		none	
あまつき	15	限定版	9784758057424		none	
あまつき	16	限定版	9784758058063		none	
あまつき	18	限定版	9784758059169		none	
あまつき	19	特装版	9784758059831		none	
あまつき	20	特装版	9784758030755		none	
あまつき	22	特装版	9784758032292		none	
あまつき	23	特装版	9784758032841		none	
姉ログ	2	ドラマCD付き特別版	9784091591623		none	
あの娘にキスと白百合を	10	特装版	9784040656069		none	
アンチロマンス	2	特装版	9784344851283	9784344851276	high	アンチロマンス　（2）
蒼き鋼のアルペジオ	18	特装版	9784785964870		none	
Are you Alice?	4	限定版	9784758056113		none	
Are you Alice?	5	限定版	9784758056786		none	
Are you Alice?	7	限定版	9784758057813		none	
Are you Alice?	8	限定版	9784758058315		none	
Are you Alice?	9	限定版	9784758058742		none	
Are you Alice?	10	限定版	9784758059343		none	
Are you Alice?	11	特装版	9784758059855		none	
Are you Alice?	12	特装版	9784758030717		none	
アルスラーン戦記	20	特装版	9784065338889	9784065338896	high	アルスラーン戦記（20）
Artiste	8	小冊子付き特装版	9784107725103		none	
Artiste	10	クロックムッシュのぬいぐるみキーホルダー付き限定版	9784107726841		none	
あせとせっけん	5	特装版	9784065177778		none	
あせとせっけん	7	特装版	9784065197080		none	
あせとせっけん	9	特装版	9784065211274		none	
あせとせっけん	10	特装版	9784065223413		none	
あせとせっけん	11	特装版	9784065232743		none	
当て馬キャラのくせして、スパダリ王子に寵愛されています。	2	[小冊子付特装版]	9784434331824		none	
アトムザ・ビギニング	10	小冊子付特装版	9784864686570		none	
憐れなβは恋を知らない	1	小冊子付き特装版	9784861239526		none	
あやかしこ	6	ドラマCD付き特装版	9784040654355		none	
化物語	1	特装版	9784065120569		none	
化物語	2	特装版	9784065123348		none	
化物語	6	特装版	9784065153154	9784065153147	high	化物語（6）
化物語	7	特装版	9784065171639	9784065171660	high	化物語（7）
化物語	8	特装版	9784065181737	9784065181720	high	化物語（8）
化物語	9	特装版	9784065188521	9784065188538	high	化物語（9）
化物語	10	特装版	9784065203354		none	
化物語	11	特装版	9784065212578	9784065212561	high	化物語（11）
化物語	12	特装版	9784065220719		none	
化物語	13	特装版	9784065231456	9784065231425	high	化物語（13）
化物語	14	特装版	9784065245019		none	
化物語	15	特装版	9784065260043		none	
化物語	16	特装版	9784065268988		none	
化物語	17	特装版	9784065279199		none	
化物語	18	特装版	9784065286609		none	
化物語	19	特装版	9784065296349		none	
化物語	20	特装版	9784065303405		none	
化物語	21	特装版	9784065309285		none	
化物語	22	特装版	9784065315699		none	
紅ばら黒ばら	2	限定版BOX	9784778032104		none	
ベルセルク	42	ガッツ (狂戦士の甲冑) 胸像フィギュア付き特装版	9784592106357		none	
バイトメーカー	7	特装版	9784099430870		none	
Bite Maker	6	特装版	9784099430788	9784098711529	high	Bite Maker 〜王様のΩ〜（6）
Bite Maker	11	特装版	9784099431235	9784098718702	high	Bite Maker 〜王様のΩ〜（11）
B級グルメ倶楽部	5	小冊子付限定版	9784861349270		none	
ブラックチャンネル	5	ブラック天使ver. アクリルスタンド付き特装版	9784099431143	9784091435248	high	ブラックチャンネル（5）
BLACK LAGOON	13	アクリルスタンド14種付き限定版	9784099431426		none	
blanc	1	特装版	9784863498426		none	
ブルーピリオド	8	特装版	9784065207253	9784065207277	high	ブルーピリオド（8）
ブルーピリオド	11	特装版	9784065249772	9784065246696	high	ブルーピリオド（11）
ブルースカイコンプレックス	4	初回限定小冊子付特装版	9784864423410		none	
ブルースカイコンプレックス	6	初回限定特装版	9784864423953		none	
ブルースカイコンプレックス	7	初回限定小冊子付特装版	9784864424226		none	
ブルースカイコンプレックス	8	初回限定小冊子付特装版	9784864424479		none	
ブルースカイコンプレックス	9	初回限定小冊子付特装版	9784864424745		none	
ブルースカイコンプレックス	10	初回限定小冊子付特装版	9784864424967		none	
僕のヒーローアカデミア	14	アニメDVD同梱版	9784089082911		none	
僕の部屋がダンジョンの休憩所になってしまった件	7	NFTデジタル特典&小冊子付限定版	9784801978744		none	
僕の心のヤバイやつ	5	特装版	9784253226660		none	
僕の心のヤバイやつ	9	特装版	9784253229685		none	
僕の心のヤバイやつ	10	特装版	9784253229708		none	
僕と君の大切な話	7	特装版	9784065194065		none	
ぼくは地球と歌う	2	「ぼく地球」30周年画集付き特装版	9784592105688		none	
ボクラノキセキ	8	限定版	9784758058155	9784758058148	high	ボクラノキセキ（8）
ボクラノキセキ	9	限定版	9784758058650		none	
ボクラノキセキ	10	限定版	9784758059121		none	
ボクラノキセキ	11	限定版	9784758059688		none	
ボクラノキセキ	12	特装版	9784758030441		none	
ボクラノキセキ	14	特装版	9784758031905		none	
ボクラノキセキ	15	特装版	9784758032421		none	
ボクラノキセキ	16	特装版	9784758032766		none	
ボクラノキセキ	17	特装版	9784758033213		none	
不器用なサイレント	6	初回限定版	9784799731949		none	
ブサメン男子♂	2	[限定版]	9784864421126		none	
カリスマ	1	限定版	9784065326916		none	
カリスマ	2	限定版	9784065346518		none	
チーズスイートホーム	4	限定版	9784063620795		none	
チーズスイートホーム	12	限定版	9784063587647		none	
ちはやふる	43	特装版	9784065179338	9784065180358	high	ちはやふる（43）
ちはやふる	50	特装版	9784065307380	9784065302064	high	ちはやふる（50）
ちいかわ	1	なんか楽しくて飾れる絵本付き特装版	9784065227299	9784065223963	high	ちいかわ　なんか小さくてかわいいやつ（1）
ちいかわ	2	なんか楽しくて開ける絵本付き特装版	9784065242520	9784065242513	high	ちいかわ　なんか小さくてかわいいやつ（2）
ちいかわ	4	なんか小さくてためになる豆本付き特装版	9784065285794	9784065286500	high	ちいかわ　なんか小さくてかわいいやつ（4）
超変換大戦もじバケるG	1	もじバケル付限定版	9784091591333		none	
蝶か犯か	4	特装版	9784065230572		none	
調律葬交zyklus	1	限定版	9784758057448		none	
調律葬交zyklus	2	限定版	9784758058964		none	
超訳百人一首 うた恋い。	2	DVD付特装版	9784840138796		none	
Citrus +	6	特装版	9784758076258	9784758027229	high	citrus +（6）
Citrus +	7	特装版	9784758076807	9784758099653	high/no-cover	citrus +（7）
Citrus +	8	特装版	9784758077439		none	
コーヒー&バニラ	16	特装版	9784099430757		none	
コーヒー&バニラ	20	アクリルスタンド付き特装版	9784099431105		none	
コールドゲーム	5	特装版	9784099430801	9784098711482	high	コールドゲーム（5）
コーセルテルの竜術士 子竜物語	6	特装版	9784758059879		none	
コーセルテルの竜術士	10	特装版	9784758033268		none	
CRITICAL LOVERS	2	初回限定版	9784862528179		none	
だから僕は、Hができない。	4	ブルーレイ付き限定版	9784047128231		none	
誰か夢だと言ってくれ	9	特装版	9784088552248		none	
DAYS	28	限定版	9784065106938		none	
DAYS	42	特装版	9784065226537		none	
デッドデッドデーモンズデデデデデストラクション	10	限定版	9784099430771	9784098608348	high	デッドデッドデーモンズデデデデデストラクション（10）
デッドデッドデーモンズデデデデデストラクション	11	限定版	9784099430894	9784098611577	high	デッドデッドデーモンズデデデデデストラクション（11）
デッドデッドデーモンズデデデデデストラクション	12	限定版	9784099431020	9784098612932	high	デッドデッドデーモンズデデデデデストラクション（12）
DEAR BOYS ACT 3	8	特装版	9784063583540	9784065392737	high	DEAR　BOYS　新装版（8）
出禁のモグラ	7	特装版	9784065359457	9784065357248	high	出禁のモグラ（7）
電波教師	9	電波先生付限定版	9784091591661		none	
電波教師	10	限定版	9784091591838		none	
電波教師	12	ドラマCD付き特別版	9784091591968		none	
デビルズライン	12	限定版	9784065128831		none	
デビルズライン	14	限定版	9784065154946		none	
ディノサン	5	マサルお座りマスコット付き限定版	9784107726247		none	
人形の国	7	ミニ画集付特装版	9784065211809		none	
人形の国	8	ミニ画集付特装版	9784065239513		none	
人形の国	9	小冊子付特装版	9784065262207		none	
ドーリィ♪カノン	5	DVDつき特装版	9784091591913		none	
ドメスティックな彼女	19	特装版	9784065117903		none	
ドメスティックな彼女	20	特装版	9784065136362		none	
ドメスティックな彼女	21	特装版	9784065141182		none	
ドメスティックな彼女	26	特装版	9784065192597		none	
ドメスティックな彼女	27	特装版	9784065188620		none	
ドメスティックな彼女	28	特装版	9784065203392		none	
同居人はひざ、時々、頭のうえ。	3	限定版	9784593881390	9784866759814	high	同居人はひざ、時々、頭のうえ。（3）
ドラゴン、家を買う。	4	初回限定版	9784800008343	9784800008435	high	ドラゴン、家を買う。（4）
ドリフターズ	6	オリジナルアニメDVD付特装版	9784785963217	9784785963446	high	ドリフターズ（6）
EDENS ZERO	1	特装版	9784065132357		none	
英雄伝説空の軌跡	6	豪華版	9784048992503		none	
衛宮さんちの今日のごはん	6	レシピ本付特装版	9784041108192	9784041108208	high	衛宮さんちの今日のごはん　（6）
衛宮さんちの今日のごはん	8	レシピ本付特装版	9784041125168	9784041125151	high	衛宮さんちの今日のごはん　（8）
炎炎ノ消防隊	16	特装版	9784065156742	9784065148785	high	炎炎ノ消防隊（16）
炎炎ノ消防隊	21	特装版	9784065180648	9784065180631	high	炎炎ノ消防隊（21）
炎炎ノ消防隊	25	特装版	9784065211564	9784065205952	high	炎炎ノ消防隊（25）
あんさんぶるスターズ!ready for star	1	特装版	9784099430573		none	
あんさんぶるスターズ!ready for star	2	特装版	9784099430764		none	
ファインダーの熱情	1	初回限定版	9784862639431		none	
FAIRY TAIL 100 YEARS QUEST	18	特装版	9784065366745	9784065365069	high	FAIRY　TAIL　100　YEARS　QUEST（18）
FAIRY TAIL	24	特装版	9784063583335		none	
ファミレス行こ。	1	アクリルスタンド付き特装版	9784047377486		none	
ファンタジスタステラ	8	OVA付き限定版	9784099418397		none	
ファンタジスタステラ	10	特装版	9784099418458		none	
ふらいんぐうぃっち	8	ドラマCD付き特装版	9784065170328	9784065162859	high	ふらいんぐうぃっち（8）
腐男子高校生活	3	特装版	9784758032407		none	
腐男子召喚	5	ドラマCD付き特装版	9784575381153		none	
腐男子召喚	6	ドラマCD付き特装版	9784575381276		none	
腐男子召喚	7	ドラマCD付き特装版	9784575381375		none	
腐男子召喚	8	フルボイス小冊子付き特装版	9784575381542		none	
腐男子召喚	9	ドラマCD付き特装版	9784575381740		none	
不滅のあなたへ	13	特装版	9784065206485	9784065193082	high	不滅のあなたへ（13）
ふたりソロキャンプ	11	限定版	9784065258866	9784065258873	high	ふたりソロキャンプ（11）
ふたりソロキャンプ	14	特装版	9784065298374	9784065297612	high	ふたりソロキャンプ（14）
ふたりソロキャンプ	16	特装版	9784065325360	9784065324264	high	ふたりソロキャンプ（16）
普通の女子校生が【ろこどる】やってみた。	3	特装版	9784758082150		none	
普通の女子校生が【ろこどる】やってみた。	4	特装版	9784758082426		none	
普通の女子校生が【ろこどる】やってみた。	6	特装版	9784758082914		none	
学園天国パラドキシア	8	限定版	9784758063159		none	
学園天国パラドキシア	9	限定版	9784758063777		none	
学園天国パラドキシア	10	特装版	9784758065023		none	
がんばれ!消えるな!!色素薄子さん	6	限定版	9784758062787		none	
がんばれ!消えるな!!色素薄子さん	7	限定版	9784758063135		none	
がんばれ!消えるな!!色素薄子さん	10	限定版	9784758064002		none	
がんばれ!消えるな!!色素薄子さん	11	限定版	9784758064132		none	
ギガント	10	限定版	9784099430993		none	
銀の匙	9	オリジナルドラマCDつき特別版	9784091591654	9784091244741	high	銀の匙 Silver Spoon（9）
GLOW!	1	特装版A	9784758073851		none	
ごちそうΩはチュウと鳴く	2	小冊子付き特装版	9784861239922		none	
極主夫道	8	小冊子付特装版	9784107724205		none	
極妻デイズ	10	特装版	9784065223642		none	
グッバイ・ハーレキン	1	特装版	9784758078092		none	
五等分の花嫁	14	特装版	9784065197226	9784065186879	med	五等分の花嫁（14）
グラール騎士団	1	限定版	9784758055482		none	
傲慢王子とプライベートキス	1	特装版	9784832289550		none	
午前0時、キスしに来てよ	9	CD付き特装版	9784065137772		none	
グリードパケット∞	4	ドラマCDつき特装版	9784048689380		none	
軍靴のバルツァー	4	限定版	9784107716910	9784107716903	high	軍靴のバルツァー（4）
軍靴のバルツァー	11	限定版	9784107720528		none	
銃夢火星戦記	9	特装版	9784065302194		none	
はいふり	5	阿部かなりイラスト集付き特装版	9784040656052		none	
はいふり	10	阿部かなりイラスト集付き特装版	9784046818089		none	
ハイガクラ	7	限定版	9784758058780	9784758058773	high	ハイガクラ（7）
ハイガクラ	8	特装版	9784758059954	9784758059947	high	ハイガクラ（8）
ハイガクラ	9	特装版	9784758031691	9784758031684	high	ハイガクラ（9）
ハイガクラ	10	特装版	9784758032599	9784758085335	high/no-cover	ハイガクラ　新装版　10巻
ハクメイとミコチ	12	特装版	9784047376304	9784047376298	high	ハクメイとミコチ　12巻
ハレルヤベイビー	5	特装版	9784088552170		none	
花野井くんと恋の病	7	特装版	9784065215289	9784065215272	high	花野井くんと恋の病（7）
花野井くんと恋の病	10	特装版	9784065270196	9784065271018	high	花野井くんと恋の病（10）
はねバド!	15	特装版	9784065157206		none	
ハンツー×トラッシュ	15	限定版	9784065124109		none	
ハンツー×トラッシュ	16	限定版	9784065150054		none	
ハンツー×トラッシュ	17	限定版	9784065161302		none	
ハンツー×トラッシュ	18	限定版	9784065188149		none	
春待つ僕ら	12	特装版	9784065156001		none	
春待つ僕ら	14	特装版	9784065195000		none	
遙かなる時空の中で6	6	限定版	9784065124659	9784065404485	high	遙かなる時空の中で7（6）
初恋ランチボックス	1	特装版	9784063621594		none	
ハヤテのごとく!	30	ドラマCD付限定版	9784091591050		none	
ハヤテのごとく!	34	日めくりカレンダー付き限定版	9784091591319		none	
ハヤテのごとく!	35	アニメ原案コンテ集付き限定版	9784091591401		none	
ハヤテのごとく!	36	教養講座CD付き限定版	9784099418113		none	
ハヤテのごとく!	37	香る生写真つき限定版	9784091591548		none	
ハヤテのごとく!	38	第二弾!!香る生写真つき!初回限定版!!	9784091591630		none	
ハヤテのごとく!	39	スケルトントランプ付き初回限定版	9784091591753		none	
ハヤテのごとく!	40	限定版	9784091591883		none	
ハヤテのごとく!	41	オリジナルアニメDVD付き限定版	9784099418281		none	
ハヤテのごとく!	42	アニメDVD付き限定版	9784099418304		none	
緋の纏	7	限定版	9784758057684		none	
緋の纏	8	限定版	9784758058254		none	
緋の纏	9	限定版	9784758058803		none	
緋の纏	10	限定版	9784758059374		none	
火の鳥風太郎	1	限定版box	9784778032111		none	
ひめゴト	4	特装版	9784758014168		none	
秘密ありきの僕たちですが	1	限定版	9784758026567		none	
氷室の天地	6	限定版	9784758081788		none	
氷室の天地	7	特装版	9784758082051	9784758082044	high	氷室の天地（7）
氷室の天地	10	特装版	9784758082792		none	
ヒプノシスマイク	3	限定版	9784065194256		none	
ヒプノシスマイク	4	限定版	9784065248515		none	
ヒプノシスマイク	5	CD付き限定版	9784065262818		none	
ヒプノシスマイク	3	限定版	9784065194256	9784758035002	med	ヒプノシスマイクーDivisionRapBattle-sid
ヒプノシスマイク	4	限定版	9784065248515		none	
ヒプノシスマイク	5	CD付き限定版	9784065262818		none	
ヒットマン	5	特装版	9784065171219		none	
ヒットマン	6	特装版	9784065171691		none	
ひとりぼっちの○○生活	8	特装版	9784049138511		none	
Hitorijime my hero	3	限定版A	9784758073080		none	
Hitorijime my hero	4	特装版	9784758074094		none	
Hitorijime my hero	5	特装版	9784758075251		none	
Hitorijime my hero	6	特装版	9784758077002		none	
ひとりじめマイヒーロー	3	限定版A	9784758073080	9784758073073	high	ひとりじめマイヒーロー（3）
ひとりじめマイヒーロー	4	特装版	9784758074094	9784758074087	high	ひとりじめマイヒーロー（4）
ひとりじめマイヒーロー	5	特装版	9784758075251	9784758075244	high	ひとりじめマイヒーロー（5）
ひとりじめマイヒーロー	6	特装版	9784758077002	9784758076999	high	ひとりじめマイヒーロー（6）
ほけんのせんせい	4	初回版	9784847038426		none	
炎の闘球女ドッジ弾子	1	アクリルスタンドつき特装版	9784099431280	9784091436139	high	炎の闘球女 ドッジ弾子（1）
炎の闘球女ドッジ弾子	2	アクリルスタンドつき特装版	9784099431303	9784091436313	high	炎の闘球女 ドッジ弾子（2）
炎の闘球女ドッジ弾子	3	アクリルスタンドつき特装版	9784099431419	9784091436719	high	炎の闘球女 ドッジ弾子（3）
炎の闘球女ドッジ弾子	4	アクリルスタンドつき特装版	9784099431600	9784091437211	high	炎の闘球女 ドッジ弾子（4）
ほんと野獣	3	限定版	9784877241681	9784877241698	high/no-cover	ほんと野獣（3）
鬼灯の冷徹	7	限定版	9784063584011	9784063871593	high	鬼灯の冷徹（7）
鬼灯の冷徹	15	限定版	9784063587166		none	
鬼灯の冷徹	29	限定版	9784065157367		none	
鬼灯の冷徹	30	限定版	9784065157374		none	
鬼灯の冷徹	31	限定版	9784065157381		none	
宝石の国	9	特装版	9784065131022	9784065131015	high	宝石の国（9）
宝石の国	10	特装版	9784065167397	9784065167380	high	宝石の国（10）
宝石の国	11	特装版	9784065202234	9784065202241	high	宝石の国（11）
宝石の国	12	特装版	9784065297339	9784065297322	high	宝石の国（12）
Hugっと!プリキュア	1	特装版	9784065124857		none	
Hugっと!プリキュア	2	特装版	9784065150030		none	
百鬼夜行抄	22	[特装版]	9784022141323		none	
百姓貴族	8	DVD付き特装版	9784403690082	9784403671890	high	百姓貴族（8）
ヒプノシスマイク-before the battle-dawn of divisions	1	限定版	9784065250235		none	
ヒプノシスマイク-before the battle-dawn of divisions	2	限定版	9784065276334		none	
ヒプノシスマイク-before the battle-dawn of divisions	3	限定版	9784065293027		none	
ヒプノシスマイク-before the battle-the dirty dawg	2	限定版	9784065176269	9784758034715	high	ヒプノシスマイク -Division Rap Battle-
ヒプノシスマイク-before the battle-the dirty dawg	3	限定版	9784065193143	9784758035002	med	ヒプノシスマイクーDivisionRapBattle-sid
ヒプノシスマイク-before the battle-the dirty dawg	4	限定版	9784065210925		none	
アイドリッシュセブンRe:member	1	缶バッジ付き特装版	9784592106104		none	
アイドリッシュセブンRe:member	2	アクリルスタンド付き特装版	9784592106142		none	
アイドリッシュセブンRe:member	3	「未完成な僕ら」CD付き特装版	9784592106166		none	
アイドルマスターSideMストラグルハート	1	オリジナルCD付き特装版	9784049122503		none	
いーあるふぁんくらぶ	1	特装版	9784758064415		none	
いいんちょ。	6	初回版	9784847039041		none	
いいんちょ。	7	初回版	9784847039607		none	
イジらないで、長瀞さん	2	特装版	9784065119907	9784065116753	high	イジらないで、長瀞さん（2）
イジらないで、長瀞さん	3	特装版	9784065136355		none	
イジらないで、長瀞さん	5	特装版	9784065167489	9784065153055	high	イジらないで、長瀞さん（5）
イジらないで、長瀞さん	7	特装版	9784065187876	9784065185179	high	イジらないで、長瀞さん（7）
イジらないで、長瀞さん	8	特装版	9784065201046		none	
イジらないで、長瀞さん	9	特装版	9784065212493		none	
イジらないで、長瀞さん	10	特装版	9784065226476	9784065226445	high	イジらないで、長瀞さん（10）
インフェクション	11	特装版	9784065126561		none	
インフェクション	15	特装版	9784065164372		none	
インフェクション	16	特装版	9784065166673		none	
インフェクション	20	特装版	9784065205624		none	
インフィニティブレード	1	限定版	9784860324407		none	
犬と猫どっちも飼ってると毎日たのしい	6	限定版	9784065214770	9784065229996	high	犬と猫どっちも飼ってると毎日たのしい（6）
異世界に救世主として喚ばれましたが、アラサーには無理なので、ひっそりブックカフェ始めました。	3	特装版	9784099430856		none	
異世界に救世主として喚ばれましたが、アラサーには無理なので、ひっそりブックカフェ始めました。	5	特装版	9784099431099	9784098511143	high	異世界に救世主として喚ばれましたが、アラサーには無理なので、
異種族レビュアーズ	2	特装版	9784040729749		none	
いとしのムーコ	17	限定版	9784065216460		none	
いとしの猫っ毛	5	初回限定版	9784799729274		none	
常住戦陣!!ムシブギョー	15	限定版	9784099418335		none	
常住戦陣!!ムシブギョー	16	OVA付き限定版	9784099418380		none	
情熱のイングリッシュローズ	1	初回限定版	9784864361156		none	
純情ロマンチカ	23	小冊子付き特装版	9784041072691	9784041072707	high	純情ロマンチカ　第23巻
K先生の不埒な純愛	1	特装版	9784832289154		none	
かいしんのいちげき!	2	月ノ山高校ガイドブックつき特装版	9784065342381		none	
怪盗ジョーカー	20	DVDつき特装版	9784091592071		none	
怪盗ジョーカー	21	DVDつき特装版	9784091592200		none	
カカオ79%	4	オーディオドラマダウンロードコード小冊子付き特装版	9784040652139		none	
カッコウの許嫁	15	海野幸ミニ写真集『キミに幸あれ』付き特装版	9784065300855	9784065299371	high	カッコウの許嫁（15）
カッコウの許嫁	20	瀬川ひろコレクション『ひろコレ』付き特装版	9784065339428	9784065338858	high	カッコウの許嫁（20）
カッコウの許嫁	21	天野エリカコレクション『エリコレ』付き特装版	9784065345658	9784065345672	high	カッコウの許嫁（21）
カッコウの許嫁	22	海野幸コレクション『幸コレ』付き特装版	9784065351741	9784065351765	high	カッコウの許嫁（22）
カッコウの許嫁	23	望月あいコレクション『あいコレ』付き特装版	9784065361368	9784065361597	high	カッコウの許嫁（23）
かめばかむほど甘くなる	6	特装版	9784099431013		none	
神のみぞ知るセカイ	16	鎌型シャープペンシル付き限定版	9784091591128		none	
神のみぞ知るセカイ	19	OVA付限定版	9784099418038		none	
神のみぞ知るセカイ	20	DVD付特別版	9784099418069		none	
神のみぞ知るセカイ	22	OVA付き限定版	9784099418144		none	
神のみぞ知るセカイ	24	クリアファイルセット付き限定版	9784091591722		none	
神のみぞ知るセカイ	25	限定版	9784091591890		none	
神のみぞ知るセカイ	26	ポストカードセット付き限定版	9784091591937		none	
かんなぎ	8	限定版	9784758063838		none	
かんなぎ	9	特装版	9784758064590		none	
かんなぎ	11	特装版	9784758066174		none	
かんなぎ	12	特装版	9784758066778		none	
カノジョも彼女	16	特装版	9784065321881		none	
かんぱち	5	限定版	9784758063852		none	
