title	vol	version	special_isbn	status
愛日と花嫁	2	限定版	9784758026000	ndl-none
ありすorありす	3	画集付き特装版	9784040696997	ndl-none
甘い懲罰	10	特装版	9784434286513	ndl-none
アラビアン・騎士	1	初回限定版	9784862525826	ndl-none
当て馬キャラのくせして、スパダリ王子に寵愛されています。	2	[小冊子付特装版]	9784434331824	ndl-none
憐れなβは恋を知らない	1	小冊子付き特装版	9784861239526	ndl-none
紅ばら黒ばら	2	限定版BOX	9784778032104	ndl-none
B級グルメ倶楽部	5	小冊子付限定版	9784861349270	ndl-none
ブルースカイコンプレックス	8	初回限定小冊子付特装版	9784864424479	ndl-none
ブルースカイコンプレックス	9	初回限定小冊子付特装版	9784864424745	ndl-none
僕の部屋がダンジョンの休憩所になってしまった件	7	NFTデジタル特典&小冊子付限定版	9784801978744	ndl-none
不器用なサイレント	6	初回限定版	9784799731949	ndl-none
CRITICAL LOVERS	1	初回限定版	9784862523709	ndl-none
CRITICAL LOVERS	2	初回限定版	9784862528179	ndl-none
ファインダーの熱情	1	初回限定版	9784862639431	ndl-none
腐男子召喚	5	ドラマCD付き特装版	9784575381153	ndl-none
腐男子召喚	6	ドラマCD付き特装版	9784575381276	ndl-none
腐男子召喚	7	ドラマCD付き特装版	9784575381375	ndl-none
腐男子召喚	8	フルボイス小冊子付き特装版	9784575381542	ndl-none
腐男子召喚	9	ドラマCD付き特装版	9784575381740	ndl-none
ごちそうΩはチュウと鳴く	2	小冊子付き特装版	9784861239922	ndl-none
グッバイ・ハーレキン	1	特装版	9784758078092	ndl-none
傲慢王子とプライベートキス	1	特装版	9784832289550	ndl-none
初恋ランチボックス	1	特装版	9784063621594	ndl-none
火の鳥風太郎	1	限定版box	9784778032111	ndl-none
秘密ありきの僕たちですが	1	限定版	9784758026567	ndl-none
ほけんのせんせい	4	初回版	9784847038426	ndl-none
いいんちょ。	6	初回版	9784847039041	ndl-none
いいんちょ。	7	初回版	9784847039607	ndl-none
いとしの猫っ毛	5	初回限定版	9784799729274	ndl-none
情熱のイングリッシュローズ	1	初回限定版	9784864361156	ndl-none
K先生の不埒な純愛	1	特装版	9784832289154	ndl-none
カラスマ0条探題	1	初回版	9784847039379	ndl-none
北山くんと南谷くん	3	小冊子付き特別版	9784781623191	ndl-none
恋と呼ぶには気持ち悪い	4	特装版	9784758015851	ndl-none
恋する暴君	6	限定版	9784877241988	ndl-none
このはな綺譚	15	[メロンブックス限定版]	9784344851993	ndl-none
黒い吹雪	1	限定復刻版	9784883793075	ndl-none
