title	vol	version	special_isbn	normal_isbn	status
100%パスカル先生	4	完璧プレート付き限定版	9784091592408		none
100%パスカル先生	5	限定版	9784091592446		none
25時、赤坂で	5	[小冊子付き特装版]	9784396785871		none
アイドリッシュセブン流星に祈る	1	ミニフォトアルバム付き特装版	9784592105787		none
アイドリッシュセブン流星に祈る	2	ミニフォトアルバム付き特装版	9784592105831		none
愛日と花嫁	2	限定版	9784758026000		none
暁のヨナ	20	(秘)スケッチ集付き特装版	9784592218029		none
悪役令嬢レベル99	2	ドラマCD付特装版	9784047367937		none
悪役令嬢は隣国の王太子に溺愛される	7	ドラマCD付限定版	9784047364615		none
ありすorありす	3	画集付き特装版	9784040696997		none
甘い懲罰	10	特装版	9784434286513		none
あの娘にキスと白百合を	10	特装版	9784040656069		none
蒼き鋼のアルペジオ	18	特装版	9784785964870		none
アラビアン・騎士	1	初回限定版	9784862525826		none
Artiste	8	小冊子付き特装版	9784107725103		none
Artiste	10	クロックムッシュのぬいぐるみキーホルダー付き限定版	9784107726841		none
当て馬キャラのくせして、スパダリ王子に寵愛されています。	2	[小冊子付特装版]	9784434331824		none
憐れなβは恋を知らない	1	小冊子付き特装版	9784861239526		none
あやかしこ	6	ドラマCD付き特装版	9784040654355		none
紅ばら黒ばら	2	限定版BOX	9784778032104		none
ベルセルク	42	ガッツ (狂戦士の甲冑) 胸像フィギュア付き特装版	9784592106357		none
バイトメーカー	7	特装版	9784099430870		none
B級グルメ倶楽部	5	小冊子付限定版	9784861349270		none
BLACK LAGOON	13	アクリルスタンド14種付き限定版	9784099431426		none
ブルースカイコンプレックス	4	初回限定小冊子付特装版	9784864423410		none
ブルースカイコンプレックス	6	初回限定特装版	9784864423953		none
ブルースカイコンプレックス	7	初回限定小冊子付特装版	9784864424226		none
ブルースカイコンプレックス	8	初回限定小冊子付特装版	9784864424479		none
ブルースカイコンプレックス	9	初回限定小冊子付特装版	9784864424745		none
ブルースカイコンプレックス	10	初回限定小冊子付特装版	9784864424967		none
僕のヒーローアカデミア	14	アニメDVD同梱版	9784089082911		none
僕の部屋がダンジョンの休憩所になってしまった件	7	NFTデジタル特典&小冊子付限定版	9784801978744		none
僕の心のヤバイやつ	5	特装版	9784253226660		none
僕の心のヤバイやつ	9	特装版	9784253229685		none
僕の心のヤバイやつ	10	特装版	9784253229708		none
ぼくは地球と歌う	2	「ぼく地球」30周年画集付き特装版	9784592105688		none
不器用なサイレント	6	初回限定版	9784799731949		none
ブサメン男子♂	2	[限定版]	9784864421126		none
超訳百人一首 うた恋い。	2	DVD付特装版	9784840138796		none
Citrus +	7	特装版	9784758076807		none
Citrus +	8	特装版	9784758077439		none
CRITICAL LOVERS	1	初回限定版	9784862523709		none
CRITICAL LOVERS	2	初回限定版	9784862528179		none
だから僕は、Hができない。	4	ブルーレイ付き限定版	9784047128231		none
誰か夢だと言ってくれ	9	特装版	9784088552248		none
ディノサン	5	マサルお座りマスコット付き限定版	9784107726247		none
ファインダーの熱情	1	初回限定版	9784862639431		none
ファミレス行こ。	1	アクリルスタンド付き特装版	9784047377486		none
ファンタジスタステラ	8	OVA付き限定版	9784099418397		none
ファンタジスタステラ	10	特装版	9784099418458		none
腐男子召喚	5	ドラマCD付き特装版	9784575381153		none
腐男子召喚	6	ドラマCD付き特装版	9784575381276		none
腐男子召喚	7	ドラマCD付き特装版	9784575381375		none
腐男子召喚	8	フルボイス小冊子付き特装版	9784575381542		none
腐男子召喚	9	ドラマCD付き特装版	9784575381740		none
ギガント	10	限定版	9784099430993		none
ごちそうΩはチュウと鳴く	2	小冊子付き特装版	9784861239922		none
極主夫道	8	小冊子付特装版	9784107724205		none
グッバイ・ハーレキン	1	特装版	9784758078092		none
傲慢王子とプライベートキス	1	特装版	9784832289550		none
グリードパケット∞	4	ドラマCDつき特装版	9784048689380		none
軍靴のバルツァー	11	限定版	9784107720528		none
はいふり	5	阿部かなりイラスト集付き特装版	9784040656052		none
はいふり	10	阿部かなりイラスト集付き特装版	9784046818089		none
ハレルヤベイビー	5	特装版	9784088552170		none
初恋ランチボックス	1	特装版	9784063621594		none
火の鳥風太郎	1	限定版box	9784778032111		none
秘密ありきの僕たちですが	1	限定版	9784758026567		none
ほけんのせんせい	4	初回版	9784847038426		none
アイドリッシュセブンRe:member	1	缶バッジ付き特装版	9784592106104		none
