title	vol	version	special_isbn	normal_isbn	status
アイドリッシュセブン流星に祈る	1	ミニフォトアルバム付き特装版	9784592105787		series=アイドリッシュセブン 流星に祈る/none
アイドリッシュセブン流星に祈る	2	ミニフォトアルバム付き特装版	9784592105831		series=アイドリッシュセブン 流星に祈る/none
愛日と花嫁	2	限定版	9784758026000		no-title
悪役令嬢レベル99	2	ドラマCD付特装版	9784047367937		series=悪役令嬢レベル99 〜私は裏ボス/none
ありすorありす	3	画集付き特装版	9784040696997		series=ありすorありす　〜シスコン兄さ/none
甘い懲罰	10	特装版	9784434286513		no-title
アラビアン・騎士	1	初回限定版	9784862525826		no-title
当て馬キャラのくせして、スパダリ王子に寵愛されています。	2	[小冊子付特装版]	9784434331824		no-title
憐れなβは恋を知らない	1	小冊子付き特装版	9784861239526		series=憐れなβは恋を知らない/none
紅ばら黒ばら	2	限定版BOX	9784778032104		series=紅ばら黒ばら BOX/none
B級グルメ倶楽部	5	小冊子付限定版	9784861349270		no-title
ブルースカイコンプレックス	8	初回限定小冊子付特装版	9784864424479		series=ブルースカイコンプレックス/none
ブルースカイコンプレックス	9	初回限定小冊子付特装版	9784864424745		series=ブルースカイコンプレックス/none
ブルースカイコンプレックス	10	初回限定小冊子付特装版	9784864424967		series=ブルースカイコンプレックス/none
僕の部屋がダンジョンの休憩所になってしまった件	7	NFTデジタル特典&小冊子付限定版	9784801978744		series=僕の部屋がダンジョンの休憩所にな/none
ぼくは地球と歌う	2	「ぼく地球」30周年画集付き特装版	9784592105688		series=ぼくは地球と歌う 「ぼく地球」次/none
不器用なサイレント	6	初回限定版	9784799731949		no-title
CRITICAL LOVERS	1	初回限定版	9784862523709		no-title
CRITICAL LOVERS	2	初回限定版	9784862528179		no-title
ファインダーの熱情	1	初回限定版	9784862639431		no-title
ファミレス行こ。	1	アクリルスタンド付き特装版	9784047377486		series=ファミレス行こ。 上 アクリルス/none
腐男子召喚	5	ドラマCD付き特装版	9784575381153		no-title
腐男子召喚	6	ドラマCD付き特装版	9784575381276		series=腐男子召喚〜異世界で神獣にハメら/none
腐男子召喚	7	ドラマCD付き特装版	9784575381375		no-title
腐男子召喚	8	フルボイス小冊子付き特装版	9784575381542		series=腐男子召喚〜異世界で神獣にハメら/none
腐男子召喚	9	ドラマCD付き特装版	9784575381740		series=腐男子召喚〜異世界で神獣にハメら/none
