slug	title	std_vols	publishers	majority	minority_detail	minority_vols
onihei-hankachou	鬼平犯科帳	122	リイド社:58 | 文藝春秋:50	リイド社	文藝春秋=[73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 1	[73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97]
landreaall	Landreaall	44	講談社:14 | 一迅社:11	講談社	一迅社=[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 26]	[9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 26]
chiruran-shinsengumi-requiem	ちるらん新撰組鎮魂歌	36	徳間:26 | コアミックス:10	徳間	コアミックス=[27, 28, 29, 30, 31, 32, 33, 34, 35, 36]	[27, 28, 29, 30, 31, 32, 33, 34, 35, 36]
akarito-shirono-shinrei-yawa	あかりとシロの心霊夜話	35	青泉社:22 | Bbmfマガジン:7	青泉社	Bbmfマガジン=[9, 10, 11, 12, 13, 14, 15]	[9, 10, 11, 12, 13, 14, 15]
gang-king	ギャングキング	35	少年画報社:25 | 講談社:8	少年画報社	講談社=[30, 31, 32, 33, 34, 35, 36, 37]	[30, 31, 32, 33, 34, 35, 36, 37]
bokura-no-kiseki	ボクラノキセキ	33	講談社:15 | 一迅社:8	講談社	一迅社=[1, 2, 3, 4, 5, 6, 7, 13]	[1, 2, 3, 4, 5, 6, 7, 13]
karneval	カーニヴァル	28	一迅社:11 | 講談社:8	一迅社	講談社=[21, 22, 23, 24, 25, 26, 27, 28]	[21, 22, 23, 24, 25, 26, 27, 28]
gate	ゲート	27	星雲社:21 | 星雲社(発売):6	星雲社	星雲社(発売)=[18, 19, 20, 21, 22, 23]	[18, 19, 20, 21, 22, 23]
ogamiya-yokochou-tenmatsuki	拝み屋横丁顛末記	27	一迅社:19 | 講談社:1	一迅社	講談社=[27]	[27]
shuumatsu-no-valkyrie	終末のワルキューレ	27	コアミックス:21 | 徳間:5	コアミックス	徳間=[1, 2, 3, 4, 5]	[1, 2, 3, 4, 5]
yama-no-susume	ヤマノススメ	27	泰文堂:15 | アース・スターエンターテイメント:12	泰文堂	アース・スターエンターテイメント=[16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]	[16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]
garouden	餓狼伝	26	講談社:6 | 秋田書店:1	講談社	秋田書店=[26]	[26]
jashin-chan-drop-kick	邪神ちゃんドロップキック	26	フレックスコミックス:16 | ほるぷ出版:9	フレックスコミックス	ほるぷ出版=[1, 2, 3, 4, 5, 6, 7, 8, 9]	[1, 2, 3, 4, 5, 6, 7, 8, 9]
mobile-suit-gundam-thunderbolt	機動戦士ガンダムサンダーボルト	26	小学館:20 | KADOKAWA:1	小学館	KADOKAWA=[10]	[10]
wakakozake	ワカコ酒	26	徳間:14 | コアミックス:12	徳間	コアミックス=[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]	[15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]
amatsuki	あまつき	24	一迅社:13 | 講談社:1	一迅社	講談社=[24]	[24]
hatenkou-yuugi	破天荒遊戯	24	一迅社:12 | 講談社:6	一迅社	講談社=[19, 20, 21, 22, 23, 24]	[19, 20, 21, 22, 23, 24]
hina-chan-no-nichijou	ひなちゃんの日常	24	日本工業新聞社:19 | 日本工業新聞新社:2 | 産経新聞出版:1 | 日本工業新聞社(発売):1	日本工業新聞社	産経新聞出版=[2];日本工業新聞新社=[6, 7];日本工業新聞社(発売)=[24]	[2, 6, 7, 24]
