slug	all_vols_are_otherworks
saint-bladers	8
ring-inagaki-1999	7
darling-2008	13
junk-2005	2
you-2003	2
change-kitamura-2005	6
mint-1997	3
5-2000	15
home-sugihara-2010	2
bakudan-1995	5
high-score-aruko-2002	24
real-kiss-2014	1
silver-suetsugu-2005	9
nito-monogatari	10
gogo-monster	18
4teen	33
gym-2000	2
fight-1996	2
16-sai-kiss	1
19sai	1
27sai	1
sai-1998	1
sai-2002	1
tales-of-destiny-inomata-2000	6
tales-of-destiny2	6
arc-the-lad-ii	10
aya-2004	2
face-2019	2
face	2
king-shinmura-2002	3
king-z	3
sakura-2020	1
peace-2004	1
amefuri-hime-to-sabaku-ouji	0
amenohousoku	0
angel-dust-neo-nanase-2003	0
angelic-kanbaseeshon	0
boku-to-ohiru-o	0
bunbuku-teii-potto-plus	0
charenjaazu	0
check	0
dragon-quest-daino-daibouken	0
fushigi-toshokan	0
gekiman-devilman-no-show	0
gekiman-special	0
goburinzu-rai	0
gon-selection	0
heiwa-no-kane-series	0
himawari-2011	0
juran	0
kibando	0
kimi-no-tonari	0
minamo-no-sato-minasoko-no-mori	0
nageki-no-torisu-tan	0
natsu-no-guuwa	0
onegai-maruchi-kun	0
oz-manual	0
ranpushieedo	0
seven-piisu	0
shiroi-egumonto	0
shiroki-ouji-no-koimonogatari	0
urami	0
warattegoran	0
would-you-suck-my-blood	0
yoru-no-ryouiki	0
