slug	title	author	owner_isbn_n	ndl_hits	own_isbn_hits	own_isbn_sample	verdict
saint-bladers	聖闘士BLADERS	印照	8	0	0		drop候補(独立記録なし)
ring-inagaki-1999	リング	稲垣みさお	7	45	0		drop候補(独立記録なし)
mobile-suit-gundam-f90	Mobile suit gundam F90	中原れい	10	15	0		drop候補(独立記録なし)
wonder-three	WONDER THREE	貴島煉瓦	3	5	0		drop候補(独立記録なし)
darling-2008	Darling!	秋本尚美	13	50	0		drop候補(独立記録なし)
junk-2005	ジャンク	ゆみみ	2	27	0		drop候補(独立記録なし)
you-2003	陽	上条明峰	2	25	0		drop候補(独立記録なし)
change-kitamura-2005	ちぇんじ!	篠塚ひろむ	6	43	0		drop候補(独立記録なし)
mint-1997	MINT	池谷理香子	3	2	0		drop候補(独立記録なし)
5-2000	5	芳原のぞみ	15	32	0		drop候補(独立記録なし)
home-sugihara-2010	HOME	杉原マチコ	2	44	0		drop候補(独立記録なし)
bakudan-1995	BAKUDAN	宮下あきら	5	38	0		drop候補(独立記録なし)
high-score-aruko-2002	ハイスコア	アルコ	24	43	0		drop候補(独立記録なし)
real-kiss-2014	リアルキス	小純月子	1	2	1	9784091364357	再ISBN候補(実在)
silver-suetsugu-2005	Silver	末次由紀	9	48	0		drop候補(独立記録なし)
nito-monogatari	二兎物語	滝沢聖峰	10	3	3	9784845845972	再ISBN候補(実在)
gogo-monster	GOGOモンスター	松本大洋	18	1	1	9784091962881	再ISBN候補(実在)
4teen	4TEEN	海埜ゆうこ	33	0	0		drop候補(独立記録なし)
gym-2000	ジム	池上遼一	2	35	0		drop候補(独立記録なし)
worst-komuro-1970	ワースト	小室孝太郎	29	47	0		drop候補(独立記録なし)
fight-1996	ファイト!	国樹由香	2	45	0		drop候補(独立記録なし)
16-sai-kiss	16歳KISS	宮坂香帆	1	0	0		drop候補(独立記録なし)
19sai	19歳	北川夕夏	1	9	0		drop候補(独立記録なし)
27sai	27歳	わたなべ志穂	1	8	1	9784091351104	再ISBN候補(実在)
sai-1998	彩	いのまたむつみ	1	37	0		drop候補(独立記録なし)
sai-2002	彩	小畑健	1	37	0		drop候補(独立記録なし)
tales-of-destiny-inomata-2000	Tales of Destiny	杉基イクラ	6	3	0		drop候補(独立記録なし)
tales-of-destiny2	Tales of Destiny2	makoto2号	6	0	0		drop候補(独立記録なし)
arc-the-lad-ii	Arc The Lad Ⅱ	藤凪かおる	10	0	0		drop候補(独立記録なし)
aya-2004	絢	やまねあやの	2	46	0		drop候補(独立記録なし)
reset-2005	RESET	筒井哲也	3	46	0		drop候補(独立記録なし)
ultraman-g	ウルトラマンG	島本和彦	20	1	1	9784778033132	再ISBN候補(実在)
face-2019	フェイス	サカワキヒロ太	2	29	0		drop候補(独立記録なし)
face	フェイス	ゆきもりりょう	2	29	0		drop候補(独立記録なし)
king-shinmura-2002	King	しんむらけーいちろー	3	49	0		drop候補(独立記録なし)
king-z	キングZ	一峰大二	3	2	2	9784775911723	再ISBN候補(実在)
sakura-2020	さくら	フクシマハルカ	1	13	0		drop候補(独立記録なし)
saibaa-comics	サイバーコミックス	こやま基夫	1	0	0		drop候補(独立記録なし)
red-dragon-ikeno-2016	レッドドラゴン	池野雅博	4	7	5	9784041044025	再ISBN候補(実在)
peace-2004	Peace	橋本勝	1	38	0		drop候補(独立記録なし)
