shared_isbn	rakuten_title	n_owners	owner_slug	wrong_slug	wrong_vol	proposed_isbn	how
9783770471621		0	(所有者不明)	clamp-premium-collection-holic	14	9784065267899	seed
9783770471621		0	(所有者不明)	clamp-premium-collection-holic	14	9784065267899	seed
9784061753228	Joker	1	joker-1998-2	joker-2000-2	1	9784403500169	seed
9784061761216	Jump　up　エンジェル（1）	1	jump-up-angel	angel	1	9784883324019	seed
9784061761223	Jump　up　エンジェル（2）	1	jump-up-angel	angel	2	9784883324057	seed
9784061789043	Joker（2）	1	joker-1998-2	joker-2000-2	2	9784403500176	seed
9784063028843	Oh！myダーリン（2）	1	oh-my-darling	darling-2008	2	9784861342950	seed
9784063028959	Oh！myダーリン（3）	1	oh-my-darling	darling-2008	3	9784861343667	seed
9784063029062	Oh！myダーリン（4）	1	oh-my-darling	darling-2008	4	9784861344848	seed
9784063189773	ジョーカー（3）	1	joker-2000-2	joker-1998-2	3	9784575334838	seed
9784063196610	SAMURAI　SPIRITS	1	samurai-spirits-1995	samurai-spirits	1	9784063217186	seed
9784063522662	ICHI（2）	1	ichi	1-yamamoto-1993	2	9784091375384	seed
9784063522945	ICHI（3）	1	ichi	1-yamamoto-1993	3	9784091375391	seed
9784063523164	ICHI（4）	1	ichi	1-yamamoto-1993	4	9784091375407	seed
9784063523386	ICHI（5）	1	ichi	1-yamamoto-1993	5	9784091375605	seed
9784063705379	Oh！　my　ダーリン　（2）	1	oh-my-darling	darling-2008	2	9784861342950	seed
9784063705386	Oh！　my　ダーリン　（3）	1	oh-my-darling	darling-2008	3	9784861343667	seed
9784063705416	Oh！　my　ダーリン　（4）	1	oh-my-darling	darling-2008	4	9784861344848	seed
9784063708776	ジパング（1）	1	zipang	jipang	1	9784056002362	seed
9784063708783	ジパング（2）	1	zipang	jipang	2	9784056004175	seed
9784063708790	ジパング（3）	1	zipang	jipang	3	9784056004205	seed
9784065121450	グラゼニ〜パ・リーグ編〜（1）	1	gurazeni-pa-riiguhen	gurazeni-tokyo-doomuhen	1	9784063884210	seed
9784065128411	グラゼニ〜パ・リーグ編〜（2）	1	gurazeni-pa-riiguhen	gurazeni-tokyo-doomuhen	2	9784063884531	seed
9784065131978	Change！（3）	1	change-2018	change-kitamura-2005	3	9784840110969	seed
9784065143667	グラゼニ〜パ・リーグ編〜（3）	1	gurazeni-pa-riiguhen	gurazeni-tokyo-doomuhen	3	9784063884760	seed
9784065150641	グラゼニ〜パ・リーグ編〜（4）	1	gurazeni-pa-riiguhen	gurazeni-tokyo-doomuhen	4	9784063885132	seed
9784065151273	Change！（4）	1	change-2018	change-kitamura-2005	4	9784063113648	seed
9784081150335	忍空〜SECOND　STAGE干支忍編〜（3）	1	ninkuu	ninku-kazu-2006	3	9784088711096	seed
9784081150342	忍空〜SECOND　STAGE干支忍編〜（4）	1	ninkuu	ninku-kazu-2006	4	9784088711102	seed
9784081150359	忍空〜SECOND　STAGE干支忍編〜（5）	1	ninkuu	ninku-kazu-2006	5	9784088718859	seed
9784086180641	DRAGON　QUEST-ダイの大冒険ー（2（集結の章　1）	1	dragon-quest-dai-no-daibouken	dragon-quest	2	9784088710723	seed
9784086180672	DRAGON QUEST-ダイの大冒険ー 5	1	dragon-quest-dai-no-daibouken	dragon-quest	5	9784088710754	seed
9784086180696	DRAGON　QUEST-ダイの大冒険ー（7（宿命の章　2）	1	dragon-quest-dai-no-daibouken	dragon-quest	7	9784088710778	seed
9784086180702	DRAGON QUEST-ダイの大冒険ー 8	1	dragon-quest-dai-no-daibouken	dragon-quest	8	9784088710785	seed
9784086180719	DRAGON　QUEST-ダイの大冒険ー（9（聖剣の章　1）	1	dragon-quest-dai-no-daibouken	dragon-quest	9	9784088710792	seed
9784086180726	DRAGON　QUEST-ダイの大冒険ー（10（聖剣の章　2	1	dragon-quest-dai-no-daibouken	dragon-quest	10	9784088710808	seed
9784086180740	DRAGON QUEST-ダイの大冒険ー 12	1	dragon-quest-dai-no-daibouken	dragon-quest	12	9784088711829	seed
