誤付与作品	誤の著者	何を	どう直す	正所有者	正の著者(NDL)	根拠	HIGH巻数	要確認巻数
jipang	速水翼	除去すべきISBN 57巻(＋要確認5)	別作のISBN→「jipang」から除去。正所有者「zipang」が保有	zipang	かわぐちかいじ	NDL著者=かわぐちかいじ(誤付与作の著者「速水翼」と不一致) / 楽天題=ジパング（4）	57	5
4teen	海埜ゆうこ;石田衣良	除去すべきISBN 31巻(＋要確認2)	別作のISBN→「4teen」から除去。正所有者「14」が保有	14	楳図かずお	NDL著者=楳図かずお(誤付与作の著者「海埜ゆうこ;石田衣良」と不一致) / 楽天題=14歳（1）	31	2
high-score-aruko-2002	アルコ	除去すべきISBN 24巻	別作のISBN→「high-score-aruko-2002」から除去。正所有者「high-score」が保有	high-score	津山ちなみ	NDL著者=津山ちなみ(誤付与作の著者「アルコ」と不一致) / 楽天題=HIGH　SCORE（1）	24	0
manga-grimm-douwa-2003	魔木子	除去すべきISBN 22巻	別作のISBN→「manga-grimm-douwa-2003」から除去。正所有者「(所有者不明)」が保有	(所有者不明)	竹崎真実	NDL著者=竹崎真実(誤付与作の著者「魔木子」と不一致) / 楽天題=金瓶梅（59）	22	0
ultraman-g	島本和彦	除去すべきISBN 20巻	別作のISBN→「ultraman-g」から除去。正所有者「ultraman-2012」が保有	ultraman-2012	下口智裕;清水栄一	NDL著者=下口智裕;清水栄一(誤付与作の著者「島本和彦」と不一致) / 楽天題=ULTRAMAN（19）	20	0
gogo-monster	松本大洋	除去すべきISBN 15巻(＋要確認3)	別作のISBN→「gogo-monster」から除去。正所有者「monster」が保有	monster	浦沢直樹	NDL著者=浦沢直樹(誤付与作の著者「松本大洋」と不一致) / 楽天題=MONSTER（18）	15	3
5-2000	芳原のぞみ	除去すべきISBN 14巻(＋要確認1)	別作のISBN→「5-2000」から除去。正所有者「five」が保有	five	ふるかわしおり	NDL著者=ふるかわしおり(誤付与作の著者「芳原のぞみ」と不一致) / 楽天題=ファイブ（4）	14	1
darling-2008	秋本尚美	除去すべきISBN 12巻(＋要確認1)	別作のISBN→「darling-2008」から除去。正所有者「oh-my-darling」が保有	oh-my-darling	上田美和	NDL著者=上田美和(誤付与作の著者「秋本尚美」と不一致) / 楽天題=Oh！myダーリン（1）	12	1
buyuuden	もりやまつる	除去すべきISBN 12巻	別作のISBN→「buyuuden」から除去。正所有者「buyuden」が保有	buyuden	満田拓也	NDL著者=満田拓也(誤付与作の著者「もりやまつる」と不一致) / 楽天題=BUYUDEN（2）	12	0
pocket-monsters-special-2014	山本サトシ;日下秀憲	除去すべきISBN 12巻	別作のISBN→「pocket-monsters-special-2014」から除去。正所有者「pocket-monsters-special」が保有	pocket-monsters-special	シナリオ;日下秀憲	NDL著者=シナリオ;日下秀憲(誤付与作の著者「山本サトシ;日下秀憲」と不一致) / 楽天題=ポケットモンスター（第1巻）	12	0
mobile-suit-gundam-f90	中原れい;山口宏	除去すべきISBN 10巻	別作のISBN→「mobile-suit-gundam-f90」から除去。正所有者「mobile-suit-gundam-seed」が保有	mobile-suit-gundam-seed	富野由悠季;矢立肇	NDL著者=富野由悠季;矢立肇(誤付与作の著者「中原れい;山口宏」と不一致) / 楽天題=機動戦士ガンダムZZ（3）	10	0
arc-the-lad-ii	藤凪かおる	除去すべきISBN 10巻	別作のISBN→「arc-the-lad-ii」から除去。正所有者「arc-the-lad-2」が保有	arc-the-lad-2	西川秀明	NDL著者=西川秀明(誤付与作の著者「藤凪かおる」と不一致) / 楽天題=アークザラッド2（6）	10	0
maya-2004	須藤真澄	除去すべきISBN 9巻	別作のISBN→「maya-2004」から除去。正所有者「maya」が保有	maya	本島幸久	NDL著者=本島幸久(誤付与作の著者「須藤真澄」と不一致) / 楽天題=Maya（1）	9	0
silver-suetsugu-2005	末次由紀	除去すべきISBN 9巻	別作のISBN→「silver-suetsugu-2005」から除去。正所有者「silver」が保有	silver	藤田和子	NDL著者=藤田和子(誤付与作の著者「末次由紀」と不一致) / 楽天題=シルバー（1）	9	0
nito-monogatari	滝沢聖峰	除去すべきISBN 8巻(＋要確認2)	別作のISBN→「nito-monogatari」から除去。正所有者「ichigo」が保有	ichigo	六田登	NDL著者=六田登(誤付与作の著者「滝沢聖峰」と不一致) / 楽天題=Ichigo（1）	8	2
saint-bladers	印照;宮崎まさる	除去すべきISBN 7巻(＋要確認1)	別作のISBN→「saint-bladers」から除去。正所有者「saint」が保有	saint	赤石路代	NDL著者=赤石路代(誤付与作の著者「印照;宮崎まさる」と不一致) / 楽天題=SAINT　第1巻	7	1
ring-inagaki-1999	稲垣みさお;鈴木光司;高橋洋	除去すべきISBN 7巻	別作のISBN→「ring-inagaki-1999」から除去。正所有者「ring」が保有	ring	市野治美	NDL著者=市野治美(誤付与作の著者「稲垣みさお;鈴木光司;高橋洋」と不一致) / 楽天題=RING　第1巻 銀竜の神殿	7	0
karen-osakabe-2011	刑部真芯	除去すべきISBN 7巻	別作のISBN→「karen-osakabe-2011」から除去。正所有者「karen」が保有	karen	やぶうち優	NDL著者=やぶうち優(誤付与作の著者「刑部真芯」と不一致) / 楽天題=Karen（1）	7	0
gold-1997	魔木子	除去すべきISBN 7巻	別作のISBN→「gold-1997」から除去。正所有者「gold」が保有	gold	藤田和子	NDL著者=藤田和子(誤付与作の著者「魔木子」と不一致) / 楽天題=ゴールド（2）	7	0
gold-2004	山本隆一郎	除去すべきISBN 7巻	別作のISBN→「gold-2004」から除去。正所有者「gold」が保有	gold	藤田和子	NDL著者=藤田和子(誤付与作の著者「山本隆一郎」と不一致) / 楽天題=ゴールド（2）	7	0
top	池田さとみ	除去すべきISBN 7巻	別作のISBN→「top」から除去。正所有者「two-toppu」が保有	two-toppu	藤井良樹	NDL著者=藤井良樹(誤付与作の著者「池田さとみ」と不一致) / 楽天題=Two突風！（2）	7	0
complex-kikuchi-2002	菊池久美子	除去すべきISBN 7巻	別作のISBN→「complex-kikuchi-2002」から除去。正所有者「complex」が保有	complex	まんだ林檎	NDL著者=まんだ林檎(誤付与作の著者「菊池久美子」と不一致) / 楽天題=コンプレックス（1）	7	0
1-yamamoto-1993	山本英夫	除去すべきISBN 6巻	別作のISBN→「1-yamamoto-1993」から除去。正所有者「ichi」が保有	ichi	篠原花那	NDL著者=篠原花那(誤付与作の著者「山本英夫」と不一致) / 楽天題=ICHI（2）	6	0
change-kitamura-2005	篠塚ひろむ	除去すべきISBN 6巻	別作のISBN→「change-kitamura-2005」から除去。正所有者「change-2018」が保有	change-2018	曽田正人	NDL著者=曽田正人(誤付与作の著者「篠塚ひろむ」と不一致) / 楽天題=Change！（3）	6	0
kirara-hiramatsu-1987	平松伸二	除去すべきISBN 6巻	別作のISBN→「kirara-hiramatsu-1987」から除去。正所有者「kirara」が保有	kirara	唯登詩樹	NDL著者=唯登詩樹(誤付与作の著者「平松伸二」と不一致) / 楽天題=KIRARA（1）	6	0
red	村枝賢一	除去すべきISBN 6巻	別作のISBN→「red」から除去。正所有者「red-1999」が保有	red-1999	小林博美	NDL著者=小林博美(誤付与作の著者「村枝賢一」と不一致) / 楽天題=レッド（2）	6	0
tales-of-destiny-inomata-2000	杉基イクラ	除去すべきISBN 6巻	別作のISBN→「tales-of-destiny-inomata-2000」から除去。正所有者「tales-of-destiny」が保有	tales-of-destiny	啄木鳥しんき	NDL著者=啄木鳥しんき(誤付与作の著者「杉基イクラ」と不一致) / 楽天題=テイルズオブデスティニー（1）	6	0
tales-of-destiny2	makoto2号	除去すべきISBN 6巻	別作のISBN→「tales-of-destiny2」から除去。正所有者「tales-of-destiny」が保有	tales-of-destiny	啄木鳥しんき	NDL著者=啄木鳥しんき(誤付与作の著者「makoto2号」と不一致) / 楽天題=テイルズオブデスティニー（1）	6	0
bakudan-1995	宮下あきら	除去すべきISBN 5巻	別作のISBN→「bakudan-1995」から除去。正所有者「bakudan-1985」が保有	bakudan-1985	本宮ひろ志	NDL著者=本宮ひろ志(誤付与作の著者「宮下あきら」と不一致) / 楽天題=ばくだん（1）	5	0
worst-komuro-1970	小室孝太郎	除去すべきISBN 5巻(＋要確認24)	別作のISBN→「worst-komuro-1970」から除去。正所有者「worst」が保有	worst	高橋ヒロシ	NDL著者=高橋ヒロシ(誤付与作の著者「小室孝太郎」と不一致) / 楽天題=WORST（28）	5	24
hipunoshisu-maiku-division-rap-battle-side-b-b-m-t-c	キングレコード株式会社;百瀬祐一郎;蟹江	除去すべきISBN 4巻	別作のISBN→「hipunoshisu-maiku-division-rap-battle-side-b-b-m-t-c」から除去。正所有者「(所有者不明)」が保有	(所有者不明)	evil;line;records	NDL著者=evil;line;records(誤付与作の著者「キングレコード株式会社;百瀬祐一郎;蟹江」と不一致) / 楽天題=	4	0
hipunoshisumaiku	キングレコード株式会社;城キイコ;百瀬祐	除去すべきISBN 4巻	別作のISBN→「hipunoshisumaiku」から除去。正所有者「(所有者不明)」が保有	(所有者不明)	evil;line;records	NDL著者=evil;line;records(誤付与作の著者「キングレコード株式会社;城キイコ;百瀬祐」と不一致) / 楽天題=	4	0
angel	遊人	除去すべきISBN 4巻(＋要確認2)	別作のISBN→「angel」から除去。正所有者「angel-1987」が保有	angel-1987	高瀬由香	NDL著者=高瀬由香(誤付与作の著者「遊人」と不一致) / 楽天題=エンジェル（3）	4	2
jihad-sadakane-1993	定金伸治;山根和俊	除去すべきISBN 4巻	別作のISBN→「jihad-sadakane-1993」から除去。正所有者「jihad」が保有	jihad	伊月慶悟	NDL著者=伊月慶悟(誤付与作の著者「定金伸治;山根和俊」と不一致) / 楽天題=JIHAD（2）	4	0
kiss-2014	森田ゆき	除去すべきISBN 3巻	別作のISBN→「kiss-2014」から除去。正所有者「kissxxxx」が保有	kissxxxx	楠本まき	NDL著者=楠本まき(誤付与作の著者「森田ゆき」と不一致) / 楽天題=KISSXXXX（1）	3	0
mint-1997	池谷理香子	除去すべきISBN 3巻	別作のISBN→「mint-1997」から除去。正所有者「mint」が保有	mint	浅田弘幸	NDL著者=浅田弘幸(誤付与作の著者「池谷理香子」と不一致) / 楽天題=眠兎	3	0
persona-1998	上田信舟	除去すべきISBN 3巻(＋要確認1)	別作のISBN→「persona-1998」から除去。正所有者「persona-2001」が保有	persona-2001	松枝尚嗣	NDL著者=松枝尚嗣(誤付与作の著者「上田信舟」と不一致) / 楽天題=ペルソナ（2）新装版	3	1
pure-1993	深見じゅん	除去すべきISBN 3巻	別作のISBN→「pure-1993」から除去。正所有者「pure」が保有	pure	柿本ケンジロウ	NDL著者=柿本ケンジロウ(誤付与作の著者「深見じゅん」と不一致) / 楽天題=Pure（1）	3	0
red-nakaji-1990	なかじ有紀	除去すべきISBN 3巻	別作のISBN→「red-nakaji-1990」から除去。正所有者「red-1999」が保有	red-1999	小林博美	NDL著者=小林博美(誤付与作の著者「なかじ有紀」と不一致) / 楽天題=レッド（5）	3	0
complex	まんだ林檎	除去すべきISBN 3巻	別作のISBN→「complex」から除去。正所有者「complex-kikuchi-2002」が保有	complex-kikuchi-2002	菊池久美子	NDL著者=菊池久美子(誤付与作の著者「まんだ林檎」と不一致) / 楽天題=Complex（5）	3	0
jun-1997	友川丈之;関谷巌	除去すべきISBN 3巻	別作のISBN→「jun-1997」から除去。正所有者「jun-ishinomori-2003」が保有	jun-ishinomori-2003	石ノ森章太郎	NDL著者=石ノ森章太郎(誤付与作の著者「友川丈之;関谷巌」と不一致) / 楽天題=ジュン新版	3	0
jun-2012	紡木たく	除去すべきISBN 3巻	別作のISBN→「jun-2012」から除去。正所有者「jun-ishinomori-2003」が保有	jun-ishinomori-2003	石ノ森章太郎	NDL著者=石ノ森章太郎(誤付与作の著者「紡木たく」と不一致) / 楽天題=ジュン（2）アパッチ版	3	0
jun-1983	森下裕美	除去すべきISBN 3巻	別作のISBN→「jun-1983」から除去。正所有者「jun-ishinomori-2003」が保有	jun-ishinomori-2003	石ノ森章太郎	NDL著者=石ノ森章太郎(誤付与作の著者「森下裕美」と不一致) / 楽天題=ジュン（2）アパッチ版	3	0
reset-2005	筒井哲也	除去すべきISBN 3巻	別作のISBN→「reset-2005」から除去。正所有者「reset-2009」が保有	reset-2009	山本まゆり	NDL著者=山本まゆり(誤付与作の著者「筒井哲也」と不一致) / 楽天題=リセット（1）	3	0
takeru-1984	石渡治	除去すべきISBN 3巻	別作のISBN→「takeru-1984」から除去。正所有者「takeru-nakashima-2006」が保有	takeru-nakashima-2006	中島かずき;唐々煙	NDL著者=中島かずき;唐々煙(誤付与作の著者「石渡治」と不一致) / 楽天題=Takeru（2）	3	0
king-shinmura-2002	しんむらけーいちろー	除去すべきISBN 3巻	別作のISBN→「king-shinmura-2002」から除去。正所有者「(所有者不明)」が保有	(所有者不明)	瀬名真紗也	NDL著者=瀬名真紗也(誤付与作の著者「しんむらけーいちろー」と不一致) / 楽天題=	3	0
king-z	一峰大二	除去すべきISBN 3巻	別作のISBN→「king-z」から除去。正所有者「(所有者不明)」が保有	(所有者不明)	瀬名真紗也	NDL著者=瀬名真紗也(誤付与作の著者「一峰大二」と不一致) / 楽天題=	3	0
red-dragon-ikeno-2016	池野雅博	除去すべきISBN 3巻(＋要確認1)	別作のISBN→「red-dragon-ikeno-2016」から除去。正所有者「red-dragon」が保有	red-dragon	佐藤真理乃	NDL著者=佐藤真理乃(誤付与作の著者「池野雅博」と不一致) / 楽天題=Red　dragon	3	1
share	三つ葉優雨	除去すべきISBN 2巻	別作のISBN→「share」から除去。正所有者「dangerous-share」が保有	dangerous-share	湖住ふじこ	NDL著者=湖住ふじこ(誤付与作の著者「三つ葉優雨」と不一致) / 楽天題=Dangerousシェア（2）	2	0
gadget	衛藤ヒロユキ	除去すべきISBN 2巻	別作のISBN→「gadget」から除去。正所有者「gadget-sano-1998」が保有	gadget-sano-1998	わたなべ京;佐野真砂輝	NDL著者=わたなべ京;佐野真砂輝(誤付与作の著者「衛藤ヒロユキ」と不一致) / 楽天題=GADGET　第1巻	2	0
wonder-three	by;key;ylab;貴島煉瓦	除去すべきISBN 2巻(＋要確認1)	別作のISBN→「wonder-three」から除去。正所有者「w3」が保有	w3	手塚治虫	NDL著者=手塚治虫(誤付与作の著者「by;key;ylab;貴島煉瓦」と不一致) / 楽天題=手塚治虫漫画全集（141）	2	1
junk-2005	ゆみみ	除去すべきISBN 2巻	別作のISBN→「junk-2005」から除去。正所有者「junk-1994」が保有	junk-1994	戸井十月	NDL著者=戸井十月(誤付与作の著者「ゆみみ」と不一致) / 楽天題=JUNK（1）	2	0
you-2003	上条明峰	除去すべきISBN 2巻	別作のISBN→「you-2003」から除去。正所有者「yoh」が保有	yoh	菊池としを	NDL著者=菊池としを(誤付与作の著者「上条明峰」と不一致) / 楽天題=Yoh（1）	2	0
samurai-spirits-1995	石川賢	除去すべきISBN 2巻	別作のISBN→「samurai-spirits-1995」から除去。正所有者「samurai-spirits」が保有	samurai-spirits	島本和彦	NDL著者=島本和彦(誤付与作の著者「石川賢」と不一致) / 楽天題=サムライスピリッツ（1）	2	0
home-sugihara-2010	杉原マチコ	除去すべきISBN 2巻	別作のISBN→「home-sugihara-2010」から除去。正所有者「home-ueda-2000」が保有	home-ueda-2000	上田倫子	NDL著者=上田倫子(誤付与作の著者「杉原マチコ」と不一致) / 楽天題=ホーム（1）	2	0
engage-watanabe-2009	渡辺瑞樹	除去すべきISBN 2巻	別作のISBN→「engage-watanabe-2009」から除去。正所有者「engage-1994」が保有	engage-1994	柊あおい	NDL著者=柊あおい(誤付与作の著者「渡辺瑞樹」と不一致) / 楽天題=星の瞳のシルエット番外編（ENGAGE）（1）	2	0
hai-time	耕野裕子	除去すべきISBN 2巻	別作のISBN→「hai-time」から除去。正所有者「high」が保有	high	登坂恵里香	NDL著者=登坂恵里香(誤付与作の著者「耕野裕子」と不一致) / 楽天題=High（2）	2	0
box-1991	池上遼一;狩撫麻礼	除去すべきISBN 2巻	別作のISBN→「box-1991」から除去。正所有者「(所有者不明)」が保有	(所有者不明)	六田登	NDL著者=六田登(誤付与作の著者「池上遼一;狩撫麻礼」と不一致) / 楽天題=Box（2）	2	0
karen	やぶうち優	除去すべきISBN 2巻	別作のISBN→「karen」から除去。正所有者「karen-osakabe-2011」が保有	karen-osakabe-2011	刑部真芯	NDL著者=刑部真芯(誤付与作の著者「やぶうち優」と不一致) / 楽天題=花恋〜現代騎士事情〜（7）	2	0
answer	maria	除去すべきISBN 2巻	別作のISBN→「answer」から除去。正所有者「answer-1990」が保有	answer-1990	鎌田洋次	NDL著者=鎌田洋次(誤付与作の著者「maria」と不一致) / 楽天題=Answer（1）	2	0
rising-sun	藤原さとし	除去すべきISBN 2巻	別作のISBN→「rising-sun」から除去。正所有者「rising-sun-1998」が保有	rising-sun-1998	一志治夫	NDL著者=一志治夫(誤付与作の著者「藤原さとし」と不一致) / 楽天題=Rising　sun（1）	2	0
fight-1996	国樹由香	除去すべきISBN 2巻	別作のISBN→「fight-1996」から除去。正所有者「fight-1990」が保有	fight-1990	阿部ゆたか	NDL著者=阿部ゆたか(誤付与作の著者「国樹由香」と不一致) / 楽天題=Fight！（第1巻）	2	0
fight-2006	佐々木潤子	除去すべきISBN 2巻	別作のISBN→「fight-2006」から除去。正所有者「fight-1990」が保有	fight-1990	阿部ゆたか	NDL著者=阿部ゆたか(誤付与作の著者「佐々木潤子」と不一致) / 楽天題=Fight！（第1巻）	2	0
valkyrie-profile-2001-2	金田一蓮十郎	除去すべきISBN 2巻(＋要確認2)	別作のISBN→「valkyrie-profile-2001-2」から除去。正所有者「(所有者不明)」が保有	(所有者不明)	藍山恵	NDL著者=藍山恵(誤付与作の著者「金田一蓮十郎」と不一致) / 楽天題=ヴァルキリープロファイル（2）	2	2
valkyrie-profile-2001	祥寺はるか	除去すべきISBN 2巻(＋要確認2)	別作のISBN→「valkyrie-profile-2001」から除去。正所有者「(所有者不明)」が保有	(所有者不明)	藍山恵	NDL著者=藍山恵(誤付与作の著者「祥寺はるか」と不一致) / 楽天題=ヴァルキリープロファイル（2）	2	2
sleeping-beauty-yoshikawa-2003	吉川新	除去すべきISBN 2巻	別作のISBN→「sleeping-beauty-yoshikawa-2003」から除去。正所有者「sleeping-beauty」が保有	sleeping-beauty	芳崎せいむ	NDL著者=芳崎せいむ(誤付与作の著者「吉川新」と不一致) / 楽天題=SLEEPING　BEAUTY（4）	2	0
aya-2004	やまねあやの	除去すべきISBN 2巻	別作のISBN→「aya-2004」から除去。正所有者「aya-1999」が保有	aya-1999	亜樹	NDL著者=亜樹(誤付与作の著者「やまねあやの」と不一致) / 楽天題=AYA	2	0
takeru	寺沢武一	除去すべきISBN 2巻	別作のISBN→「takeru」から除去。正所有者「takeru-nakashima-2006」が保有	takeru-nakashima-2006	中島かずき;唐々煙	NDL著者=中島かずき;唐々煙(誤付与作の著者「寺沢武一」と不一致) / 楽天題=Takeru（3）	2	0
gi-king	河惣益巳	除去すべきISBN 2巻	別作のISBN→「gi-king」から除去。正所有者「(所有者不明)」が保有	(所有者不明)	瀬名真紗也	NDL著者=瀬名真紗也(誤付与作の著者「河惣益巳」と不一致) / 楽天題=	2	0
joker-2000-2	万里村奈加	除去すべきISBN 1巻(＋要確認1)	別作のISBN→「joker-2000-2」から除去。正所有者「joker-1998-2」が保有	joker-1998-2	野村あきこ	NDL著者=野村あきこ(誤付与作の著者「万里村奈加」と不一致) / 楽天題=Joker（2）	1	1
take-it-easy-2000	岡崎京子	除去すべきISBN 1巻	別作のISBN→「take-it-easy-2000」から除去。正所有者「(所有者不明)」が保有	(所有者不明)	京子;岡崎	NDL著者=京子;岡崎(誤付与作の著者「岡崎京子」と不一致) / 楽天題=	1	0
take-it-easy	岡崎京子	除去すべきISBN 1巻	別作のISBN→「take-it-easy」から除去。正所有者「take-it-easy-2000」が保有	take-it-easy-2000	京子;岡崎	NDL著者=京子;岡崎(誤付与作の著者「岡崎京子」と不一致) / 楽天題=テイクイットイージー新装版	1	0
joker-1998-2	野村あきこ	除去すべきISBN 1巻	別作のISBN→「joker-1998-2」から除去。正所有者「joker-2000-2」が保有	joker-2000-2	万里村奈加	NDL著者=万里村奈加(誤付与作の著者「野村あきこ」と不一致) / 楽天題=ジョーカー（3）	1	0
samurai-spirits	島本和彦	除去すべきISBN 1巻	別作のISBN→「samurai-spirits」から除去。正所有者「samurai-spirits-1995」が保有	samurai-spirits-1995	石川賢	NDL著者=石川賢(誤付与作の著者「島本和彦」と不一致) / 楽天題=SAMURAI　SPIRITS	1	0
girl-1990	真柴ひろみ	除去すべきISBN 1巻	別作のISBN→「girl-1990」から除去。正所有者「girl」が保有	girl	奥田英朗	NDL著者=奥田英朗(誤付与作の著者「真柴ひろみ」と不一致) / 楽天題=ガール（2）	1	0
happy-birthday-komikku	スギル;吉富多美;青木和雄	除去すべきISBN 1巻	別作のISBN→「happy-birthday-komikku」から除去。正所有者「happy-birthday-2004」が保有	happy-birthday-2004	原明日美	NDL著者=原明日美(誤付与作の著者「スギル;吉富多美;青木和雄」と不一致) / 楽天題=Happy　birthday	1	0
