label_slug	真題	真著	誤ISBN	楽天有巻	共通stem	分類
happy	Happy！（4）	浦沢直樹	23	23	Happy!	A_自動作成
pocket-monster-pipipi-adventure	ポケットモンスターpipipi・	月梨野ユミ	10	10	ポケットモンスターpip	A_自動作成
hop-suteppushou-selection	ホップ★ステップ賞selecti	ジャンプ編集部	9	9	ホップ	A_自動作成
rewrite-side-r	Rewrite:SIDE-B	key;東条サカナ	5	5	Rewrite:SIDE	A_自動作成
two-hearts-1995	2　hearts（1）	松本嵩春	4	4	2hearts	A_自動作成
dragon-knight4	ドラゴンナイト4（chapter	富樫	3	3	ドラゴンナイト	A_自動作成
iwanami-bunko-1927-1996-kaisetsu-soumokuroku	岩波文庫解説総目録（中）	岩波書店	3	3	岩波文庫解説総目録	A_自動作成
kaze-no-darutaniyan	風のダルタニャン（3）	田中雅子(漫画家)	3	3	風のダルタニャン	A_自動作成
let-gourmet	Let’sぐるめ（2）	河名尚子	3	3	Let’sぐるめ	A_自動作成
manga-sangokushi	マンガ三國志（上（覇権をめぐる野	守屋洋;臣新蔵	3	3	マンガ三國志)	A_自動作成
pantera	パン・テラ（003）	ゴツボリュウジ	3	3	パン・テラ	A_自動作成
pocket-monster-chamo-chamo-pretty	チャモチャモ・ぷりてぃ（1）	月梨野ユミ	3	3	チャモチャモ・ぷりてぃ	A_自動作成
power-bomb-theater	パワーボムシアター（4）	青山パセリ	3	3	パワーボムシアター	A_自動作成
shounen-ninja-basara-kun	少年忍者バサラ君戦国群笑伝（1）	義見依久	3	3	少年忍者バサラ君戦国群笑	A_自動作成
anima-1987	アニマ（1）	寿限無	2	2	アニマ	A_自動作成
eyes-kingin-youdou	Eyes（アイズ）2	高橋由紀	2	2	Eyes	A_自動作成
fukkokuban-shounen-magazine-dai-zenshuu	少年マガジン大全集（1）復刻版	講談社	2	2	少年マガジン大全集復刻版	A_自動作成
fukkokuban-shounen-magazine-daizenshuu	少年マガジン大全集（2）復刻版	講談社	2	2	少年マガジン大全集復刻版	A_自動作成
garou-densetsu-special-bakusho-4-koma-game-gag-comics	餓狼伝説スペシャル（1巻）	山下高弘	2	2	餓狼伝説スペシャル	A_自動作成
hotel	HOTEL（第37巻）	石森章太郎プロ	2	2	HOTEL	A_自動作成
majo-wa-hot-nao-toshigoro	竹宮恵子作品集（4）	竹宮恵子	2	2	竹宮恵子作品集	A_自動作成
niihao-jiangshi-kun	にい好キョンシーくん（第1巻）	斎藤栄一(1952生)	2	2	にい好キョンシーくん	A_自動作成
purple	パープルー紫の神話	真崎春望	2	2	パープル	A_自動作成
