我々slug	我々title	誤ISBN数	取り違え相手(楽天題)	相手の我々slug候補	相互swap
ginga-densetsu-weed	銀牙伝説Weed	80	銀牙伝説ウィ-ド（22）		
4teen	4TEEN	33	14歳（13）	14	
kinpeibai	金瓶梅	30	まんがグリム童話（吉原華の乱　4）	manga-grimm-douwa|manga-grimm-douwa-2003	★相互
manga-grimm-douwa	まんがグリム童話	22	金瓶梅（62）	kinpeibai|kinpeibai-1988|kinpeibai-watan	★相互
bin	〔月賓〕	20	ビン〜孫子異伝〜（20）		
akihi	〔アキ〕姫	18	□姫（18）		
gogo-monster	GOGOモンスター	18	MONSTER（18）	monster	
bolt-and-nut	ボルト＆ナット	16	BOLTS　AND　NUTS！（vol．18）		
i-s-1997	I''s	15	I”s（15）		
m-r	Mär	15	Ma¨r（15）		
eikou-no-naporeon	栄光のナポレオン	14	エロイカ（第14巻）	eroika	★相互
shiori-experience	シオリエクスペリエンス	14	SHIORI EXPERIENCE ジミなわたしとヘ		
doughnuts-books	Doughnuts books	13	いしいひさいち選集（34）		
hiyoko-brand	Hiyoko brand	13	おくさまは女子高生（13）	oku-sama-wa-joshikousei	
cobra	コブラ	12	COBRA（VOL．12）	cobra-1995	
dragon-quest-dai-no-daibouken	Dragon quest-ダイの大冒険	12	ドラゴンクエスト（第37巻）	dragon-quest	
eroika	エロイカ	12	栄光のナポレオン（12）	eikou-no-naporeon	★相互
akihi	〔アキ〕姫	10	華姫（10）		
arasu-kagayakeru-tsubasa	Alas～輝ける翼	10	Monacoの空へ2　ALAS（11）		
saikikkuakademiikourabanshou	サイキックアカデミー煌羅万象	10	Ψchic　academy煌羅万象（11）	psychic-akademii-koura-banshou	
adam-to-ibu-no-houteishiki	♂と♀の方程式	9	あだむといぶの方程式（9）		
crying-freeman	クライングフリーマン	9	Cryingフリーマン（9）		
gurazeni-pa-riiguhen	グラゼニ～パ・リーグ編～	9	グラゼニ〜東京ドーム編〜（13）	gurazeni-tokyo-doomuhen	★相互
kyuubanme-no-musashi-silent-black	9番目のムサシ Silent Black	9	9番目のムサシサイレントブラック（9）		
visionary	VISIONARY	9	ヴィジョナリー（9）		
aporon-no-kanashimi	アポロンの哀しみ	8	マンガギリシア神話（8）	manga-girishia-shinwa	
boku-no-songokuu	ぼくの孫悟空	8	手塚治虫漫画全集（258）		
eiyuu-herakuresu	英雄ヘラクレス	8	マンガギリシア神話（8）	manga-girishia-shinwa	
helck	ヘルク	8	Helck 新装版（12）		
higeki-no-ou-oidipusu	悲劇の王オイディプス	8	マンガギリシア神話（8）	manga-girishia-shinwa	
hihon-gikeiki	秘本義経記	8	ますらお（8）	masurao	
meikai-no-orufeusu	冥界のオルフェウス	8	マンガギリシア神話（8）	manga-girishia-shinwa	
mizuki-shigeru-manga-dai-zenshuu	水木しげる漫画大全集	8	ゲゲゲの鬼太郎（14）	gegege-no-kitarou|gegege-no-kitarou-1987	
odeyusseusu-no-koukai	オデュッセウスの航海	8	マンガギリシア神話（8）	manga-girishia-shinwa	
oryunposu-no-kamigami	オリュンポスの神々	8	マンガギリシア神話（8）	manga-girishia-shinwa	
phantom-dead-or-arive	PHANTOM DEAD OR ARIVE	8	ファントムデッドオアアライブ（08）		
smoking-gun	スモーキングガン	8	Smoking　Gun民間科捜研調査員流田縁（8）		
toroi-no-mokuba	トロイの木馬	8	マンガギリシア神話（8）	manga-girishia-shinwa	
arupain-kuraimaa	アルパインクライマー	7	THE ALPINE CLIMBER 単独登攀者・山		
hinotori	火の鳥	7	手塚治虫漫画全集（258）		
jakkaru	ジャッカル	7	JACKALS（7）		
mitsumegatooru	三つ目がとおる	7	手塚治虫漫画全集（258）		
mouryou-senki-madara	魍魎戦記MADARA	7	摩陀羅（7）		
saijou-no-meii	最上の命医	7	最上の明医〜ザ・キング・オブ・ニート〜（19）		
toyotomi-hideyoshi-ihon-taikouki	豊臣秀吉 異本太閤記	7	豊臣秀吉（7（天下人の巻））		
akai-hitsuji-no-kokuin	赤い羊の刻印	6	伯爵カイン（第6巻）	hakushaku-cain	
change-kitamura-2005	ちぇんじ!	6	Change！（6）	change-2018|change-hashiba-2000	
class-mushoku-no-eiyuu-tan	クラス《無職》の英雄譚	6	クラス≪無職≫の英雄譚　〜公爵家を追放されたが、実は		
kafuka	カフカ	6	伯爵カイン（第6巻）	hakushaku-cain	
kaze-no-tategami	風のたてがみ	6	あゆこのサスペンス劇場（9）		
saki-achigahen	咲 阿知賀編	6	咲ーSaki-阿知賀編episode　of　side		
sword-gai	ソードガイ	6	装刀凱（6）		
tiger-books	タイガーブックス	6	手塚治虫漫画全集（258）		
tonari-no-yamada-kun	となりの山田くん	6	となりのやまだ君（6）		
wasure-rareta-juliet	忘れられたジュリエット	6	伯爵カイン（第6巻）	hakushaku-cain	★相互
araania	アラーニァ	5	MURCIE’LAGO-ムルシエラゴー（5）		
cleopatra-koori-no-bishou	クレオパトラ氷の微笑	5	まんがグリム童話（吉原華の乱　4）	manga-grimm-douwa|manga-grimm-douwa-2003	
duel-masters-revolution	デュエル・マスターズレボリューション	5	DUEL　MASTERS　Rev．（5）		
garfield-1990	Garfield	5	ガーフィールド（vol．5）	garfield	
heba-hello-chan	へば!Helloちゃん	5	へばハローちゃん（4）		
magnitude9-99	MAGNITUDE9.99	5	マグニチュード9．99（5）		
masatsunoototaimashin	魔殺ノート退魔針	5	退魔針魔針胎動篇（5）		
mizuki-shigeru-manga-dai-zenshuu	水木しげる漫画大全集	5	貸本版墓場鬼太郎（5）		
nananii	ナナニイ	5	72　the　soul　of　bikes（5）		
pingu-comic	Pingu Comic	5	ピングー・コミック（vol．6）		
robosu	ろぼす	5	戦国戦術戦記LOBOS（5）		
zoku-kowai-hon	ゾクこわい本	5	楳図かずおこわい本（vol．14）愛蔵版		
anim-animato	アニマート	4	anim．（4）		
assembler-0x	Assembler 0X	4	アセンブラOX（4）		
bartender	Bartender	4	バーテンダー（4（出会い編　4））		
bloody-monday-last-season	ブラッディ・マンデイ ラストシーズン	4	BLOODY MONDAYラストシーズン（04）		
cyber-blue	サイバーブルー	4	CYBERブルー（4）		
disney-twisted-wonderland-the-comic	ディズニーツイステッドワンダーランドザコミック	4	Disney Twisted-Wonderland 		
fine	ファイン	4	Fine．（4）		
gurazeni-2014	Gurazeni	4	グラゼニ〜東京ドーム編〜（13）	gurazeni-tokyo-doomuhen	
gurazeni-tokyo-doomuhen	グラゼニ～東京ドーム編～	4	グラゼニ〜パ・リーグ編〜（4）	gurazeni-pa-riiguhen	★相互
janrou-densetsu-aoki-ookamitachi	雀狼伝説 蒼き狼たち	4	雀鬼伝説（7）		
kizuna	KIZUNA	4	絆（3）		
lupin-the-third-the-best	ルパン・ザ・サード・ザ・ベスト	4	LUPIN　The　3rd　The　Best（4）		
majinden	魔〔ジン〕伝	4	魔神伝（4）		
mizuki-shigeru-manga-dai-zenshuu	水木しげる漫画大全集	4	昭和史（4）	shouwashi	
nuclear	Nuclear	4	ニュークリア （　5）		
ore-ga-hero	おれがヒーロー	4	おれがHERO（4）		
ota-doru	ヲタ⇄ドル	4	ヲタ　ドル　推しが私で　私が推しで（4）		
shimizu-yuki-zenshuu	志水ゆき全集	4	LOVE　MODE（4）		
vision-noa	ヴィジョンノア	4	Vision　NOA（4）		
yoshiwara-hana-no-ran	吉原華の乱	4	まんがグリム童話（吉原華の乱　4）	manga-grimm-douwa|manga-grimm-douwa-2003	
yourei-senki-blue-aaku	妖霊戦記ブルーアーク	4	妖霊戦記Blue　arc（4）		
zoku-kowai-hon	ゾクこわい本	4	楳図かずおこわい本（蛇　2）	umezu-kazuo-kowai-hon	
1-love-9	1〔LOVE〕9	3	1〓シロヌキハート〓9（3）		
3-cube	セブン〔＾3〕	3	セブン3セブンきゅ〜ぶ（3）		
ar-tonelico-2	Ar tonelico 2	3	アルトネリコ（3）		
atom-konjaku-monogatari	アトム今昔物語	3	手塚治虫漫画全集（258）		
azumakagami	吾妻鏡	3	マンガ日本の古典（30）		
besuteia	ベスティア	3	流月抄（3）	ryuugetsushou	
chain-chronicle-crimson	チェインクロニクルクリムゾン	3	CHAIN　CHRONICLE　CRIMSON（3）		
detana-tsuinbii	出たな!!TwinBee	3	出たな！！ツインビー（3）		
dragon-knight4	Dragon Knight4	3	ドラゴンナイト4（3）		
entotsuya-jack	煙突屋ジャック	3	Entotsuya　Jack（3）		
garufu-no-taka	Gulfの鷹	3	ガルフの鷹（3）		
gilded-seven	Gilded seven	3	ギルデッド・セブン（3）		
growing-drive	GROWINGドライブ	3	グローイングドライブ（3）		
hakushaku-to-yobareta-otoko	伯爵と呼ばれた男	3	高口里純自選名作集（1）		
hard-metal	HARD METAL	3	ハードメタル（3）		
heian-blaze	平安炎刃	3	平安ブレイズ（3）		
ibaragi	IBARAGI	3	茨木（3）		
kasuga-no-tsubone	春日局	3	けふぞ火宅を（第3巻）		
kuruwa-genji	廓源氏	3	まんがグリム童話（吉原華の乱　4）	manga-grimm-douwa|manga-grimm-douwa-2003	
kyou-kara-city-hunter	今日からシティハンター	3	今日からCITY HUNTER（7）	kyou-kara-city-hunter-2021	
metal-hunters-d	Metal hunters D	3	メタルハンターズ・D（3）	metal-hunters-d-2	
miraijin-chaos	未来人カオス	3	手塚治虫漫画全集（258）		
mizuki-shigeru-manga-dai-zenshuu	水木しげる漫画大全集	3	神秘家列伝（下）	shinpika-rendetsu	
mizuki-shigeru-manga-dai-zenshuu	水木しげる漫画大全集	3	ボクの一生はゲゲゲの楽園だ（下）　他		
mobile-koumuin-kamoshika	機動公務員かもしか!	3	かもしか！〔小学館文庫〕（3）		
night-walkers	Night walkers	3	ナイトウォーカーズ（3）		
ninku-kazu-2006	Ninku	3	忍空〜SECOND　STAGE干支忍編〜（5）	ninkuu-sekando-stage-etoninhen	
operation-g-g	オペレーションG.G	3	OPERATION　G．G．（5）		
power-bomb-theater	パワーボムtheater	3	パワーボムシアター（5）		
ringo-takamochi	リンゴ	3	Ringo（3）	ringo	
saint-bladers	聖闘士BLADERS	3	SAINT（3）	saint	
scissors	SCISSORS	3	シザーズ（3）		
shadow-skill	Shadow skill	3	影技（シャドウ・スキル）（4）		
shakuou-tsuu	借王Ⅱ	3	借王2（シャッキング）（3）		
shumari	シュマリ	3	手塚治虫漫画全集（258）		
tenshi-no-towaaru	天使のTWIRL	3	天使のトワール（3）		
torakkaa-ookami-touma	トラッカー大神冬馬	3	TRACKER大神冬馬（3）		
99-2014	99.99%	2	フォーナイン〜僕とカノジョの637日〜（2）		
aimu-namu	アイムナム	2	I’mナム（3）		
alabaster	アラバスター	2	手塚治虫漫画全集（258）		
angel-home	ANGEL HOME	2	エンゼル・ホーム（2）		
anone	anone,	2	アノネ、（下巻）		
bachigami	バチ❤ガミ	2	BACHIGAMI（2）		
bara-monogatari	ばら物語	2	Tale　of　Rose　Knight（v．2）	tale-of-rose-knight	
batman-dark-victory	BATMAN Dark Victory	2	バットマン：ダークビクトリー　Vol．2		
best-of-naka-tomoko	閑古鳥の巣	2	Best　of名香智子（3）		
booska-plus	ブースカプラス	2	BOOSKA＋（3）		
bunbuku-tanuki-no-teii-party	ぶんぶくたぬきのティーパーティ	2	ぶんぶくティーポット＋（7）	bunbuku-teii-potto-plus	
cinderella-no-mori	シンデレラの森	2	島津郷子自選集（4）		
comic-ainu-no-rekishi	コミックアイヌの歴史	2	イシカリ神うねる河（2）		
d-arc	D'arc	2	D’arc〜ジャンヌ・ダルク伝（2）		
darkness-psycho	ダークネス・サイコ	2	高階良子デビュー50周年記念セレクション（7）		
dc-universe-legacies	DC UNIVERSE LEGACIES	2	DCユニバース：レガシーズ　Vol．2		
devil-survivor-2-show-your-free-will	デビルサバイバー2 Show Your Free Will	2	DEVIL　SURVIVOR2（2）		
dragon-s-dogma-progress	ドラゴンズドグマプログレス	2	DRAGON’S　DOGMA〜PROGRESS〜（2		
dream-kiss	夢chu	2	ドリームキッス〔小学館文庫〕（2）		
face-2019	フェイス	2	Face（2）	face-1992|face-osaka-1998	
fushidarana-haikaburi-tachi	ふしだらな灰かぶり達	2	柴門ふみbest　selection（1）		
futari-no-koukyoushi	ふたりの交響詩	2	二人の交響詩（2）		
garou-densetsu-special-bakusho-4-koma-game-gag-comics	餓狼伝説SPECIAL 爆笑4コマゲームギャグコミックス	2	餓狼伝説スペシャル（2巻）		
gekiman-2015	激マン! マジンガーZ編	2	激マン！スペシャルデビルマン編（2）		
gift-2009	ぎふと	2	Gift（2）	gift-2006|gift-2012|gift-hirose-2003|gif	
goukaku-kigan	合格祈願	2	チャレンジャーズ（4）	charenjaazu	
hakaba-kitarou	墓場鬼太郎	2	水木しげる貸本漫画傑作選（20）		
hammer	Hammer	2	壊し屋ハマー（2）		
heike-monogatari	平家物語	2	マンガ日本の古典（30）		
houkou-no-kumo	彷徨の雲	2	彷徨の曇北斗の拳ジュウザ外伝（下）		
ikkanibunnoichi	いっかにぶんのいち	2	1　1／2　（いっかにぶんのいち）（2）		
kaerazu-no-tsuki	還らずの月	2	嵐陵王（3）		
karasu-tengu-kabuto	鴉天狗カブト	2	Kabuto（2）カラースペシャル		
ken1-tanteichou	ケン1探偵長	2	手塚治虫漫画全集（258）		
kirepapa	キレパパ。	2	Kirepapa。（2）		
kitarouyawa	鬼太郎夜話	2	水木しげる貸本漫画傑作選（20）		
