slug	title	authors
4teen	4TEEN	海埜ユウコ;石田衣良
5-2000	5	芳原ノゾミ
7-ji-o-wataru-7nin	虹を渡る7人	サクラモモコ;吉住渉;柊アオイ;矢沢アイ;高倉アツコ
7mai-no-pootoreeto	7枚のポートレート	ホーム社
all-stars	All stars	眠田直
anima-1987	Anima	新岡浩美
arc-the-lad-ii	Arc The Lad Ⅱ	藤凪カオル
astro-twin	アストロツイン	竹宮惠子
aya-2004	絢	ヤマネアヤノ
banana-sisters	バナナ❤シスターズ!!	ミヤスノンキ
battle-staff	BATTLE STAFF	唯登詩樹
biijiiemu-ga-kikoenai	B.G.M.がきこえない	九月姫
case-b	Case B	雨宮淳
change-kitamura-2005	ちぇんじ!	篠塚ヒロム
club-crime	Club crime	厘ノミキ
crystalize	Crystalize	ミナミ遥
dog-tory	ドッグ・トーリィ	桑田二郎
dragon-knight4	Dragon Knight4	冨樫
enjou-otokotachi-wa-tobikonda	炎上男たちは飛び込んだ	篠原トオル
exhiibition	EXHIIBITION	スエヒロガリ
eyes-kingin-youdou	Eyes金銀妖瞳	高橋ユキ
fight-1996	ファイト!	国樹由香
fukkokuban-shounen-magazine-dai-zenshuu	復刻版少年マガジン大全集	ジョージ秋山
fukkokuban-shounen-magazine-daizenshuu	復刻版少年マガジン大全集	赤塚不二夫
garfield-1990	Garfield	jimdavis;natsukotoda
garou-densetsu-special-bakusho-4-koma-game-gag-comics	餓狼伝説SPECIAL 爆笑4コマゲームギャグコミックス	ヤマシタタカヒロ
hannya-shingyou	般若心経	尺ヒメキ;池田淳一
happy-omajinai-comic	ハッピーおまじないコミック	上重☆サユリ
harukanari-yume-no-kanata	遥かなり夢のかなた	竹宮惠子
home-sugihara-2010	HOME	杉原マチコ
iwanami-bunko-1927-1996-kaisetsu-soumokuroku	岩波文庫1927-1996解説総目録	(unknown)
j-p-s	J.P.S	山本夜羽音
jirubesutaa-no-hoshi-kara	ジルベスターの星から	竹宮惠子
kaiki-daisakusen-kuwatajirouban	怪奇大作戦 桑田次郎版	桑田二郎
kaitei-3000meetoru-no-daisousaku	海底3000メートルの大捜索	須本壮一
karutteto	かるってと	山花典之
kosaaju	こさあじゅ	田渕由美子
kublai	クビライ	星野之宣
kuchi-no-koufun	口の興奮	安部慎一
kyuumei-kyuukyuu-er-tanjou	救命救急ER誕生	コヤス珠世
let-gourmet	Let'sぐるめ	南雲ジュリ
like-father-like-son	Like father like son	尾崎未来
ma-no-yama-daisounan-kesshi-no-kyuushutsugeki	魔の山大遭難決死の救出劇	コヤス珠世
majo-wa-hot-nao-toshigoro	魔女はホットなお年頃	竹宮惠子
majutsu-no-princess-hikita-tenkou	魔術のプリンセス引田天功	福瀬クニ子;飛鳥幸子
manga-time-mini	まんがタイムmini	フジノハルカ;大乃元初奈;山田マリオ
mindy-land	Mindy land	眠田直
miracle-night-gate	ミラクル・ナイト・ゲート	厦門潤
muumin-no-bouken	ムーミンのぼうけん	janssontove
neo-geo-comic	NEO・GEO COMIC	渡辺電機(株)
niihao-jiangshi-kun	〔ニイ〕好キョンシーくん	西東栄一
nozomi-s-life	望'sらいふ	富田安紀子
omoide-yorimo-setsunakute	思い出よりもせつなくて	石井マユミ
organ-box	Organ box	山本夜羽音
pantera	パン★テラ	ゴツボ×リュウジ
piyopiyo-clinic	ぴよぴよ★クリニック	ツキリノユミ
pocket-monster-chamo-chamo-pretty	ポケットモンスターチャモチャモ☆ぷりてぃ	ツキリノユミ
pocket-monster-pipipi-adventure	ポケットモンスターpipipi☆アドベンチャー	ツキリノユミ
power-bomb-theater	パワーボムtheater	青山広美
purple	Purple	竹下ケンジロウ
ring-inagaki-1999	リング	稲垣ミサオ;鈴木光司;高橋洋
ringo-takamochi	リンゴ	タカモチゲン
s-1999	エス	山本夜羽音
sai-1998	彩	イノマタムツミ
sai-2002	彩	小畑健
sangokushi-sou-sou-den	三国志曹操伝	影丸穣也
satsui-no-soko	殺意の底	竹宮惠子
shikei-shikkounin-blue	死刑執行人ブルー	倉科遼
shinreijoumonogatari	真・隷嬢物語	woody-rinn
shounen-ninja-basara-kun-fuyouhime-taikutsuki	「少年忍者バサラくん」芙蓉姫退屈記	ada;ヨシミイク
shounen-ninja-basara-kun	少年忍者バサラくん	ada;ヨシミイク
shuunen-ga-unda-shinkansen	執念が生んだ新幹線	六田登
snow-2006	SNOW	村上モトカ
speace-ship-ee	Speace ship EE	タカノ綾
stallion	STALLION	captainscarlet
superman-for-tomorrow	Superman for tomorrow	石川裕人
supeshiyaru-banguutara-mama	スペシャル版 ぐうたらママ	古谷三敏
the-next-generation	The NEXT GENERATION	麻宮騎亜
third-street	サードストリート	須本壮一
tokyo-tower-koibito-tachi-no-tatakai	東京タワー恋人たちの戦い	菊池トシヲ;門脇正法
tsubasa-wa-yomigaetta	翼はよみがえった	大石ケンイチ;石川森彦
tsuppari-seito-to-nakimushi-sensei	ツッパリ生徒と泣き虫先生	六田登
ude-to-dokyou-no-torakkubin	腕と度胸のトラック便	ハヤセ淳
wahhahha-sports-news	ワッハッハスポーツニュース	ヤクミツル
you-2003	陽	上条明峰
younenki-abe-seimei-ibun-mimei-no-kemono	幼年期安倍清明異聞未明の獣	稲荷家房之介
yume-no-rootarii-engine-tanjou	夢のロータリーエンジン誕生	広井テツオ;石上耕平
tsukurou21robottoniruno	まんがつくろう!21世紀	非漫画(政府学習本・大蔵省印刷局)削除
serinu-deion	セリーヌ・ディオン	非漫画(伝記・吟遊社)削除
